currency,partner,sector10,sectpart,stk_flow,bop_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	136.8 	98.9 	197.3 	225.2 	46.1 	83.0 	169.5 	29.3 	185.8 	-17.2 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	240.0 	396.0 	612.0 	160.0 	716.0 	280.0 	1908.0 	1396.0 	288.0 	368.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	-798.0 	1289.2 	1777.6 	2010.4 	2521.9 	-866.5 	9.1 	-28.4 	-46.0 	-3343.0 	3967.0 	-419.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8352.0 	9576.0 	19684.0 	7964.0 	10784.0 	8496.0 	7648.0 	4892.0 	14208.0 	13144.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,HR	: 	: 	: 	: 	: 	64.0 	146.0 	61.0 	241.0 	1226.0 	469.0 	467.0 	905.0 	856.0 	-857.0 	51.0 	-56.0 	-536.0 	-1252.0 	-1625.0 	-2006.0 	-677.0 	907.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	962555.8 	1858779.1 	1910666.6 	762185.5 	1277784.0 	1326368.4 	824945.6 	633486.7 	1187973.2 	1329795.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3747.0 	4667.0 	10560.0 	9842.0 	10915.0 	11583.0 	14199.0 	10562.0 	11774.0 	17450.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10344.0 	10562.0 	7116.0 	8358.0 	3422.0 	8718.0 	7572.0 	-2780.0 	8832.0 	12806.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.1 	3.5 	1.9 	-14.5 	10.1 	-59.9 	0.8 	-1.9 	131.8 	94.9 	-37.5 	43.1 	24.2 	58.0 
