age,indic_il,sex,wstatus,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_GE18,LI_R_MD60,T,RET,EL	24.3 	21.5 	20.3 	18.4 	19.0 	19.9 	14.3 	12.4 	11.5 	10.8 	9.7 	9.5 
Y_GE18,LI_R_MD60,T,RET,ES	22.3 	20.3 	20.6 b	19.2 	16.5 	15.6 	12.3 	10.5 	9.0 	10.2 	11.2 	12.7 
Y_GE18,LI_R_MD60,T,RET,EU27	15.9 e	16.6 	16.3 	15.6 	13.8 	13.9 	13.1 	12.5 	12.6 	13.1 	13.7 	13.5 e
Y_GE18,LI_R_MD60,T,RET,EU28	: 	: 	: 	: 	13.9 	14.0 	13.2 	12.6 	12.7 	13.2 	13.8 	13.5 e
Y_GE18,LI_R_MD60,T,RET,FI	20.0 	20.5 	21.8 	21.7 	17.0 	17.5 	17.6 	15.8 	15.3 	13.5 	12.0 	11.9 
Y_GE18,LI_R_MD60,T,RET,FR	13.0 	10.2 	9.5 b	9.7 	7.5 	8.3 	8.7 	8.3 	7.5 	7.1 	7.0 	7.0 
Y_GE18,LI_R_MD60,T,RET,HR	: 	: 	: 	: 	24.4 b	23.3 	20.7 	18.4 	18.9 	22.0 	21.8 	: 
Y_GE18,LI_R_MD60,T,RET,HU	11.7 	8.1 	6.8 	4.0 	4.0 	4.6 	5.5 	5.6 	4.8 	5.0 	7.1 	9.1 
Y_GE18,LI_R_MD60,T,RET,IE	25.3 	26.9 	18.0 	15.5 	10.5 	9.6 	12.5 	11.6 	12.0 	15.9 	16.1 	: 
Y_GE18,LI_R_MD60,T,RET,IS	13.5 	18.8 	17.9 	14.8 	6.3 	4.6 	3.8 	3.4 	8.3 	7.3 	9.9 p	: 
Y_GE18,LI_R_MD60,T,RET,IT	15.8 	15.8 	15.0 	13.9 	12.5 	13.0 	12.6 	11.6 	10.4 	11.0 	12.8 	12.7 
Y_GE18,LI_R_MD60,T,RET,LT	22.7 	29.8 	32.2 	26.2 	12.6 	12.1 	20.8 	22.7 	22.0 	27.6 	30.6 	36.7 
Y_GE18,LI_R_MD60,T,RET,LU	6.4 	8.3 	4.9 	5.5 	5.4 	3.9 	5.3 	5.0 	3.9 	5.8 	8.0 b	9.3 
Y_GE18,LI_R_MD60,T,RET,LV	35.4 	39.9 	56.2 	51.7 	19.6 	10.8 	15.8 	18.8 	29.4 	36.7 	41.9 	43.7 
Y_GE18,LI_R_MD60,T,RET,MK	: 	: 	: 	: 	: 	: 	14.1 	10.9 	8.4 	7.3 	7.1 	: 
Y_GE18,LI_R_MD60,T,RET,MT	23.7 	23.3 	23.8 	20.3 	17.9 	17.2 	16.3 	14.3 	15.3 	18.1 	21.0 	21.8 
Y_GE18,LI_R_MD60,T,RET,NL	5.4 	8.5 	8.3 	6.7 	5.7 	6.4 	5.5 	5.9 	7.4 	6.2 	9.8 b	10.8 
Y_GE18,LI_R_MD60,T,RET,NO	17.3 	13.5 	13.8 	13.0 	12.7 	11.9 	9.9 	10.7 	10.7 	10.1 	10.1 	12.7 
Y_GE18,LI_R_MD60,T,RET,PL	6.8 	6.4 	9.6 	12.3 	12.8 	13.2 	12.5 	11.1 	10.6 	11.1 	12.3 	13.3 
Y_GE18,LI_R_MD60,T,RET,PT	22.9 	23.1 	20.1 	17.4 	18.5 	17.9 	15.9 	12.8 	12.9 	14.4 	16.0 	15.1 
Y_GE18,LI_R_MD60,T,RET,RO	: 	22.2 	19.1 	15.7 	12.9 	10.1 	10.7 	11.2 	12.7 	15.8 	15.9 	16.1 
Y_GE18,LI_R_MD60,T,RET,RS	: 	: 	: 	: 	: 	: 	: 	14.4 	15.4 	15.2 	15.4 	: 
Y_GE18,LI_R_MD60,T,RET,SE	11.3 	9.5 	15.3 b	16.2 	14.3 	16.7 	16.7 	15.9 	14.4 	17.2 	17.9 	16.2 
Y_GE18,LI_R_MD60,T,RET,SI	16.8 	16.5 	17.9 	17.4 	18.3 	18.4 	17.0 	17.5 	15.0 	15.9 	16.9 	15.9 
Y_GE18,LI_R_MD60,T,RET,SK	8.1 	8.0 	9.7 	8.9 	6.7 	6.3 	7.7 	6.6 	6.7 	6.2 	6.0 	7.6 
Y_GE18,LI_R_MD60,T,RET,TR	3.9 	3.6 	3.1 	3.7 	3.1 	4.3 	3.8 	3.1 	3.6 	4.5 	: 	: 
Y_GE18,LI_R_MD60,T,RET,UK	26.3 	27.7 	28.4 	24.0 	22.9 	23.1 	17.6 b	17.6 	18.8 	18.3 	18.4 	: 
Y_GE18,LI_R_MD60,T,UNE,AT	43.6 	41.6 	47.3 b	39.4 	39.2 	40.3 	45.4 	45.8 	44.6 	41.4 	47.8 	45.1 
Y_GE18,LI_R_MD60,T,UNE,BE	31.4 	34.2 	34.8 	33.4 	30.4 	37.9 	34.8 	46.2 b	42.9 	40.7 	45.9 	49.1 
Y_GE18,LI_R_MD60,T,UNE,BG	47.7 	55.9 	55.0 	52.2 	48.3 	52.2 	48.5 	47.6 	50.2 	53.3 	54.6 b	58.7 
Y_GE18,LI_R_MD60,T,UNE,CH	: 	36.1 	39.8 	37.5 	33.3 	30.1 	38.9 	32.8 	24.6 b	27.1 	38.1 	: 
Y_GE18,LI_R_MD60,T,UNE,CY	30.9 	28.1 	21.3 b	38.3 	35.8 	36.9 	31.5 	33.6 	32.6 	42.0 	37.2 	36.5 
Y_GE18,LI_R_MD60,T,UNE,CZ	43.3 	48.6 	47.8 	46.9 	40.6 	46.4 	46.7 	44.5 	47.8 	48.7 	52.2 	48.6 
Y_GE18,LI_R_MD60,T,UNE,DE	43.3 	51.7 	56.8 	62.0 	70.3 	67.8 	69.3 	69.3 	67.4 	69.1 	70.5 	70.6 
Y_GE18,LI_R_MD60,T,UNE,DK	25.2 	31.4 	33.9 	41.1 	36.3 	28.3 b	27.6 	33.1 	27.5 	37.6 	38.5 	43.8 
Y_GE18,LI_R_MD60,T,UNE,EA18	38.8 	41.9 	44.5 	44.7 	45.4 	45.8 	46.1 	46.8 	46.8 	47.3 	48.6 	47.5 e
Y_GE18,LI_R_MD60,T,UNE,EA19	39.0 	42.0 	44.6 	44.8 	45.5 	45.9 	46.2 	47.0 	46.9 	47.4 	48.7 	47.6 e
Y_GE18,LI_R_MD60,T,UNE,EE	60.0 	61.9 	61.3 	55.1 	46.7 	52.1 	55.6 	54.8 	54.7 b	54.8 	54.8 	50.2 
Y_GE18,LI_R_MD60,T,UNE,EL	33.1 	35.4 	36.8 	38.1 	38.5 	44.0 	45.8 	46.3 	45.9 	44.8 	47.1 	45.5 
Y_GE18,LI_R_MD60,T,UNE,ES	37.8 	39.8 	37.1 b	38.4 	40.3 	40.5 	43.5 	44.7 	48.0 	46.5 	49.2 	46.4 
Y_GE18,LI_R_MD60,T,UNE,EU27	41.3 e	43.6 	44.9 	45.3 	45.5 	45.9 	46.4 	46.6 	47.4 	47.6 	48.7 	47.6 e
Y_GE18,LI_R_MD60,T,UNE,EU28	: 	: 	: 	: 	45.5 	45.9 	46.3 	46.6 	47.3 	47.5 	48.6 	47.6 e
Y_GE18,LI_R_MD60,T,UNE,FI	41.7 	41.1 	42.8 	51.4 	45.3 	43.5 	45.5 	37.5 	46.8 	39.6 	37.2 	35.6 
Y_GE18,LI_R_MD60,T,UNE,FR	31.6 	34.1 	39.7 b	37.0 	33.5 	36.7 	36.0 	35.6 	31.1 	37.1 	38.4 	38.6 
Y_GE18,LI_R_MD60,T,UNE,HR	: 	: 	: 	: 	45.1 b	42.3 	43.2 	43.2 	43.2 	42.8 	43.6 	: 
Y_GE18,LI_R_MD60,T,UNE,HU	52.9 	46.3 	48.9 	47.3 	44.8 	47.1 	49.6 	53.2 	54.0 	54.4 	48.5 	51.0 
Y_GE18,LI_R_MD60,T,UNE,IE	49.5 	42.7 	28.3 	28.1 	27.9 	31.8 	35.1 	37.0 	37.1 	40.4 	40.8 	: 
Y_GE18,LI_R_MD60,T,UNE,IS	13.8 u	20.6 u	25.1 u	29.3 	25.5 	21.8 	20.0 	29.6 	25.1 	22.6 	27.1 p	: 
Y_GE18,LI_R_MD60,T,UNE,IT	44.1 	44.2 	44.4 	41.4 	45.2 	47.5 	45.0 	47.0 	48.1 	47.3 	45.8 	42.2 
Y_GE18,LI_R_MD60,T,UNE,LT	61.4 	57.5 	52.1 	53.8 	56.1 	53.0 	54.4 	61.0 	62.6 	62.3 	60.5 	61.5 
Y_GE18,LI_R_MD60,T,UNE,LU	49.2 	46.3 	52.2 	45.3 	43.3 	42.3 	51.9 	53.0 	50.0 	42.7 	44.8 b	54.4 
Y_GE18,LI_R_MD60,T,UNE,LV	63.9 	55.2 	50.9 	57.4 	47.9 	50.0 	51.9 	55.9 	53.3 	55.0 	55.7 	56.5 
Y_GE18,LI_R_MD60,T,UNE,MK	: 	: 	: 	: 	: 	: 	46.5 	43.7 	40.5 	39.7 	41.1 	: 
Y_GE18,LI_R_MD60,T,UNE,MT	42.5 	44.8 	30.6 	32.5 	42.8 	43.4 	48.2 	49.6 	48.8 	55.7 	45.1 	57.7 
Y_GE18,LI_R_MD60,T,UNE,NL	27.1 	26.7 	36.3 	41.7 	31.8 	33.5 	33.3 	34.2 	36.3 	35.5 	44.1 b	45.7 
Y_GE18,LI_R_MD60,T,UNE,NO	34.0 	43.8 	40.0 	38.8 	30.9 	32.9 	40.1 	39.3 	39.8 	43.6 	38.0 	45.4 
Y_GE18,LI_R_MD60,T,UNE,PL	46.3 	43.3 	38.8 	42.1 	45.4 	43.6 	42.5 	43.7 	43.0 	45.7 	47.1 	42.7 
Y_GE18,LI_R_MD60,T,UNE,PT	31.1 	32.2 	34.6 	37.0 	36.4 	36.0 	38.3 	40.3 	40.5 	42.0 	42.0 	44.8 
Y_GE18,LI_R_MD60,T,UNE,RO	: 	47.4 	44.2 	45.3 	46.2 	48.1 	52.4 	54.5 	48.4 	55.5 	50.2 	51.6 
Y_GE18,LI_R_MD60,T,UNE,RS	: 	: 	: 	: 	: 	: 	: 	48.4 	47.0 	46.2 	48.0 	: 
Y_GE18,LI_R_MD60,T,UNE,SE	24.1 	25.5 	39.4 b	42.3 	39.8 	42.4 	43.0 	44.8 	42.2 	39.3 	50.8 	50.3 
Y_GE18,LI_R_MD60,T,UNE,SI	32.8 	35.9 	37.6 	43.6 	44.1 	44.6 	46.9 	46.2 	45.3 	44.8 	44.8 	41.8 
Y_GE18,LI_R_MD60,T,UNE,SK	40.8 	45.1 	43.2 	48.6 	41.1 	42.6 	44.6 	43.8 	48.7 	45.5 	47.6 	49.2 
Y_GE18,LI_R_MD60,T,UNE,TR	43.7 	43.0 	43.0 	39.0 	38.6 	40.8 	40.9 	38.1 	41.4 	37.4 	: 	: 
Y_GE18,LI_R_MD60,T,UNE,UK	57.8 	58.9 	54.4 	50.9 	47.4 	47.2 	51.3 b	43.9 	57.9 	47.9 	46.1 	: 
