unit,bop_item,stk_flow,partner,geo\time	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_WRL_5Y,GS,CRE,WRL_REST,PT	: 	: 	-7.78 	-0.19 	-4.79 	-4.06 	-3.52 	-4.43 	-3.26 	-11.14 	-8.10 	-6.93 	-8.61 	-16.64 	-7.47 	-6.13 	1.65 	5.54 	14.62 
PCH_WRL_5Y,GS,CRE,WRL_REST,RO	: 	: 	: 	: 	: 	27.63 	84.58 	73.86 	84.17 	91.92 	69.37 	53.31 	49.98 	12.30 	13.74 	20.14 	20.48 	23.29 	37.02 
PCH_WRL_5Y,GS,CRE,WRL_REST,SE	8.33 	-7.64 	-11.93 	-8.77 	-8.85 	-6.48 	-5.18 	-1.41 	1.35 	-6.84 	-15.89 	-12.77 	-12.17 	-19.51 	-17.20 	-9.62 	-9.33 	-7.42 	-4.29 
PCH_WRL_5Y,GS,CRE,WRL_REST,SI	-6.80 	-16.94 	-5.77 	7.14 	5.41 	18.27 	29.66 	21.43 	23.63 	16.33 	9.58 	-1.65 	-5.84 	-20.98 	-18.37 	-12.91 	-4.36 	3.99 	18.64 
PCH_WRL_5Y,GS,CRE,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	67.57 e	31.89 e	9.50 	3.83 	-2.74 	-10.30 	-4.10 	1.89 	4.16 	8.07 	6.67 
PCH_WRL_5Y,GS,CRE,WRL_REST,UK	: 	: 	: 	-7.23 	-9.48 	-11.16 	-7.33 	-7.82 	-14.71 	-22.48 	-19.55 	-23.64 	-25.70 	-20.97 	-11.95 	-9.62 	2.00 	1.03 	-0.96 
PCH_WRL_5Y,S,CRE,WRL_REST,AT	: 	-20.91 	-14.79 	-0.62 	3.15 	1.72 	8.41 	2.19 	-1.51 	-6.11 	-6.84 	-15.68 	-14.57 	-17.45 	-16.28 	-12.93 	-12.23 	-8.37 	-2.63 
PCH_WRL_5Y,S,CRE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	-5.65 	-15.64 	-9.79 	-1.93 	6.54 	10.19 	11.13 	7.48 	-4.51 	-6.93 	-9.97 	-4.57 	-4.89 
PCH_WRL_5Y,S,CRE,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-29.74 	-33.84 	-25.54 	-9.01 	1.38 	-0.46 
PCH_WRL_5Y,S,CRE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-18.91 	-20.27 	-19.96 	-11.66 	1.59 
PCH_WRL_5Y,S,CRE,WRL_REST,CZ	14.37 	-3.42 	-1.84 	4.73 	-6.94 	-17.67 	-21.63 	-18.60 	-13.22 	-0.29 	4.36 	13.04 	5.69 	-0.31 	-17.33 	-16.20 	-18.69 	-14.15 	-6.02 
PCH_WRL_5Y,S,CRE,WRL_REST,DE	3.32 	-7.26 	-2.61 	6.41 	3.01 	10.42 	14.18 	11.68 	-2.52 	-0.93 	-2.41 	-5.50 	-8.38 	-7.13 	-7.52 	-7.42 	-4.95 	-0.01 	2.90 
PCH_WRL_5Y,S,CRE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-6.99 	-16.46 	-17.00 	-21.23 	-11.91 	-18.33 	-17.85 	-16.27 
PCH_WRL_5Y,S,CRE,WRL_REST,EE	132.27 	48.54 	31.80 	10.71 	8.60 	17.00 	29.22 	15.37 	17.88 	16.17 	-2.00 	-9.85 	-3.08 	-0.70 	-4.64 	6.53 	-3.08 	-3.90 	-3.99 
PCH_WRL_5Y,S,CRE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	1.12 	-0.56 	-26.56 	-26.20 	-26.55 	-36.09 	-39.20 	-25.05 	-36.01 	-38.69 	-23.88 
PCH_WRL_5Y,S,CRE,WRL_REST,ES	22.66 	6.85 	12.00 	12.21 	9.71 	0.23 	3.71 	-3.03 	-6.50 	-13.99 	-13.56 	-18.73 	-16.71 	-20.43 	-21.48 	-18.62 	-18.47 	-14.49 	-4.50 
PCH_WRL_5Y,S,CRE,WRL_REST,FI	: 	-13.88 	9.96 	27.46 	12.24 	32.68 	29.73 	-37.01 	-41.21 	-8.82 	-20.74 	-24.19 	35.73 	36.81 	-7.54 	-9.60 	-3.16 	-2.19 	2.72 
PCH_WRL_5Y,S,CRE,WRL_REST,FR	: 	: 	: 	: 	: 	-15.03 	-3.68 	-10.79 	-16.22 	-13.42 	-9.54 	-11.71 	-6.15 	-6.42 	-4.78 	-2.53 	-4.31 	-5.88 	-4.76 
PCH_WRL_5Y,S,CRE,WRL_REST,HR	: 	: 	: 	: 	: 	: 	37.23 	10.03 	5.54 	-16.01 	-17.78 	-23.99 	-22.52 	-25.97 	-31.16 	-25.49 	-17.52 	-8.18 	2.90 
PCH_WRL_5Y,S,CRE,WRL_REST,HU	: 	-2.21 	5.51 	4.39 	13.74 	8.36 	2.34 	-15.75 	-7.72 	-5.65 	4.57 	1.66 	8.37 	-5.80 	-9.71 	-7.88 	-9.65 	-3.17 	9.61 
PCH_WRL_5Y,S,CRE,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	: 	25.88 	1.46 	8.50 	7.92 	5.94 	5.01 	4.86 	6.54 	13.12 	23.56 	37.96 
PCH_WRL_5Y,S,CRE,WRL_REST,IT	: 	-25.48 	-17.26 	-17.48 	-16.58 	-9.61 	-7.52 	-10.79 	-12.81 	-24.79 	-28.38 	-27.35 	-28.97 	-27.55 	-20.99 	-19.28 	-24.22 	-19.76 	-13.31 
PCH_WRL_5Y,S,CRE,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-4.39 	-1.23 	1.95 	13.01 	15.77 	30.41 	14.89 	19.12 	29.96 
PCH_WRL_5Y,S,CRE,WRL_REST,LU	: 	34.14 	26.69 	24.70 	26.40 	19.71 	15.50 	30.28 	39.56 	23.48 	7.32 	2.27 	-4.41 	-7.79 	8.04 	22.88 	23.16 	18.79 	15.05 
PCH_WRL_5Y,S,CRE,WRL_REST,LV	: 	: 	: 	: 	: 	: 	44.35 	47.59 	72.12 	51.99 	40.67 	8.28 	4.90 	-13.65 	-21.10 	-14.84 	-6.56 	-6.86 	-2.19 
PCH_WRL_5Y,S,CRE,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80.92 	60.45 	42.07 	30.81 	1.63 	-7.10 	-7.85 	-0.70 	4.02 
PCH_WRL_5Y,S,CRE,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-9.65 	-9.42 	-5.84 	-8.98 	-11.19 	-10.24 	5.66 	1.42 	7.18 
PCH_WRL_5Y,S,CRE,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33.72 	29.00 	19.39 	0.68 	-4.64 	6.91 	-0.56 	7.37 	20.35 
PCH_WRL_5Y,S,CRE,WRL_REST,PT	: 	: 	-2.92 	2.86 	-5.38 	-0.98 	-3.64 	1.93 	5.77 	1.64 	-1.00 	-0.12 	-3.60 	-13.46 	-7.36 	-5.23 	-4.46 	-2.80 	11.81 
PCH_WRL_5Y,S,CRE,WRL_REST,RO	: 	: 	: 	: 	: 	142.80 	68.97 	50.60 	25.87 	28.15 	-5.98 	-29.01 	-35.06 	-24.84 	-10.73 	16.55 	39.03 	45.47 	55.39 
PCH_WRL_5Y,S,CRE,WRL_REST,SE	14.39 	12.22 	15.64 	16.54 	11.42 	8.09 	10.15 	6.20 	8.96 	8.65 	-4.26 	-6.22 	-1.10 	-6.06 	1.84 	4.96 	5.16 	-1.48 	-4.13 
PCH_WRL_5Y,S,CRE,WRL_REST,SI	-24.22 	-32.31 	-26.57 	-13.40 	-4.19 	8.88 	21.11 	11.68 	10.45 	19.19 	8.01 	-0.35 	-1.13 	-11.32 	-22.21 	-17.41 	-16.57 	-7.19 	5.58 
PCH_WRL_5Y,S,CRE,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-26.81 	-33.66 	-35.12 	-30.32 	-20.37 	-4.87 	-0.92 	12.10 	12.88 
PCH_WRL_5Y,S,CRE,WRL_REST,UK	: 	: 	: 	6.51 	9.43 	7.10 	13.12 	11.31 	7.55 	-12.19 	-16.45 	-22.11 	-23.37 	-21.40 	-8.98 	-5.95 	-0.05 	-2.60 	-7.00 
