currency,partner,sector10,sectpart,stk_flow,bop_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,IE	54017.0 	17950.0 	-10621.0 	6826.0 	32935.0 	15118.0 	30553.0 	42986.0 	21094.0 	-27252.0 	-19512.0 	4232.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,IS	-321.5 	-196.7 	-1657.4 	-1761.7 	-2540.4 	-3582.4 	-3910.4 	-3855.1 	-3881.9 	-3888.3 	-3374.9 	-3385.2 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,IT	119915.0 	117466.0 	124471.0 	131337.0 	132080.0 	115516.0 	115043.0 	114742.0 	113121.0 	113887.0 	113783.0 	116361.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,LT	-10945.4 	-11099.7 	-10654.1 	-10709.7 	-10945.9 	-11373.8 	-11447.4 	-11613.6 	-11803.6 	-11872.1 	-12116.5 	-11959.7 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,LU	699642.0 	746058.0 	712658.0 	719552.0 	723982.0 	733543.0 	715864.0 	692403.0 	690546.0 	687347.0 	648196.0 	688402.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,LV	-12103.0 	-12123.0 	-12032.0 	-11763.0 	-11838.0 	-11986.0 	-12139.0 	-12360.0 	-12721.0 	-13013.0 	-13259.0 	-13181.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,MK	-4080.6 	-4296.3 	-4381.9 	-4442.8 	-4463.6 	-4580.3 	-4630.9 	-4622.5 	-4574.2 	-4630.5 	-4873.6 	-4963.7 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,MT	-87455.8 	-90300.6 	-92542.4 	-94908.4 	-96777.9 	-99240.1 	-100972.9 	-103229.0 	-105724.9 	-108037.5 	-109898.0 	-112858.4 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,NL	834691.0 	892810.0 	946440.0 	943319.0 	984917.0 	1009564.0 	1035015.0 	1014742.0 	991812.0 	975142.0 	1005191.0 	1015183.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,NO	8547.3 	8873.6 	9429.4 	16759.8 	14982.7 	29535.1 	30451.1 	30705.0 	25823.5 	33143.6 	35112.5 	40007.6 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,PL	-149522.9 	-146164.3 	-154608.7 	-151276.8 	-158200.1 	-152895.9 	-168134.6 	-166910.2 	-166568.9 	-175127.1 	-175243.7 	-168036.2 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,PT	-53036.0 	-56021.0 	-56742.0 	-57140.0 	-55755.0 	-57530.0 	-60736.0 	-63644.0 	-66572.0 	-68925.0 	-67691.0 	-70568.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,RO	-64333.1 	-63694.7 	-63021.8 	-64140.5 	-67809.2 	-69417.9 	-71083.6 	-71098.6 	-72623.4 	-75238.0 	-77061.5 	-77552.1 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,RS	-23366.0 	-23841.0 	-24283.0 	-24677.0 	-25250.0 	-25911.0 	-26517.0 	-27154.0 	-27856.0 	-28288.0 	-28957.0 	-29547.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,SE	76938.4 	52791.7 	54313.9 	60797.0 	63443.2 	68465.3 	49724.6 	54788.3 	51043.3 	15456.9 	71725.4 	77113.2 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,SI	-5464.2 	-6103.6 	-6334.6 	-6702.2 	-6966.7 	-7229.3 	-7327.4 	-7299.0 	-7468.4 	-7765.6 	-7883.9 	-8108.4 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,SK	-37751.3 	-40003.9 	-39727.7 	-38358.1 	-38915.2 	-42654.3 	-42659.2 	-42740.3 	-43451.7 	-43719.1 	-43450.2 	-43205.2 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,UK	175297.2 	68766.3 	130014.5 	154620.7 	116457.0 	15618.2 	65880.8 	17666.9 	-13621.3 	12418.4 	-60741.8 	-79035.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,XK	-1826.1 	-1844.4 	-1897.5 	-1926.6 	-1986.9 	-1945.8 	-2002.6 	-2069.2 	-2092.9 	-2154.1 	-2153.3 	-2219.4 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,AL	-3371.8 	-3518.8 	-3566.3 	-3597.1 	-3367.6 	-3525.7 	-3487.0 	-3313.9 	-3250.5 	-3463.7 	-3343.3 	-3550.2 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,AT	54306.0 	50180.0 	50858.0 	45509.0 	35790.0 	35608.0 	28414.0 	26889.0 	32867.0 	28311.0 	32150.0 	30803.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,BE	74117.0 	66649.0 	74809.0 	81761.0 	78514.0 	82253.0 	90188.0 	75844.0 	66042.0 	36704.0 	31419.0 	27300.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,BG	-11192.5 	-11122.6 	-9629.5 	-9297.2 	-8393.9 	-9037.7 	-9328.3 	-9048.9 	-8167.9 	-7955.1 	-7345.7 	-7624.8 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,CH	-314705.6 	-309667.4 	-321714.7 	-338953.8 	-328902.7 	-320777.8 	-345604.8 	-322170.5 	-309509.7 	-298370.0 	-328541.8 	-334595.4 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,CY	-18310.0 	-23597.0 	-25701.0 	-22547.0 	-20953.0 	-18374.0 	-18662.0 	-19007.0 	-16753.0 	-17085.0 	-17976.0 	-15888.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,CZ	-9162.2 	-5660.0 	-4805.6 	-2377.2 	-8178.0 	-9294.7 	-31818.8 	-33340.0 	-39186.1 	-37339.9 	-33478.0 	-35886.4 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,DE	737313.0 	714337.0 	688444.0 	707425.0 	699541.0 	702764.0 	703377.0 	712016.0 	700843.0 	690810.0 	693910.0 	707209.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,DK	-18650.1 	-8089.9 	-12543.9 	-2688.6 	3720.0 	9223.1 	15422.2 	12879.1 	21934.8 	25447.0 	16434.2 	4348.7 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,EA19	-378636.0 	-407898.0 	-538451.0 	-582021.0 	-732124.0 	-770923.0 	-848130.0 	-809260.0 	-856126.0 	-826018.0 	-869686.0 	-933167.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,EE	-1232.5 	-1470.6 	-2079.4 	-2768.8 	-2989.5 	-3191.8 	-3340.4 	-3740.1 	-3924.9 	-3980.8 	-4486.2 	-3571.8 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,EL	-311146.0 	-308089.0 	-312003.0 	-308329.0 	-313499.0 	-315743.0 	-318588.0 	-317305.0 	-307937.0 	-296023.0 	-292428.0 	-291600.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,ES	-410826.0 	-406966.0 	-437760.0 	-450769.0 	-451922.0 	-451107.0 	-482969.0 	-483638.0 	-487733.0 	-475584.0 	-485051.0 	-476054.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,FI	-18966.0 	-15739.0 	-25137.0 	-33516.0 	-42865.0 	: c	-44753.0 	-44033.0 	-50738.0 	-45697.0 	-47065.0 	-47860.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,FR	-179716.0 	-165684.0 	-195221.0 	-181034.0 	-184780.0 	-211836.0 	-237870.0 	-276552.0 	-290473.0 	-262853.0 	-316352.0 	-335453.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,HR	-21567.0 	-22054.2 	-21755.5 	-20450.2 	-18184.7 	-18950.8 	-21493.1 	-19567.6 	-17728.4 	-17589.0 	-18831.3 	-17599.4 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,HU	-24796.1 	-19584.8 	-19011.2 	-14944.7 	-11797.2 	-12137.6 	-12639.8 	-12416.6 	-10571.0 	-10135.0 	-7785.1 	-9300.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,IE	-72891.0 	-67.0 	26309.0 	3221.0 	-16599.0 	-29152.0 	-72966.0 	-30383.0 	-52431.0 	3800.0 	-18851.0 	-6863.0 
