reason,sex,age,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
FAMRESP,M,Y20-64,PC_INAC,MT	: u	: u	: u	: u	: bu	3.6 bu	2.8 u	2.4 u	4.6 	4.6 	3.1 u	3.1 u	3.6 u	3.9 u	3.4 u	2.9 u	3.3 u	3.7 u
FAMRESP,M,Y20-64,PC_INAC,NL	1.1 	1.3 	0.7 u	1.2 	0.8 	0.8 b	1.6 b	2.1 	1.6 	1.6 	0.9 bu	1.2 b	1.0 u	1.2 	1.6 	1.9 	1.6 	2.3 
FAMRESP,M,Y20-64,PC_INAC,NO	0.9 u	1.1 u	1.5 u	0.9 u	0.8 u	1.1 b	2.2 bu	1.9 u	1.3 u	1.3 u	2.0 u	1.4 u	1.7 u	: u	1.4 u	1.1 u	: u	1.5 
FAMRESP,M,Y20-64,PC_INAC,PL	1.6 b	0.8 bu	0.6 u	0.8 bu	1.0 b	1.2 b	4.1 	5.3 	5.4 	5.3 	5.9 b	6.1 	6.7 	7.2 	7.8 	8.9 	9.8 	10.0 
FAMRESP,M,Y20-64,PC_INAC,PT	: u	: u	: u	: u	: u	: bu	3.5 	3.4 	3.1 	3.7 	3.8 	2.0 b	2.0 	1.8 	1.7 	2.2 	2.7 	3.3 
FAMRESP,M,Y20-64,PC_INAC,RO	0.2 u	0.3 u	0.9 bu	1.1 b	0.8 	: bu	0.6 u	0.5 u	: u	0.5 u	1.4 b	1.3 	1.2 	1.3 	1.2 	1.6 	1.4 	1.7 
FAMRESP,M,Y20-64,PC_INAC,SE	2.9 	5.5 b	5.3 	4.7 	5.1 	: bu	: u	0.8 u	: u	0.9 u	0.8 	0.7 	0.9 	0.6 u	0.7 	0.6 u	0.7 	1.0 
FAMRESP,M,Y20-64,PC_INAC,SI	3.9 u	3.8 u	3.1 u	3.4 u	1.9 u	5.2 b	5.5 	4.0 	4.4 	5.1 	5.8 	5.4 	3.9 	4.1 	3.8 	3.6 	6.1 	5.5 
FAMRESP,M,Y20-64,PC_INAC,SK	1.4 u	: u	: u	1.1 bu	1.4 u	: bu	1.3 	2.8 	4.3 	4.4 	3.9 	4.8 b	4.6 	4.0 	4.0 	4.5 	6.0 	5.7 
FAMRESP,M,Y20-64,PC_INAC,TR	: 	: 	: 	: 	: 	: 	2.3 	2.4 	2.2 	3.4 	3.5 	4.0 	4.1 	4.3 	5.7 b	5.6 	5.6 	7.0 
FAMRESP,M,Y20-64,PC_INAC,UK	6.7 	6.7 	7.1 	6.9 	7.2 b	2.5 b	: 	: 	7.6 b	7.3 	6.9 	7.4 	7.7 	8.5 	8.4 	9.0 	8.6 	8.7 
FAMRESP,T,Y20-64,PC_INAC,AT	26.3 	25.3 	25.3 	23.6 	20.5 b	26.0 b	26.4 	27.4 b	26.1 	24.6 	23.2 	22.6 	21.4 	21.5 	20.0 	19.2 	20.1 	19.0 
FAMRESP,T,Y20-64,PC_INAC,BE	: 	0.9 b	0.9 	1.0 	0.8 	20.6 b	20.5 	21.1 	19.6 	18.9 	19.4 	17.4 b	18.4 	18.0 	17.7 	16.8 	17.4 	16.6 b
FAMRESP,T,Y20-64,PC_INAC,BG	9.4 	11.1 b	10.3 	11.8 b	11.5 	13.4 b	16.3 	17.3 	20.3 b	21.0 	19.6 b	17.8 b	17.9 	19.5 	21.7 	22.2 	24.3 	27.6 
FAMRESP,T,Y20-64,PC_INAC,CH	48.6 	45.9 	43.1 	41.7 	41.3 	40.0 b	40.6 	40.6 	36.8 	36.2 	34.7 b	33.5 	31.9 	28.7 	27.9 	26.9 	27.3 	27.1 
FAMRESP,T,Y20-64,PC_INAC,CY	61.2 	61.7 	59.0 	58.2 	59.8 	57.6 b	55.5 	52.7 	49.3 	46.2 b	43.7 	41.2 	40.5 	36.4 	33.6 	36.0 	41.0 	42.7 
FAMRESP,T,Y20-64,PC_INAC,CZ	22.7 	22.7 	21.7 	20.8 	20.4 	20.1 b	20.1 	21.3 	21.5 	21.4 	21.2 	21.1 b	22.3 	22.3 	23.0 	24.7 	24.1 	26.2 
FAMRESP,T,Y20-64,PC_INAC,DE	24.2 	24.1 	22.6 	22.9 	23.4 	23.5 b	21.6 b	22.2 	19.8 	20.4 	20.0 b	20.1 b	21.8 b	20.5 	19.6 	19.0 	19.0 	18.9 
FAMRESP,T,Y20-64,PC_INAC,DK	10.5 	9.8 	8.9 	9.8 	7.4 	8.0 b	7.3 	4.8 	4.6 	4.7 	5.1 	4.8 	4.4 	4.6 	4.9 	4.9 	4.7 b	5.0 b
FAMRESP,T,Y20-64,PC_INAC,EA18	23.6 	22.6 	21.8 	21.6 	17.7 	20.1 b	20.6 	20.6 	19.5 	19.2 	18.0 	17.6 	17.9 	19.4 	18.9 	19.1 	19.3 	19.6 
FAMRESP,T,Y20-64,PC_INAC,EA19	23.5 	22.5 	21.7 	21.5 	17.6 	20.0 b	20.5 	20.5 	19.4 	19.2 	18.0 	17.5 	17.9 	19.3 	18.9 	19.1 	19.3 	19.5 
