duration,sex,age,unit,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
M24-59,T,Y20-64,PC,MT	16.6 b	16.2 	14.8 	16.2 	16.9 	19.1 	18.5 	17.5 	16.7 	18.9 	19.7 	18.7 	19.6 
M24-59,T,Y20-64,PC,NL	17.0 b	14.2 	13.0 	13.4 	15.5 	18.3 b	19.0 b	17.7 	16.0 	15.6 	14.8 	14.4 	14.7 
M24-59,T,Y20-64,PC,NO	5.4 b	10.8 b	17.2 	19.6 	23.1 	25.2 	23.6 	22.2 	21.3 	21.8 	22.7 	23.0 	22.3 
M24-59,T,Y20-64,PC,PL	14.2 b	14.8 	14.9 	16.0 	18.6 	19.5 b	19.0 	17.7 	16.4 	15.8 	15.6 	15.9 	16.3 
M24-59,T,Y20-64,PC,PT	15.2 b	14.7 	14.2 	14.6 	15.3 	15.1 	15.7 b	14.7 	14.2 	13.1 	11.9 	12.9 	13.9 
M24-59,T,Y20-64,PC,RO	18.4 b	18.9 	20.1 	21.7 	22.9 	22.4 b	22.4 	22.1 	21.2 	20.0 	19.5 	20.5 	19.8 
M24-59,T,Y20-64,PC,SE	16.7 b	14.3 	13.7 	14.3 	16.4 	17.9 	16.5 	15.4 	16.5 	17.6 	17.3 	17.1 	17.1 
M24-59,T,Y20-64,PC,SI	14.5 b	16.6 	14.6 	14.1 	14.4 	15.8 	15.9 	14.8 	13.1 	14.2 	13.7 	14.2 	13.8 
M24-59,T,Y20-64,PC,SK	18.3 b	17.8 	18.5 	20.1 	19.9 	20.0 	18.9 b	18.7 	17.9 	17.8 	16.3 	16.9 	16.7 
M24-59,T,Y20-64,PC,TR	: 	16.1 	16.7 	17.2 	17.2 	16.9 	15.8 	16.4 	17.0 	17.2 b	16.8 	17.1 	17.6 
M24-59,T,Y20-64,PC,UK	19.9 b	19.7 	19.7 b	19.8 b	20.6 	21.2 	20.3 	19.0 	18.0 	18.1 	18.2 	19.5 	19.9 
M_GE60,T,Y20-64,PC,AT	61.4 b	61.8 	61.5 b	60.9 	61.3 	61.7 	61.0 	60.3 	60.4 	60.7 	60.1 	59.6 	59.4 
M_GE60,T,Y20-64,PC,BE	66.0 b	65.5 	64.4 	63.6 	63.9 	64.0 	63.1 b	63.1 	65.1 	64.6 	65.2 	65.7 	65.1 b
M_GE60,T,Y20-64,PC,BG	54.5 b	54.1 	55.7 	56.1 b	57.8 	59.2 b	59.9 b	61.0 	61.1 	61.9 	65.0 	65.0 	65.0 
M_GE60,T,Y20-64,PC,CH	58.7 b	59.1 	59.7 	58.5 	57.1 	55.6 b	54.9 	54.8 	55.4 	54.6 	53.2 	53.3 	53.3 
M_GE60,T,Y20-64,PC,CY	57.6 b	58.5 	57.4 	56.5 	55.0 b	53.6 	53.6 	55.1 	57.9 	58.2 	57.5 	56.9 	56.1 
M_GE60,T,Y20-64,PC,CZ	63.2 b	62.9 	63.0 	62.4 	62.8 	63.5 	64.1 b	64.8 	66.2 	67.1 	67.3 	65.9 	64.5 
M_GE60,T,Y20-64,PC,DE	62.3 b	62.6 	62.5 	61.5 	61.6 	61.0 b	60.3 b	60.4 	60.8 	60.7 	60.6 	59.9 	59.6 
M_GE60,T,Y20-64,PC,DK	51.4 b	51.1 	46.7 	44.3 	45.6 	47.5 	49.4 	51.7 	52.5 	51.4 	49.9 	47.5 b	46.8 b
M_GE60,T,Y20-64,PC,EA18	61.5 b	61.7 	61.4 	60.8 	61.8 	62.3 	62.8 	63.8 	64.9 	64.6 	64.3 	63.5 	62.6 
M_GE60,T,Y20-64,PC,EA19	61.5 b	61.6 	61.3 	60.7 	61.7 	62.2 	62.7 	63.7 	64.8 	64.5 	64.2 	63.4 	62.5 
M_GE60,T,Y20-64,PC,EE	48.9 b	48.8 	47.9 	47.6 	49.9 	51.4 	53.6 	54.6 	53.8 	53.1 	52.2 	51.6 	51.9 
M_GE60,T,Y20-64,PC,EL	69.8 b	69.1 	69.4 	68.8 	68.1 b	69.7 	71.4 	73.6 	74.5 	72.1 	71.9 	70.9 	70.1 
M_GE60,T,Y20-64,PC,ES	52.3 b	52.0 	51.5 	52.5 	55.6 	58.1 	60.4 	64.0 	65.8 	64.3 	63.8 	62.6 	60.8 
M_GE60,T,Y20-64,PC,EU27	60.1 b	60.1 	59.7 	59.2 	60.1 	60.8 	61.3 	62.2 	63.3 	62.9 	62.4 	61.5 	60.7 
M_GE60,T,Y20-64,PC,EU28	60.2 b	60.2 	59.8 	59.2 	60.1 	60.8 	61.4 	62.3 	63.3 	62.9 	62.5 	61.5 	60.7 
M_GE60,T,Y20-64,PC,FI	59.3 b	58.7 	57.6 	57.0 b	57.9 	58.4 	57.9 	58.3 	58.4 	57.9 	58.9 	58.7 	57.7 
M_GE60,T,Y20-64,PC,FR	63.8 b	64.0 	63.3 	62.8 	63.1 	63.2 	63.2 	64.1 	65.5 	65.6 b	65.2 	65.1 	63.7 
M_GE60,T,Y20-64,PC,HR	67.4 b	66.4 b	64.0 	64.7 	65.4 	66.8 	68.4 	69.5 	70.0 	68.3 	68.0 	62.4 	60.7 
M_GE60,T,Y20-64,PC,HU	60.3 b	60.9 	61.0 	59.0 	59.6 	60.0 	60.3 	58.9 	57.9 	56.6 	58.2 	57.4 	56.4 
M_GE60,T,Y20-64,PC,IE	49.5 b	44.9 	51.1 b	51.4 	54.7 	57.9 	60.1 	61.6 	61.8 	60.4 	59.5 	55.7 	52.9 b
M_GE60,T,Y20-64,PC,IS	52.9 b	51.1 	48.0 	46.4 	50.2 	52.8 	52.7 	52.9 	53.4 	52.7 	52.9 	51.3 	50.1 
M_GE60,T,Y20-64,PC,IT	65.7 b	66.5 	66.9 	66.1 	67.5 	68.3 	69.0 	69.6 	71.4 	71.8 	71.5 	70.3 	69.8 
M_GE60,T,Y20-64,PC,LT	56.6 b	56.2 	54.5 	52.5 	50.9 	51.1 	51.5 	52.8 	53.5 	52.3 	52.5 	50.2 	50.5 
M_GE60,T,Y20-64,PC,LU	67.6 b	67.1 	65.2 b	66.7 	60.0 b	62.1 	60.4 	60.0 	61.1 	60.6 	56.9 b	58.0 b	56.6 
M_GE60,T,Y20-64,PC,LV	53.1 b	50.4 	50.5 	49.7 	53.2 	52.4 	51.3 	52.6 	54.1 	53.8 	56.2 	56.1 	54.5 
M_GE60,T,Y20-64,PC,ME	: 	: 	: 	: 	: 	: 	66.5 	67.1 	66.5 	65.9 	66.5 	63.6 	63.4 
M_GE60,T,Y20-64,PC,MK	: 	63.6 	64.1 	62.1 	62.0 	61.6 	61.2 	62.4 	65.2 	65.2 	63.4 	61.8 	62.4 
M_GE60,T,Y20-64,PC,MT	63.8 b	65.9 	64.7 	63.7 	64.1 	61.4 	61.4 	62.1 	61.4 	59.4 	59.0 	57.3 	54.0 
M_GE60,T,Y20-64,PC,NL	56.6 b	57.9 	56.7 	55.1 	54.9 	56.8 b	59.5 b	61.1 	63.0 	63.6 	63.0 	61.8 	60.0 
M_GE60,T,Y20-64,PC,NO	14.5 b	28.1 b	49.3 	53.8 	53.2 	53.6 	54.3 	54.9 	56.1 	56.1 	55.1 	55.1 	55.1 
M_GE60,T,Y20-64,PC,PL	63.4 b	61.1 	59.2 	57.3 	57.0 	57.5 b	59.2 	60.8 	62.7 	62.5 	62.3 	61.1 	60.8 
M_GE60,T,Y20-64,PC,PT	66.8 b	66.5 	65.9 	64.8 	65.1 	65.1 	64.6 b	67.0 	67.8 	67.5 	66.9 	65.1 	63.5 
M_GE60,T,Y20-64,PC,RO	61.4 b	60.7 	61.1 	61.4 	62.4 	65.0 b	65.3 	66.0 	67.8 	69.0 	66.8 	68.2 	67.7 
M_GE60,T,Y20-64,PC,SE	59.9 b	60.0 	58.5 	57.0 	57.3 	56.9 	55.7 	55.9 	55.7 	53.9 	53.6 	52.6 	50.9 
M_GE60,T,Y20-64,PC,SI	66.1 b	66.9 	65.8 	64.4 	65.8 	65.4 	66.4 	67.0 	69.2 	68.3 	66.2 	66.5 	64.8 
M_GE60,T,Y20-64,PC,SK	60.7 b	61.5 	60.1 	58.9 	62.4 	63.1 	64.2 b	65.5 	66.9 	65.3 	63.8 	62.5 	62.0 
M_GE60,T,Y20-64,PC,TR	: 	59.1 	57.5 	55.2 	54.5 	53.5 	52.6 	51.7 	50.5 	48.6 b	48.5 	48.6 	48.5 
M_GE60,T,Y20-64,PC,UK	52.1 b	52.9 	52.6 b	53.1 b	54.5 	55.4 	56.3 	57.0 	57.5 	56.1 	54.7 	53.1 	52.7 
NRP,T,Y20-64,PC,AT	: bc	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NRP,T,Y20-64,PC,BE	0.5 b	0.4 	0.3 	0.4 	0.4 	0.3 	0.2 b	0.1 u	: u	: u	: 	: c	0.1 bu
NRP,T,Y20-64,PC,BG	0.4 b	0.5 	0.2 u	0.1 bu	: u	: bu	: bu	: u	0.1 u	: u	: u	: u	: u
NRP,T,Y20-64,PC,CH	0.5 b	0.6 	0.4 	0.5 	0.5 	0.9 b	0.7 	0.6 	0.6 	0.5 	0.5 	0.4 	0.5 
NRP,T,Y20-64,PC,CY	: 	: c	: u	: c	: bu	: 	: 	: c	: c	: u	: c	: 	: 
NRP,T,Y20-64,PC,CZ	0.2 b	0.3 	0.2 	0.2 	0.5 	0.4 	0.2 b	0.2 	0.2 	0.1 	0.1 	0.1 	0.1 
NRP,T,Y20-64,PC,DE	1.5 b	1.6 	1.3 	1.6 	1.7 	1.8 b	2.5 b	2.4 	2.5 	2.2 	2.5 	3.3 	2.8 
NRP,T,Y20-64,PC,DK	0.5 b	0.4 	0.9 	1.2 	0.4 	0.5 	0.5 	0.5 	0.4 	0.4 	0.2 	: bu	: bc
