currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,G,S1,S1,BAL,WRL_REST,FI	9248.0 	9033.5 	10361.4 	11865.5 	10766.7 	14657.0 	13737.3 	13108.1 	11007.0 	9574.9 	7147.7 	13113.0 	15756.0 	12961.0 	9591.0 	7433.0 	2377.0 	2471.0 	2561.0 	1790.0 	1777.0 	345.0 	1709.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,FR	: 	: 	: 	: 	21384.0 	660.0 	5113.0 	9751.0 	6404.0 	-28.0 	-15715.0 	-21968.0 	-33435.0 	-48822.0 	-36667.0 	-48187.0 	-64906.0 	-54476.0 	-43032.0 	-42667.0 	-28865.0 	-34549.0 	-48175.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,HR	: 	: 	: 	: 	: 	-28917.0 	-36967.0 	-45882.0 	-53773.0 	-51686.0 	-56529.0 	-62094.0 	-70392.0 	-77850.0 	-54716.0 	-43159.0 	-47443.0 	-47344.0 	-49799.0 	-49681.0 	-53129.0 	-55627.0 	-61550.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,HU	-276907.1 	-407890.7 	-416506.5 	-710246.3 	-867188.2 	-1221258.7 	-1016235.7 	-752300.7 	-1016650.5 	-914124.2 	-492885.6 	-547298.6 	-100912.8 	-221257.0 	736236.0 	719115.0 	813989.0 	844036.4 	991555.0 	657743.2 	1258702.7 	1439710.6 	590029.7 
MIO_NAC,G,S1,S1,BAL,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	36983.0 	32955.0 	34586.9 	32184.8 	27195.0 	28697.9 	32623.0 	38753.0 	41287.0 	41255.0 	36895.0 	34505.0 	40731.0 	113394.0 	106088.0 	107640.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,IT	31652.0 	42124.0 	33982.0 	31042.0 	20510.0 	9399.0 	16845.0 	13439.0 	9213.0 	7722.0 	-533.0 	-11072.0 	1807.0 	-2902.0 	-426.0 	-21732.0 	-18581.0 	16828.0 	36099.0 	47407.0 	51105.0 	57665.0 	55772.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2169.8 	-2296.1 	-3318.9 	-4407.6 	-4366.6 	-1167.3 	-1648.3 	-2065.0 	-1102.5 	-919.9 	-936.8 	-1986.9 	-1768.4 	-1949.5 
MIO_NAC,G,S1,S1,BAL,WRL_REST,LU	: 	: 	: 	: 	: 	: 	: 	-2012.0 	-2486.0 	-2906.0 	-3507.0 	-2939.0 	-2718.0 	-2967.0 	-1607.0 	-1558.0 	-2100.0 	-1532.0 	-727.0 	-63.0 	-1363.0 	-2074.0 	-2995.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,LV	: 	: 	: 	: 	: 	-965.0 	-1290.0 	-1410.0 	-1855.0 	-2331.0 	-2581.0 	-4186.0 	-5153.0 	-4198.0 	-1581.0 	-1542.0 	-2512.0 	-2637.0 	-2621.0 	-2379.0 	-2198.0 	-1885.0 	-2308.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-682.9 	-923.8 	-853.1 	-920.5 	-1246.0 	-1116.9 	-1251.2 	-1207.8 	-1099.5 	-1134.3 	-1212.3 	-1931.6 	-1910.5 	-1358.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	48046.0 	53787.0 	57594.0 	60354.0 	60837.0 	53216.0 	60229.0 	64921.0 	71096.0 	75347.0 	75918.0 	65447.0 	65704.0 	70883.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	-30233.0 	-17962.0 	-30662.0 	-62173.0 	-82538.0 	-33187.0 	-43677.0 	-54790.0 	-34128.0 	-1345.0 	-13634.0 	9326.0 	12834.0 	6100.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,PT	: 	-8226.0 	-10048.0 	-12596.0 	-14764.0 	-17148.0 	-17376.0 	-15631.0 	-14155.0 	-16994.0 	-18546.0 	-19226.0 	-19994.0 	-23951.0 	-18127.0 	-19265.0 	-14465.0 	-9265.0 	-7986.0 	-9487.0 	-9546.0 	-9645.0 	-12107.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,RO	: 	: 	: 	: 	-3125.0 	-7461.0 	-15291.0 	-17201.0 	-25462.0 	-36310.0 	-41737.0 	-56354.0 	-70171.0 	-80833.0 	-38255.0 	-40479.0 	-39727.0 	-41342.0 	-25726.0 	-29012.0 	-34614.0 	-41533.0 	-54489.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,SE	130903.0 	135071.0 	158910.0 	153378.0 	158742.0 	168714.0 	187584.0 	173727.0 	179539.0 	208996.0 	192588.0 	213259.0 	198167.0 	192129.0 	149554.0 	146508.0 	144932.0 	148853.0 	120987.0 	119306.0 	116313.0 	102245.0 	106245.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,SI	-979.0 	-938.0 	-931.0 	-951.0 	-1362.0 	-1335.0 	-873.0 	-379.0 	-675.0 	-1153.0 	-1072.0 	-923.0 	-1412.0 	-2113.0 	-424.0 	-749.0 	-974.0 	-81.3 	708.3 	1181.3 	1476.1 	1536.5 	1561.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2113.6 	-2812.8 	-2843.8 	-1031.4 	-1217.9 	231.9 	-79.9 	-35.9 	2505.8 	2907.6 	2757.7 	1049.1 	1637.2 	689.8 
MIO_NAC,G,S1,S1,BAL,WRL_REST,UK	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	-118990.0 	-122071.0 	-117810.0 	-132652.0 	-137035.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,AT	-2507.0 	-3162.0 	-1799.0 	-419.0 	915.0 	2579.0 	3647.0 	8270.0 	6415.0 	7453.0 	8591.0 	10946.0 	13782.0 	13782.0 	10363.0 	8962.0 	7030.0 	7509.0 	9194.0 	10917.0 	12475.0 	12649.0 	11023.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,BE	: 	: 	: 	: 	: 	7055.9 	8238.9 	11804.1 	9960.9 	10604.1 	7621.8 	7169.3 	5982.2 	-4737.0 	3722.0 	4691.0 	-2478.0 	-3099.0 	205.0 	77.0 	4793.0 	4645.0 	4367.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-11855.2 	-14245.1 	-5598.7 	-2251.0 	138.3 	-2744.4 	-546.1 	-455.7 	745.5 	4060.3 	3910.4 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2427.0 	-1000.0 	-1402.0 	-578.0 	-290.0 	331.0 	361.0 	142.0 	-111.0 	-689.0 
