na_item,co_nco,sector,finpos,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
F,CO,S121,LIAB,PC_GDP,MT	44.7 e	44.6 e	43.1 e	42.3 e	46.0 e	40.7 e	41.5 e	45.7 e	47.4 e	42.0 	42.1 	41.9 	41.4 	41.6 	49.7 	49.9 	47.9 	46.4 	45.3 	51.4 	45.1 	51.3 	73.4 
F,CO,S121,LIAB,PC_GDP,NL	13.2 	13.1 	11.0 	10.4 	10.7 	9.7 	8.2 	9.2 	9.8 	10.4 	11.5 	11.6 	16.6 	17.8 	21.0 	20.9 	41.1 	39.2 	24.3 	20.9 	30.7 	41.2 	42.2 p
F,CO,S121,LIAB,PC_GDP,PL	15.7 	16.3 	16.8 	18.9 	17.5 	15.2 	14.4 	12.9 	11.6 	10.8 	13.3 	13.2 	14.5 	14.3 	16.1 	17.4 	17.4 	18.9 	19.1 	18.7 	18.2 	23.0 	19.8 
F,CO,S121,LIAB,PC_GDP,PT	22.9 	20.5 	19.8 	17.9 	20.0 	19.2 	18.2 	18.1 	18.9 	18.9 	21.7 	18.6 	21.0 	27.2 	34.4 	54.3 	60.7 	69.1 	63.7 	59.3 	62.9 	71.7 	76.9 
F,CO,S121,LIAB,PC_GDP,RO	39.6 e	29.0 e	15.4 e	12.5 	12.8 	12.5 	12.5 	14.1 	13.1 	18.6 	22.9 	27.1 	23.3 	21.5 	26.9 	30.0 	30.2 	28.9 	25.6 	23.9 	22.9 	23.4 	21.8 
F,CO,S121,LIAB,PC_GDP,SE	14.3 	11.6 	9.9 	10.0 	10.2 	9.8 	9.5 	7.8 	7.0 	6.6 	7.2 	6.4 	6.4 	20.4 	21.5 	9.3 	9.5 	9.4 	11.4 	12.8 	15.8 	19.3 	19.0 
F,CO,S121,LIAB,PC_GDP,SI	11.3 	11.7 	17.2 	16.2 	15.9 	16.6 	21.0 	26.9 	26.0 	23.6 	23.5 	17.0 	23.0 	23.6 	26.5 	22.5 	26.6 	33.5 	28.4 	27.5 	25.2 	30.3 	32.8 
F,CO,S121_S122_S123,LIAB,PC_GDP,AT	174.0 	179.0 	181.8 	180.2 	192.4 	198.7 	199.6 	194.5 	202.8 	215.6 	237.8 	245.1 	258.7 	266.3 	261.0 	262.0 	251.8 	244.1 	233.4 	221.5 	212.2 	204.5 	198.5 
F,CO,S121_S122_S123,LIAB,PC_GDP,BE	248.5 	253.2 	253.4 	257.0 	260.2 	243.9 	260.0 	251.4 	262.7 	278.6 	314.1 	323.9 	347.8 	305.4 	289.7 	271.0 	261.7 	239.8 	234.4 	241.7 	240.0 	241.8 	239.6 
F,CO,S121_S122_S123,LIAB,PC_GDP,BG	108.7 	184.0 	69.6 	54.4 	68.5 	75.7 	73.6 	70.8 	80.2 	95.6 	105.5 	134.1 	149.1 	127.0 	128.9 	115.9 	111.8 	120.0 	122.6 	122.9 	117.7 	125.1 	114.6 
