currency,bop_item,sector10,sectpart,partner,stk_flow,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	407.0 	434.0 	-17.0 	-5501.0 	-387.0 	-7490.0 	-7034.0 	-4575.0 	-2936.0 	-3641.0 	-7597.0 	-7828.0 	657.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	204.0 	-382.0 	-1146.0 	: c	-4045.0 	-3098.0 	-3122.0 	-2485.0 	-2460.0 	-2150.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-257.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,SE	: 	: 	: 	-352.0 	7839.0 	26781.0 	15172.0 	-19591.0 	-21810.0 	-27652.0 	-7958.0 	-18393.0 	-4074.0 	63482.0 	38997.0 	40434.0 	61817.0 	36234.0 	18273.0 	114843.0 	98981.0 	106785.0 	58349.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-151.0 	-113.0 	-189.0 	-105.0 	-132.0 	-75.9 	-86.9 	-99.5 	-105.8 	-46.6 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-172.2 	-269.6 	-192.2 	-161.7 	-139.7 
MIO_NAC,FA__F__F7,S12M,S1,WRL_REST,N_LE,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	: c	: c
MIO_NAC,FA__F__F7,S12M,S1,WRL_REST,N_LE,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	: c	: c	: c	-121.0 	-1978.0 	298.0 	1672.0 
MIO_NAC,FA__F__F7,S12M,S1,WRL_REST,N_LE,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	5.7 	6.0 	-6.2 	1.8 	-11.1 	4.0 
MIO_NAC,FA__F__F7,S12M,S1,WRL_REST,N_LE,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	467.0 	327.0 	358.0 	264.0 	: c	: c	: c	: c
MIO_NAC,FA__F__F7,S12M,S1,WRL_REST,N_LE,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	-460.0 	-605.0 	-1023.0 	-652.0 	-805.0 	-805.0 
MIO_NAC,FA__F__F7,S12M,S1,WRL_REST,N_LE,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28012.0 	23732.0 	23582.0 	14638.0 	12052.0 	9094.0 
MIO_NAC,FA__F__F7,S12M,S1,WRL_REST,N_LE,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	76298.0 	32613.0 	-6648.0 	93736.0 	34213.0 	24149.0 	100223.0 	102616.0 	52829.0 	114628.0 	79678.0 	68390.0 	62097.0 
MIO_NAC,FA__F__F7,S12M,S1,WRL_REST,N_LE,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.2 	3.3 	0.0 	0.5 	2.7 
MIO_NAC,FA__F__F7,S12M,S1,WRL_REST,N_LE,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80.0 	59.0 	96.0 	86.0 	77.0 	75.0 	66.0 	24.0 	6.0 	3.0 
MIO_NAC,FA__F__F7,S12M,S1,WRL_REST,N_LE,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1996.0 	792.0 	-81.0 	-148.0 	35.0 
MIO_NAC,FA__F__F7,S12M,S1,WRL_REST,N_LE,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	63.0 	163.0 	: c
MIO_NAC,FA__F__F7,S12M,S1,WRL_REST,N_LE,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	-37489.0 	-53024.0 	-37563.0 	-40721.0 	-41913.0 
MIO_NAC,FA__F__F7,S12M,S1,WRL_REST,N_LE,HR	: 	: 	: 	: 	: 	: c	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
MIO_NAC,FA__F__F7,S12M,S1,WRL_REST,N_LE,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18542.4 	23663.3 	38891.4 	36407.8 	40209.7 	49679.3 	35267.0 
