unit,s_adj,bop_item,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NSA,IN1,DEB,WRL_REST,LV	: 	: 	: 	: 	: 	1.9 	2.1 	2.0 	2.9 	5.2 	5.9 	8.0 	8.5 	7.5 	-0.6 	4.3 	5.6 	6.3 	5.7 	5.3 	6.0 	5.8 	6.0 
PC_GDP,NSA,IN1,DEB,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.6 	49.9 	84.5 	145.5 	166.7 	132.5 	106.9 	151.1 	145.4 	137.8 	127.3 	113.5 	103.5 	93.7 
PC_GDP,NSA,IN1,DEB,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.9 	28.4 	30.4 	40.0 	34.0 	29.0 	34.1 	35.2 	32.8 	33.6 	38.4 	37.7 	38.2 	32.7 
PC_GDP,NSA,IN1,DEB,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.4 	4.6 	5.5 	6.2 	4.5 	5.3 	5.9 	5.9 	6.1 	6.0 	6.2 	6.0 	6.8 	6.5 
PC_GDP,NSA,IN1,DEB,WRL_REST,PT	: 	4.3 	4.8 	5.2 	5.0 	6.4 	7.6 	5.9 	5.7 	6.2 	7.1 	10.2 	11.0 	11.1 	9.6 	10.7 	9.6 	7.9 	6.4 	6.8 	7.1 	6.9 	6.5 
PC_GDP,NSA,IN1,DEB,WRL_REST,RO	: 	: 	: 	: 	1.6 	1.6 	1.8 	1.9 	2.9 	4.7 	4.4 	4.9 	4.9 	4.0 	2.6 	2.3 	2.7 	3.3 	3.9 	2.9 	3.8 	4.3 	4.2 
PC_GDP,NSA,IN1,DEB,WRL_REST,SE	7.0 	6.5 	6.8 	7.5 	7.6 	8.9 	8.6 	7.4 	6.5 	8.2 	9.3 	10.4 	11.6 	11.1 	9.5 	9.6 	9.4 	9.1 	8.6 	8.7 	8.4 	8.1 	7.4 
PC_GDP,NSA,IN1,DEB,WRL_REST,SI	0.7 	1.0 	1.3 	1.5 	1.4 	1.9 	1.9 	2.5 	2.6 	3.1 	3.4 	4.3 	5.9 	6.8 	4.1 	3.5 	4.3 	4.0 	3.6 	4.0 	6.7 	6.7 	6.0 
PC_GDP,NSA,IN1,DEB,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.9 	9.7 	10.1 	8.4 	7.0 	5.1 	6.9 	8.0 	6.2 	5.1 	5.8 	6.7 	6.6 	6.3 
PC_GDP,NSA,IN1,DEB,WRL_REST,UK	: 	: 	: 	: 	10.7 	12.3 	12.0 	9.6 	9.1 	10.0 	12.8 	17.1 	20.6 	19.5 	12.6 	11.2 	12.1 	11.4 	11.2 	10.0 	9.4 	9.5 	10.0 
PC_GDP,NSA,IN2,DEB,WRL_REST,AT	1.7 	1.7 	1.9 	1.8 	1.8 	1.7 	1.8 	1.7 	1.6 	1.6 	1.7 	1.7 	1.6 	1.7 	1.7 	1.8 	1.8 	1.8 	2.0 	1.8 	2.3 	2.4 	2.2 
PC_GDP,NSA,IN2,DEB,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	3.6 	3.5 	3.6 	3.3 	3.0 	3.2 	3.5 	3.4 	3.4 	3.6 	3.7 	3.5 	3.8 	3.8 	3.5 
PC_GDP,NSA,IN2,DEB,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.7 	2.0 	1.6 	1.4 	1.3 	1.5 	1.5 	1.5 	1.7 	1.5 	1.2 
PC_GDP,NSA,IN2,DEB,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.3 	3.3 	4.3 	3.9 	3.6 	3.7 	4.1 	4.3 	4.2 	4.0 
PC_GDP,NSA,IN2,DEB,WRL_REST,CZ	0.2 	0.3 	0.8 	0.8 	1.1 	0.9 	0.7 	0.7 	1.1 	1.2 	1.6 	1.5 	1.5 	1.6 	1.8 	1.8 	1.9 	2.0 	2.1 	2.0 	1.9 	2.0 	2.1 
PC_GDP,NSA,IN2,DEB,WRL_REST,DE	2.4 	2.4 	2.6 	2.6 	2.7 	2.9 	3.2 	3.2 	3.7 	3.0 	3.2 	3.0 	3.0 	3.1 	3.1 	3.2 	3.2 	3.3 	3.7 	3.5 	3.7 	3.5 	3.9 
PC_GDP,NSA,IN2,DEB,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.8 	2.7 	2.7 	2.6 	2.9 	2.8 	2.8 	2.9 	3.1 	2.8 	2.8 	2.6 	2.6 
PC_GDP,NSA,IN2,DEB,WRL_REST,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.1 	2.6 	2.5 	2.0 	1.6 	1.7 	1.9 	1.9 	1.9 	2.3 	2.1 	2.2 	2.3 	2.0 
PC_GDP,NSA,IN2,DEB,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	1.2 	1.3 	1.2 	1.7 	1.4 	1.9 	1.5 	1.6 	1.8 	1.7 	1.7 	1.6 	1.6 	1.4 	1.4 	1.4 
PC_GDP,NSA,IN2,DEB,WRL_REST,ES	1.2 	1.4 	1.6 	1.6 	1.6 	1.6 	1.7 	1.8 	1.9 	1.9 	2.1 	2.3 	2.2 	2.3 	2.4 	2.3 	2.5 	2.4 	2.5 	2.4 	2.3 	2.4 	2.3 
PC_GDP,NSA,IN2,DEB,WRL_REST,FI	: 	: 	: 	: 	1.8 	1.7 	1.8 	1.7 	1.8 	1.6 	1.7 	1.5 	1.4 	1.5 	1.6 	1.6 	1.7 	1.7 	1.8 	1.7 	1.8 	1.7 	1.4 
PC_GDP,NSA,IN2,DEB,WRL_REST,FR	: 	: 	: 	: 	1.9 	2.2 	2.2 	2.2 	2.3 	2.3 	2.4 	2.4 	2.4 	2.4 	2.6 	2.5 	2.6 	2.8 	2.8 	3.3 	3.3 	3.3 	3.1 
PC_GDP,NSA,IN2,DEB,WRL_REST,HR	: 	: 	: 	: 	: 	1.0 	0.9 	1.0 	0.9 	1.1 	1.2 	1.3 	1.2 	1.2 	1.2 	1.2 	1.2 	1.3 	1.8 	2.4 	2.3 	2.3 	2.2 
PC_GDP,NSA,IN2,DEB,WRL_REST,HU	: 	: 	: 	: 	0.6 	0.7 	0.7 	0.9 	0.7 	2.2 	2.8 	3.1 	3.2 	2.0 	1.8 	1.9 	2.0 	2.5 	2.8 	2.6 	3.0 	2.9 	2.4 
PC_GDP,NSA,IN2,DEB,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	5.2 	3.9 	3.1 	3.0 	3.0 	2.8 	4.6 	5.3 	5.1 	5.1 	3.7 	3.4 	2.9 	2.8 	3.0 	3.3 
PC_GDP,NSA,IN2,DEB,WRL_REST,IT	: 	: 	: 	: 	1.3 	1.2 	1.3 	1.5 	1.5 	1.8 	2.0 	2.0 	2.1 	2.0 	2.1 	2.0 	2.0 	2.1 	2.0 	1.9 	1.8 	1.9 	1.8 
PC_GDP,NSA,IN2,DEB,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.7 	1.7 	2.0 	2.0 	2.2 	2.7 	2.6 	3.4 	3.3 	2.7 	2.4 	2.2 	2.0 	1.7 
PC_GDP,NSA,IN2,DEB,WRL_REST,LU	10.5 	12.3 	12.7 	13.0 	12.8 	15.1 	14.7 	21.4 	17.6 	17.0 	16.2 	14.4 	14.0 	16.5 	18.2 	16.1 	15.2 	16.6 	15.9 	15.3 	14.9 	14.8 	14.7 
PC_GDP,NSA,IN2,DEB,WRL_REST,LV	: 	: 	: 	: 	: 	2.1 	2.2 	2.4 	3.0 	3.7 	4.2 	5.7 	5.0 	3.7 	4.0 	3.0 	3.1 	3.2 	3.4 	3.4 	3.1 	2.9 	2.7 
PC_GDP,NSA,IN2,DEB,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.2 	32.4 	57.7 	82.0 	90.7 	100.3 	18.1 	11.4 	12.4 	10.4 	9.3 	8.0 	8.0 	: 
PC_GDP,NSA,IN2,DEB,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.9 	3.2 	3.3 	3.4 	3.3 	2.9 	3.2 	3.2 	3.3 	3.6 	3.3 	3.3 	2.5 	2.5 
PC_GDP,NSA,IN2,DEB,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.3 	1.5 	1.5 	1.5 	1.5 	2.0 	1.4 	1.4 	1.6 	1.6 	1.5 	1.5 	1.6 	1.3 
PC_GDP,NSA,IN2,DEB,WRL_REST,PT	: 	1.8 	1.6 	1.7 	1.7 	1.7 	1.8 	2.0 	2.0 	1.9 	2.2 	2.3 	2.1 	2.2 	2.4 	2.5 	2.6 	2.7 	2.7 	2.6 	2.4 	2.2 	2.1 
PC_GDP,NSA,IN2,DEB,WRL_REST,RO	: 	: 	: 	: 	0.5 	0.6 	0.7 	0.6 	0.6 	0.6 	0.6 	0.7 	1.8 	2.0 	1.9 	1.7 	1.6 	1.6 	1.8 	1.9 	1.8 	1.5 	1.0 
PC_GDP,NSA,IN2,DEB,WRL_REST,SE	2.0 	2.0 	2.0 	2.0 	2.1 	2.1 	2.3 	2.3 	2.1 	2.1 	2.5 	2.5 	2.3 	2.6 	2.4 	2.5 	2.5 	2.9 	2.8 	2.8 	2.7 	2.4 	2.7 
PC_GDP,NSA,IN2,DEB,WRL_REST,SI	0.7 	0.8 	0.7 	0.8 	1.0 	1.1 	1.3 	1.8 	1.7 	2.2 	2.6 	2.8 	3.0 	2.3 	2.8 	2.7 	2.9 	2.8 	2.7 	2.6 	2.8 	2.7 	2.6 
PC_GDP,NSA,IN2,DEB,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.0 	3.2 	3.2 	3.3 	3.7 	2.9 	2.0 	1.9 	2.0 	2.6 	2.4 	2.3 	2.1 	2.2 
PC_GDP,NSA,IN2,DEB,WRL_REST,UK	: 	: 	: 	: 	1.4 	1.5 	1.2 	1.5 	1.6 	1.6 	1.7 	2.0 	1.6 	1.9 	1.8 	2.1 	2.0 	2.1 	2.5 	2.2 	2.1 	2.1 	2.0 
PC_GDP,NSA,S,DEB,WRL_REST,AT	7.9 	8.4 	8.8 	8.7 	8.3 	8.8 	9.3 	9.4 	9.6 	9.7 	10.1 	10.4 	10.5 	10.5 	9.7 	9.9 	10.3 	10.8 	11.9 	12.5 	12.5 	12.6 	13.3 
PC_GDP,NSA,S,DEB,WRL_REST,BE	: 	: 	: 	: 	: 	14.9 	15.4 	15.0 	14.3 	14.1 	14.0 	13.8 	15.5 	17.2 	16.9 	18.1 	18.1 	19.7 	20.0 	22.2 	23.5 	23.3 	23.4 
PC_GDP,NSA,S,DEB,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.0 	12.2 	10.7 	6.7 	6.2 	7.7 	7.7 	9.9 	8.8 	9.6 	10.0 
PC_GDP,NSA,S,DEB,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.7 	19.4 	20.7 	20.4 	21.3 	25.7 	28.1 	30.8 	30.1 	30.9 
PC_GDP,NSA,S,DEB,WRL_REST,CZ	8.4 	9.5 	9.0 	8.7 	9.2 	9.0 	8.4 	7.8 	7.5 	8.0 	8.0 	8.2 	8.0 	7.8 	7.8 	8.6 	8.9 	9.8 	9.7 	10.8 	10.5 	10.2 	10.0 
PC_GDP,NSA,S,DEB,WRL_REST,DE	4.9 	5.2 	5.8 	6.0 	6.4 	7.0 	7.3 	6.9 	6.9 	6.9 	7.3 	7.5 	7.5 	7.7 	7.3 	7.7 	7.9 	8.3 	8.7 	8.5 	8.7 	8.8 	9.0 
PC_GDP,NSA,S,DEB,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.5 	16.6 	17.7 	18.8 	17.2 	17.1 	18.1 	18.9 	18.6 	18.3 	19.3 	19.6 	19.1 
PC_GDP,NSA,S,DEB,WRL_REST,EE	12.8 	12.4 	14.7 	16.6 	16.4 	15.8 	15.8 	15.5 	14.3 	15.0 	16.2 	15.0 	14.3 	14.7 	13.3 	15.1 	16.4 	17.4 	18.7 	18.3 	17.3 	17.9 	17.6 
PC_GDP,NSA,S,DEB,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	7.1 	6.3 	6.6 	6.6 	6.6 	7.0 	7.6 	6.6 	7.3 	7.3 	7.2 	6.8 	7.2 	6.2 	5.6 	6.1 
PC_GDP,NSA,S,DEB,WRL_REST,ES	4.1 	4.2 	4.6 	4.8 	5.1 	5.5 	5.6 	5.3 	5.0 	5.2 	5.3 	5.5 	5.4 	5.4 	4.7 	4.8 	4.8 	4.8 	4.6 	5.1 	5.5 	5.6 	5.8 
PC_GDP,NSA,S,DEB,WRL_REST,FI	7.4 	7.5 	7.5 	7.8 	6.9 	8.0 	7.7 	7.6 	7.6 	7.9 	9.2 	8.9 	9.1 	11.2 	11.2 	11.1 	10.9 	12.3 	11.9 	11.4 	12.4 	12.4 	12.3 
PC_GDP,NSA,S,DEB,WRL_REST,FR	: 	: 	: 	: 	6.1 	6.2 	6.3 	6.3 	6.0 	5.9 	6.1 	6.3 	6.3 	6.6 	6.5 	6.9 	7.2 	7.6 	8.1 	8.9 	9.6 	9.7 	9.5 
PC_GDP,NSA,S,DEB,WRL_REST,HR	: 	: 	: 	: 	: 	9.0 	8.9 	9.2 	9.1 	9.0 	8.0 	7.6 	7.0 	7.6 	7.1 	7.0 	7.1 	7.2 	7.0 	6.7 	7.3 	7.6 	8.4 
PC_GDP,NSA,S,DEB,WRL_REST,HU	8.5 	8.7 	8.7 	8.7 	9.0 	10.3 	10.4 	10.2 	10.9 	10.0 	10.2 	10.5 	11.3 	11.7 	12.8 	12.1 	12.6 	12.3 	13.0 	13.4 	13.8 	13.5 	13.2 
PC_GDP,NSA,S,DEB,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	33.7 	33.6 	34.1 	34.8 	35.2 	36.5 	41.7 	45.4 	49.5 	50.1 	52.8 	49.0 	54.0 	60.2 	72.8 	60.5 
PC_GDP,NSA,S,DEB,WRL_REST,IT	5.1 	4.4 	4.6 	5.0 	4.9 	5.1 	5.3 	5.3 	5.0 	4.9 	5.1 	5.5 	5.8 	5.5 	5.0 	5.3 	5.2 	5.2 	5.2 	5.4 	5.5 	5.6 	5.9 
PC_GDP,NSA,S,DEB,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.4 	8.0 	8.5 	8.6 	8.8 	8.2 	8.2 	8.8 	10.2 	11.5 	11.5 	11.4 	11.8 	12.5 
PC_GDP,NSA,S,DEB,WRL_REST,LU	41.6 	43.5 	47.5 	51.3 	54.1 	64.3 	63.9 	55.8 	56.2 	66.6 	73.5 	81.0 	86.4 	82.1 	76.6 	85.6 	89.3 	100.0 	112.1 	121.7 	131.2 	127.3 	125.7 
PC_GDP,NSA,S,DEB,WRL_REST,LV	: 	: 	: 	: 	: 	7.3 	6.8 	6.4 	7.6 	8.1 	9.4 	9.4 	9.0 	9.3 	9.2 	9.8 	9.9 	9.7 	9.3 	8.7 	9.4 	9.7 	9.8 
PC_GDP,NSA,S,DEB,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	46.9 	51.0 	63.6 	66.2 	87.8 	98.4 	96.6 	98.6 	100.5 	98.6 	92.5 	84.8 	82.6 	77.3 
PC_GDP,NSA,S,DEB,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.3 	14.5 	14.3 	14.3 	14.8 	15.0 	15.9 	16.7 	17.2 	17.2 	18.1 	24.0 	19.2 	19.1 
PC_GDP,NSA,S,DEB,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.2 	5.1 	5.8 	5.7 	5.7 	5.5 	6.5 	6.4 	6.7 	6.6 	6.7 	6.9 	7.3 	7.3 
PC_GDP,NSA,S,DEB,WRL_REST,PT	: 	5.3 	5.3 	5.5 	5.2 	5.4 	5.0 	4.8 	4.6 	4.7 	4.8 	5.4 	5.6 	5.9 	5.6 	6.0 	6.4 	6.3 	6.4 	7.0 	7.0 	7.1 	7.5 
PC_GDP,NSA,S,DEB,WRL_REST,RO	: 	: 	: 	: 	5.0 	5.4 	5.3 	5.1 	5.0 	5.1 	5.5 	5.7 	5.1 	5.6 	6.1 	5.0 	5.3 	5.5 	6.1 	6.1 	6.1 	6.0 	6.6 
PC_GDP,NSA,S,DEB,WRL_REST,SE	6.3 	6.4 	7.4 	8.0 	8.6 	9.4 	10.1 	9.3 	9.1 	9.3 	10.1 	10.1 	10.6 	11.3 	11.1 	10.4 	10.4 	10.7 	11.1 	12.0 	12.4 	12.1 	12.7 
PC_GDP,NSA,S,DEB,WRL_REST,SI	7.2 	7.4 	7.1 	7.2 	7.1 	7.4 	7.4 	7.6 	7.6 	7.8 	8.1 	8.5 	9.1 	9.6 	9.1 	9.5 	9.5 	10.0 	9.9 	10.3 	10.3 	10.5 	10.6 
PC_GDP,NSA,S,DEB,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.4 	11.4 	10.7 	10.1 	10.3 	8.8 	8.1 	7.8 	7.7 	8.7 	8.8 	9.0 	9.7 	9.8 
PC_GDP,NSA,S,DEB,WRL_REST,UK	: 	: 	: 	: 	6.1 	6.3 	6.5 	6.6 	6.8 	6.7 	6.9 	7.1 	7.0 	7.5 	7.7 	7.6 	7.4 	7.4 	7.6 	7.3 	7.5 	7.9 	8.1 
