unit,tra_mode,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC,RAIL_IWW_AVD,MT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC,RAIL_IWW_AVD,NL	49.2 	49.3 	51.8 	50.9 	47.0 	51.6 	51.8 	53.3 	51.8 	51.8 	52.0 	50.6 
PC,RAIL_IWW_AVD,NO	15.7 	15.8 	16.4 	15.6 	16.4 	15.4 	15.8 	14.8 	13.3 	13.7 	12.9 	13.0 
PC,RAIL_IWW_AVD,PL	36.7 	37.2 	36.4 	34.0 	28.9 	29.6 	30.0 	27.7 	26.5 	26.6 	25.6 	24.8 
PC,RAIL_IWW_AVD,PT	9.2 	9.1 	9.1 	9.7 	9.4 	10.9 	10.9 	12.8 	12.7 	12.8 	14.1 	14.5 
PC,RAIL_IWW_AVD,RO	48.4 e	47.5 e	46.5 e	48.6 e	47.6 	63.1 	62.9 	60.6 	59.7 	59.2 	62.0 	59.7 
PC,RAIL_IWW_AVD,SE	32.5 	32.3 	32.7 	31.9 	33.3 	35.6 	34.8 	35.8 	33.7 	30.4 	29.6 	29.5 
PC,RAIL_IWW_AVD,SI	30.8 	29.6 	29.9 	29.4 	27.8 	31.9 	34.0 	32.8 	34.7 	36.0 	35.0 	33.3 
PC,RAIL_IWW_AVD,SK	47.6 	49.3 	46.7 	45.1 	40.4 	44.1 	42.7 	41.3 	43.6 	42.9 	39.9 	38.3 
PC,RAIL_IWW_AVD,UK	11.4 	11.4 	10.7 	11.2 	11.8 	11.0 	11.8 	11.7 	12.9 	13.0 	10.5 	8.5 
PC,ROAD,AT	61 	60.8 	61.7 	62.9 	64.4 	63 	63.5 	63.7 	64.1 	63.6 	65 	65.5 
PC,ROAD,BE	73.8 e	72.8 e	72.9 	72.7 	76.7 	73.4 	73 	72.2 e	73.1 e	73 e	72.2 e	73.1 e
PC,ROAD,BG	50.2 e	49.5 e	48.1 e	48.2 e	50.5 	49.4 	56.1 	52.9 	56 	54.9 	54.7 	55.7 
PC,ROAD,CH	66.3 e	65.1 e	64.8 e	64.5 	66.4 	66.1 	64.7 	65.3 	63.8 	63.8 	62 	62.5 
PC,ROAD,CY	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 
PC,ROAD,CZ	68.4 	68 	67.5 	67.8 	69.5 	69.8 	69.8 	69.4 	71.7 	71.7 	73.5 	73.5 
PC,ROAD,DE	69.9 	69.8 	69.7 	70 	71.8 	70.5 	71.3 	70.8 	70.7 	71.3 	71.3 	72.4 
PC,ROAD,DK	89.5 	90.3 	91.2 	91 	90.9 	88.5 	87.6 	89.1 	88.7 	88.8 	87.8 	88.9 
PC,ROAD,EE	20.1 	21.6 	25.8 	31.8 	25.9 	24.6 	28.4 	33.1 	36.3 	44.8 	47.6 	57.1 
PC,ROAD,EL	97.3 	97.8 	96.7 	97.1 	97.9 	97.8 	98.2 	98.5 	98.6 	98.3 	98.4 	98.7 
PC,ROAD,ES	94.8 	95 	95.5 	95.2 	96 	95.4 	95 	94.7 	94.7 	94.1 	94.2 	94.7 
PC,ROAD,EU28	75.6 e	75.5 e	75.5 e	75.5 e	77 	75.7 	75.1 	74.7 e	74.9 e	74.9 e	75.3 e	76.4 e
PC,ROAD,FI	74.7 	70.4 	72 	72.6 	74 	72.9 	72.2 	71 	69.5 	68.8 	72.6 	72.9 
PC,ROAD,FR	85.6 	85.8 	85.9 	85.9 	86.5 	87.5 	86.3 	86.2 	86.4 	86.3 	85.4 	86.3 
PC,ROAD,HR	73.9 e	72.3 e	71.2 e	71.4 	71.6 	69 	71.2 	70.5 	73 	72.7 	72.8 	75.5 e
PC,ROAD,HU	66.5 	66.8 	68.1 	69.2 	70.2 	65.5 	65.8 	63.8 	63.3 	63.4 	65.1 	66.2 
PC,ROAD,IE	98.1 	98.7 	99.2 	99.3 	99.2 	99.1 	98.9 	99 	98.9 	98.9 	99 	99.1 
PC,ROAD,IT	89.9 	88.7 	88 	88.7 	90.8 	90.7 	88.8 	87.3 	88.1 	86.8 	86.5 	85.5 
PC,ROAD,LT	25.9 	28.3 	28.9 	27 	29.6 	27.2 	26.3 	29.7 	33.4 	31.9 	34.1 	35 
PC,ROAD,LU	71.9 	69.8 	68.5 	77.1 	80.4 	75.5 	78.4 	84 	82.2 	85.5 	85.4 	87.9 
PC,ROAD,LV	15.9 	19 	19.4 	16.6 	14.6 	17.9 	15.8 	15.9 	18.8 	18.8 	20.2 	23.4 
PC,ROAD,MT	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 
PC,ROAD,NL	50.8 	50.8 	48.2 	49.1 	53 	48.4 	48.2 	46.7 	48.2 	48.2 	48 	49.4 
PC,ROAD,NO	84.3 	84.2 	83.6 	84.4 	83.6 	84.6 	84.2 	85.2 	86.7 	86.3 	87.1 	87 
PC,ROAD,PL	63.3 	62.8 	63.6 	66 	71.1 	70.4 	70 	72.3 	73.5 	73.4 	74.4 	75.2 
PC,ROAD,PT	90.8 	91 	90.9 	90.3 	90.6 	89.1 	89.1 	87.2 	87.3 	87.2 	85.9 	85.5 
PC,ROAD,RO	51.6 e	52.5 e	53.5 e	51.4 e	52.4 	36.9 	37.2 	39.4 	40.3 	40.8 	38 	40.3 
PC,ROAD,SE	67.5 	67.8 	67.3 	68.1 	66.7 	64.4 	65.2 	64.2 	66.3 	69.6 	70.4 	70.5 
PC,ROAD,SI	69.2 	70.5 	70.1 	70.6 	72.2 	68.2 	66 	67.2 	65.3 	64 	65 	66.7 
PC,ROAD,SK	52.4 	50.7 	53.3 	54.9 	59.6 	55.9 	57.3 	58.7 	56.4 	57.1 	60.1 	61.7 
PC,ROAD,UK	88.6 	88.6 	89.3 	88.8 	88.3 	89 	88.2 	88.3 	87.1 	87 	89.5 	91.5 
