unit,quantile,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,QU5,BG	3.7 	3.9 	2.7 	0.6 	0.6 	0.8 	1.3 	1.3 	0.7 	0.8 	2.2 b	1.0 
PC,QU5,CH	: 	: 	: 	0.8 	0.7 	0.7 	1.1 	0.5 	0.6 b	0.5 	0.6 	: 
PC,QU5,CY	0.2 	0.0 	0.1 b	0.1 	0.8 	0.2 	0.3 	0.6 	1.2 	0.3 	0.1 	0.1 
PC,QU5,CZ	2.8 	2.2 	5.5 	2.0 	1.8 	1.7 	1.7 	1.5 	1.2 	1.1 	1.1 	0.4 
PC,QU5,DE	: 	: 	: 	: 	4.1 	4.5 	3.8 	4.5 	2.4 	2.9 	2.9 	2.8 
PC,QU5,DK	2.3 	1.3 	4.5 	8.2 	4.7 	1.6 b	1.5 	0.7 	0.5 	0.6 	0.7 	0.3 
PC,QU5,EA18	1.3 e	1.0 e	1.1 e	0.8 e	1.6 	1.6 	1.6 	1.7 	1.4 	1.5 	1.2 	1.2 e
PC,QU5,EA19	1.3 e	1.0 e	1.1 e	0.8 e	1.6 	1.6 	1.6 	1.7 	1.4 	1.5 	1.2 	1.1 e
PC,QU5,EE	0.0 	1.3 	0.4 	0.6 	0.2 	0.7 	0.3 	0.8 	0.1 b	0.0 	0.1 	0.2 
PC,QU5,EL	1.9 	0.0 	2.7 	1.4 	0.2 	1.0 	4.4 	1.6 	8.5 	10.5 	9.0 	8.4 
PC,QU5,ES	0.2 	0.4 	0.7 b	0.5 	0.4 	0.2 	0.1 	0.4 	0.1 	0.2 	0.2 	0.3 
PC,QU5,EU27	1.6 e	1.5 e	1.5 e	1.1 e	1.5 	1.5 	1.6 	1.6 	1.4 	1.5 	1.2 	1.0 e
PC,QU5,EU28	: 	: 	: 	: 	1.5 	1.5 	1.6 	1.6 	1.4 	1.5 	1.2 	1.0 e
PC,QU5,FI	0.6 	0.7 	0.6 	0.7 	0.5 	1.1 	1.0 	1.0 	0.8 	0.6 	0.4 	0.5 
PC,QU5,FR	0.8 	0.8 	0.3 	0.2 	0.2 	0.1 	0.4 	0.1 	0.3 	0.5 	0.3 	0.2 
PC,QU5,HR	: 	: 	: 	: 	0.4 	0.2 	0.1 	0.3 	0.5 	0.0 	0.0 	: 
PC,QU5,HU	1.7 	1.6 	0.8 	0.9 	1.3 	0.9 	2.3 	2.0 	1.4 	1.2 	1.0 	0.7 
PC,QU5,IE	0.1 	0.4 	0.5 	1.1 	1.3 	1.9 	1.7 	0.0 	0.9 	0.8 	0.2 	: 
PC,QU5,IS	6.9 	5.2 	6.3 	3.1 	3.7 	3.3 	2.8 	2.9 	2.2 	1.8 	1.3 p	: 
PC,QU5,IT	1.1 	0.2 	0.9 	0.3 	0.4 	0.3 	0.3 	0.5 	0.5 	0.3 	0.2 	0.1 
PC,QU5,LT	0.3 	0.4 	0.4 	0.8 	0.1 	0.5 	0.4 	0.0 	0.0 	0.0 	0.4 	0.2 
PC,QU5,LU	0.2 	0.2 	0.2 	0.0 	0.0 	0.1 	0.0 	0.2 	0.3 	0.0 	0.6 b	0.5 
PC,QU5,LV	1.1 	2.7 	0.1 	0.6 	0.9 	1.8 	1.6 	0.8 	1.2 	0.7 	0.8 	0.3 
PC,QU5,MK	: 	: 	: 	: 	: 	0.6 	0.7 	0.0 	1.1 	0.5 	0.3 	: 
PC,QU5,MT	0.4 	0.5 	0.9 	0.8 	0.8 	0.5 	0.2 	0.1 	0.2 	0.2 	0.1 	0.0 
PC,QU5,NL	8.9 	7.5 	5.5 	5.2 	5.7 	5.5 	5.2 	5.4 	5.1 	4.0 	0.8 b	0.3 
PC,QU5,NO	1.5 	4.7 	3.9 	3.3 	2.7 	2.8 	2.9 	2.7 	1.1 	2.1 	1.2 	1.4 
PC,QU5,PL	0.9 	0.4 	0.9 	0.6 	0.8 	0.8 	0.9 	1.1 	1.5 	1.2 	0.4 	0.2 
PC,QU5,PT	0.1 	0.5 	0.9 	0.3 	0.1 	0.0 	0.7 	0.3 	0.4 	0.4 	0.2 	0.2 
PC,QU5,RO	: 	2.2 	2.1 	2.4 	3.2 	2.1 	3.9 	3.5 	3.5 	3.3 	2.5 	1.6 
PC,QU5,RS	: 	: 	: 	: 	: 	: 	: 	2.5 	2.7 	2.2 	2.7 	: 
PC,QU5,SE	0.4 	0.3 	0.2 b	0.3 	0.2 	0.0 	0.2 	0.2 	0.1 	0.1 	0.1 	0.1 
PC,QU5,SI	0.3 	0.5 	1.0 	0.4 	0.3 	0.5 	0.3 	0.5 	0.3 	0.4 	0.0 	0.4 
PC,QU5,SK	2.0 	3.8 	0.3 	1.9 	0.6 	0.9 	0.9 	1.0 	1.1 	1.1 	0.5 	0.4 
PC,QU5,TR	3.0 	1.6 	1.5 	1.9 	1.5 	1.6 	1.8 	2.4 	2.3 	2.2 	: 	: 
PC,QU5,UK	2.8 	3.9 	2.9 	2.0 	1.3 	1.5 	1.6 b	1.2 	1.4 	1.7 	1.3 	: 
