na_item,nace_r2,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
SAL_DC,TOTAL,THS_PER,CZ	4503.75 	4519.92 	4479.33 	4336.19 	4204.46 	4154.91 	4141.32 	4123.20 	4035.03 	4052.88 	4180.30 	4234.09 	4329.80 	4444.99 	4336.12 	4251.40 	4230.15 	4255.34 	4295.86 	4333.87 	4418.37 	4499.48 	4581.16 
SAL_DC,TOTAL,THS_PER,DE	34161.00 	34115.00 	34036.00 	34447.00 	35046.00 	35922.00 	35797.00 	35570.00 	35078.00 	35079.00 	34916.00 	35152.00 	35798.00 	36353.00 	36407.00 	36533.00 	37014.00 	37501.00 	37853.00 	38258.00 	38711.00 	39308.00 	39975.00 
SAL_DC,TOTAL,THS_PER,DK	2390.00 	2418.00 	2460.00 	2501.00 	2525.00 	2550.00 	2580.00 	2577.00 	2554.00 	2549.00 	2589.00 	2651.00 	2717.00 	2752.00 	2666.00 	2604.00 	2603.00 	2585.00 	2587.00 	2611.00 	2646.00 	2693.00 	2742.00 
SAL_DC,TOTAL,THS_PER,EE	590.00 	572.30 	570.50 	555.50 	530.40 	534.50 	541.10 	542.30 	548.10 	540.90 	564.10 	589.40 	583.50 	591.00 	527.90 	501.00 	532.70 	539.70 	544.60 	549.40 	564.60 	565.20 	575.50 
SAL_DC,TOTAL,THS_PER,EL	2476.47 	2468.32 	2472.49 	2590.11 	2644.83 	2683.89 	2740.53 	2852.67 	2916.12 	3013.88 	2956.67 	3069.86 	3151.16 	3214.83 	3190.81 	3150.01 	2919.75 p	2715.74 p	2652.51 p	2683.05 p	2709.20 p	2733.02 p	2779.60 p
SAL_DC,TOTAL,THS_PER,ES	11057.90 	11255.70 	11865.50 	12449.20 	13120.70 	13855.90 	14392.30 	14840.10 	15452.10 	16090.50 	16875.60 	17701.60 	18375.80 	18451.10 	17317.50 	17048.40 	16598.40 	15820.20 	15340.60 	15527.30 	16030.10 	16493.10 p	16977.80 p
SAL_DC,TOTAL,THS_PER,FI	1772.60 	1800.40 	1867.00 	1922.10 	1970.30 	2018.20 	2058.30 	2087.20 	2092.70 	2105.20 	2140.20 	2174.70 	2222.20 	2271.40 	2202.00 	2188.70 	2214.00 	2231.40 	2221.10 	2205.30 	2197.50 	2210.00 	2252.20 
SAL_DC,TOTAL,THS_PER,FR	21107.00 	21313.00 	21552.00 	22017.00 	22621.00 	23268.00 	23665.00 	23802.00 	23810.00 	23825.00 	23968.00 	24226.00 	24588.00 	24705.00 	24381.00 	24341.00 	24445.00 	24448.00 	24391.00 	24483.00 	24539.00 	24736.00 p	25032.00 p
SAL_DC,TOTAL,THS_PER,HR	1193.46 p	1193.11 p	1194.73 p	1192.54 p	1192.07 p	1183.28 p	1185.97 p	1190.65 p	1222.11 p	1238.74 p	1248.15 p	1300.50 p	1357.80 p	1400.97 d	1390.54 d	1321.12 d	1270.95 d	1256.88 d	1248.51 d	1321.18 d	1336.85 d	1368.81 d	1423.96 d
SAL_DC,TOTAL,THS_PER,HU	3315.28 	3278.70 	3294.05 	3383.92 	3463.14 	3546.78 	3585.59 	3598.75 	3644.73 	3617.09 	3643.04 	3681.32 	3710.96 	3645.93 	3564.29 	3535.05 	3543.60 	3548.18 	3622.90 	3810.05 	3920.36 	4048.70 	4130.45 
