unit,co_nco,sector,finpos,na_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NCO,S12,LIAB,F1,NL	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.8 	0.9 	0.9 	0.9 	0.8 	0.9 	0.9 	0.9 	0.8 p
PC_GDP,NCO,S12,LIAB,F1,PL	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.3 
PC_GDP,NCO,S12,LIAB,F1,PT	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.5 	0.5 	0.5 	0.6 	0.5 	0.6 	0.6 	0.6 	0.5 
PC_GDP,NCO,S12,LIAB,F1,RO	0.0 e	0.0 e	0.0 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1 	0.1 	0.9 	0.9 	0.9 	0.9 	0.8 	0.8 	0.8 	0.7 	0.6 
PC_GDP,NCO,S12,LIAB,F1,SE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.7 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 
PC_GDP,NCO,S12,LIAB,F1,SI	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.6 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.6 
PC_GDP,NCO,S12,LIAB,F1,UK	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,NCO,S12,LIAB,F2,AT	160.2 	162.9 	161.9 	170.8 	181.8 	183.0 	185.4 	172.1 	178.0 	187.5 	203.1 	201.9 	211.2 	253.4 	236.6 	219.2 	224.5 	213.6 	199.6 	188.8 	185.6 	180.6 	182.4 
PC_GDP,NCO,S12,LIAB,F2,BE	210.5 	226.8 	230.3 	224.6 	237.8 	209.4 	222.1 	218.1 	235.1 	252.3 	291.5 	297.7 	323.0 	297.4 	262.6 	242.4 	251.1 	223.5 	207.4 	206.7 	204.5 	212.3 	216.3 
PC_GDP,NCO,S12,LIAB,F2,BG	68.1 	109.2 	47.1 	36.4 	45.3 	48.9 	53.6 	57.2 	63.0 	73.7 	81.8 	92.0 	105.8 	102.8 	102.4 	101.7 	98.1 	108.3 	111.4 	114.0 	119.4 	125.1 	115.9 
PC_GDP,NCO,S12,LIAB,F2,CY	224.6 	237.1 	235.6 	248.0 	248.4 	223.5 	247.3 	264.1 	270.8 	282.1 	356.0 	385.6 	446.2 	576.0 	718.0 	664.4 	635.9 	630.7 	468.8 	448.2 	439.3 	410.2 	376.0 
PC_GDP,NCO,S12,LIAB,F2,CZ	108.2 	101.3 	108.7 	103.8 	104.3 	102.4 	97.7 	102.2 	99.3 	94.5 	98.8 	94.0 	96.7 	97.7 	102.8 	103.2 	106.4 	108.5 	121.0 	117.3 	119.9 	135.5 	170.1 
PC_GDP,NCO,S12,LIAB,F2,DE	155.7 	167.2 	177.3 	189.1 	197.3 	204.0 	205.1 	204.5 	205.5 	207.5 	213.1 	213.7 	221.6 	232.5 	228.2 	221.2 	217.6 	220.4 	203.9 	196.8 	198.6 	207.9 	214.5 
