unit,nace_r2,na_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
PCH_PRE_PERS_SCA,G-I,EMP_DC,AT	0.2 	0.1 	0.3 	0.1 	0.9 	0.6 	0.5 	0.5 	0.3 	0.3 	0.6 	0.3 
PCH_PRE_PERS_SCA,G-I,EMP_DC,BE	0.1 	0.0 	0.1 	0.2 	0.3 	0.3 	0.2 	0.3 	0.2 	0.0 	0.2 	0.3 
PCH_PRE_PERS_SCA,G-I,EMP_DC,BG	0.6 p	-0.3 p	1.0 p	1.2 p	-0.1 p	-0.6 p	-1.2 p	2.4 p	-0.3 p	0.8 p	0.8 p	0.3 p
PCH_PRE_PERS_SCA,G-I,EMP_DC,CY	1.0 	1.0 	1.6 	1.2 	1.1 	0.9 	0.7 	0.8 	0.8 	1.2 	0.9 	1.2 
PCH_PRE_PERS_SCA,G-I,EMP_DC,DE	0.3 	0.4 	0.3 	0.3 	0.3 	0.3 	0.3 	0.2 	0.3 	0.1 	0.5 	0.2 
PCH_PRE_PERS_SCA,G-I,EMP_DC,DK	0.7 	0.6 	0.8 	0.5 	0.7 	0.5 	0.4 	0.4 	0.4 	0.5 	0.3 	0.4 
PCH_PRE_PERS_SCA,G-I,EMP_DC,EA	0.6 	0.4 	0.3 	0.5 	0.3 	0.5 	0.4 	0.5 	0.4 	0.2 	0.4 	0.3 
PCH_PRE_PERS_SCA,G-I,EMP_DC,EA19	0.6 	0.4 	0.3 	0.5 	0.3 	0.5 	0.4 	0.5 	0.4 	0.2 	0.4 	0.3 
PCH_PRE_PERS_SCA,G-I,EMP_DC,EE	1.1 	4.0 	-3.5 	2.4 	4.9 	1.2 	2.2 	-2.4 	0.9 	-4.9 	2.7 	4.0 
PCH_PRE_PERS_SCA,G-I,EMP_DC,ES	0.6 	0.9 	0.7 p	0.3 p	0.7 p	0.7 p	0.3 p	0.6 p	0.5 p	0.2 p	0.4 p	0.9 p
PCH_PRE_PERS_SCA,G-I,EMP_DC,EU28	0.7 	0.4 	0.3 	0.4 	0.5 	0.3 	0.3 	0.7 	0.2 	0.1 	0.2 	0.4 
PCH_PRE_PERS_SCA,G-I,EMP_DC,FI	0.0 	-0.8 	0.4 	-0.8 	1.1 	-1.4 	0.4 	0.0 	-0.2 	1.9 	-0.2 	0.9 
PCH_PRE_PERS_SCA,G-I,EMP_DC,HR	-1.4 d	1.9 d	1.9 d	-1.7 d	-0.2 d	-4.0 d	7.5 d	9.6 d	-3.7 d	-2.5 d	-1.3 d	1.4 d
PCH_PRE_PERS_SCA,G-I,EMP_DC,HU	1.2 	0.5 	1.3 	1.1 	0.6 	1.0 	0.4 	0.8 	0.6 	0.8 	0.9 	0.6 
PCH_PRE_PERS_SCA,G-I,EMP_DC,IE	-0.7 	2.5 	0.6 	1.0 	0.9 	-0.7 	1.7 	0.3 	0.9 	1.1 	-0.4 	0.2 
PCH_PRE_PERS_SCA,G-I,EMP_DC,IT	1.4 	0.3 	0.2 	1.9 	-0.5 	1.3 	0.2 	0.6 	0.3 	-0.2 	0.3 	-0.3 
PCH_PRE_PERS_SCA,G-I,EMP_DC,LT	1.9 	-2.4 	1.9 	3.3 	-1.4 	-1.5 	-0.5 	2.0 	-1.7 	0.0 	-1.7 	1.2 
PCH_PRE_PERS_SCA,G-I,EMP_DC,LU	0.7 	0.5 	0.2 	0.6 	0.6 	0.7 	0.6 	0.7 	0.7 	1.1 	1.0 	0.8 
PCH_PRE_PERS_SCA,G-I,EMP_DC,LV	1.0 	-0.4 	-0.7 	-0.3 	-0.6 	-0.1 	-1.3 	-0.7 	1.3 	1.2 	-0.1 	1.3 
PCH_PRE_PERS_SCA,G-I,EMP_DC,NL	0.4 	0.3 	0.1 p	0.5 p	0.5 p	0.5 p	0.5 p	0.6 p	0.7 p	0.7 p	0.9 p	0.5 p
PCH_PRE_PERS_SCA,G-I,EMP_DC,NO	0.0 	0.3 	-0.2 	0.2 	0.0 	0.0 	0.2 	0.0 	0.3 	0.0 	0.0 	0.2 
PCH_PRE_PERS_SCA,G-I,EMP_DC,RO	1.2 	-0.2 	0.3 	-0.1 	0.9 	3.6 	0.1 p	-1.0 p	-0.7 p	1.0 p	1.1 p	1.9 p
PCH_PRE_PERS_SCA,G-I,EMP_DC,SE	0.9 	0.2 	1.0 	0.1 	-0.4 	0.9 	0.5 	0.7 	0.5 	0.0 	0.0 	-0.2 
PCH_PRE_PERS_SCA,G-I,EMP_DC,SI	0.5 	0.2 	-0.1 	1.6 	1.0 	0.8 	0.3 	1.3 	0.8 	0.8 	0.4 	1.0 
PCH_PRE_PERS_SCA,G-I,EMP_DC,UK	1.0 	0.7 	-0.2 	0.7 	0.8 	-0.3 	0.3 	0.4 	-0.7 	0.0 	0.5 	1.0 
PCH_PRE_PERS_SCA,J,EMP_DC,AT	0.2 	0.4 	0.6 	0.8 	0.8 	0.7 	0.7 	0.7 	1.0 	0.6 	1.0 	0.7 
PCH_PRE_PERS_SCA,J,EMP_DC,BE	0.4 	0.4 	0.6 	0.7 	0.5 	0.4 	0.7 	0.5 	0.6 	0.7 	0.4 	0.6 
PCH_PRE_PERS_SCA,J,EMP_DC,BG	0.4 p	0.4 p	-0.6 p	0.7 p	1.8 p	2.7 p	-0.2 p	2.7 p	-1.1 p	1.7 p	3.2 p	1.7 p
PCH_PRE_PERS_SCA,J,EMP_DC,CY	1.2 	1.7 	2.2 	0.9 	2.0 	1.4 	0.8 	1.2 	1.4 	1.8 	0.6 	1.7 
PCH_PRE_PERS_SCA,J,EMP_DC,DE	0.5 	0.0 	0.5 	0.7 	1.1 	0.6 	1.0 	0.5 	0.2 	0.7 	0.9 	0.6 
PCH_PRE_PERS_SCA,J,EMP_DC,DK	0.0 	1.0 	0.0 	1.0 	0.0 	1.0 	1.0 	0.0 	1.0 	0.0 	0.9 	0.0 
PCH_PRE_PERS_SCA,J,EMP_DC,EA	0.6 	0.5 	1.0 	0.8 	0.6 	0.7 	1.2 	0.7 	0.2 	0.8 	0.8 	0.5 
PCH_PRE_PERS_SCA,J,EMP_DC,EA19	0.6 	0.5 	1.0 	0.8 	0.6 	0.7 	1.2 	0.7 	0.2 	0.8 	0.8 	0.5 
PCH_PRE_PERS_SCA,J,EMP_DC,EE	-8.0 	17.8 	23.4 	-21.6 	-14.0 	-4.5 	39.1 	1.6 	-11.4 	8.0 	-17.8 	8.0 
PCH_PRE_PERS_SCA,J,EMP_DC,ES	3.0 	0.5 	1.6 p	0.8 p	0.1 p	1.6 p	1.1 p	2.4 p	1.6 p	0.6 p	0.4 p	-0.3 p
PCH_PRE_PERS_SCA,J,EMP_DC,EU28	0.3 	0.2 	0.3 	0.9 	0.9 	0.6 	1.4 	0.9 	0.1 	0.5 	1.2 	1.6 
PCH_PRE_PERS_SCA,J,EMP_DC,FI	-4.5 	0.1 	1.5 	1.3 	-3.0 	2.7 	4.0 	2.6 	-5.5 	4.2 	3.3 	1.7 
PCH_PRE_PERS_SCA,J,EMP_DC,HR	3.0 d	-21.5 d	33.0 d	2.3 d	2.2 d	1.0 d	3.5 d	-24.0 d	-7.6 d	39.6 d	28.3 d	2.1 d
PCH_PRE_PERS_SCA,J,EMP_DC,HU	1.7 	0.9 	3.1 	1.1 	1.9 	1.3 	0.7 	1.7 	0.8 	1.2 	0.9 	0.7 
PCH_PRE_PERS_SCA,J,EMP_DC,IE	1.2 	0.7 	1.7 	1.0 	3.9 	2.3 	2.0 	1.1 	1.1 	-1.0 	0.4 	-1.4 
PCH_PRE_PERS_SCA,J,EMP_DC,IT	1.2 	0.7 	1.0 	1.2 	0.2 	-0.2 	0.0 	-0.7 	0.4 	0.6 	0.1 	0.2 
PCH_PRE_PERS_SCA,J,EMP_DC,LT	-0.5 	-1.2 	0.8 	2.7 	1.4 	-1.2 	0.2 	-0.3 	-7.5 	4.0 	8.1 	5.8 
PCH_PRE_PERS_SCA,J,EMP_DC,LU	0.3 	0.7 	2.0 	1.1 	0.8 	1.6 	1.5 	1.6 	1.7 	1.7 	0.8 	1.2 
PCH_PRE_PERS_SCA,J,EMP_DC,LV	1.8 	3.1 	0.3 	2.0 	1.0 	2.3 	1.0 	1.3 	1.9 	1.2 	3.0 	2.0 
PCH_PRE_PERS_SCA,J,EMP_DC,NL	0.0 	0.7 	0.4 p	0.7 p	1.4 p	1.8 p	2.5 p	0.3 p	0.0 p	0.0 p	-0.3 p	0.7 p
