indic_il,age,sex,tenure,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LI_R_MD60,Y_GE65,T,TOTAL,FI	21.8 	21.6 	22.5 	22.1 	18.3 	18.9 	18.4 	16.1 	16.0 	13.8 	12.3 	12.3 
LI_R_MD60,Y_GE65,T,TOTAL,FR	16.1 	13.1 	11.9 b	11.9 	9.4 	9.7 	9.4 	9.1 	8.6 	8.0 	8.2 	7.8 
LI_R_MD60,Y_GE65,T,TOTAL,HR	: 	: 	: 	: 	30.5 b	29.4 	25.6 	23.4 	23.1 	26.3 	26.5 	: 
LI_R_MD60,Y_GE65,T,TOTAL,HU	9.4 	6.1 	4.3 	4.6 	4.1 	4.9 	6.3 	4.6 	4.6 	4.4 	6.8 	9.1 
LI_R_MD60,Y_GE65,T,TOTAL,IE	26.9 	28.3 	21.1 	16.2 	9.9 	11.0 	12.8 	10.6 	11.4 	13.9 	16.0 	: 
LI_R_MD60,Y_GE65,T,TOTAL,IS	11.8 	15.1 	15.0 	12.4 	4.9 	4.3 	4.5 	4.0 	6.9 	5.8 	5.9 p	: 
LI_R_MD60,Y_GE65,T,TOTAL,IT	21.7 	22.2 	20.9 	19.6 	16.7 	17.0 	16.1 	15.0 	14.2 	14.7 	15.3 	15.6 
LI_R_MD60,Y_GE65,T,TOTAL,LT	22.0 	29.8 	31.0 	23.9 	9.6 	9.7 	18.7 	19.4 	20.1 	25.0 	27.7 	33.4 
LI_R_MD60,Y_GE65,T,TOTAL,LU	7.9 	7.2 	5.4 	6.0 	5.9 	4.7 	6.1 	6.2 	6.3 	7.9 	9.0 b	11.8 
LI_R_MD60,Y_GE65,T,TOTAL,LV	30.4 	35.6 	52.0 	47.6 	17.2 	9.1 	13.9 	17.6 	27.6 	34.6 	38.1 	39.9 
LI_R_MD60,Y_GE65,T,TOTAL,MK	: 	: 	: 	: 	: 	: 	22.3 	16.5 	14.5 	14.5 	14.5 	: 
LI_R_MD60,Y_GE65,T,TOTAL,MT	23.5 	20.3 	24.3 	19.7 	18.2 	17.6 	17.3 	14.9 	16.9 	21.0 	24.2 	25.0 
LI_R_MD60,Y_GE65,T,TOTAL,NL	5.8 	9.5 	9.4 	7.7 	5.9 	6.5 	5.5 	5.5 	5.9 	5.6 	9.0 b	10.0 
LI_R_MD60,Y_GE65,T,TOTAL,NO	18.9 	13.8 	13.0 	10.7 	12.0 	11.2 	8.9 	9.7 	9.8 	8.8 	9.1 	8.5 
LI_R_MD60,Y_GE65,T,TOTAL,PL	7.8 	7.8 	11.7 	14.4 	14.2 	14.7 	14.0 	12.3 	11.7 	12.1 	12.8 	13.8 
LI_R_MD60,Y_GE65,T,TOTAL,PT	26.1 	25.5 	22.3 	20.1 	21.0 	20.0 	17.4 	14.6 	15.1 	17.0 	18.3 	17.0 
LI_R_MD60,Y_GE65,T,TOTAL,RO	: 	29.4 	26.5 	21.4 	17.6 	14.8 	14.4 	14.5 	15.7 	19.4 	19.1 	20.0 
LI_R_MD60,Y_GE65,T,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	19.4 	20.4 	19.7 	19.1 	: 
LI_R_MD60,Y_GE65,T,TOTAL,SE	11.1 	9.6 	15.2 b	16.0 	14.2 	15.7 	15.4 	14.6 	13.4 	15.8 	16.9 	15.7 
LI_R_MD60,Y_GE65,T,TOTAL,SI	19.9 	: 	21.3 	20.0 	20.2 	20.9 	19.6 	20.5 	17.1 	17.2 	17.6 	16.4 
LI_R_MD60,Y_GE65,T,TOTAL,SK	8.5 	8.4 	9.9 	10.8 	7.7 	6.3 	7.8 	6.0 	6.2 	5.6 	5.7 	6.9 
LI_R_MD60,Y_GE65,T,TOTAL,TR	20.0 	18.4 	18.9 	20.2 	19.3 	19.0 	20.5 	18.4 	19.3 	18.7 	: 	: 
LI_R_MD60,Y_GE65,T,TOTAL,UK	26.1 	26.5 	27.3 	22.3 	21.3 	21.8 	16.4 b	16.6 	17.7 	16.5 	17.1 	: 
