unit,geo\time	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
RCH_A,CY	: 	: 	: 	: 	5.9 	7.1 	8.5 	10.1 	9.5 	8.5 	8.2 	4.8 	6.0 	3.6 	-2.1 	-3.8 	-6.8 	-7.2 	-5.7 	-7.7 	-8.7 p	-8.8 p	-8.7 p	-5.2 p	-4.9 p	-2.2 p	-3.0 p	-7.0 p	-7.2 p	-9.2 p	-3.8 p	-0.7 p	-3.0 p	-1.0 p	-5.7 p	-5.7 p	-3.8 p	-0.5 p	-0.8 p	1.3 p	-0.3 bp	-1.3 p	3.2 p	-0.8 p	1.9 	1.1 	-0.5 	4.4 	1.0 p	1.7 p	0.5 p	2.0 p	4.0 p	0.7 p
RCH_A,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.0 	-5.6 	-6.6 	-7.2 	-4.2 	-1.6 	-1.8 	-1.3 	-1.4 	-1.3 	-1.5 	-2.7 	-4.2 	-4.1 	-3.6 	-2.6 	-1.3 	-0.8 	-0.6 	-0.6 	1.1 	1.3 	1.9 	3.1 	3.4 	3.2 	4.2 	4.6 p	4.7 	5.7 	6.3 	9.5 p	10.3 	10.9 	9.9 	5.7 p	5.0 	4.7 p
RCH_A,DE	: 	: 	: 	: 	-2.6 	-0.4 	-3.3 	0.4 	-4.9 	-3.4 	-2.5 	-3.8 	1.6 	-0.3 	-2.1 	-0.6 	-1.0 	0.4 	2.6 	3.0 	0.2 	-0.5 	-0.5 	-2.7 	1.2 	1.2 	1.0 	2.1 	0.5 	1.0 	2.7 	3.5 	2.7 	3.3 	1.7 	0.6 	1.7 	1.8 	2.5 	2.7 	4.0 	3.6 	3.7 	5.1 	4.2 	5.2 	5.9 	5.7 	3.2 	2.6 	2.9 	3.0 	4.1 p	3.1 p
RCH_A,DK	: 	: 	: 	: 	27.0 	27.4 	19.5 	13.1 	5.6 	0.7 	-0.2 	-2.0 	-4.3 	-4.8 	-8.7 	-13.5 	-17.1 	-16.1 	-12.8 	-5.7 	-0.1 	0.8 	0.7 	0.0 	-2.2 	-1.6 	-4.6 	-7.3 	-6.1 	-7.5 	-4.7 	-1.3 	1.5 	4.1 	3.9 	2.7 	2.6 	3.0 	3.0 	4.0 	6.8 	5.3 	6.2 	6.8 	5.1 	4.7 	5.3 	3.8 	3.3 	3.7 	3.0 	2.8 	5.3 	3.9 p
RCH_A,EE	: 	: 	: 	: 	44.6 	41.0 	41.4 	37.6 	25.8 	21.2 	9.8 	-3.9 	-8.7 	-17.5 	-15.9 	-24.3 	-35.9 	-37.1 	-41.6 	-33.4 	-8.6 	-1.1 	11.7 	8.8 	1.1 	2.3 	1.1 	6.2 	1.8 	3.5 	6.3 	1.3 	4.8 	5.2 	6.2 	13.7 	16.1 	12.8 	12.3 	9.6 	8.7 	10.2 	4.3 	4.8 	1.4 	1.8 	6.0 	6.0 	4.3 	1.0 	0.8 	1.2 	3.4 	4.2 
RCH_A,ES	: 	: 	: 	: 	: 	: 	: 	11.4 	9.8 	8.5 	6.1 	1.2 	-0.8 	-4.3 	-6.5 	-7.5 	-8.2 	-6.1 	-5.2 	-3.4 	-3.5 	-2.8 	-4.4 	-4.0 	-6.4 	-8.7 	-10.0 	-14.2 	-15.8 	-17.6 	-18.1 	-15.4 	-14.5 	-11.9 	-7.1 	-6.3 	-1.8 	0.3 	0.1 	1.9 	2.1 	4.0 	4.7 	4.4 	6.9 	4.5 	4.0 	3.4 	2.9 	3.9 	5.3 	5.8 	5.4 	5.1 
RCH_A,FI	: 	: 	: 	: 	6.8 p	6.1 p	5.2 p	4.3 p	5.0 p	4.5 p	4.2 p	2.1 p	0.7 p	-0.7 p	-3.1 p	-6.5 p	-4.7 p	-3.4 p	0.3 p	6.7 p	6.3 	5.7 	5.1 	2.2 	0.2 	1.0 	-0.6 	-0.9 	0.1 	-1.0 	-1.0 	0.2 	-0.8 	-1.1 	-1.0 	-1.9 	-2.0 	-1.5 	-1.8 	-1.6 	-0.6 	-0.7 	0.0 	0.3 	-0.4 	0.2 	-0.3 	-0.5 	0.7 	0.6 	0.4 	0.3 	-0.8 	-0.4 
RCH_A,FR	: 	: 	: 	: 	11.4 	10.0 	8.5 	7.6 	6.2 	4.7 	3.7 	2.6 	0.7 	-0.9 	-2.3 	-4.6 	-5.9 	-6.3 	-4.8 	-2.1 	1.2 	3.7 	4.7 	5.3 	4.8 	4.9 	4.0 	1.8 	0.1 	-1.7 	-2.9 	-3.1 	-2.8 	-2.8 	-2.6 	-2.1 	-1.8 	-1.3 	-1.2 	-2.4 	-1.9 	-2.6 	-2.0 	-0.4 	0.4 	1.1 	1.6 	1.2 	1.4 	2.0 	1.9 	2.0 	1.6 	1.1 p
RCH_A,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-5.5 	-7.9 	-9.5 	-9.1 	-9.9 	-7.8 	-7.0 	-6.2 	-5.5 	-2.0 	-0.5 	-0.4 	1.0 	-3.5 	-6.1 	-9.6 	-9.2 	-6.7 	-4.9 	-1.9 	-1.8 	0.0 	-1.3 	-1.3 	-1.4 	-4.5 	-2.4 	-1.3 	1.6 	2.9 	3.1 	0.9 	-1.5 	3.3 	2.9 	6.6 	7.9 	2.9 
RCH_A,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.7 	-1.1 	-5.3 	-4.6 	-3.1 	-8.5 	-10.6 	-13.3 	-7.8 	-6.9 	-4.8 	-3.8 	-6.1 	-5.6 	-7.1 	-8.9 	-8.0 	-10.2 	-9.6 	-9.6 	-8.1 	-5.2 	-3.0 	-0.8 	-1.4 	1.6 	4.3 	8.7 	9.5 	13.7 	15.2 	14.7 	17.3 	13.7 	12.2 	11.4 	2.7 	3.5 	3.4 	3.5 	9.9 	7.0 p
