fin_source,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
ODA,DE	5446.1 	5571.1 	5630.7 	5997.3 	6056.9 	8104.0 	8310.6 	8968.0 	9505.6 	8660.1 	9795.1 	10124.2 	10071.2 	10713.2 	12469.9 	16169.6 	22346.8 
ODA,DK	1801.8 	1824.9 	1737.8 	1545.4 	1637.7 	1695.1 	1780.9 	1869.6 	1906.0 	2014.5 	2165.8 	2105.7 	2095.7 	2204.2 	2260.6 	2312.4 	2140.4 
ODA,EE	0.6 	0.5 	1.3 	1.0 	3.9 	7.6 	11.2 	11.8 	15.0 	13.2 	14.2 	17.4 	18.1 	23.1 	28.2 	30.5 	39.2 
ODA,EL	244.7 	225.0 	292.0 	320.2 	257.9 	308.8 	337.7 	365.4 	478.1 	435.4 	383.0 	305.2 	254.8 	180.0 	186.3 	215.1 	332.9 
ODA,ES	1293.7 	1939.5 	1810.7 	1733.8 	1959.2 	2426.1 	3037.3 	3750.3 	4668.8 	4720.5 	4487.8 	2997.9 	1585.7 	1768.0 	1412.7 	1258.9 	3864.5 
ODA,EU15	27380.8 	29449.4 	31698.2 	32805.3 	34398.9 	44811.3 	47016.9 	44902.0 	48255.7 	48186.9 	52546.6 	51781.5 	49770.1 	52944.4 	56017.4 	65298.3 	73091.2 
ODA,EU28	27436.4 	29530.4 	31773.0 	32944.9 	34677.4 	45279.6 	47643.0 	45544.9 	49030.8 	49004.6 	53408.6 	52730.6 	50735.7 	53957.8 	57097.1 	66500.6 	74752.1 
ODA,FI	401.5 	434.3 	488.8 	493.7 	546.6 	725.0 	664.5 	716.0 	792.6 	925.0 	1005.5 	1010.1 	1027.2 	1080.8 	1230.4 	1160.9 	957.3 
ODA,FR	4444.3 	4687.4 	5801.8 	6411.9 	6811.3 	8059.0 	8442.6 	7211.7 	7416.1 	9034.7 	9742.1 	9337.1 	9362.0 	8537.7 	7994.2 	8147.2 	8692.4 
ODA,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.6 	33.9 	54.3 	46.3 	36.7 
ODA,HU	: 	: 	: 	18.8 	56.4 	80.7 	119.1 	75.5 	72.7 	83.8 	86.2 	100.4 	92.1 	96.5 	108.4 	140.2 	179.9 
ODA,IE	253.4 	319.9 	420.6 	445.2 	488.3 	577.9 	813.7 	869.9 	902.8 	721.1 	675.2 	656.3 	629.2 	636.9 	614.1 	647.4 	725.1 
ODA,IS	9.3 	10.9 	13.4 	15.6 	17.1 	21.9 	33.1 	35.2 	32.9 	24.7 	21.7 	18.4 	20.3 	26.3 	28.1 	35.9 	53.0 
ODA,IT	1490.1 	1816.6 	2466.3 	2150.7 	1978.9 	4092.0 	2899.9 	2897.2 	3304.8 	2364.1 	2260.2 	3107.7 	2130.4 	2582.7 	3017.8 	3608.3 	4596.1 
ODA,LI	: 	: 	: 	: 	: 	: 	: 	13.1 	16.1 	18.8 	20.1 	22.6 	22.3 	21.3 	20.6 	21.8 	22.2 
ODA,LT	: 	2.0 	1.7 	1.7 	7.3 	12.5 	19.9 	34.7 	32.5 	26.0 	27.7 	37.1 	40.4 	38.0 	34.3 	43.4 	51.6 
ODA,LU	133.1 	155.1 	155.2 	171.3 	189.4 	206.1 	231.5 	274.0 	282.1 	297.3 	303.8 	294.0 	310.6 	323.3 	318.6 	327.1 	353.3 
ODA,LV	: 	: 	1.6 	0.8 	6.7 	8.6 	9.4 	11.5 	14.8 	15.0 	11.8 	13.7 	16.4 	17.9 	19.1 	20.9 	27.3 
ODA,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.8 	10.4 	14.3 	14.5 	13.7 	15.4 	14.9 	18.6 
ODA,NL	3394.1 	3542.3 	3530.0 	3511.5 	3379.5 	4111.2 	4341.9 	4541.6 	4754.3 	4607.2 	4795.4 	4557.4 	4298.6 	4092.7 	4194.9 	5160.4 	4486.6 
ODA,NO	1368.1 	1502.8 	1793.7 	1806.8 	1767.3 	2245.5 	2345.7 	2725.2 	2723.5 	2926.0 	3297.5 	3416.4 	3699.4 	4202.5 	3828.3 	3855.5 	3957.1 
ODA,PL	31.2 	39.7 	15.1 	24.0 	94.5 	164.6 	238.7 	264.8 	253.3 	268.8 	284.9 	299.9 	327.7 	366.8 	340.1 	397.4 	598.9 
ODA,PT	293.0 	299.7 	341.1 	282.5 	828.9 	303.1 	315.7 	343.3 	421.6 	367.6 	489.5 	508.5 	452.0 	367.7 	323.8 	277.6 	309.9 
ODA,RO	: 	: 	: 	: 	: 	: 	: 	: 	83.5 	109.4 	86.2 	117.7 	110.8 	100.8 	160.8 	142.5 	243.3 
ODA,SE	1947.8 	1859.8 	2127.3 	2121.7 	2188.3 	2702.1 	3149.9 	3166.0 	3217.1 	3260.8 	3419.7 	4025.2 	4078.3 	4387.7 	4691.5 	6389.6 	4421.1 
ODA,SI	: 	: 	: 	: 	: 	27.9 	35.1 	39.5 	46.0 	51.1 	44.2 	45.1 	45.5 	46.3 	46.3 	57.0 	73.4 
ODA,SK	6.3 	9.2 	7.1 	13.3 	22.7 	45.7 	43.9 	49.1 	62.4 	54.1 	55.6 	61.8 	62.0 	64.8 	62.6 	76.5 	95.8 
ODA,TR	88.7 	71.6 	77.2 	58.9 	272.7 	483.1 	568.9 	439.5 	530.6 	507.0 	729.7 	914.5 	1971.7 	2490.5 	2703.1 	3532.3 	5861.1 
ODA,UK	4873.6 	5098.5 	5212.6 	5535.5 	6354.8 	8658.2 	9922.8 	7186.1 	7818.8 	8089.1 	9846.1 	9937.0 	10812.1 	13456.3 	14532.0 	16714.6 	16309.3 
OFLOW_OTH,AT	0.0 	0.0 	0.0 	0.0 	0.0 	392.4 	58.1 	9.7 	39.1 	4.9 	1.3 	0.0 	0.0 	152.0 	74.7 	24.0 	130.5 
OFLOW_OTH,BE	-9.4 	7.8 	111.6 	844.0 	-74.6 	314.3 	-345.6 	-117.7 	-93.7 	64.6 	-11.4 	-10.7 	42.7 	57.5 	-33.2 	-65.0 	299.3 
OFLOW_OTH,CH	8.1 	7.2 	3.4 	0.1 	: 	: 	13.7 	: 	: 	: 	: 	: 	: 	: 	16.3 	24.3 	15.3 
OFLOW_OTH,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	: 
OFLOW_OTH,DE	-112.4 	-546.5 	4785.9 	-1711.7 	-240.4 	8562.5 	-2236.8 	415.8 	1009.9 	405.7 	51.4 	-103.6 	-70.9 	-64.0 	115.3 	1193.9 	-413.9 
OFLOW_OTH,DK	-2.8 	-4.4 	-3.5 	36.3 	29.6 	11.2 	26.8 	20.8 	-1.4 	166.8 	7.9 	31.3 	-93.3 	86.1 	-79.9 	101.4 	-83.8 
OFLOW_OTH,EL	0.0 	: 	: 	: 	2.9 	: 	6.5 	2.6 	0.7 	: 	: 	: 	: 	: 	: 	: 	: 
OFLOW_OTH,ES	3.6 	163.4 	57.6 	71.0 	20.1 	53.7 	: 	4.6 	: 	2.5 	: 	2.9 	1.9 	105.9 	2.8 	5.2 	91.4 
OFLOW_OTH,EU15	158.2 	-185.1 	6132.1 	3767.4 	922.9 	8351.7 	-2089.3 	182.5 	1894.9 	1392.4 	453.4 	664.2 	572.0 	1154.8 	682.2 	1736.7 	246.3 
OFLOW_OTH,EU28	158.2 	-185.1 	6132.1 	3767.4 	922.9 	8351.7 	-2089.3 	182.5 	1894.9 	1392.4 	453.4 	664.2 	572.0 	1154.8 	682.5 	1737.0 	245.6 
OFLOW_OTH,FI	2.3 	9.0 	3.5 	6.2 	-2.2 	: 	: 	15.7 	15.2 	40.8 	32.6 	-7.5 	8.6 	-23.3 	8.3 	18.9 	43.8 
OFLOW_OTH,FR	15.2 	-43.4 	671.6 	3310.2 	-173.6 	-1116.9 	17.3 	-84.8 	219.6 	407.3 	378.7 	627.1 	538.5 	594.3 	511.7 	378.4 	110.6 
OFLOW_OTH,IT	111.5 	69.0 	267.0 	363.6 	1625.3 	73.7 	127.1 	100.5 	699.9 	31.1 	7.3 	129.4 	152.7 	121.2 	72.2 	38.8 	45.8 
OFLOW_OTH,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.3 	0.3 	0.2 
OFLOW_OTH,NL	143.7 	134.6 	242.0 	794.8 	121.2 	122.5 	273.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OFLOW_OTH,NO	: 	: 	: 	0.2 	0.2 	3.7 	3.9 	3.7 	0.3 	0.1 	0.5 	: 	-0.2 	0.2 	-34.3 	256.1 	-86.0 
OFLOW_OTH,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.9 
OFLOW_OTH,PT	84.2 	-1.2 	-1.5 	-1.6 	-209.3 	-2.2 	-16.2 	-173.0 	: 	: 	: 	0.5 	1.5 	2.2 	1.4 	-0.4 	0.6 
OFLOW_OTH,SE	0.1 	1.3 	1.9 	10.7 	-51.5 	20.0 	51.4 	19.7 	20.9 	50.7 	0.0 	23.3 	-37.7 	-17.6 	-22.0 	41.5 	22.0 
OFLOW_OTH,TR	64.1 	: 	: 	36.1 	609.4 	294.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-2.8 	0.0 	0.0 	: 
OFLOW_OTH,UK	-77.8 	25.3 	-4.0 	43.9 	-124.6 	-79.5 	-51.4 	-31.4 	-15.3 	218.0 	-14.4 	-28.5 	28.0 	140.5 	30.9 	: 	: 
TOTAL,AT	1229.4 	933.9 	2019.9 	1277.1 	1086.7 	3887.6 	2751.4 	14889.0 	7364.3 	2346.5 	4806.3 	5800.8 	3733.9 	785.9 	2615.6 	4081.8 	2795.4 
TOTAL,BE	2469.2 	339.3 	1413.7 	1079.4 	655.9 	2525.8 	4227.7 	2785.5 	3008.5 	2311.6 	5956.0 	851.5 	2103.8 	7693.0 	6567.3 	3276.3 	-10328.3 
TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.4 	36.6 	: 	: 
TOTAL,CH	1910.6 	1713.6 	1694.8 	2851.0 	1130.5 	6512.9 	9999.3 	4250.5 	8325.8 	6347.4 	17684.6 	9251.5 	11162.5 	10009.2 	9722.1 	5874.8 	3932.4 
TOTAL,CZ	17.5 	29.6 	48.0 	80.0 	87.0 	108.6 	128.1 	130.5 	169.4 	153.9 	171.7 	179.9 	170.9 	158.8 	79.6 	237.4 	201.6 
TOTAL,DE	13350.8 	7084.7 	7622.0 	4618.1 	12260.4 	24662.5 	20700.7 	26806.7 	24291.1 	20884.9 	31407.3 	40375.2 	27021.2 	39979.0 	39897.0 	42926.3 	46435.7 
TOTAL,DK	2355.9 	2953.2 	1667.2 	1675.8 	2117.2 	1780.4 	2139.3 	3507.2 	3501.7 	2693.5 	3616.2 	2024.1 	1868.2 	3291.4 	3157.3 	2642.1 	3005.3 
TOTAL,EL	247.4 	225.0 	340.5 	356.2 	263.5 	570.2 	2306.1 	2474.6 	792.7 	609.8 	573.8 	348.3 	706.2 	654.0 	-329.4 	-76.3 	-1800.2 
TOTAL,ES	25412.0 	12866.6 	8640.6 	5893.9 	10259.3 	5466.9 	8877.2 	15806.0 	20456.1 	9185.7 	7799.7 	14472.0 	1538.6 	6013.7 	10288.8 	19865.6 	4267.0 
TOTAL,EU15	92823.9 	57214.2 	38756.1 	58907.6 	83485.6 	107823.1 	116813.2 	163369.7 	119113.9 	101590.9 	126693.8 	153096.8 	147247.0 	128835.9 	171311.1 	176902.4 	143366.1 
TOTAL,EU28	92878.9 	57292.7 	38826.3 	59043.7 	83746.2 	108250.6 	117378.1 	163929.1 	119717.7 	102202.6 	127336.4 	153783.9 	147961.8 	129810.8 	172019.2 	177947.3 	144651.0 
TOTAL,FI	1177.2 	1489.9 	-190.1 	-38.8 	1075.7 	1319.6 	1125.1 	1568.2 	-150.6 	2283.3 	3252.4 	729.8 	1188.5 	749.7 	2278.2 	-43.6 	1680.5 
TOTAL,FR	6017.0 	18230.3 	5001.5 	6131.1 	10128.5 	12654.9 	17783.3 	31467.5 	27631.9 	27545.2 	26550.5 	24580.4 	23021.6 	7923.4 	14469.0 	1112.1 	18785.8 
TOTAL,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.6 	33.9 	: 	: 	: 
TOTAL,HU	: 	: 	: 	18.8 	56.4 	80.7 	119.1 	75.5 	72.7 	83.8 	86.2 	100.4 	92.1 	96.5 	108.4 	140.2 	180.2 
TOTAL,IE	801.1 	820.2 	1553.9 	2063.2 	3096.2 	4258.2 	4171.1 	4261.0 	4148.2 	3002.6 	2033.0 	1755.4 	744.3 	1455.6 	905.8 	1106.5 	1170.0 
TOTAL,IS	9.3 	10.9 	13.4 	15.6 	17.1 	21.9 	33.1 	35.2 	32.9 	24.7 	21.7 	18.4 	20.3 	26.3 	28.0 	36.1 	53.0 
TOTAL,IT	11743.5 	-210.5 	1479.5 	3728.9 	2603.5 	3298.4 	4390.0 	3226.7 	3794.2 	3992.9 	7247.6 	8557.8 	8706.5 	12576.8 	6553.2 	14079.5 	17444.6 
TOTAL,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.6 	: 	21.3 	: 	: 	: 
