sectperf,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
GOV,PC_GDP,LT	0.25 	0.26 	0.22 	0.18 	0.19 	0.19 	0.18 	0.17 	0.18 	0.19 	0.14 	0.18 	0.18 	0.19 	0.18 	0.18 	0.22 
GOV,PC_GDP,LU	0.11 	0.14 	0.15 	0.17 	0.18 	0.19 	0.2 	0.21 	0.26 	0.27 b	0.32 	0.34 	0.35 	0.38 	0.38 	0.38 	0.37 
GOV,PC_GDP,LV	0.1 	0.09 	0.08 	0.08 	0.08 	0.1 	0.1 	0.13 	0.16 	0.11 	0.14 	0.16 	0.18 	0.18 	0.16 	0.16 	0.14 
GOV,PC_GDP,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.08 d	: 	0.06 d	0.08 d	0.07 	: 
GOV,PC_GDP,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.06 	0.05 
GOV,PC_GDP,MT	: 	: 	0.04 	0.02 	0.01 	0.03 	0.03 	0.01 	0.02 	0.02 	0.02 	0.03 	0.06 	0.07 	0.07 	0.13 	0.01 p
GOV,PC_GDP,NL	0.22 b	0.25 d	0.22 	0.24 bd	0.24 d	0.22 d	0.22 d	0.21 d	0.2 d	0.21 d	0.2 d	0.21 d	0.23 bd	0.24 d	0.24 d	0.24 d	0.23 p
GOV,PC_GDP,NO	: 	0.23 	0.26 	0.25 	0.24 	0.23 	0.23 	0.24 b	0.23 	0.28 	0.27 	0.27 	0.27 	0.26 	0.26 	0.29 	0.29 
GOV,PC_GDP,PL	0.21 	0.19 	0.25 	0.22 	0.22 	0.2 	0.2 	0.2 	0.21 	0.23 	0.26 	0.26 	0.25 	0.23 	0.23 	0.24 	0.02 p
GOV,PC_GDP,PT	0.17 e	0.16 	0.14 e	0.12 	0.11 e	0.11 	0.11 e	0.11 	0.11 	0.12 	0.11 	0.11 	0.07 	0.09 	0.08 	0.08 	0.07 p
GOV,PC_GDP,RO	0.07 	0.11 	0.09 	0.12 	0.13 	0.14 	0.15 	0.17 	0.23 	0.16 	0.17 	0.2 b	0.2 	0.19 	0.16 	0.19 	0.16 
GOV,PC_GDP,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.27 	0.27 	0.24 	0.26 	0.24 	0.19 b	0.24 	0.23 
GOV,PC_GDP,RU	0.24 	0.27 	0.29 	0.3 	0.27 	0.26 	0.27 	0.3 	0.3 	0.36 	0.33 	0.31 	0.34 	0.32 	0.33 	0.34 	: 
GOV,PC_GDP,SE	: 	0.11 d	: 	0.13 d	0.11 d	0.17 b	0.16 e	0.16 	0.16 e	0.15 	0.16 e	0.14 	0.16 e	0.12 e	0.12 e	0.11 	0.11 p
GOV,PC_GDP,SI	0.35 	0.36 	0.33 	0.28 	0.27 	0.34 	0.38 	0.35 	0.36 	0.38 	0.37 	0.35 b	0.34 	0.34 	0.29 	0.3 	0.27 p
GOV,PC_GDP,SK	0.16 	0.15 d	0.15 d	0.18 d	0.15 d	0.15 d	0.16 d	0.16 d	0.15 d	0.16 d	0.18 d	0.18 d	0.2 d	0.17 d	0.25 d	0.33 	0.17 
GOV,PC_GDP,TR	0.03 	0.04 	0.04 	0.05 	0.04 	0.07 	0.07 	0.07 	0.08 	0.1 	0.09 	0.09 	0.09 	0.09 	0.08 	0.09 	: 
GOV,PC_GDP,UK	0.21 	0.16 b	0.15 	0.17 	0.17 	0.17 	0.16 	0.15 	0.15 	0.16 	0.16 	0.14 	0.13 	0.13 	0.12 	0.11 	0.11 
GOV,PC_GDP,US	0.28 d	0.31 d	0.33 d	0.33 d	0.31 d	0.31 d	0.31 d	0.31 d	0.31 d	0.34 	0.35 	0.35 	0.33 	0.31 	0.31 	0.31 	: 
HES,PC_GDP,AT	: 	: 	0.56 	: 	0.58 	0.59 e	0.57 	0.58 	0.64 e	0.68 	0.7 e	0.68 	0.72 e	0.72 	0.73 e	0.72 	0.73 p
HES,PC_GDP,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.07 	0.11 	0.16 	: 	: 
HES,PC_GDP,BE	0.39 	0.4 	0.4 	0.41 	0.39 	0.4 	0.39 	0.39 	0.42 	0.47 	0.48 	0.48 	0.48 	0.51 	0.49 	0.5 	0.5 p
HES,PC_GDP,BG	0.05 	0.06 	0.05 	0.05 	0.04 	0.05 	0.04 	0.04 	0.04 	0.07 	0.07 	0.05 	0.05 	0.05 	0.07 	0.05 	0.04 
HES,PC_GDP,CH	0.53 	: 	0.59 	: 	0.61 	: 	0.6 	: 	0.66 	: 	0.73 	: 	0.83 	: 	0.87 	0.9 	: 
HES,PC_GDP,CY	0.06 	0.06 	0.08 	0.1 	0.12 	0.14 	0.16 	0.18 	0.17 	0.21 	0.22 	0.24 	0.24 	0.26 	0.25 	0.24 	0.21 p
HES,PC_GDP,CZ	0.16 	0.17 	0.17 	0.18 	0.17 	0.22 	0.23 	0.24 	0.23 	0.26 	0.27 	0.38 	0.49 	0.52 	0.5 	0.48 	0.34 p
HES,PC_GDP,DE	0.38 	0.39 	0.41 	0.41 	0.4 	0.4 	0.4 	0.39 	0.43 	0.48 	0.49 	0.5 	0.51 	0.51 	0.51 	0.5 	0.54 b
HES,PC_GDP,DK	0.43 	0.44 	0.56 b	0.58 	0.59 	0.59 	0.62 	0.66 b	0.75 	0.85 	0.88 	0.91 	0.94 	1.01 	0.98 	0.99 p	0.91 e
HES,PC_GDP,EA19	0.37 e	0.38 e	0.4 e	0.4 e	0.39 	0.39 	0.39 	0.39 	0.42 	0.46 	0.46 	0.46 	0.46 	0.47 	0.47 	0.47 	0.47 p
HES,PC_GDP,EE	0.31 	0.35 	0.34 	0.36 	0.39 	0.38 	0.45 	0.45 	0.54 	0.59 	0.6 	0.64 	0.68 	0.73 	0.64 	0.62 	0.46 
HES,PC_GDP,EL	: 	0.25 	: 	0.26 	0.25 e	0.27 	0.27 e	0.28 e	0.22 be	0.23 e	0.21 e	0.27 	0.28 	0.3 	0.31 	0.37 	0.32 
HES,PC_GDP,ES	0.26 	0.28 e	0.29 	0.31 	0.31 	0.32 	0.32 	0.33 	0.35 	0.38 	0.38 	0.37 	0.36 	0.36 	0.35 	0.34 	0.33 
HES,PC_GDP,EU28	0.37 e	0.38 e	0.4 e	0.4 e	0.39 	0.39 	0.39 	0.4 	0.42 	0.46 	0.47 	0.46 	0.47 	0.47 	0.47 	0.47 	0.47 p
HES,PC_GDP,FI	0.58 	0.58 	0.62 	0.63 	0.66 	0.63 	0.63 	0.62 	0.61 	0.71 	0.76 	0.73 	0.74 	0.71 	0.72 	0.71 	0.69 
HES,PC_GDP,FR	0.39 b	0.4 	0.41 	0.41 	0.39 b	0.38 	0.39 	0.39 	0.41 	0.46 	0.47 	0.46 	0.46 	0.47 	0.46 	0.5 p	0.49 p
HES,PC_GDP,HR	: 	: 	0.33 	0.37 	0.39 	0.3 	0.27 	0.27 	0.27 	0.27 	0.21 	0.21 	0.2 	0.2 	0.2 	0.2 	0.28 b
HES,PC_GDP,HU	0.19 d	0.23 d	0.25 d	0.25 d	0.21 d	0.23 d	0.24 d	0.22 d	0.22 d	0.24 d	0.23 d	0.24 d	0.23 d	0.2 d	0.18 d	0.17 d	0.13 d
HES,PC_GDP,IE	0.22 	0.23 	0.24 	0.28 	0.32 	0.32 	0.32 	0.33 	0.4 	0.43 e	0.42 	0.39 e	0.36 	0.37 e	0.35 	0.29 	0.3 
HES,PC_GDP,IS	0.42 e	0.54 	0.46 e	0.58 	: 	0.59 	0.69 	0.65 	0.63 	0.66 	0.67 b	0.65 b	: 	0.66 b	0.66 	0.66 	0.67 
HES,PC_GDP,IT	0.31 	0.34 	0.36 	0.36 	0.35 	0.32 b	0.33 	0.34 	0.35 	0.37 	0.35 	0.35 	0.36 	0.37 	0.36 e	0.34 e	0.33 p
HES,PC_GDP,JP	0.42 	0.43 	0.42 	0.42 	0.41 	0.43 	0.42 	0.42 	0.39 b	0.43 	0.4 	0.43 	0.43 	0.45 b	0.43 	0.4 	: 
HES,PC_GDP,KR	0.25 d	0.24 d	0.24 d	0.24 d	0.25 d	0.26 d	0.28 d	0.32 b	0.35 	0.37 	0.38 	0.38 	0.38 	0.38 	0.39 	0.38 	: 
HES,PC_GDP,LT	0.21 	0.21 	0.33 	0.35 	0.4 	0.41 	0.39 	0.41 	0.42 	0.43 	0.42 	0.49 	0.48 	0.52 	0.54 	0.58 	0.33 
HES,PC_GDP,LU	0 	0.01 	: 	0.01 e	0.02 	0.02 	0.04 	0.05 e	0.1 	0.13 	0.19 	0.16 	0.21 	0.24 	0.21 	0.24 	0.23 
HES,PC_GDP,LV	0.16 	0.17 	0.16 	0.15 	0.14 	0.21 	0.22 	0.24 	0.28 	0.18 	0.24 	0.34 	0.33 	0.26 	0.28 	0.31 	0.19 
HES,PC_GDP,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.14 d	: 	0.12 d	0.14 d	0.17 	: 
HES,PC_GDP,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.3 	0.27 
HES,PC_GDP,MT	: 	: 	0.15 	0.15 	0.15 	0.15 	0.17 	0.18 	0.16 	0.17 	0.22 	0.21 	0.29 	0.3 	0.25 	0.25 	0.22 p
HES,PC_GDP,NL	0.58 	0.58 	0.61 	0.62 	0.6 	0.62 	0.59 	0.59 	0.62 	0.68 	0.7 	0.62 	0.61 	0.63 	0.64 	0.64 	0.64 p
HES,PC_GDP,NO	: 	0.4 	0.44 	0.46 	0.46 	0.46 	0.45 	0.5 b	0.5 	0.55 	0.53 	0.51 	0.51 	0.52 	0.53 	0.6 	0.66 
HES,PC_GDP,PL	0.2 	0.2 	0.19 	0.17 	0.18 	0.18 	0.17 	0.19 	0.2 	0.25 	0.27 	0.26 	0.3 	0.25 	0.27 	0.29 	0.3 p
HES,PC_GDP,PT	0.27 e	0.28 	0.27 e	0.27 	0.27 e	0.27 	0.3 e	0.33 	0.5 b	0.58 	0.57 	0.53 	0.5 	0.59 b	0.59 	0.57 	0.57 p
HES,PC_GDP,RO	0.04 	0.04 	0.06 	0.04 	0.04 	0.06 	0.08 	0.12 	0.16 	0.11 	0.11 	0.11 b	0.1 	0.08 	0.06 	0.09 	0.05 
HES,PC_GDP,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.47 	0.38 	0.41 	0.42 	0.39 	0.35 	0.35 	0.32 
HES,PC_GDP,RU	0.04 	0.06 	0.06 	0.07 	0.06 	0.06 	0.06 	0.07 	0.07 	0.08 	0.09 	0.09 	0.1 	0.1 	0.1 	0.11 	: 
HES,PC_GDP,SE	: 	0.77 	: 	0.79 	0.78 	0.75 	0.72 e	0.71 	0.74 e	0.85 	0.85 e	0.85 	0.89 e	0.9 	0.91 e	0.87 	0.87 p
HES,PC_GDP,SI	0.23 	0.24 	0.22 	0.17 	0.18 	0.24 	0.23 	0.22 	0.22 	0.26 	0.29 	0.29 b	0.29 	0.27 	0.25 	0.22 	0.22 p
HES,PC_GDP,SK	0.06 	0.06 	0.05 	0.07 	0.1 	0.1 	0.11 	0.11 	0.11 	0.12 	0.17 	0.23 	0.27 	0.27 	0.3 	0.51 	0.22 
HES,PC_GDP,TR	0.28 	0.31 	0.33 	0.31 	0.34 	0.31 	0.29 	0.33 	0.3 	0.38 	0.37 	0.36 	0.37 	0.34 	0.35 	0.35 	: 
HES,PC_GDP,UK	0.33 	0.37 	0.39 	0.38 	0.38 	0.4 	0.41 	0.42 	0.43 	0.47 	0.45 	0.44 	0.43 	0.44 	0.43 	0.42 	0.41 p
HES,PC_GDP,US	0.3 d	0.32 d	0.35 d	0.36 bd	0.36 d	0.36 d	0.35 d	0.35 d	0.37 d	0.4 d	0.4 d	0.4 d	0.39 d	0.38 d	0.37 dp	0.37 dp	: 
PNP,PC_GDP,AT	: 	: 	0.01 	: 	0.01 	0.01 e	0.01 	0.01 	0.01 e	0.01 b	0.01 e	0.01 	0.01 e	0.01 	0.01 e	0.01 	0.02 p
PNP,PC_GDP,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	: 	: 
PNP,PC_GDP,BE	0.02 	0.02 	0.02 	0.02 	0.03 	0.02 	0.03 	0.02 	0.02 	0.02 	0.02 	0.02 	0.01 b	0.01 	0.01 	0.01 	0.02 p
