n_item,unit,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
GE3,PC,T,Y_LT18,EU28	: 	: 	: 	: 	20.9 	21.1 	22.9 	22.4 	21.2 	19.5 	18.0 	15.8 e
GE3,PC,T,Y_LT18,FI	10.6 	9.8 	9.5 	8.1 	9.1 	9.0 	9.9 	9.3 	8.0 	7.8 	9.0 	8.7 
GE3,PC,T,Y_LT18,FR	14.8 	15.1 	16.3 	16.9 	15.7 	15.9 	16.6 	14.7 	14.3 	13.8 	13.9 	14.5 
GE3,PC,T,Y_LT18,HR	: 	: 	: 	: 	34.2 	35.5 	38.5 	35.5 	34.0 	33.0 	30.2 	: 
GE3,PC,T,Y_LT18,HU	42.0 	43.5 	39.3 	46.0 	47.4 	50.6 	51.9 	52.8 	47.9 	41.1 	37.3 	35.8 
GE3,PC,T,Y_LT18,IE	15.8 	13.9 	17.3 	22.6 	22.1 	30.0 	31.8 	29.8 	28.2 	23.5 	20.0 	: 
GE3,PC,T,Y_LT18,IS	8.4 	9.5 	2.9 b	3.5 	8.4 	8.0 	8.9 	8.3 	7.8 	6.8 	7.4 p	: 
GE3,PC,T,Y_LT18,IT	16.0 	17.5 	18.9 	18.7 	19.6 	23.2 	28.3 	26.4 	26.7 	24.6 	21.6 	17.7 
GE3,PC,T,Y_LT18,LT	39.0 	28.6 	21.1 b	25.3 	35.3 	32.8 	30.6 	33.2 	28.1 	26.4 	24.5 	23.1 
GE3,PC,T,Y_LT18,LU	3.8 	4.0 	4.7 	4.9 	5.0 	5.3 	6.0 	7.6 	6.5 	6.3 	7.2 b	5.1 
GE3,PC,T,Y_LT18,LV	47.8 	40.8 	35.6 b	42.1 	49.2 	49.2 	45.7 	41.1 	34.4 	28.8 	26.9 	20.4 
GE3,PC,T,Y_LT18,MK	: 	: 	: 	: 	: 	: 	58.7 	56.6 	54.3 	53.2 	50.9 	: 
GE3,PC,T,Y_LT18,MT	15.5 	16.3 	17.1 	19.5 	19.2 	21.0 	23.4 	22.0 	23.5 	18.1 	13.6 	10.9 
GE3,PC,T,Y_LT18,NL	8.7 	6.3 	6.3 	5.8 	8.3 	7.3 	6.9 	8.2 	10.4 	8.1 	6.7 b	6.6 
GE3,PC,T,Y_LT18,NO	6.0 	6.3 	5.4 	6.5 	7.0 	6.3 	4.8 	5.6 	4.0 	4.7 	5.3 	5.0 
GE3,PC,T,Y_LT18,PL	44.5 	38.8 	31.3 b	30.3 	29.2 	27.7 	28.5 	26.0 	21.9 	16.4 	13.7 	11.1 
GE3,PC,T,Y_LT18,PT	20.2 	23.9 	24.8 	25.2 	27.5 	25.2 	24.4 	29.2 	27.4 	22.3 	19.6 	17.8 
GE3,PC,T,Y_LT18,RO	: 	58.3 	56.0 	55.8 	56.2 	55.1 	57.0 	52.8 	48.6 	45.0 	46.6 	40.4 
GE3,PC,T,Y_LT18,RS	: 	: 	: 	: 	: 	: 	: 	44.2 	41.1 	38.5 	35.5 	: 
GE3,PC,T,Y_LT18,SE	8.5 	7.6 	7.1 b	7.6 	6.8 	7.1 	7.8 	7.7 	6.5 	5.3 	4.7 	6.1 
GE3,PC,T,Y_LT18,SI	12.4 	12.7 	13.9 	13.7 	13.0 	14.6 	14.1 	15.1 	14.3 	11.9 	11.2 	9.6 
GE3,PC,T,Y_LT18,SK	36.6 	31.8 	29.5 	28.3 	28.9 	23.7 	23.9 	25.5 	24.8 	22.3 	20.9 	17.8 
GE3,PC,T,Y_LT18,TR	78.8 	78.6 	78.1 	76.2 	77.7 	77.0 	74.7 	65.3 b	51.9 	52.1 	: 	: 
GE3,PC,T,Y_LT18,UK	17.1 	15.4 	17.5 	13.5 u	19.8 	20.0 	25.5 b	25.6 	22.5 	22.0 	18.6 	: 
