unit,indic_il,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,LI_R_MD60,T,Y_LT65,FI	10.8 	11.3 	11.8 	12.2 	12.1 	12.6 	12.1 	10.8 	12.1 	12.0 	11.5 	11.2 
PC,LI_R_MD60,T,Y_LT65,FR	12.6 	13.1 	12.7 	13.1 	14.1 	14.9 	15.1 	14.7 	14.4 	14.8 	14.9 	14.6 
PC,LI_R_MD60,T,Y_LT65,HR	: 	: 	: 	: 	18.5 	19.2 	19.3 	18.7 	18.6 	18.6 	17.9 	: 
PC,LI_R_MD60,T,Y_LT65,HU	17.0 	13.4 	13.8 	13.8 	13.8 	15.9 	15.9 	17.0 	17.0 	17.0 	16.0 	14.4 
PC,LI_R_MD60,T,Y_LT65,IE	17.4 	15.9 	14.8 	14.9 	15.9 	15.7 	17.2 	16.4 	17.2 	16.6 	16.7 	: 
PC,LI_R_MD60,T,Y_LT65,IS	9.4 	9.4 	9.4 	9.9 	10.5 	9.9 	8.4 	10.0 	8.0 	9.7 	9.2 p	: 
PC,LI_R_MD60,T,Y_LT65,IT	18.7 	18.9 	18.5 	18.2 	19.2 	20.5 	20.4 	20.4 	20.9 	21.4 	22.1 	21.6 
PC,LI_R_MD60,T,Y_LT65,LT	19.6 	17.2 	18.8 	19.6 	22.8 	21.3 	18.6 	20.8 	18.9 	21.6 	20.5 	20.4 
PC,LI_R_MD60,T,Y_LT65,LU	15.0 	14.5 	14.7 	16.2 	15.8 	14.9 	16.5 	17.3 	18.1 	16.5 	17.6 b	19.7 
PC,LI_R_MD60,T,Y_LT65,LV	22.1 	18.2 	20.3 	21.8 	21.7 	21.2 	20.4 	19.8 	19.6 	19.6 	17.9 	17.7 
PC,LI_R_MD60,T,Y_LT65,MK	: 	: 	: 	: 	28.1 	27.6 	26.7 	25.3 	23.2 	22.5 	23.0 	: 
PC,LI_R_MD60,T,Y_LT65,MT	12.8 	14.4 	13.9 	14.2 	15.1 	15.2 	14.7 	15.9 	15.6 	15.3 	14.7 	14.9 
PC,LI_R_MD60,T,Y_LT65,NL	10.4 	10.2 	10.7 	11.6 	11.0 	11.8 	10.9 	11.4 	12.8 	12.9 	13.6 b	14.0 
PC,LI_R_MD60,T,Y_LT65,NO	11.3 	11.5 	10.8 	11.6 	11.0 	10.4 	10.1 	11.2 	11.2 	12.5 	12.8 	12.9 
PC,LI_R_MD60,T,Y_LT65,PL	20.8 	18.8 	17.7 	17.6 	18.1 	18.1 	17.6 	18.1 	17.9 	18.7 	18.1 	15.3 
PC,LI_R_MD60,T,Y_LT65,PT	16.9 	16.6 	17.7 	17.4 	17.2 	17.6 	18.0 	19.8 	20.5 	20.1 	19.1 	18.6 
PC,LI_R_MD60,T,Y_LT65,RO	: 	23.8 	23.0 	22.2 	22.3 	23.7 	24.6 	24.6 	27.0 	26.7 	26.6 	24.3 
PC,LI_R_MD60,T,Y_LT65,RS	: 	: 	: 	: 	: 	: 	: 	25.5 	26.5 	26.6 	26.9 	: 
PC,LI_R_MD60,T,Y_LT65,SE	12.5 	10.7 	13.1 b	14.0 	14.9 	15.3 	15.1 	16.2 	16.1 	16.4 	16.1 	15.8 
PC,LI_R_MD60,T,Y_LT65,SI	10.1 	10.1 	10.7 	9.7 	11.3 	12.3 	12.4 	13.4 	14.0 	13.7 	13.1 	12.6 
PC,LI_R_MD60,T,Y_LT65,SK	12.1 	10.9 	11.0 	11.0 	12.7 	14.0 	14.1 	13.9 	13.7 	13.4 	13.9 	13.3 
PC,LI_R_MD60,T,Y_LT65,TR	27.1 	25.2 	25.1 	25.7 	24.8 	23.8 	24.0 	23.5 	23.3 	22.8 	: 	: 
PC,LI_R_MD60,T,Y_LT65,UK	17.6 	17.1 	17.1 	16.3 	16.3 	15.1 	15.9 	15.7 	16.6 	16.7 	15.6 	: 
PC,LI_R_MD60,T,Y_LT75,AT	12.1 	11.7 	14.8 	14.1 	14.4 	14.3 	14.2 	14.2 	13.9 	13.9 	13.9 	14.5 
PC,LI_R_MD60,T,Y_LT75,BE	13.7 	14.3 	14.0 	13.7 	14.1 	14.8 	14.8 	14.6 	15.2 	14.7 	15.5 	15.8 
PC,LI_R_MD60,T,Y_LT75,BG	17.9 	21.3 	19.8 	19.7 	19.2 	20.8 	20.0 	20.1 	21.3 	20.5 	22.2 b	22.0 
PC,LI_R_MD60,T,Y_LT75,CH	: 	14.1 	14.6 	14.1 	13.9 	13.7 	14.3 	12.8 	12.2 	14.3 	13.3 	: 
PC,LI_R_MD60,T,Y_LT75,CY	13.2 	13.0 	13.4 	13.3 	13.5 	12.9 	13.1 	14.4 	13.5 	15.8 	15.4 	14.8 
PC,LI_R_MD60,T,Y_LT75,CZ	10.0 	9.8 	9.1 	8.6 	9.0 	10.0 	9.8 	8.8 	9.9 	9.9 	9.6 	8.8 
PC,LI_R_MD60,T,Y_LT75,DE	12.4 	15.1 	15.3 	15.6 	15.9 	16.2 	16.4 	16.5 	17.0 	16.9 	16.5 	16.1 
PC,LI_R_MD60,T,Y_LT75,DK	10.9 	10.8 	11.0 	12.2 	12.4 	11.3 	11.5 	11.7 	11.9 	12.0 	11.7 	12.1 
PC,LI_R_MD60,T,Y_LT75,EA18	15.0 	15.7 	15.7 	15.9 	16.2 	16.8 	17.0 	17.0 	17.5 	17.5 	17.6 	17.2 e
PC,LI_R_MD60,T,Y_LT75,EA19	15.1 	15.7 	15.7 	15.9 	16.3 	16.8 	17.0 	17.0 	17.5 	17.5 	17.6 	17.3 e
PC,LI_R_MD60,T,Y_LT75,EE	17.5 	17.8 	17.2 	17.9 	15.8 	17.6 	17.5 	18.1 	20.5 	19.6 	19.1 	18.1 
PC,LI_R_MD60,T,Y_LT75,EL	19.5 	19.4 	19.5 	19.3 	19.6 	20.8 	23.4 	23.7 	22.7 	22.1 	22.1 	21.1 
PC,LI_R_MD60,T,Y_LT75,ES	19.4 	18.9 	19.0 	19.8 	20.3 	20.5 	21.3 	21.1 	23.2 	23.0 	23.1 	22.2 
PC,LI_R_MD60,T,Y_LT75,EU27	16.1 e	16.2 	16.2 	16.1 	16.4 	16.7 	16.9 	16.9 	17.4 	17.5 	17.4 	17.0 e
PC,LI_R_MD60,T,Y_LT75,EU28	: 	: 	: 	: 	16.4 	16.8 	16.9 	16.9 	17.4 	17.5 	17.4 	17.0 e
PC,LI_R_MD60,T,Y_LT75,FI	11.3 	11.8 	12.2 	12.4 	12.2 	12.6 	12.0 	10.7 	11.8 	11.5 	11.0 	10.7 
PC,LI_R_MD60,T,Y_LT75,FR	12.7 	13.0 	12.4 	12.8 	13.5 	14.2 	14.4 	14.0 	13.6 	14.0 	14.0 	13.7 
PC,LI_R_MD60,T,Y_LT75,HR	: 	: 	: 	: 	19.2 	19.8 	19.5 	18.8 	18.8 	19.1 	18.5 	: 
PC,LI_R_MD60,T,Y_LT75,HU	16.3 	12.7 	12.9 	12.9 	12.9 	14.7 	15.0 	15.8 	15.9 	15.8 	15.2 	13.8 
PC,LI_R_MD60,T,Y_LT75,IE	17.8 	16.5 	15.0 	14.9 	15.4 	15.4 	16.8 	16.0 	16.8 	16.3 	16.6 	: 
PC,LI_R_MD60,T,Y_LT75,IS	9.3 	9.4 	9.3 	9.7 	9.9 	9.4 	8.1 	9.6 	7.7 	9.3 	8.7 p	: 
PC,LI_R_MD60,T,Y_LT75,IT	18.9 	19.2 	18.6 	18.1 	18.7 	20.0 	19.7 	19.7 	20.0 	20.4 	21.2 	20.7 
PC,LI_R_MD60,T,Y_LT75,LT	19.5 	18.0 	19.8 	19.7 	21.4 	20.1 	18.6 	20.5 	19.0 	21.7 	21.2 	21.4 
PC,LI_R_MD60,T,Y_LT75,LU	14.4 	13.9 	13.8 	15.4 	14.9 	14.0 	15.6 	16.3 	17.0 	15.7 	17.0 b	19.1 
PC,LI_R_MD60,T,Y_LT75,LV	22.7 	19.9 	23.2 	24.0 	21.2 	19.9 	19.8 	19.6 	20.1 	20.7 	19.5 	19.4 
PC,LI_R_MD60,T,Y_LT75,MK	: 	: 	: 	: 	27.4 	27.0 	26.2 	24.6 	22.6 	21.9 	22.3 	: 
PC,LI_R_MD60,T,Y_LT75,MT	13.7 	14.8 	14.7 	14.7 	15.3 	15.5 	15.1 	15.8 	15.8 	16.1 	16.0 	16.3 
PC,LI_R_MD60,T,Y_LT75,NL	10.1 	10.1 	10.5 	11.3 	10.5 	11.2 	10.4 	10.7 	11.8 	11.8 	12.9 b	13.3 
PC,LI_R_MD60,T,Y_LT75,NO	11.1 	11.1 	10.4 	11.1 	10.6 	9.9 	9.6 	10.5 	10.5 	11.6 	11.8 	11.8 
PC,LI_R_MD60,T,Y_LT75,PL	19.9 	18.1 	17.3 	17.4 	17.9 	18.1 	17.4 	17.8 	17.5 	18.2 	17.7 	15.2 
PC,LI_R_MD60,T,Y_LT75,PT	17.4 	17.0 	17.9 	17.3 	17.1 	17.3 	17.5 	18.9 	19.7 	19.5 	18.6 	18.0 
PC,LI_R_MD60,T,Y_LT75,RO	: 	24.1 	23.1 	21.8 	21.5 	22.5 	23.2 	23.4 	25.5 	25.5 	25.4 	23.4 
PC,LI_R_MD60,T,Y_LT75,RS	: 	: 	: 	: 	: 	: 	: 	24.7 	25.5 	25.4 	25.6 	: 
PC,LI_R_MD60,T,Y_LT75,SE	11.9 	10.1 	12.7 b	13.5 	14.3 	14.7 	14.6 	15.4 	15.2 	15.7 	15.4 	15.1 
PC,LI_R_MD60,T,Y_LT75,SI	10.9 	10.7 	11.4 	10.3 	11.8 	12.7 	12.7 	13.6 	14.0 	13.8 	13.4 	12.7 
PC,LI_R_MD60,T,Y_LT75,SK	11.6 	10.5 	10.8 	10.8 	12.1 	13.2 	13.5 	13.0 	12.8 	12.5 	13.1 	12.6 
PC,LI_R_MD60,T,Y_LT75,TR	26.8 	24.9 	24.8 	25.4 	24.5 	23.5 	23.7 	23.2 	23.0 	22.5 	: 	: 
PC,LI_R_MD60,T,Y_LT75,UK	18.0 	17.6 	17.7 	16.6 	16.4 	15.3 	15.7 	15.5 	16.3 	16.3 	15.4 	: 
