age,sex,workint,indic_il,hhtyp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,SK	23.8 	24.7 	28.2 	24.1 	19.0 	26.9 	26.9 	21.2 	20.2 	25.5 	31.4 	28.6 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,TR	17.4 	20.5 	18.8 	20.0 	18.5 	17.9 	18.6 	22.8 	24.2 	24.0 	: 	: 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,UK	24.7 	23.0 	25.8 	22.7 	19.5 	20.5 	20.4 b	23.7 	26.5 	27.5 	21.5 	: 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,AT	5.0 	7.5 	11.3 b	9.7 	7.3 	11.0 	7.3 	9.7 	7.7 	10.0 	12.3 	9.2 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,BE	3.9 	4.6 	8.2 	4.3 	4.7 	5.3 	4.2 	6.5 	7.2 	3.9 	4.8 	5.3 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,BG	3.6 	3.8 	13.9 	9.2 	9.6 	11.7 	8.1 	7.8 	16.1 	11.7 	16.4 b	14.3 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,CH	: 	10.3 	13.9 	10.7 	11.2 	9.8 	10.2 	7.0 	9.6 b	7.7 	10.7 	: 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,CY	7.7 	6.6 	10.1 b	6.7 	5.4 	6.8 	5.9 	8.4 	5.1 	4.7 	9.0 	11.1 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,CZ	5.3 	5.9 	8.1 	9.8 	6.3 	6.6 	8.8 	5.7 	7.3 	6.5 	7.0 	7.7 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,DE	5.2 	5.8 	7.0 	6.4 	6.3 	6.0 	6.5 	7.9 	8.8 	6.5 	6.8 	8.5 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,DK	3.5 	4.5 	8.6 	10.7 	7.6 	6.1 b	10.6 	5.6 	6.8 	7.3 	11.7 	5.5 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,EA18	7.8 	8.9 	10.2 	10.4 	9.8 	9.8 	8.9 	9.2 	10.1 	9.4 	9.6 	11.3 e
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,EA19	7.9 	9.0 	10.3 	10.4 	9.9 	9.9 	8.9 	9.3 	10.1 	9.5 	9.7 	11.3 e
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,EE	12.2 	10.9 	11.2 	14.9 	7.5 	8.0 	10.1 	10.7 	13.4 b	14.4 	13.6 	13.8 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,EL	17.2 	18.5 	18.1 	18.1 	19.5 	18.7 	14.1 	11.0 	15.2 	13.5 	11.9 	12.1 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,ES	12.2 	15.4 	19.4 b	19.4 	18.0 	13.1 	14.7 	12.6 	17.1 	17.5 	15.9 	25.2 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,EU27	9.8 e	9.9 	11.1 	11.0 	11.1 	10.6 	10.4 	10.6 	11.3 	10.6 	10.7 	11.5 e
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,EU28	: 	: 	: 	: 	11.1 	10.5 	10.4 	10.5 	11.2 	10.6 	10.6 	11.5 e
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,FI	4.9 	8.0 	6.8 	5.3 	4.7 	4.0 	4.4 	3.5 	3.7 	3.2 	3.0 	4.3 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,FR	9.2 	9.7 	10.1 b	12.5 	10.8 	13.8 	10.4 	11.5 	15.1 	10.0 	13.3 	9.4 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,HR	: 	: 	: 	: 	6.3 	4.4 	4.0 	5.4 	4.7 	7.3 	5.7 	: 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,HU	8.0 	11.6 	9.0 	10.1 	8.9 	7.4 	8.1 	11.5 	7.7 	10.4 	17.4 	11.8 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,IE	8.1 	6.9 	7.1 	3.7 	7.6 	2.3 	4.6 	4.1 	4.2 	2.7 	6.1 	: 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,IS	9.6 	13.2 	9.5 	12.6 	13.2 	10.0 	9.3 	8.4 	9.2 	10.4 	10.2 p	: 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,IT	9.5 	11.0 	8.1 	10.9 	11.3 	11.8 	10.3 	10.1 	9.9 	12.7 	10.2 	15.9 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,LT	16.2 	17.3 	19.3 	17.9 	16.9 	21.4 	11.6 	23.1 	15.4 	16.4 	13.4 	16.9 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,LU	12.6 	13.5 	15.1 	17.2 	14.1 	16.0 	15.6 	17.4 	21.5 	16.4 	16.5 b	21.4 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,LV	16.3 	13.5 	12.4 	18.5 	13.7 	9.0 	14.7 	14.5 	9.7 	13.9 	10.6 	10.4 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,MK	: 	: 	: 	: 	: 	: 	8.9 	12.7 	9.0 	4.4 	4.2 	: 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,MT	2.4 	2.8 	3.1 	5.3 	5.0 	5.5 	2.5 	4.1 	7.5 	5.7 	9.2 	11.7 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,NL	3.9 	4.7 	6.6 	6.5 	6.7 	7.9 	5.8 	4.4 	4.0 	5.0 	6.1 b	6.6 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,NO	5.5 	6.5 	6.6 	9.5 	7.9 	5.5 	8.0 	8.5 	7.3 	5.6 	11.7 	13.0 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,PL	19.6 	16.7 	18.1 	18.5 	18.0 	15.9 	16.8 	15.0 	10.9 	15.2 	13.0 	10.2 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,PT	12.8 	15.2 	19.6 	18.7 	15.9 	18.9 	15.4 	14.4 	14.2 	17.9 	17.3 	19.5 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,RO	: 	22.3 	23.9 	20.2 	26.7 	28.9 	33.2 	31.2 	38.6 	33.1 	32.9 	24.4 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,RS	: 	: 	: 	: 	: 	: 	: 	13.1 	17.0 	13.7 	12.4 	: 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,SE	13.6 	10.7 	6.7 b	5.8 	8.1 	6.4 	14.2 	8.8 	14.6 	15.2 	13.4 	9.7 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,SI	8.1 	6.7 	6.6 	8.1 	9.1 	9.0 	9.0 	11.0 	9.3 	8.7 	8.1 	8.8 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,SK	13.4 	9.9 	10.2 	11.8 	9.6 	12.5 	10.8 	11.6 	8.0 	10.4 	11.3 	9.3 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,TR	22.7 	21.1 	24.1 	24.8 	26.0 	21.4 	22.4 	21.1 	17.7 	17.9 	: 	: 
Y_LT60,T,WI055-085,LI_R_MD60,HH_DCH,UK	11.1 	8.2 	9.6 	9.2 	11.5 	8.8 	10.1 b	11.6 	11.6 	9.7 	9.5 	: 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,AT	4.1 	4.6 	6.4 b	6.3 	6.0 	4.1 	6.4 	5.4 	5.1 	7.0 	5.8 	6.3 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,BE	3.2 	3.0 	3.8 	2.6 	2.9 	2.2 	2.6 	1.4 	2.7 	3.3 	2.8 	2.8 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,BG	1.7 	1.8 	2.4 	4.6 	5.1 	3.5 	4.0 	3.3 	3.9 	3.5 	7.7 b	6.5 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,CH	: 	7.6 	4.2 	8.0 	3.1 	3.5 	5.0 	4.7 	3.7 b	5.7 	3.5 	: 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,CY	1.7 	1.9 	1.6 b	2.4 	3.5 	1.9 	2.3 	3.3 	1.2 	0.7 	1.4 	1.2 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,CZ	3.2 	2.8 	3.8 	2.4 	3.3 	3.3 	3.8 	3.1 	3.7 	3.6 	3.7 	3.4 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,DE	2.7 	4.4 	4.4 	3.7 	5.4 	5.3 	5.1 	4.6 	6.1 	4.8 	4.9 	4.2 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,DK	4.5 	3.5 	4.7 	3.8 	4.4 	5.2 b	2.7 	3.8 	4.2 	5.3 	3.3 	3.8 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,EA18	4.6 	4.6 	5.0 	5.3 	4.6 	5.1 	5.4 	4.8 	4.8 	4.8 	5.2 	5.4 e
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,EA19	4.7 	4.6 	5.1 	5.4 	4.7 	5.1 	5.4 	4.8 	4.9 	4.9 	5.2 	5.4 e
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,EE	7.1 	8.0 	8.2 	9.1 	6.5 	6.6 	6.5 	5.5 	8.4 b	8.7 	7.8 	8.7 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,EL	10.4 	10.1 	8.5 	9.3 	7.3 	3.6 	6.3 	4.5 	4.1 	4.8 	5.3 	4.6 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,ES	8.3 	7.4 	7.5 b	9.2 	5.7 	7.4 	5.3 	5.3 	5.5 	6.6 	7.4 	6.5 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,EU27	5.7 e	5.4 	5.9 	5.7 	5.5 	5.8 	5.8 	5.4 	5.7 	5.7 	6.1 	6.0 e
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,EU28	: 	: 	: 	: 	5.5 	5.8 	5.7 	5.4 	5.6 	5.7 	6.0 	6.0 e
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,FI	2.8 	3.2 	3.7 	3.1 	2.3 	2.4 	2.5 	2.5 	3.4 	3.0 	2.8 	2.1 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,FR	3.1 	3.4 	3.7 b	4.1 	4.2 	4.5 	5.9 	5.2 	4.5 	4.7 	5.1 	5.8 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,HR	: 	: 	: 	: 	2.1 	3.3 	2.8 	2.8 	1.8 	1.3 	1.4 	: 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,HU	5.4 	4.6 	3.1 	3.6 	2.2 	3.2 	2.2 	2.3 	4.0 	6.6 	8.3 	8.8 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,IE	3.0 	2.9 	3.9 	3.4 	1.4 	1.5 	1.7 	1.8 	1.7 	1.7 	0.9 	: 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,IS	6.8 	6.3 	6.8 	5.1 	4.1 	4.1 	3.9 	4.5 	2.8 	4.2 	4.5 p	: 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,IT	3.6 	3.3 	4.0 	4.9 	3.5 	5.2 	6.6 	4.9 	4.8 	4.3 	5.1 	6.3 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,LT	8.4 	6.1 	9.8 	10.3 	10.4 	7.2 	7.8 	7.8 	8.7 	8.3 	7.9 	6.4 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,LU	9.3 	7.5 	6.9 	7.0 	8.7 	6.6 	6.6 	10.2 	8.5 	9.6 	9.0 b	9.6 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,LV	12.0 	9.3 	9.9 	8.1 	7.1 	6.9 	5.4 	7.4 	6.9 	7.8 	5.0 	5.4 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,MK	: 	: 	: 	: 	: 	: 	5.0 	7.2 	5.4 	5.0 	4.7 	: 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,MT	1.1 	2.1 	2.0 	0.8 	2.9 	2.0 	1.0 	1.3 	1.0 	2.1 	0.9 	1.5 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,NL	4.9 	5.2 	4.7 	4.4 	3.6 	4.1 	3.1 	4.8 	1.0 	0.8 	2.2 b	3.6 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,NO	3.9 	4.0 	3.4 	3.4 	4.1 	4.2 	2.6 	3.4 	3.8 	4.1 	3.9 	10.3 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,PL	10.1 	9.4 	9.4 	8.6 	8.2 	8.2 	7.5 	8.1 	7.1 	7.8 	7.6 	6.7 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,PT	7.3 	4.4 	8.2 	6.6 	5.2 	7.6 	6.0 	6.9 	7.2 	7.4 	7.0 	6.2 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,RO	: 	13.0 	14.0 	13.4 	14.9 	15.1 	12.3 	13.7 	15.6 	14.8 	14.9 	12.7 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,RS	: 	: 	: 	: 	: 	: 	: 	9.1 	8.9 	6.7 	5.9 	: 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,SE	6.4 	4.9 	5.3 b	5.4 	5.8 	5.3 	4.3 	5.2 	5.2 	5.4 	4.5 	5.6 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,SI	2.3 	2.6 	3.3 	3.2 	3.0 	3.5 	3.2 	3.0 	2.3 	2.9 	2.0 	3.8 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,SK	5.9 	5.5 	6.3 	5.1 	6.2 	5.9 	5.6 	4.1 	5.4 	5.3 	5.4 	6.6 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,TR	23.6 	21.7 	24.1 	23.2 	23.5 	20.8 	17.7 	15.8 	12.9 	11.8 	: 	: 
Y_LT60,T,WI085-1,LI_R_MD60,HH_DCH,UK	4.2 	4.2 	5.2 	2.6 	4.1 	4.5 	5.0 b	4.4 	5.5 	5.3 	6.5 	: 
