sex,prof_pos,sectperf,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
T,TOTAL,GOV,PC_ACT_FTE,HR	: 	: 	: 	0.1882 	0.2073 	0.1813 	0.1838 	0.1775 	0.1774 	0.1931 	0.1936 	0.1959 	0.1917 d	0.1917 d	0.1797 d	0.1749 d	0.1657 b
T,TOTAL,GOV,PC_ACT_FTE,HU	0.2017 	0.1901 d	0.1951 d	0.1897 d	0.184 b	0.1831 	0.1935 	0.1872 	0.1943 	0.1991 	0.1972 	0.2024 	0.1783 	0.1806 	0.1635 	0.1809 	0.1641 
T,TOTAL,GOV,PC_ACT_FTE,IE	0.0787 	0.0696 b	0.063 	0.0596 	0.0609 	0.0539 	0.0539 	0.0524 	0.0485 	0.0464 	0.0466 	0.0474 	0.0424 	0.0373 	0.0376 	0.0429 	0.0439 
T,TOTAL,GOV,PC_ACT_FTE,IS	: 	: 	: 	0.5032 	: 	0.5373 	0.5106 	0.4054 	0.4164 	0.4744 	: 	0.3474 b	: 	0.1518 b	: 	0.1519 	0.0989 
T,TOTAL,GOV,PC_ACT_FTE,IT	0.1344 	0.127 	0.1309 	0.1322 	0.1352 	0.1366 	0.1504 	0.1478 	0.1399 	0.1394 	0.1432 	0.1489 	0.1524 	0.1573 	0.1538 	0.1547 	0.1517 p
T,TOTAL,GOV,PC_ACT_FTE,KR	0.0596 d	0.0659 d	0.061 d	0.0648 d	0.0773 d	0.071 d	0.0793 d	0.0864 b	0.0894 	0.1057 	0.1089 	0.1125 	: 	: 	: 	: 	: 
T,TOTAL,GOV,PC_ACT_FTE,LT	0.3027 	0.2906 	0.2127 	0.1961 	0.1933 	0.2016 	0.1922 	0.1997 	0.1989 	0.1959 	0.171 	0.1534 	0.1479 	0.1551 	0.1539 	0.1503 	0.1674 
T,TOTAL,GOV,PC_ACT_FTE,LU	0.1655 	0.2052 	0.2153 	0.2466 	0.2586 	0.2774 	0.3098 	0.3432 	0.3796 	0.4002 	0.4525 	0.5014 	0.4788 	0.4763 	0.46 	0.4147 	0.4094 p
T,TOTAL,GOV,PC_ACT_FTE,LV	0.111 	0.1027 	0.1054 	0.0937 	0.0953 	0.1197 	0.1089 	0.1266 	0.1391 	0.1133 	0.0985 	0.1161 	0.1163 	0.1195 	0.1222 	0.1227 	0.1125 
T,TOTAL,GOV,PC_ACT_FTE,MK	: 	: 	: 	: 	: 	: 	0.0735 	0.0706 	0.0685 	0.0595 	0.0685 	0.0361 	0.07 	0.0462 	0.045 	0.0215 	0.0296 
T,TOTAL,GOV,PC_ACT_FTE,MT	: 	: 	0.086 	0.0229 	0.0287 	0.0281 	0.0292 	0.0202 	0.0323 	0.039 	0.0215 	0.0212 	0.0218 	0.0185 	0.0196 	0.0224 	0.0195 p
T,TOTAL,GOV,PC_ACT_FTE,NL	0.1567 b	0.157 	0.1541 	0.1712 bd	0.1617 d	0.151 d	0.1505 d	0.1408 d	0.14 d	0.1306 d	0.1326 d	0.1308 d	0.1554 bd	0.1543 d	0.1627 d	0.1646 d	0.1687 p
T,TOTAL,GOV,PC_ACT_FTE,NO	: 	0.2061 	0.2111 	0.2149 	0.2144 	0.2193 	0.223 	0.2324 b	0.2241 	0.2491 	0.2511 	0.2577 	0.2577 	0.2597 	0.2543 	0.2562 	0.2548 
T,TOTAL,GOV,PC_ACT_FTE,PL	0.1112 	0.1028 	0.1412 	0.1268 	0.1177 	0.106 	0.1059 	0.1052 	0.1089 	0.1082 	0.1196 	0.1262 	0.1276 	0.128 	0.1318 	0.129 	: 
T,TOTAL,GOV,PC_ACT_FTE,PT	0.1199 e	0.1189 	0.1071 e	0.0963 	0.0926 e	0.0883 	0.0876 e	0.0871 	0.0881 	0.0751 	0.0644 	0.0636 	0.0433 	0.0396 	0.0409 	0.0417 	0.041 p
T,TOTAL,GOV,PC_ACT_FTE,RO	0.0727 	0.0819 	0.0919 	0.1011 	0.1044 	0.1075 	0.0876 	0.0927 	0.109 	0.0918 	0.0972 	0.1213 b	0.1286 	0.1397 	0.1336 	0.1364 	0.1456 
T,TOTAL,GOV,PC_ACT_FTE,RU	0.3798 	0.3889 	0.3862 	0.3857 	0.387 	0.4029 	0.4003 	0.393 	0.3738 	0.3728 	0.3716 	0.3647 	0.387 	: 	: 	: 	: 
T,TOTAL,GOV,PC_ACT_FTE,SE	: 	0.063 	: 	0.0667 	0.0676 	0.0746 be	0.0772 e	0.0685 e	0.0612 e	0.0543 e	0.0644 e	0.0693 be	0.0684 e	0.0648 e	0.068 e	0.0839 e	0.0837 p
T,TOTAL,GOV,PC_ACT_FTE,SI	0.2723 	0.2506 	0.2392 	0.1772 	0.1784 	0.254 	0.2851 	0.3074 	0.3193 	0.3201 	0.3088 	0.2633 b	0.2589 	0.2622 	0.2513 	0.2457 	0.2547 p
T,TOTAL,GOV,PC_ACT_FTE,SK	0.1624 	0.1521 d	0.1466 d	0.147 d	0.1322 d	0.141 d	0.1408 d	0.1593 d	0.157 d	0.1476 d	0.1617 d	0.1538 d	0.1547 d	0.1311 d	0.1532 d	0.1594 	0.1612 
T,TOTAL,GOV,PC_ACT_FTE,TR	: 	: 	: 	: 	: 	: 	0.0444 	0.0431 	0.0431 	0.0464 	0.046 	0.0456 	0.0458 	0.044 	0.0435 	0.0427 	: 
T,TOTAL,GOV,PC_ACT_FTE,UK	0.1041 	0.0818 b	0.0737 	0.0732 	0.0711 	0.069 	0.0684 	0.0608 	0.0609 	0.0613 	0.061 	0.0547 	0.0542 	0.053 	0.0515 	0.046 	0.0438 p
T,TOTAL,HES,PC_ACT_FTE,AT	: 	: 	0.2576 	: 	0.2976 	0.314 e	0.3172 	0.335 	0.3617 e	0.3644 	0.3829 e	0.3854 	0.395 e	0.3952 	0.4075 e	0.4094 	0.4134 p
T,TOTAL,HES,PC_ACT_FTE,BE	0.363 	0.3758 	0.3679 	0.375 	0.3885 	0.3872 	0.4054 	0.4157 	0.4354 	0.4533 	0.4607 	0.4714 	0.4698 	0.4725 	0.4824 	0.5315 	0.5571 p
T,TOTAL,HES,PC_ACT_FTE,BG	0.0724 	0.0763 	0.086 	0.0889 	0.0926 	0.1026 	0.1026 	0.1238 	0.1287 	0.156 	0.1288 	0.158 	0.1318 	0.1359 	0.153 	0.138 	0.1783 
T,TOTAL,HES,PC_ACT_FTE,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.575 	: 	0.6099 	: 	: 	: 	: 
T,TOTAL,HES,PC_ACT_FTE,CY	0.0452 	0.046 	0.0643 	0.0817 	0.1071 	0.1243 	0.1277 	0.1331 	0.1238 	0.139 	0.144 	0.1495 	0.1406 	0.1452 	0.1409 	0.1423 	0.1324 p
T,TOTAL,HES,PC_ACT_FTE,CZ	0.105 	0.1198 	0.1158 	0.1187 	0.1206 	0.2144 b	0.2527 	0.2467 	0.2588 	0.2651 	0.2707 	0.2861 	0.3177 	0.3115 	0.3174 	0.3243 	0.2909 p
T,TOTAL,HES,PC_ACT_FTE,DE	0.2578 	0.259 	0.2669 	0.2551 	0.2423 	0.2339 	0.2384 b	0.2536 	0.2621 	0.2824 	0.3011 	0.3074 	0.3155 	0.3187 	0.3234 	0.326 	0.3422 b
T,TOTAL,HES,PC_ACT_FTE,DK	0.2818 	0.2922 	0.3663 b	0.3793 	0.3906 	0.4062 	0.4202 	0.479 b	0.5407 	0.5798 	0.6422 	0.6605 	0.7039 	0.741 	0.7402 	0.7435 p	0.7175 e
T,TOTAL,HES,PC_ACT_FTE,EA19	0.2877 e	0.295 e	0.2966 e	0.2975 e	0.3008 e	0.3053 e	0.3126 e	0.3222 e	0.3363 e	0.3468 e	0.3561 e	0.3547 e	0.3549 e	0.3591 e	0.3627 	0.3766 	0.3805 p
