unit,nace_r2,s_adj,na_item,geo\time	1995Q1 	1995Q2 	1995Q3 	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
THS_PER,TOTAL,NSA,EMP_DC,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14314.40 	14512.00 	14718.00 	14522.00 	14144.40 	14241.50 	14375.70 	14017.60 	13678.80 	13795.80 	13877.80 	13712.80 	13336.00 	13648.80 	13730.80 	13708.80 	13432.50 	13641.50 	13944.50 	14022.50 	13719.00 	13893.00 	14294.00 	14322.00 	14030.90 	14358.90 	14804.90 	14820.90 	14764.90 	15071.90 	15332.90 	15453.90 	15481.10 	15598.10 	15919.10 	15929.30 	15640.20 	15754.30 	15955.10 	15808.00 	15085.80 b	15368.80 	15582.10 	15444.50 	15253.60 	15491.00 	15583.20 	15501.40 	15281.90 	15489.00 	15628.00 	15500.70 	15207.90 	15418.90 	15622.70 	15605.70 	15486.20 	15665.70 	15916.10 	15856.00 	15729.60 	15892.20 	16103.20 	16155.00 	15890.80 p	16055.80 p	16134.00 p	16162.00 p	16169.70 p	16353.70 p	16357.70 p	16243.70 p	16230.40 p	16471.30 p
THS_PER,TOTAL,NSA,EMP_DC,PT	4502.45 	4529.87 	4536.62 	4547.00 	4555.65 	4590.41 	4645.24 	4628.19 	4657.57 	4696.78 	4765.79 	4782.07 	4810.08 	4878.80 	4862.12 	4881.53 	4900.88 	4930.97 	4950.18 	4950.93 	4995.16 	5023.44 	5068.39 	5080.46 	5105.19 	5123.86 	5140.37 	5150.95 	5152.46 	5172.82 	5173.70 	5100.75 	5104.21 	5108.23 	5106.09 	5082.24 	5063.60 	5075.22 	5061.32 	5056.60 	5025.52 	5053.40 	5044.59 	5040.33 	5042.08 	5086.32 	5081.79 	5033.26 	5033.83 	5051.91 	5088.35 	5072.23 	5076.40 	5108.01 	5074.88 	5061.22 	4987.97 	4959.11 	4906.83 	4912.83 	4907.80 	4886.46 	4856.73 	4834.32 	4816.05 	4833.67 	4796.88 	4660.32 	4626.10 	4645.25 	4599.49 	4454.96 	4374.51 	4453.05 	4492.98 	4480.13 	4437.92 	4524.35 	4579.82 	4509.85 	4501.98 	4612.20 	4598.03 	4591.09 	4551.75 	4649.78 	4702.09 	4695.64 	4701.29 	4815.34 	4845.84 	4846.62 	4851.50 	4917.43 
THS_PER,TOTAL,NSA,EMP_DC,RO	10751.80 	11975.10 	12136.80 	11606.30 	10421.45 	11568.65 	11726.75 	11228.75 	10856.05 	11608.75 	11730.35 	11132.45 	10519.53 	11252.83 	11382.43 	10805.63 	10382.50 	11131.60 	11250.40 	10657.50 	10450.63 	10925.53 	11106.03 	10604.23 	10296.68 	10794.48 	11061.28 	10476.78 	9155.45 	9736.75 	9945.75 	9457.65 	9153.60 	9778.60 	9958.60 	9386.80 	9060.13 	9596.53 	9655.03 	9329.93 	9066.54 	9463.06 	9360.14 	9179.06 	9041.25 	9490.68 	9678.84 	9112.04 	9107.18 	9429.18 	9706.48 	9216.38 	9276.66 	9333.25 	9625.68 	9228.02 	9178.56 	9215.14 	9398.94 	8931.29 	8839.10 	9389.60 	9449.80 	8945.70 	9013.05 	9154.45 	9176.45 	8984.85 	8382.20 b	8766.50 	8854.00 	8578.50 	8321.90 	8687.40 	8764.60 	8503.80 	8399.30 	8709.80 	8863.30 	8565.90 	8210.70 	8667.10 	8759.80 	8465.20 	8225.30 	8511.70 	8619.10 	8362.30 	8307.20 p	8969.70 p	8855.10 p	8539.80 p	8454.50 p	8839.10 p
THS_PER,TOTAL,NSA,EMP_DC,SE	4073.70 	4118.20 	4216.20 	4107.90 	4077.10 	4086.70 	4173.20 	4046.20 	3998.80 	4019.50 	4136.30 	4018.60 	4036.60 	4078.30 	4216.50 	4114.50 	4137.50 	4177.10 	4290.10 	4185.50 	4225.00 	4284.80 	4391.00 	4302.90 	4361.60 	4367.80 	4487.20 	4348.60 	4372.50 	4373.90 	4486.70 	4339.90 	4343.90 	4361.10 	4462.00 	4304.50 	4303.40 	4315.70 	4442.30 	4287.60 	4298.10 	4312.10 	4458.40 	4326.90 	4343.60 	4371.90 	4554.00 	4421.70 	4466.00 	4486.30 	4643.60 	4502.40 	4540.80 	4543.60 	4675.00 	4501.30 	4466.10 	4426.50 	4536.50 	4390.50 	4437.00 	4447.70 	4618.60 	4487.70 	4554.50 	4550.50 	4708.70 	4561.20 	4602.90 	4585.20 	4734.90 	4584.60 	4634.90 	4623.60 	4779.40 	4641.00 	4680.70 	4684.80 	4872.40 	4710.90 	4771.40 	4737.10 	4923.80 	4796.70 	4854.50 	4857.20 	4991.70 	4882.80 	4971.60 	4958.10 	5121.50 	4987.20 	5070.60 	5042.40 
THS_PER,TOTAL,NSA,EMP_DC,SI	928.43 	927.20 	922.32 	911.85 	906.18 	906.52 	906.36 	897.60 	881.12 	883.73 	897.35 	888.52 	882.43 	884.23 	894.70 	885.61 	888.93 	897.02 	912.00 	903.63 	900.19 	909.93 	929.73 	917.83 	909.52 	916.58 	934.20 	918.27 	923.64 	930.36 	948.08 	934.50 	921.06 	928.20 	945.41 	930.49 	919.05 	928.77 	950.90 	937.34 	917.14 	926.33 	942.11 	932.39 	926.83 	938.25 	958.62 	952.85 	952.87 	968.56 	994.04 	987.74 	981.99 	995.92 	1017.19 	1008.18 	987.04 	981.72 	988.67 	974.17 	958.33 	961.37 	972.40 	956.30 	937.89 	944.65 	956.74 	944.83 	937.63 	940.36 	937.47 	933.51 	919.73 	924.74 	928.76 	933.59 	917.81 	928.22 	934.47 	941.22 	929.91 	940.31 	946.79 	953.21 	941.35 	956.60 	965.20 	974.84 	968.73 	984.04 	994.00 	1004.40 	1000.75 	1013.62 
THS_PER,TOTAL,NSA,EMP_DC,SK	2062.30 	2098.38 	2152.17 	2115.93 	2100.08 	2153.04 	2190.44 	2160.91 	2102.82 	2125.68 	2143.58 	2143.55 	2119.63 	2119.77 	2112.85 	2123.24 	2102.91 	2081.96 	2051.73 	2024.16 	1988.13 	2007.22 	2037.63 	2066.42 	2017.99 	2046.46 	2051.40 	2030.21 	2008.89 	2045.95 	2062.33 	2036.49 	2034.66 	2065.89 	2078.87 	2062.44 	2027.57 	2048.39 	2076.65 	2070.30 	2063.49 	2079.73 	2100.01 	2112.40 	2103.45 	2122.80 	2147.66 	2155.64 	2147.82 	2163.79 	2191.53 	2204.74 	2214.84 	2235.32 	2272.43 	2265.96 	2217.89 	2216.50 	2198.08 	2180.17 	2148.63 	2162.17 	2179.65 	2188.84 	2198.42 	2211.15 	2216.14 	2207.53 	2212.23 	2216.39 	2214.38 	2194.73 	2190.73 	2186.92 	2195.32 	2196.04 	2204.96 	2218.57 	2227.13 	2241.94 	2243.59 	2264.02 	2275.05 	2285.74 	2293.80 	2315.51 	2330.53 	2344.36 	2341.65 	2365.20 	2385.15 	2397.02 	2394.00 	2416.03 
THS_PER,TOTAL,NSA,EMP_DC,UK	25517.14 	25711.24 	25997.86 	26031.12 	25826.32 	25945.16 	26200.02 	26253.50 	26244.69 	26444.24 	26707.38 	26694.84 	26546.32 	26641.90 	26968.58 	27017.32 	26908.90 	27023.09 	27351.15 	27385.18 	27238.59 	27399.08 	27684.75 	27610.75 	27504.98 	27642.63 	27837.73 	27860.23 	27688.45 	27872.76 	28050.50 	28163.90 	28001.90 	28166.34 	28366.09 	28357.96 	28371.29 	28407.11 	28627.03 	28728.38 	28704.68 	28735.01 	29035.31 	28937.60 	28965.60 	29031.51 	29288.70 	29276.00 	29108.35 	29241.89 	29524.70 	29640.04 	29595.72 	29637.06 	29684.88 	29592.60 	29276.71 	29003.29 	29170.24 	29166.81 	28923.54 	29109.71 	29483.80 	29390.42 	29349.88 	29366.97 	29376.22 	29405.44 	29365.19 	29587.21 	29851.10 	29974.64 	29750.28 	29860.87 	30195.11 	30362.62 	30446.06 	30627.54 	30918.89 	31017.15 	31073.78 	31034.76 	31412.21 	31603.85 	31481.58 	31649.03 	31868.76 	31902.20 	31866.17 	31996.09 	32140.69 	32230.56 	32277.10 	32318.97 
THS_PER,TOTAL,NSA,SAL_DC,AT	3031.55 	3090.42 	3156.90 	3090.72 	3022.51 	3082.64 	3156.19 	3092.71 	3050.81 	3110.45 	3181.86 	3123.33 	3079.40 	3147.75 	3217.42 	3156.92 	3134.60 	3202.35 	3273.10 	3210.71 	3174.33 	3242.90 	3311.21 	3246.23 	3201.30 	3261.82 	3331.66 	3265.44 	3197.04 	3253.18 	3324.02 	3258.04 	3209.09 	3271.19 	3345.12 	3275.86 	3211.32 	3280.79 	3363.95 	3304.34 	3250.17 	3316.51 	3402.03 	3344.89 	3293.02 	3371.91 	3463.24 	3411.03 	3371.77 	3435.72 	3526.08 	3479.28 	3455.33 	3510.47 	3589.81 	3521.82 	3457.36 	3483.27 	3546.21 	3493.34 	3446.81 	3510.28 	3595.43 	3549.37 	3508.43 	3574.55 	3664.26 	3612.60 	3571.28 	3631.84 	3712.42 	3649.83 	3595.46 	3653.18 	3731.21 	3668.31 	3627.24 	3685.29 	3761.99 	3703.37 	3663.83 	3720.25 	3800.68 	3749.73 	3714.26 	3770.93 	3853.27 	3807.92 	3774.89 	3844.86 	3924.85 	3889.49 	3870.32 	3935.29 
THS_PER,TOTAL,NSA,SAL_DC,BE	3137.60 	3149.00 	3225.60 	3166.30 	3151.70 	3149.40 	3226.50 	3167.30 	3163.80 	3165.90 	3252.60 	3213.00 	3216.60 	3226.70 	3336.70 	3292.20 	3284.40 	3279.00 	3384.00 	3343.60 	3355.20 	3362.30 	3480.40 	3430.40 	3437.00 	3436.80 	3542.20 	3461.40 	3445.50 	3449.20 	3532.00 	3446.20 	3426.20 	3448.10 	3534.20 	3451.80 	3459.40 	3478.90 	3576.10 	3497.60 	3522.20 	3542.10 	3635.80 	3542.40 	3549.80 	3581.30 	3685.50 	3598.70 	3610.10 	3641.30 	3751.70 	3669.90 	3686.50 	3713.30 	3825.40 	3723.80 	3702.90 	3704.40 	3791.10 	3697.30 	3695.10 	3721.60 	3831.00 	3740.80 	3750.50 	3780.60 	3884.50 	3785.90 	3779.40 	3797.60 	3889.60 	3782.70 	3762.80 	3768.10 	3865.20 	3770.00 	3761.70 	3785.10 	3882.00 	3791.90 	3786.10 	3813.80 	3918.40 	3823.10 	3819.70 	3856.10 	3969.60 	3873.90 	3877.70 	3918.20 	4020.80 	3919.20 	3924.70 	3964.20 
THS_PER,TOTAL,NSA,SAL_DC,BG	2641.80 	2734.36 	2761.94 	2734.27 	2706.24 	2783.85 	2776.72 	2695.17 	2611.16 	2641.12 	2611.75 	2519.68 	2499.73 	2566.31 	2592.82 	2442.09 	2372.48 	2447.58 	2450.35 	2316.06 	2321.96 	2374.96 	2343.40 	2261.04 	2224.33 	2299.92 	2313.96 	2251.34 	2222.98 	2296.71 	2327.49 	2275.26 	2264.78 	2346.22 	2425.12 	2423.80 	2344.12 	2420.96 	2505.50 	2456.99 	2391.85 	2536.69 	2605.12 	2558.12 	2514.12 	2633.28 	2700.10 	2676.98 	2625.62 	2732.85 	2821.41 	2781.85 	2717.81 	2766.92 	2901.44 	2839.83 	2740.49 	2771.30 	2769.31 	2709.33 	2600.45 	2623.26 	2675.92 	2610.45 	2566.69 	2586.86 	2645.44 	2549.18 	2513.89 p	2536.77 p	2624.19 p	2484.85 p	2456.84 p	2524.02 p	2602.09 p	2461.25 p	2442.87 p	2528.52 p	2600.78 p	2452.71 p	2462.40 p	2541.46 p	2635.25 p	2484.23 p	2500.86 p	2593.55 p	2675.47 p	2534.41 p	2526.10 p	2590.13 p	2680.62 p	2540.65 p	2559.22 p	2627.71 p
THS_PER,TOTAL,NSA,SAL_DC,CY	216.54 	226.27 	229.42 	223.33 	218.57 	228.72 	231.45 	225.59 	220.69 	231.25 	234.40 	228.87 	225.36 	236.00 	239.01 	232.85 	229.22 	240.52 	244.00 	237.83 	236.15 	241.71 	244.56 	244.51 	242.42 	248.25 	251.24 	251.27 	249.34 	255.41 	258.46 	258.72 	256.47 	262.22 	265.44 	266.19 	269.19 	272.89 	276.13 	277.21 	281.14 	285.77 	290.72 	289.97 	290.05 	300.73 	299.79 	304.49 	311.78 	325.10 	327.66 	327.00 	331.76 	346.73 	352.37 	342.84 	340.66 	348.28 	350.97 	343.68 	346.82 	357.13 	358.24 	355.60 	353.56 	362.64 	361.58 	354.47 	345.63 	352.89 	349.06 	340.87 	327.88 	330.10 	326.59 	318.11 	310.97 	322.52 	324.54 	316.94 	311.30 	326.92 	330.95 	325.98 	322.48 	342.56 	347.13 	344.41 	332.73 p	353.80 p	362.89 p	359.83 p	347.45 p	369.75 p
THS_PER,TOTAL,NSA,SAL_DC,CZ	4488.23 	4490.16 	4514.79 	4521.83 	4520.66 	4506.04 	4522.64 	4530.33 	4499.29 	4483.25 	4475.59 	4459.19 	4377.18 	4361.81 	4314.97 	4290.81 	4210.91 	4204.62 	4204.79 	4197.52 	4140.89 	4152.57 	4162.98 	4163.21 	4117.42 	4122.86 	4163.61 	4161.39 	4085.56 	4147.67 	4138.41 	4121.19 	4041.60 	4024.43 	4040.42 	4033.68 	3999.09 	4045.65 	4072.54 	4094.24 	4117.82 	4159.42 	4219.26 	4224.71 	4205.63 	4226.80 	4241.57 	4262.35 	4274.96 	4327.61 	4350.04 	4366.60 	4388.22 	4437.40 	4472.99 	4481.36 	4375.20 	4346.11 	4319.55 	4303.62 	4211.22 	4248.03 	4280.14 	4266.22 	4207.29 	4239.04 	4250.88 	4223.40 	4194.78 	4241.69 	4299.29 	4285.61 	4253.62 	4310.55 	4312.98 	4306.29 	4283.38 	4314.62 	4366.99 	4370.49 	4363.75 	4405.48 	4444.27 	4459.99 	4470.50 	4482.39 	4517.33 	4527.71 	4523.90 	4549.17 	4620.64 	4630.92 	4619.43 	4648.66 
THS_PER,TOTAL,NSA,SAL_DC,DE	33887.00 	34031.00 	34265.00 	34462.00 	33853.00 	34056.00 	34235.00 	34317.00 	33673.00 	33913.00 	34212.00 	34344.00 	33823.00 	34238.00 	34719.00 	35009.00 	34474.00 	34721.00 	35304.00 	35684.00 	35464.00 	35832.00 	36131.00 	36262.00 	35527.00 	35749.00 	35881.00 	36030.00 	35409.00 	35583.00 	35647.00 	35641.00 	34874.00 	34966.00 	35175.00 	35298.00 	34727.00 	35063.00 	35221.00 	35306.00 	34527.00 	34771.00 	35063.00 	35303.00 	34487.00 	35006.00 	35421.00 	35693.00 	35231.00 	35671.00 	36006.00 	36283.00 	35861.00 	36231.00 	36550.00 	36769.00 	36172.00 	36359.00 	36486.00 	36610.00 	36001.00 	36446.00 	36729.00 	36955.00 	36475.00 	36920.00 	37218.00 	37443.00 	37005.00 	37411.00 	37681.00 	37906.00 	37411.00 	37762.00 	38024.00 	38216.00 	37794.00 	38208.00 	38434.00 	38597.00 	38149.00 	38626.00 	38912.00 	39158.00 	38748.00 	39212.00 	39490.00 	39782.00 	39427.00 	39877.00 	40167.00 	40429.00 	40149.00 	40552.00 
THS_PER,TOTAL,NSA,SAL_DC,DK	2350.00 	2412.00 	2398.00 	2399.00 	2350.00 	2443.00 	2436.00 	2445.00 	2381.00 	2487.00 	2471.00 	2500.00 	2423.00 	2523.00 	2517.00 	2541.00 	2469.00 	2544.00 	2542.00 	2544.00 	2495.00 	2569.00 	2566.00 	2569.00 	2528.00 	2614.00 	2588.00 	2589.00 	2511.00 	2614.00 	2596.00 	2586.00 	2497.00 	2584.00 	2574.00 	2559.00 	2488.00 	2587.00 	2561.00 	2558.00 	2528.00 	2623.00 	2603.00 	2600.00 	2592.00 	2674.00 	2664.00 	2674.00 	2687.00 	2743.00 	2723.00 	2714.00 	2723.00 	2766.00 	2770.00 	2751.00 	2682.00 	2682.00 	2668.00 	2632.00 	2569.00 	2613.00 	2622.00 	2611.00 	2567.00 	2614.00 	2622.00 	2610.00 	2558.00 	2594.00 	2599.00 	2589.00 	2546.00 	2593.00 	2607.00 	2601.00 	2568.00 	2619.00 	2629.00 	2626.00 	2597.00 	2653.00 	2667.00 	2668.00 	2643.00 	2700.00 	2714.00 	2717.00 	2692.00 	2748.00 	2763.00 	2764.00 	2743.00 	2799.00 
THS_PER,TOTAL,NSA,SAL_DC,EE	588.90 	590.10 	591.20 	590.10 	571.40 	571.80 	573.50 	573.50 	570.60 	570.90 	570.00 	570.40 	557.80 	557.10 	556.30 	550.00 	529.70 	529.00 	534.70 	529.40 	520.30 	540.30 	543.70 	532.60 	529.50 	539.60 	551.00 	545.30 	530.40 	547.40 	551.50 	538.60 	526.50 	544.80 	564.70 	555.80 	536.50 	541.30 	542.70 	543.30 	545.70 	566.00 	570.20 	574.90 	576.40 	590.40 	595.90 	594.20 	574.10 	581.80 	592.20 	586.10 	590.30 	592.20 	593.60 	587.80 	548.80 	527.70 	526.30 	510.00 	493.10 	499.60 	500.80 	511.00 	513.60 	528.00 	546.60 	542.10 	535.60 	540.30 	547.40 	536.30 	537.40 	553.30 	552.50 	535.70 	530.20 	554.70 	557.80 	556.10 	544.20 	562.60 	584.40 	567.10 	561.30 	569.90 	570.00 	559.80 	566.00 	565.40 	579.70 	589.90 	565.10 	576.70 
THS_PER,TOTAL,NSA,SAL_DC,EL	2411.32 	2480.14 	2509.25 	2505.18 	2403.84 	2472.36 	2500.51 	2496.56 	2408.40 	2477.05 	2504.43 	2500.08 	2523.45 	2594.42 	2623.41 	2619.16 	2627.21 	2672.92 	2656.68 	2622.51 	2608.01 	2689.44 	2721.05 	2717.06 	2702.46 	2741.13 	2786.64 	2731.87 	2767.44 	2871.63 	2886.00 	2885.61 	2860.05 	2931.54 	2951.63 	2921.26 	2975.90 	3040.89 	3041.53 	2997.21 	2916.76 	2957.99 	2963.56 	2988.37 	3012.08 	3077.42 	3114.87 	3075.05 	3083.44 	3145.56 	3188.87 	3186.76 	3170.34 	3249.46 	3239.00 	3200.52 	3177.45 	3222.73 	3216.54 	3146.51 	3159.48 	3205.14 	3169.76 	3065.65 	2990.81 p	2980.99 p	2930.47 p	2776.75 p	2778.21 p	2744.43 p	2700.71 p	2639.62 p	2626.24 p	2668.83 p	2675.74 p	2639.25 p	2576.77 p	2693.78 p	2747.48 p	2714.16 p	2618.22 p	2730.99 p	2754.93 p	2732.67 p	2706.74 p	2758.15 p	2772.64 p	2694.57 p	2725.57 p	2833.17 p	2847.18 p	2768.64 p	2783.46 p	2894.99 p
THS_PER,TOTAL,NSA,SAL_DC,ES	10946.50 	11070.00 	11123.40 	11091.60 	11027.00 	11182.70 	11373.30 	11440.20 	11621.80 	11786.20 	11982.70 	12071.10 	12191.50 	12372.70 	12592.90 	12639.80 	12849.00 	13050.30 	13266.80 	13316.80 	13569.10 	13818.70 	13997.80 	14037.80 	14196.30 	14333.80 	14530.90 	14508.20 	14578.50 	14783.20 	15000.90 	14997.70 	15175.80 	15421.90 	15591.90 	15618.60 	15849.80 	16022.40 	16228.50 	16261.00 	16465.80 	16790.30 	17123.90 	17122.60 	17376.20 	17591.70 	17899.10 	17939.70 	18101.90 	18318.80 	18546.10 	18536.10 	18606.70 	18620.20 	18528.60 	18048.70 	17422.70 	17358.90 	17324.80 	17163.80 	16938.60 	17089.50 	17183.40 	16982.40 	16563.80 	16761.50 	16679.40 	16388.80 	15875.12 	15992.35 	15863.99 	15549.32 	15175.82 	15366.51 	15494.39 	15325.70 	15080.46 	15551.35 	15775.57 	15701.79 	15529.70 	16037.36 	16344.66 	16208.58 	16024.01 p	16498.01 p	16821.35 p	16629.12 p	16448.69 p	16982.72 p	17330.93 p	17148.68 p	16866.98 p	17455.19 p
THS_PER,TOTAL,NSA,SAL_DC,FI	1721.80 	1801.80 	1820.30 	1746.50 	1732.00 	1822.20 	1847.80 	1799.60 	1793.40 	1902.00 	1904.10 	1868.50 	1872.30 	1953.90 	1964.80 	1897.40 	1905.90 	2009.00 	2012.90 	1953.40 	1940.20 	2044.00 	2077.70 	2010.90 	1985.00 	2086.30 	2113.50 	2048.40 	2015.80 	2112.30 	2152.70 	2068.00 	2036.60 	2136.70 	2162.80 	2034.70 	2043.90 	2136.20 	2150.60 	2090.10 	2082.60 	2157.50 	2179.70 	2141.00 	2124.60 	2185.10 	2227.40 	2161.70 	2142.30 	2240.80 	2267.30 	2238.40 	2207.50 	2310.40 	2314.10 	2253.60 	2191.40 	2241.90 	2227.30 	2147.40 	2130.60 	2228.30 	2228.20 	2167.70 	2143.30 	2257.90 	2257.80 	2197.00 	2170.70 	2270.40 	2275.50 	2209.00 	2171.30 	2268.50 	2254.60 	2190.00 	2150.20 	2252.80 	2243.70 	2174.50 	2144.80 	2223.60 	2244.80 	2176.80 	2155.00 	2234.30 	2257.60 	2193.10 	2189.60 	2275.20 	2284.30 	2259.70 	2247.70 	2343.50 
THS_PER,TOTAL,NSA,SAL_DC,FR	20930.10 	21083.00 	21214.70 	21198.40 	21181.60 	21301.20 	21401.40 	21369.10 	21371.80 	21519.30 	21648.70 	21668.50 	21716.10 	21955.70 	22185.70 	22211.20 	22278.40 	22543.40 	22798.40 	22864.60 	22921.40 	23192.60 	23469.30 	23489.70 	23478.70 	23654.50 	23797.80 	23730.90 	23667.90 	23797.30 	23909.90 	23831.30 	23734.20 	23815.50 	23890.90 	23799.00 	23700.50 	23816.00 	23922.90 	23861.50 	23825.70 	23947.50 	24061.50 	24038.50 	24009.30 	24183.30 	24364.20 	24349.10 	24370.20 	24572.60 	24724.10 	24686.40 	24649.70 	24754.10 	24796.70 	24621.20 	24415.40 	24393.40 	24410.70 	24306.30 	24238.30 	24340.00 	24429.80 	24357.10 	24289.40 	24467.70 	24582.90 	24441.70 	24349.00 	24493.30 	24567.70 	24383.70 	24275.50 	24411.60 	24492.30 	24385.50 	24347.80 	24533.00 	24609.70 	24441.00 	24372.70 	24561.00 	24675.40 	24546.50 	24515.50 	24740.20 	24897.30 	24791.00 	24776.40 	25062.20 	25264.40 	25173.20 	25124.10 	25333.80 
THS_PER,TOTAL,NSA,SAL_DC,HR	1180.22 p	1188.00 p	1210.67 p	1194.95 p	1180.04 p	1187.60 p	1210.26 p	1194.54 p	1181.18 p	1189.27 p	1212.06 p	1196.41 p	1179.44 p	1187.12 p	1209.70 p	1193.90 p	1179.50 p	1186.42 p	1209.02 p	1193.33 p	1185.66 p	1181.00 p	1195.93 p	1170.53 p	1174.24 p	1180.68 p	1202.61 p	1186.36 p	1179.67 p	1184.33 p	1206.98 p	1191.63 p	1199.86 p	1217.78 p	1242.78 p	1228.01 p	1225.00 p	1234.41 p	1256.89 p	1238.65 p	1230.91 p	1235.64 p	1269.19 p	1256.86 p	1269.38 p	1289.19 p	1327.48 p	1315.94 p	1326.86 p	1344.96 p	1385.71 p	1373.69 p	1376.36 d	1390.15 d	1427.18 d	1410.17 d	1388.74 d	1385.98 d	1395.14 d	1392.31 d	1334.97 d	1308.20 d	1319.54 d	1321.76 d	1279.58 d	1262.14 d	1280.03 d	1262.08 d	1245.14 d	1277.49 d	1295.65 d	1209.21 d	1209.90 d	1261.51 d	1282.91 d	1239.72 d	1263.62 d	1317.65 d	1389.01 d	1314.40 d	1297.84 d	1337.26 d	1370.08 d	1342.21 d	1326.12 d	1379.21 d	1404.94 d	1364.99 d	1355.61 d	1428.51 d	1472.95 d	1438.79 d	1414.56 d	1462.32 d
THS_PER,TOTAL,NSA,SAL_DC,HU	3276.99 	3293.71 	3329.15 	3361.28 	3233.16 	3260.89 	3287.98 	3332.79 	3246.20 	3255.26 	3309.89 	3364.85 	3324.39 	3349.85 	3400.45 	3461.00 	3404.75 	3450.90 	3490.14 	3506.76 	3491.03 	3517.18 	3565.55 	3613.35 	3581.61 	3564.73 	3602.69 	3593.29 	3570.44 	3596.45 	3609.35 	3618.76 	3585.47 	3647.71 	3673.76 	3671.96 	3616.38 	3620.40 	3630.61 	3600.99 	3593.17 	3619.48 	3683.05 	3676.46 	3629.22 	3683.07 	3707.07 	3705.92 	3682.88 	3728.45 	3735.47 	3697.02 	3612.30 	3635.05 	3683.52 	3652.89 	3534.52 	3577.39 	3569.69 	3575.46 	3422.11 	3531.95 	3580.03 	3606.10 	3457.11 	3558.83 	3588.63 	3569.82 	3465.74 	3578.56 	3587.18 	3561.22 	3514.17 	3629.17 	3664.90 	3683.35 	3710.09 	3815.50 	3870.93 	3843.67 	3828.51 	3928.63 	3973.40 	3950.89 	3973.62 	4069.05 	4092.46 	4059.67 	4081.44 	4144.06 	4160.78 	4135.53 	4165.22 	4221.75 
THS_PER,TOTAL,NSA,SAL_DC,IE	1079.82 e	1079.82 e	1079.82 e	1079.82 e	1128.88 e	1128.88 e	1128.88 e	1128.88 e	1174.72 e	1174.72 e	1174.72 e	1174.72 e	1178.60 	1204.50 	1259.80 	1245.50 	1264.30 	1297.10 	1351.00 	1331.40 	1334.70 	1368.90 	1420.80 	1401.20 	1394.90 	1422.30 	1466.60 	1441.90 	1437.40 	1451.10 	1483.20 	1463.50 	1466.90 	1485.50 	1511.00 	1501.50 	1495.80 	1522.80 	1572.80 	1569.60 	1583.60 	1602.20 	1658.20 	1675.20 	1681.10 	1706.40 	1737.50 	1750.20 	1766.40 	1779.80 	1799.40 	1775.40 	1771.80 	1780.20 	1770.10 	1707.80 	1648.80 	1628.90 	1606.50 	1583.20 	1559.42 	1561.62 	1558.15 	1532.82 	1516.78 b	1532.39 	1526.13 	1532.08 	1502.22 	1509.57 	1532.23 	1529.56 	1517.63 	1551.46 	1585.04 	1583.08 	1566.82 	1591.77 	1626.68 	1642.32 	1633.20 	1659.26 	1690.59 	1700.46 	1690.11 	1731.58 	1758.87 	1770.81 	1780.19 	1794.66 	1819.19 	1834.27 	1821.42 	1859.83 
