sitc06,partner,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,LDC,MIO_EUR,IE	132 	162 	137 	109 	122 	130 	123 	130 	111 	137 	188 	183 	212 	308 	206 	343 	310 	288 
TOTAL,LDC,MIO_EUR,IT	910 	1139 	1401 	1257 	1139 	1324 	1803 	1895 	2404 	1507 	2549 	5202 	3579 	3004 	3993 	4971 	4029 	3863 
TOTAL,LDC,MIO_EUR,LT	3 	6 	23 	6 	5 	4 	5 	4 	4 	9 	12 	36 	52 	33 	24 	33 	25 	13 
TOTAL,LDC,MIO_EUR,LU	5 	13 	15 	12 	9 	8 	7 	7 	9 	8 	10 	16 	15 	23 	25 	40 	20 	0 
TOTAL,LDC,MIO_EUR,LV	1 	2 	1 	1 	1 	1 	1 	1 	1 	1 	1 	3 	3 	11 	5 	5 	5 	5 
TOTAL,LDC,MIO_EUR,MT	1 	1 	1 	2 	1 	1 	2 	2 	1 	1 	19 	2 	2 	2 	3 	3 	3 	25 
TOTAL,LDC,MIO_EUR,NL	817 	1027 	843 	899 	800 	1202 	1127 	2109 	3071 	2106 	3136 	3869 	4436 	4669 	5149 	4898 	4771 	4736 
TOTAL,LDC,MIO_EUR,PL	79 	187 	163 	168 	123 	111 	238 	257 	169 	274 	445 	331 	311 	567 	428 	730 	724 	771 
TOTAL,LDC,MIO_EUR,PT	310 	356 	364 	232 	189 	548 	629 	985 	893 	506 	902 	1515 	2426 	3064 	2342 	1844 	1149 	1043 
TOTAL,LDC,MIO_EUR,RO	20 	25 	38 	31 	42 	51 	43 	37 	21 	39 	84 	92 	102 	109 	104 	176 	141 	131 
TOTAL,LDC,MIO_EUR,SE	165 	168 	154 	164 	188 	182 	203 	208 	337 	570 	262 	413 	452 	396 	493 	564 	606 	651 
TOTAL,LDC,MIO_EUR,SI	12 	18 	15 	17 	19 	17 	14 	15 	13 	25 	60 	71 	65 	69 	87 	110 	95 	107 
TOTAL,LDC,MIO_EUR,SK	5 	4 	6 	7 	4 	5 	22 	29 	25 	40 	40 	50 	54 	63 	82 	90 	106 	150 
TOTAL,LDC,MIO_EUR,UK	1456 	1755 	1742 	1924 	2340 	1750 	2013 	2158 	2455 	2118 	2072 	3224 	4305 	5471 	5432 	5597 	4778 	4686 
TOTAL,LMIC,MIO_EUR,AT	1514 	1418 	1493 	1989 	2506 	2849 	2743 	3642 	3592 	2332 	2855 	3136 	3414 	4451 	3648 	3515 	3980 	5418 
TOTAL,LMIC,MIO_EUR,BE	5776 	5633 	5991 	6975 	8396 	9250 	10569 	11121 	12693 	9610 	12196 	10852 	10049 	10010 	10405 	10880 	11184 	12148 
TOTAL,LMIC,MIO_EUR,BG	159 	160 	217 	864 	1065 	1222 	1654 	2632 	3006 	1540 	1758 	1466 	1176 	1214 	1276 	1253 	1400 	1849 
TOTAL,LMIC,MIO_EUR,CY	234 	260 	237 	312 	168 	137 	430 	416 	381 	217 	269 	254 	170 	145 	184 	229 	194 	325 
TOTAL,LMIC,MIO_EUR,CZ	608 	664 	1013 	1188 	1055 	884 	2154 	2290 	2676 	1746 	3127 	1681 	1574 	1593 	1604 	1611 	1671 	1908 
TOTAL,LMIC,MIO_EUR,DE	16202 	15294 	14557 	20597 	22041 	23873 	25167 	28516 	24929 	19834 	25417 	27500 	27788 	27117 	26915 	28242 	27092 	29357 
TOTAL,LMIC,MIO_EUR,DK	510 	472 	457 	1020 	1126 	1346 	1185 	1391 	2026 	1447 	1735 	1347 	1404 	1955 	1751 	1727 	1555 	1671 
TOTAL,LMIC,MIO_EUR,EE	59 	55 	78 	104 	87 	70 	322 	368 	175 	82 	125 	181 	279 	165 	125 	125 	159 	181 
TOTAL,LMIC,MIO_EUR,EL	2654 	2486 	1844 	2554 	3256 	3851 	4120 	5417 	5464 	3792 	3974 	2862 	3167 	5147 	1818 	1638 	1582 	1766 
TOTAL,LMIC,MIO_EUR,ES	10148 	10012 	9527 	11286 	14102 	17732 	21251 	22694 	25793 	18059 	22760 	21790 	23936 	20140 	20679 	19860 	20190 	24090 
TOTAL,LMIC,MIO_EUR,EU28	110280 	107000 	103863 	122834 	141159 	164296 	190012 	204220 	205514 	150433 	192392 	171243 	179652 	174149 	165959 	169060 	164610 	188903 
TOTAL,LMIC,MIO_EUR,FI	448 	513 	493 	692 	826 	905 	1560 	1584 	1137 	724 	1078 	1112 	747 	816 	790 	639 	676 	1006 
TOTAL,LMIC,MIO_EUR,FR	15128 	15018 	14110 	16409 	18761 	23973 	23692 	25276 	25660 	18572 	21138 	19888 	19371 	19024 	19157 	18844 	17359 	20046 
TOTAL,LMIC,MIO_EUR,HR	477 	651 	735 	806 	868 	978 	1035 	1436 	1276 	1036 	1297 	348 	415 	375 	283 	267 	263 	254 
TOTAL,LMIC,MIO_EUR,HU	699 	793 	1034 	954 	1063 	1271 	2061 	2518 	2717 	1615 	1706 	1675 	1869 	2015 	1957 	1871 	2004 	2866 
TOTAL,LMIC,MIO_EUR,IE	605 	558 	659 	800 	808 	885 	793 	716 	669 	646 	665 	848 	1320 	830 	924 	974 	991 	1260 
TOTAL,LMIC,MIO_EUR,IT	20435 	18960 	17434 	19637 	23302 	28221 	37404 	38099 	40519 	28510 	41621 	23818 	21887 	21581 	18640 	17651 	17122 	19085 
TOTAL,LMIC,MIO_EUR,LT	86 	83 	83 	155 	132 	176 	662 	837 	511 	275 	407 	533 	379 	437 	461 	479 	381 	443 
TOTAL,LMIC,MIO_EUR,LU	45 	36 	29 	64 	161 	71 	154 	76 	42 	40 	46 	37 	26 	35 	56 	84 	93 	122 
TOTAL,LMIC,MIO_EUR,LV	16 	15 	16 	45 	50 	77 	617 	591 	211 	142 	174 	220 	304 	306 	281 	287 	316 	414 
TOTAL,LMIC,MIO_EUR,MT	34 	31 	40 	87 	93 	89 	65 	78 	93 	80 	124 	116 	144 	158 	167 	181 	206 	221 
TOTAL,LMIC,MIO_EUR,NL	13455 	12262 	12075 	11174 	13501 	16321 	20354 	23046 	21780 	17471 	21580 	20705 	26282 	22449 	21341 	22322 	20271 	24921 
TOTAL,LMIC,MIO_EUR,PL	842 	972 	949 	1720 	1705 	1801 	3203 	3544 	4282 	2455 	3105 	3910 	3944 	3595 	4036 	4357 	4782 	5742 
TOTAL,LMIC,MIO_EUR,PT	1595 	1162 	1170 	1217 	2101 	2879 	3987 	3734 	2843 	1658 	2052 	2963 	2862 	3544 	2331 	2152 	1882 	2114 
TOTAL,LMIC,MIO_EUR,RO	604 	588 	751 	1342 	2037 	3233 	3283 	3348 	2011 	1252 	1784 	1866 	1669 	1503 	1520 	1807 	1970 	2374 
TOTAL,LMIC,MIO_EUR,SE	1452 	1433 	1126 	1692 	1688 	1714 	1718 	1983 	1763 	1453 	1975 	1745 	2702 	3131 	3075 	2819 	2843 	3515 
TOTAL,LMIC,MIO_EUR,SI	309 	317 	325 	379 	616 	909 	1087 	1286 	1043 	907 	1243 	562 	549 	601 	602 	749 	761 	855 
TOTAL,LMIC,MIO_EUR,SK	128 	142 	155 	248 	335 	333 	806 	906 	932 	636 	947 	1073 	1042 	1125 	1115 	1063 	1208 	1685 
TOTAL,LMIC,MIO_EUR,UK	16059 	17013 	17267 	18524 	19309 	19243 	17938 	16676 	17290 	14306 	17235 	18754 	21182 	20688 	20819 	23433 	22474 	23269 
TOTAL,OLIC,MIO_EUR,AT	558 	698 	651 	597 	571 	1000 	846 	490 	321 	281 	510 	2 	1 	2 	1 	1 	2 	2 
TOTAL,OLIC,MIO_EUR,BE	4922 	4731 	5255 	4681 	5032 	5344 	5159 	5424 	1740 	1378 	1784 	54 	80 	105 	144 	103 	107 	110 
TOTAL,OLIC,MIO_EUR,BG	96 	192 	154 	202 	160 	156 	105 	138 	84 	62 	55 	17 	9 	20 	9 	3 	1 	1 
TOTAL,OLIC,MIO_EUR,CY	55 	63 	59 	58 	66 	83 	50 	61 	16 	25 	20 	3 	2 	2 	2 	2 	2 	3 
TOTAL,OLIC,MIO_EUR,CZ	287 	450 	559 	582 	521 	733 	234 	305 	161 	131 	164 	5 	4 	1 	1 	2 	2 	1 
TOTAL,OLIC,MIO_EUR,DE	7993 	8072 	7562 	7637 	7996 	9051 	8428 	9160 	5838 	4788 	6132 	190 	172 	172 	168 	158 	168 	153 
TOTAL,OLIC,MIO_EUR,DK	564 	543 	523 	562 	634 	707 	585 	691 	240 	220 	219 	4 	4 	4 	4 	3 	3 	5 
TOTAL,OLIC,MIO_EUR,EE	47 	57 	74 	71 	53 	30 	43 	45 	45 	19 	22 	0 	0 	0 	0 	0 	1 	0 
TOTAL,OLIC,MIO_EUR,EL	463 	492 	540 	647 	717 	725 	824 	847 	501 	255 	187 	13 	57 	53 	3 	3 	8 	11 
TOTAL,OLIC,MIO_EUR,ES	5679 	5487 	5018 	5831 	5826 	7494 	7750 	7998 	6250 	4183 	5890 	75 	46 	32 	59 	63 	39 	46 
TOTAL,OLIC,MIO_EUR,EU28	48670 	49994 	48753 	49952 	51703 	59209 	54810 	59830 	35685 	28066 	35436 	1970 	1849 	1812 	1756 	1805 	1717 	1795 
TOTAL,OLIC,MIO_EUR,FI	355 	390 	329 	323 	459 	423 	306 	387 	152 	95 	114 	17 	17 	12 	14 	17 	19 	12 
TOTAL,OLIC,MIO_EUR,FR	5927 	5973 	5771 	5553 	5347 	6335 	6283 	6814 	5112 	3795 	4877 	129 	110 	118 	102 	134 	95 	129 
TOTAL,OLIC,MIO_EUR,HR	97 	72 	111 	123 	152 	121 	132 	159 	75 	63 	62 	1 	3 	1 	1 	10 	1 	2 
TOTAL,OLIC,MIO_EUR,HU	292 	337 	413 	451 	396 	284 	296 	591 	160 	80 	132 	1 	2 	2 	1 	2 	4 	4 
TOTAL,OLIC,MIO_EUR,IE	340 	361 	348 	341 	381 	443 	325 	382 	104 	114 	89 	12 	14 	14 	14 	38 	14 	17 
TOTAL,OLIC,MIO_EUR,IT	5601 	5779 	5438 	5683 	6258 	7059 	6278 	6952 	3044 	2373 	2574 	251 	220 	179 	222 	210 	173 	171 
TOTAL,OLIC,MIO_EUR,LT	48 	62 	68 	87 	57 	61 	61 	67 	55 	33 	31 	2 	1 	12 	1 	1 	7 	2 
