unit,co_nco,na_item,finpos,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,NCO,F4,LIAB,S14,LV	-2.0 	-1.0 	32.0 	54.0 	46.0 	176.0 	134.0 	304.0 	429.0 	876.6 	1778.0 	3001.9 	2971.8 	622.6 	-901.1 	-493.1 	-595.2 	-561.3 	-238.2 	-644.0 	-233.0 	11.0 	123.0 
MIO_NAC,NCO,F4,LIAB,S14,MT	44.2 e	99.1 e	55.6 e	88.6 e	121.8 e	129.8 e	172.6 e	152.1 e	460.7 e	235.2 	535.8 	448.0 	191.6 	297.1 	313.4 	197.1 	260.6 	191.5 	256.1 	205.8 	130.0 	122.8 	-307.2 
MIO_NAC,NCO,F4,LIAB,S14,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4266.0 	-14192.0 	-4457.0 	8484.0 	7527.0 	9558.0 p
MIO_NAC,NCO,F4,LIAB,S14,PL	2816.0 	8065.0 	7259.7 	14350.4 	3150.1 	11327.8 	7572.8 	9227.6 	14352.0 	19085.0 	27016.0 	50877.0 	80372.0 	86989.0 	50884.0 	39923.0 	39121.0 	24263.0 	28842.0 	26059.0 	24724.0 	28273.0 	34185.0 
MIO_NAC,NCO,F4,LIAB,S14,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-7221.3 	-5089.2 	-4838.3 	-2689.0 	-2526.6 	569.0 
MIO_NAC,NCO,F4,LIAB,S14,RO	15.7 e	48.2 e	118.7 e	216.0 	-35.9 	54.2 	325.1 	2232.5 	6443.1 	5455.6 	11968.5 	20435.5 	39866.1 	24443.5 	-4526.3 	1213.8 	2009.5 	-699.0 	-782.7 	-2088.7 	5866.1 	5267.1 	9957.6 
MIO_NAC,NCO,F4,LIAB,S14,SE	-3070.0 	20696.0 	50186.0 	54594.0 	81039.0 	95993.0 	92362.0 	99669.0 	119449.0 	146200.0 	175064.0 	182151.0 	182027.0 	177790.0 	197781.0 	189860.0 	139877.0 	117415.0 	136300.0 	176605.0 	232810.0 	240756.0 	254808.0 
MIO_NAC,NCO,F4,LIAB,S14,SI	: 	: 	: 	: 	: 	: 	: 	348.0 	370.0 	433.0 	962.0 	1300.0 	1816.0 	1014.0 	645.0 	599.0 	84.0 	-296.0 	-302.0 	-97.0 	84.0 	439.0 	694.0 
MIO_NAC,NCO,F4,LIAB,S14,SK	75.3 	121.2 	169.4 	310.5 	-6.4 	333.0 	756.1 	944.5 	1171.0 	1439.7 	3105.2 	3303.6 	3832.3 	3820.9 	3036.3 	1586.8 	1833.6 	1487.6 	1686.2 	2429.7 	2720.3 	2881.4 	2892.3 
MIO_NAC,NCO,F4,LIAB,S14,UK	37987.0 	44299.0 	36882.0 	43100.0 	52342.0 	53857.0 	73575.0 	105798.0 	124502.0 	129410.0 	103101.0 	118914.0 	122312.0 	49508.0 	4062.0 	9572.0 	18428.0 	14977.0 	28255.0 	42114.0 	48106.0 	72759.0 	74537.0 
MIO_NAC,NCO,F4,LIAB,S15,AT	: 	44.0 	47.1 	55.4 	64.3 	179.3 	17.7 	-3.2 	38.9 	260.2 	-135.1 	-165.4 	-8.0 	6.2 	115.2 	-76.3 	-0.5 	52.5 	15.8 	-610.0 	-48.0 	652.2 	-57.9 
MIO_NAC,NCO,F4,LIAB,S15,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	282.2 	423.1 	367.2 	-453.1 	38.6 	-350.5 
MIO_NAC,NCO,F4,LIAB,S15,BG	0.0 	0.0 	0.0 	0.0 	0.0 	6.0 	6.0 	2.0 	8.0 	11.0 	15.0 	0.0 	18.0 	33.0 	-22.0 	6.0 	8.0 	11.0 	-17.0 	-7.0 	-1.0 	394.0 	322.0 
MIO_NAC,NCO,F4,LIAB,S15,CY	45.9 	6.8 	10.0 	14.9 	92.1 	16.3 	14.2 	14.8 	17.6 	2.8 	-0.8 	9.8 	34.9 	13.7 	8.1 	3.0 	17.0 	67.0 	9.0 	-13.0 	-60.0 	-96.0 	-21.0 
MIO_NAC,NCO,F4,LIAB,S15,CZ	-290.0 	430.0 	-20.0 	509.0 	-108.0 	326.0 	2870.0 	364.0 	-1843.0 	-808.0 	783.0 	1083.0 	2015.0 	-435.0 	4587.0 	-851.0 	-730.0 	-450.0 	-430.0 	-74.0 	-297.0 	450.0 	187.0 
MIO_NAC,NCO,F4,LIAB,S15,DE	-1062.0 	244.0 	1393.0 	263.0 	228.0 	444.0 	122.0 	337.0 	-607.0 	-529.0 	719.0 	-260.0 	-667.0 	-403.0 	-427.0 	221.0 	-13.0 	-29.0 	216.0 	172.0 	-498.0 	275.0 	211.0 
MIO_NAC,NCO,F4,LIAB,S15,DK	-655.0 	-909.0 	-415.0 	1706.0 	-1914.0 	3356.0 	1300.0 	248.0 	1595.0 	773.0 	924.0 	1959.0 	-702.0 	965.0 	-459.0 	2210.0 	3001.0 	74.0 	1666.0 	265.0 	-115.0 	574.0 	-101.0 
MIO_NAC,NCO,F4,LIAB,S15,EE	0.0 	0.6 	1.6 	0.4 	0.8 	4.6 	2.8 	5.6 	9.9 	21.2 	37.6 	59.7 	77.5 	74.7 	1.8 	-39.9 	11.3 	-60.1 	17.6 	10.7 	-5.6 	22.2 	47.5 
MIO_NAC,NCO,F4,LIAB,S15,EL	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	13.4 	16.1 	-128.4 	-102.3 
MIO_NAC,NCO,F4,LIAB,S15,ES	105.0 	-20.0 	-222.0 	520.0 	405.0 	155.0 	-49.0 	-314.0 	552.0 	660.0 	959.0 	1038.0 	384.0 	3.0 	-568.0 	573.0 	904.0 	-24.0 	-677.0 	-337.0 	-145.0 	-664.0 	17.0 
MIO_NAC,NCO,F4,LIAB,S15,FI	32.0 	-62.0 	-28.0 	66.0 	134.0 	-3.0 	28.0 	241.0 	93.0 	-2.0 	199.0 	149.0 	118.0 	155.0 	-279.0 	437.0 	128.0 	21.0 	-123.0 	-374.0 	51.0 	83.0 	-171.0 
MIO_NAC,NCO,F4,LIAB,S15,FR	0.0 	13.0 	287.0 	3343.0 	442.0 	221.0 	414.0 	560.0 	278.0 	632.0 	883.0 	717.0 	821.0 	403.0 	1425.0 	1243.0 	1585.0 	1031.0 	249.0 	-336.0 	663.0 	-286.0 	933.0 
MIO_NAC,NCO,F4,LIAB,S15,HR	: 	: 	: 	: 	: 	: 	: 	140.0 	34.2 	62.1 	53.7 	70.0 	45.4 	57.0 	93.2 	161.7 	85.1 	-76.0 	-85.9 	49.9 	-14.3 	-94.7 	56.5 
MIO_NAC,NCO,F4,LIAB,S15,HU	269.0 	-286.0 	676.0 	3155.0 	578.0 	3841.0 	8061.0 	-1764.0 	8073.0 	-1575.0 	-175.0 	7615.0 	1901.0 	-1124.0 	825.0 	-4913.0 	9495.0 	-2679.0 	1358.0 	3763.0 	17144.0 	-3538.0 	-102.0 
MIO_NAC,NCO,F4,LIAB,S15,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-91.0 	3.0 	-68.0 	-83.0 	-37.0 	-34.0 
MIO_NAC,NCO,F4,LIAB,S15,IT	0.0 	0.0 	0.0 	5823.0 	598.0 	-238.0 	69.0 	57.0 	-143.0 	337.0 	857.0 	276.0 	394.0 	93.0 	149.0 	1169.0 	686.0 	17.0 	-309.0 	-362.0 	-289.0 	-396.0 	-317.0 
MIO_NAC,NCO,F4,LIAB,S15,LT	8.2 	-0.5 	-2.3 	-20.4 	-0.1 	0.3 	0.5 	2.2 	1.1 	6.5 	2.5 	10.9 	4.3 	8.7 	-3.8 	0.6 	-2.1 	-3.8 	-5.4 	-4.3 	28.4 	0.4 	-3.1 
MIO_NAC,NCO,F4,LIAB,S15,LU	: 	: 	: 	: 	8.3 	4.1 	21.5 	52.2 	7.5 	-21.6 	0.4 	-3.9 	29.3 	20.4 	36.2 	-6.2 	-31.4 	-24.6 	-27.2 	-105.1 	15.0 	5.0 	-9.1 
MIO_NAC,NCO,F4,LIAB,S15,LV	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-1.0 	0.0 	11.0 	2.2 	2.2 	5.3 	13.1 	17.2 	6.8 	8.0 	7.6 	4.8 	0.0 	-2.2 	20.0 	-9.0 	-5.0 
MIO_NAC,NCO,F4,LIAB,S15,MT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.0 	-0.1 	0.5 	-0.5 	0.1 	0.1 	-0.1 	0.0 	0.0 	-156.6 	0.2 	-0.5 	-3.7 
MIO_NAC,NCO,F4,LIAB,S15,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-131.0 	-19.0 	-38.0 	-153.0 	-348.0 	-575.0 p
MIO_NAC,NCO,F4,LIAB,S15,PL	-44.0 	89.0 	384.6 	362.0 	630.4 	-205.8 	-446.8 	226.1 	-187.3 	-1.0 	0.0 	1.0 	1.0 	2.0 	0.0 	50.0 	26.0 	20.0 	33.0 	7.0 	-13.0 	-6.0 	13.0 
MIO_NAC,NCO,F4,LIAB,S15,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	624.7 	-32.3 	52.8 	-7.2 	-48.0 	-67.8 
MIO_NAC,NCO,F4,LIAB,S15,RO	1.6 e	3.5 e	7.8 e	14.3 	21.7 	28.8 	26.3 	69.3 	79.5 	73.6 	204.6 	187.2 	77.3 	12.9 	15.9 	-3.2 	28.8 	46.8 	90.6 	117.9 	-3.7 	-25.3 	23.5 
MIO_NAC,NCO,F4,LIAB,S15,SE	0.0 	-251.0 	329.0 	172.0 	916.0 	-137.0 	658.0 	167.0 	425.0 	67.0 	43.0 	1118.0 	-411.0 	440.0 	280.0 	-462.0 	493.0 	-210.0 	878.0 	-186.0 	693.0 	1487.0 	125.0 
MIO_NAC,NCO,F4,LIAB,S15,SI	: 	: 	: 	: 	: 	: 	: 	1.0 	4.0 	3.0 	7.0 	0.0 	20.0 	17.0 	4.0 	5.0 	-6.0 	-5.0 	-15.0 	-7.0 	2.0 	-13.0 	1.0 
MIO_NAC,NCO,F4,LIAB,S15,SK	1.8 	-0.5 	0.2 	0.0 	-2.0 	-27.6 	1.9 	1.5 	3.2 	6.7 	29.0 	34.5 	30.5 	56.1 	34.8 	45.1 	63.1 	21.4 	93.2 	164.7 	86.1 	44.1 	92.5 
MIO_NAC,NCO,F4,LIAB,S15,UK	-1719.0 	483.0 	-70.0 	396.0 	628.0 	470.0 	961.0 	1049.0 	1906.0 	1032.0 	265.0 	1341.0 	795.0 	3044.0 	1241.0 	252.0 	1789.0 	103.0 	-1136.0 	547.0 	1769.0 	1332.0 	1544.0 
