unit,tax,nace_r2,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC,NRG,F,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.3 	2.1 	2.1 	1.8 	1.7 	2.0 	1.9 	1.7 	1.6 	1.8 	: 
PC,NRG,F,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.0 	2.0 	2.0 	2.5 	2.6 	1.7 	0.5 	2.9 	: 
PC,NRG,F,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.6 	4.7 	4.7 	4.9 	5.1 	5.1 	5.2 	5.4 	: 
PC,NRG,F,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.9 	1.0 	1.0 	1.0 	1.0 
PC,NRG,F,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.8 	2.9 	3.0 	2.5 	2.2 	2.6 	4.2 	4.3 	: 
PC,NRG,F,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.6 	6.7 	6.6 	6.6 	6.5 	6.5 	6.5 	6.5 	6.5 
PC,NRG,F,UK	: 	: 	1.0 	1.1 	1.5 	1.5 	1.6 	1.7 	1.7 	2.1 	1.9 	1.8 	2.0 	1.9 	1.6 	1.5 	1.5 	1.5 	1.5 	1.5 	2.3 	: 
PC,NRG,G,AT	4.9 	5.0 	5.3 	5.2 	5.3 	5.1 	5.2 	4.9 	4.9 	4.9 	4.9 	5.1 	5.1 	5.2 	5.1 	5.0 	4.9 	4.9 	4.9 	5.1 	5.0 	: 
PC,NRG,G,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.2 	4.9 	3.2 	4.1 	3.9 	3.5 	3.4 	3.4 	: 
PC,NRG,G,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.5 	4.7 	4.6 	4.6 	4.6 	4.9 	5.3 	4.4 	: 
PC,NRG,G,CH	: 	: 	: 	: 	: 	4.6 	4.6 	4.8 	4.6 	4.5 	4.3 	4.2 	4.1 	4.0 	4.1 	4.2 	4.2 	4.0 	3.8 	3.8 	4.0 	: 
PC,NRG,G,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.4 	7.5 	7.0 	6.6 	6.7 	6.2 	5.9 	6.2 	: 
PC,NRG,G,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.7 	11.8 	13.1 	13.9 	14.8 	15.0 	13.7 	13.0 	13.9 	10.3 	9.1 	: 
PC,NRG,G,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.3 	5.2 	7.6 	5.7 	5.6 	5.4 	5.5 	5.5 	: 
PC,NRG,G,DK	4.7 	4.8 	5.0 	5.8 	5.7 	5.8 	5.5 	5.6 	5.5 	5.7 	5.6 	5.2 	5.8 	5.1 	5.2 	5.0 	5.5 	5.7 	5.6 	5.7 	5.5 	5.5 
PC,NRG,G,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.3 	5.2 	5.7 	5.2 	5.2 	5.1 	5.1 	5.1 	: 
PC,NRG,G,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.0 	4.8 	4.6 	4.3 	4.3 	4.0 	3.4 	3.4 	: 
PC,NRG,G,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.2 	6.4 	6.2 	5.0 p	4.4 p	4.5 p	4.5 p	4.5 p	: 
PC,NRG,G,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.4 	4.4 	4.3 	4.2 	4.4 	5.0 	4.9 	4.9 	: 
PC,NRG,G,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.8 	5.7 	6.0 	5.7 	5.8 	5.7 	5.7 	5.8 	: 
PC,NRG,G,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.5 	2.5 	2.4 	2.5 	3.0 	2.4 	2.7 	2.6 	: 
PC,NRG,G,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.1 e	5.1 	4.7 	4.9 	5.1 	4.8 	4.7 	4.5 	4.1 p
PC,NRG,G,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.1 	4.5 	4.2 	4.4 	2.9 	2.2 	2.3 	0.9 	: 
PC,NRG,G,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.0 	7.9 	7.9 	7.8 	7.9 	7.9 	8.0 	8.3 	8.7 	9.6 	10.5 	: 
PC,NRG,G,IE	23.5 	22.8 	20.8 	17.9 	14.7 	10.4 	9.7 	10.0 	10.1 	10.3 	9.8 	8.7 	8.4 	9.1 	9.7 	7.4 	6.9 	6.3 	7.3 	8.0 	8.6 	8.8 
PC,NRG,G,IT	6.6 	6.1 	5.8 	6.0 	6.0 	5.6 	5.8 	5.6 	5.4 	5.2 	5.3 	5.1 	4.5 	4.8 	4.8 	4.6 	5.0 	5.1 	5.2 	5.1 	5.1 	: 
PC,NRG,G,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.2 e	11.2 e	11.2 	16.3 	7.3 	8.2 	20.0 	19.9 	: 
PC,NRG,G,LU	2.4 	3.1 	3.5 	3.1 	2.4 	2.0 	1.7 	1.7 	2.3 	2.0 	3.3 	3.6 	3.4 	4.0 	4.4 	3.1 	3.4 	3.4 	3.5 	4.1 	4.6 	: 
PC,NRG,G,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.1 	12.3 	18.5 	6.3 	9.6 	9.2 	7.7 	7.0 	: 
PC,NRG,G,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.4 	3.4 	3.4 	5.3 	5.3 	: 	: 
PC,NRG,G,MT	2.9 	2.9 	2.9 	2.9 	2.9 	2.9 	2.9 	2.9 	2.9 	2.9 	2.9 	2.9 	2.9 	1.5 	1.5 	2.4 	1.4 	1.7 	2.0 	2.2 	2.3 	2.2 p
PC,NRG,G,NL	4.5 	4.8 	4.9 	5.1 	5.4 	5.6 	4.3 	4.1 	3.8 	4.2 	4.8 	5.5 	5.0 	5.6 	5.3 	5.4 	5.5 	5.2 	5.2 	5.0 	5.1 	5.2 p
PC,NRG,G,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.3 	3.5 	3.2 	3.6 	3.2 	3.3 	3.2 	3.0 	: 
PC,NRG,G,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.6 	10.0 	9.5 	8.8 	8.0 	7.5 	8.9 	7.4 	: 
PC,NRG,G,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.1 	10.9 	11.3 	11.1 	10.8 	9.5 	8.1 	7.9 	8.0 	7.8 	: 
PC,NRG,G,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
PC,NRG,G,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.4 	0.4 	0.4 	0.7 	0.6 	0.4 	0.3 	0.6 	: 
PC,NRG,G,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.0 	5.7 	5.8 	5.9 	5.8 	5.9 	5.8 	5.8 	: 
PC,NRG,G,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.1 	0.8 	2.8 	4.0 	4.0 	3.6 	3.2 	3.5 	3.0 
PC,NRG,G,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.1 	5.1 	7.3 	10.0 	9.2 	9.4 	6.9 	7.0 	: 
PC,NRG,G,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.8 	8.0 	7.7 	7.8 	7.8 	7.8 	7.8 	7.8 	7.8 
PC,NRG,G,UK	: 	: 	5.7 	6.6 	7.1 	6.8 	7.0 	7.0 	6.8 	7.7 	7.1 	6.8 	7.1 	6.5 	6.7 	6.1 	6.5 	8.3 	7.8 	7.5 	8.6 	: 
PC,NRG,H,AT	12.6 	16.3 	13.0 	15.5 	15.0 	16.0 	16.4 	16.7 	17.2 	17.3 	17.4 	17.2 	17.8 	15.4 	15.5 	15.7 	16.2 	16.1 	16.3 	16.4 	16.1 	: 
PC,NRG,H,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.9 	28.9 	19.8 	19.9 	20.6 	20.2 	20.3 	20.4 	: 
PC,NRG,H,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31.8 	28.5 	24.0 	24.7 	26.1 	27.7 	27.8 	27.5 	: 
PC,NRG,H,CH	: 	: 	: 	: 	: 	7.3 	7.4 	7.4 	7.5 	7.4 	7.4 	7.4 	7.5 	7.1 	6.8 	6.4 	6.7 	6.1 	6.1 	6.1 	6.0 	: 
PC,NRG,H,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.4 	10.1 	9.5 	9.0 	8.5 	7.9 	8.0 	8.3 	: 
PC,NRG,H,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.0 	16.2 	17.7 	17.6 	17.5 	17.6 	16.6 	16.7 	18.0 	23.8 	24.4 	: 
PC,NRG,H,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.0 	10.6 	10.9 	10.2 	10.1 	10.0 	10.3 	10.3 	: 
PC,NRG,H,DK	8.9 	8.1 	7.7 	7.2 	7.0 	6.8 	6.7 	6.3 	6.0 	6.1 	6.3 	6.9 	6.7 	6.8 	5.8 	5.2 	5.6 	5.6 	6.4 	6.0 	5.7 	5.7 
PC,NRG,H,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.8 	12.3 	12.2 	12.2 	12.3 	11.5 	11.4 	11.2 	: 
PC,NRG,H,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26.0 	28.8 	30.0 	32.7 	36.1 	37.4 	35.9 	38.4 	: 
PC,NRG,H,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.0 	13.0 	15.8 	17.0 p	16.0 p	14.6 p	15.8 p	15.5 p	: 
PC,NRG,H,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.7 	17.1 	16.5 	18.0 	18.7 	17.7 	16.6 	15.6 	: 
PC,NRG,H,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.3 	12.6 	12.5 	12.4 	12.5 	12.0 	12.0 	12.0 	: 
PC,NRG,H,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.2 	22.3 	19.4 	17.5 	18.9 	19.6 	20.7 	20.0 	: 
PC,NRG,H,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.7 e	7.7 	8.2 	8.4 	8.3 	7.8 	7.2 	6.5 	5.6 p
PC,NRG,H,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34.4 	34.7 	36.4 	36.5 	41.2 	44.2 	42.2 	45.7 	: 
PC,NRG,H,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.5 	11.9 	12.3 	12.6 	12.4 	14.1 	14.4 	15.0 	19.4 b	19.1 	19.1 	: 
PC,NRG,H,IE	26.9 	25.8 	25.2 	25.2 	25.4 	27.1 	24.8 	25.9 	26.7 	26.4 	26.1 	25.5 	25.6 	22.6 	19.4 	19.3 	19.9 	20.5 	22.1 	22.9 	23.9 	24.3 
PC,NRG,H,IT	9.1 	8.5 	8.7 	9.0 	9.5 	9.7 	10.2 	10.7 	11.0 	11.4 	11.7 	12.2 	13.0 	13.7 	13.1 	13.1 	12.8 	13.1 	10.3 	10.3 	10.6 	: 
PC,NRG,H,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.1 e	4.1 e	4.1 	4.5 	13.8 	10.7 	1.2 	1.2 	: 
PC,NRG,H,LU	9.1 	9.3 	10.0 	9.9 	11.1 	14.6 	14.7 	14.2 	11.3 	11.0 	16.1 	16.2 	17.6 	18.2 	16.3 	18.3 	15.9 	16.2 	17.8 	16.8 	17.0 	: 
PC,NRG,H,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.2 	19.2 	21.9 	15.3 	15.3 	14.5 	13.5 	14.1 	: 
PC,NRG,H,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.2 	19.7 	20.0 	20.0 	20.0 	: 	: 
PC,NRG,H,MT	11.6 	11.6 	11.6 	11.6 	11.6 	11.6 	11.6 	11.6 	11.6 	11.6 	11.6 	11.5 	11.5 	10.2 	10.2 	9.4 	7.4 	7.5 	7.5 	7.1 	8.0 	7.7 p
PC,NRG,H,NL	12.3 	11.5 	11.3 	11.4 	10.5 	9.9 	9.1 	9.2 	8.7 	8.5 	8.2 	8.5 	8.8 	8.9 	8.6 	8.0 	8.7 	8.9 	8.1 	7.9 	7.3 	7.1 p
PC,NRG,H,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.1 	13.8 	13.9 	13.1 	13.5 	12.3 	13.3 	12.8 	: 
PC,NRG,H,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27.2 	26.7 	25.0 	24.3 	24.0 	25.6 	24.8 	24.9 	: 
PC,NRG,H,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.3 	16.3 	17.2 	17.3 	18.0 	19.8 	17.2 	16.5 	16.9 	17.1 	: 
PC,NRG,H,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.6 	17.9 	20.1 	22.9 	21.1 	22.1 	22.3 	22.7 	23.1 	26.2 	: 
PC,NRG,H,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34.8 	34.8 	37.7 	33.4 	33.3 	35.6 	38.4 	35.2 	: 
PC,NRG,H,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.6 	12.8 	13.5 	14.0 	13.8 	13.8 	14.2 	14.0 	: 
PC,NRG,H,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.2 	5.2 	5.0 	4.9 	5.6 	6.3 	6.3 	6.2 	7.4 
PC,NRG,H,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.8 	19.4 	21.2 	20.6 	21.4 	32.2 	28.4 	28.7 	: 
PC,NRG,H,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35.2 	35.9 	35.2 	35.1 	35.0 	35.0 	35.0 	34.9 	35.1 
PC,NRG,H,UK	: 	: 	10.9 	11.9 	11.0 	11.8 	12.0 	11.5 	11.9 	12.7 	12.0 	11.7 	11.7 	11.0 	10.1 	9.3 	9.2 	9.2 	9.4 	9.5 	9.8 	: 
PC,NRG,I-U,AT	12.8 	13.1 	13.8 	13.6 	13.9 	13.4 	13.6 	12.9 	12.9 	12.7 	12.9 	13.2 	13.3 	13.5 	13.2 	13.0 	12.9 	12.8 	12.9 	13.3 	13.1 	: 
PC,NRG,I-U,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.3 	13.2 	13.0 	12.6 	13.3 	13.1 	12.8 	13.0 	: 
PC,NRG,I-U,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.6 	7.2 	3.1 	3.3 	3.5 	3.4 	2.7 	2.8 	: 
PC,NRG,I-U,CH	: 	: 	: 	: 	: 	8.8 	9.2 	9.9 	9.7 	9.1 	8.9 	8.4 	8.3 	8.6 	9.1 	9.6 	9.3 	8.7 	8.6 	8.1 	9.3 	: 
PC,NRG,I-U,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.1 	7.1 	7.2 	8.0 	8.6 	8.0 	7.6 	8.3 	: 
PC,NRG,I-U,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.0 	9.3 	9.2 	9.5 	9.6 	8.9 	7.5 	7.6 	8.2 	8.0 	8.1 	: 
PC,NRG,I-U,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.0 	6.8 	7.6 	8.4 	8.1 	8.7 	8.8 	8.8 	: 
PC,NRG,I-U,DK	11.5 	12.3 	12.8 	15.1 	13.9 	14.3 	13.8 	14.1 	14.9 	14.9 	14.6 	14.8 	15.4 	15.1 	15.5 	16.4 	17.4 	16.8 	13.4 	15.8 	13.5 	13.5 
PC,NRG,I-U,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.3 	8.4 	8.7 	9.2 	9.1 	9.5 	9.8 	9.8 	: 
PC,NRG,I-U,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.2 	8.8 	8.5 	8.0 	8.0 	7.4 	7.6 	7.6 	: 
PC,NRG,I-U,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.7 	10.0 	7.9 	6.6 p	8.0 p	10.3 p	9.6 p	9.6 p	: 
PC,NRG,I-U,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.0 	8.7 	8.1 	7.2 	6.6 	7.4 	7.5 	7.9 	: 
PC,NRG,I-U,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.3 	9.4 	9.6 	9.8 	9.7 	10.0 	10.3 	10.4 	: 
PC,NRG,I-U,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.7 	13.0 	14.3 	16.6 	17.5 	18.8 	17.8 	16.9 	: 
PC,NRG,I-U,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.7 e	8.7 	8.9 	9.2 	9.2 	9.1 	9.3 	9.2 	9.1 p
PC,NRG,I-U,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.5 	8.5 	8.6 	8.6 	4.8 	3.3 	4.0 	2.7 	: 
PC,NRG,I-U,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.5 	8.4 	8.4 	8.5 	8.4 	8.5 	8.3 	8.0 	7.8 	8.3 	9.0 	: 
PC,NRG,I-U,IE	5.2 	4.7 	4.6 	4.6 	4.5 	4.8 	4.7 	4.6 	4.7 	4.9 	5.1 	3.9 	3.6 	4.7 	4.3 	4.3 	5.0 	4.9 	5.9 	7.0 	8.4 	9.6 
PC,NRG,I-U,IT	7.2 	7.0 	6.8 	6.5 	6.2 	6.3 	6.5 	6.3 	6.4 	6.4 	6.8 	6.8 	6.5 	6.4 	7.0 	7.4 	8.5 	8.6 	9.2 	10.1 	10.0 	: 
PC,NRG,I-U,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.3 e	4.3 e	4.3 	3.8 	3.4 	5.2 	6.1 	6.5 	: 
PC,NRG,I-U,LU	3.4 	4.2 	3.4 	3.9 	3.9 	3.6 	3.6 	3.5 	2.6 	2.5 	4.0 	4.2 	4.2 	4.4 	5.1 	4.4 	4.3 	4.7 	4.9 	5.9 	6.5 	: 
PC,NRG,I-U,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.0 	8.4 	9.3 	10.3 	9.6 	11.0 	12.4 	12.4 	: 
PC,NRG,I-U,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.2 	3.9 	4.0 	5.1 	5.1 	: 	: 
PC,NRG,I-U,MT	5.7 	5.7 	5.7 	5.7 	5.7 	5.7 	5.7 	5.7 	5.7 	5.7 	5.7 	5.8 	5.8 	2.4 	2.5 	2.6 	2.9 	2.6 	2.6 	3.0 	2.7 	2.7 p
PC,NRG,I-U,NL	9.3 	9.9 	10.1 	10.3 	10.8 	11.5 	10.9 	9.8 	9.7 	11.3 	13.4 	14.8 	13.2 	14.6 	14.5 	14.5 	14.7 	14.4 	14.5 	14.2 	14.0 	14.0 p
PC,NRG,I-U,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.9 	10.3 	10.5 	10.8 	10.3 	10.5 	10.7 	10.4 	: 
PC,NRG,I-U,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.1 	12.3 	13.8 	12.8 	12.7 	11.7 	12.0 	11.6 	: 
PC,NRG,I-U,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.1 	8.2 	8.4 	9.2 	8.9 	10.4 	8.6 	9.2 	9.0 	9.0 	: 
PC,NRG,I-U,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
PC,NRG,I-U,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.0 	1.0 	1.1 	2.0 	1.5 	0.8 	0.9 	1.5 	: 
PC,NRG,I-U,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.6 	12.0 	11.2 	11.4 	11.3 	11.7 	11.8 	11.8 	: 
PC,NRG,I-U,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.1 	0.9 	0.8 	0.9 	0.8 	0.8 	1.0 	0.9 	0.9 
PC,NRG,I-U,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.4 	5.2 	6.7 	5.7 	7.1 	6.8 	7.8 	7.8 	: 
PC,NRG,I-U,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.6 	9.6 	9.6 	9.6 	9.6 	9.6 	9.6 	9.6 	9.6 
PC,NRG,I-U,UK	: 	: 	8.7 	9.1 	10.8 	10.7 	11.3 	11.9 	11.7 	13.2 	13.0 	12.6 	12.9 	12.7 	13.3 	12.3 	11.7 	11.8 	12.3 	12.7 	13.7 	: 
