sex,incgrp,age,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,TOTAL,TOTAL,PC,CZ	: 	: 	33.6 	33.8 	32.7 	29.8 	26.6 	22.5 	21.1 	21.1 	21.0 	19.9 	18.7 	17.9 	16.0 
T,TOTAL,TOTAL,PC,DE	: 	: 	6.3 	7.6 	6.5 	7.0 	7.0 	7.1 	6.7 	6.6 	6.7 	6.6 	7.0 	7.2 	7.2 
T,TOTAL,TOTAL,PC,DK	7.7 	7.5 	7.4 	7.1 	7.4 	7.3 	7.8 	7.3 	7.4 	7.2 	7.9 	8.2 	8.1 	8.2 	8.6 
T,TOTAL,TOTAL,PC,EA18	: 	: 	12.9 	12.7 	12.6 	12.4 	12.0 	12.0 	11.5 	11.6 	11.8 	11.8 	12.0 	12.2 	12.1 e
T,TOTAL,TOTAL,PC,EA19	: 	: 	13.3 	13.1 	13.0 	12.8 	12.3 	12.4 	11.6 	11.7 	12.0 	11.9 	12.1 	12.3 	12.2 e
T,TOTAL,TOTAL,PC,EE	: 	46.6 	46.1 	45.9 	43.5 	41.7 	41.2 	39.7 	14.4 	14.0 	21.1 	14.2 b	13.4 	13.4 	13.5 
T,TOTAL,TOTAL,PC,EL	31.6 	29.2 	29.2 	29.3 	29.2 	26.7 	25.0 	25.5 	25.9 	26.5 	27.3 	27.4 	28.1 	28.7 	29.1 
T,TOTAL,TOTAL,PC,ES	: 	13.6 	8.4 b	6.5 	5.8 	5.6 	5.2 	5.0 	6.6 b	5.6 	5.2 	5.3 	5.5 	5.4 	5.1 
T,TOTAL,TOTAL,PC,EU	: 	: 	: 	: 	: 	18.3 e	17.7 e	17.7 e	17.0 e	16.9 e	17.0 e	16.7 e	16.7 e	16.6 e	17.5 e
T,TOTAL,TOTAL,PC,EU27	: 	: 	19.5 e	19.1 e	18.7 	18.3 	17.7 	17.5 	16.8 	16.7 	16.8 	16.5 	16.5 	16.4 	17.5 e
T,TOTAL,TOTAL,PC,EU28	: 	: 	: 	: 	: 	: 	: 	17.7 	17.0 	16.9 	17.0 	16.7 	16.7 	16.6 	17.5 e
T,TOTAL,TOTAL,PC,FI	: 	7.2 	7.0 	6.3 	6.1 	5.8 	5.9 	6.1 	6.5 	6.0 	6.9 	7.0 	6.7 	6.6 	6.1 
T,TOTAL,TOTAL,PC,FR	: 	10.3 	9.4 	8.1 	10.1 	9.7 	9.6 	9.2 	8.0 	8.1 	7.4 	7.1 	7.4 	7.7 	7.7 
T,TOTAL,TOTAL,PC,HR	: 	: 	: 	: 	: 	: 	: 	43.7 	44.6 	44.4 	42.8 	42.1 	41.7 	41.1 	: 
T,TOTAL,TOTAL,PC,HU	: 	: 	49.9 	51.2 	47.4 	48.3 	46.8 	47.2 	45.5 	45.3 	44.0 	41.9 	41.1 	40.4 	40.5 
T,TOTAL,TOTAL,PC,IE	6.0 	6.3 	5.4 	6.2 	4.9 	4.7 	3.7 	3.4 	2.6 	3.2 	2.8 	3.6 	3.4 	3.2 	: 
T,TOTAL,TOTAL,PC,IS	: 	8.1 	7.9 	8.7 	10.7 	6.3 	7.3 	7.2 	7.6 	7.9 	9.1 	8.0 	8.3 	7.4 p	: 
T,TOTAL,TOTAL,PC,IT	: 	25.6 	24.1 	24.6 	24.3 	24.3 	23.3 	24.3 	24.5 	26.1 	27.1 	27.2 	27.8 	27.8 	27.1 
T,TOTAL,TOTAL,PC,LT	: 	: 	52.8 	53.5 	52.5 	48.4 	48.1 	45.5 	19.5 b	19.0 	28.0 b	28.3 	26.4 	23.7 	23.7 
