unit,indic,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,INV_GOV,IS	5.14 	5.14 	4.20 	3.98 	4.63 	3.76 	4.30 	4.75 	4.65 	3.85 	3.28 	2.73 	2.59 	2.82 	3.04 	2.89 	: 	: 
PC,INV_GOV,IT	2.85 	2.90 	2.37 	3.01 	3.02 	3.00 	2.94 	2.91 	2.98 	3.45 	2.92 	2.77 	2.57 	2.40 	2.28 	2.26 	2.12 	1.96 
PC,INV_GOV,LT	2.42 	2.28 	2.97 	3.08 	3.61 	3.61 	4.27 	5.41 	5.38 	4.42 	4.96 	4.73 	3.98 	3.75 	3.51 	3.67 	2.98 	: 
PC,INV_GOV,LU	3.85 	4.39 	4.69 	4.77 	4.78 	5.21 	3.38 	3.56 	3.66 	4.28 	4.74 	4.16 	3.98 	3.50 	3.58 	3.75 	3.87 	: 
PC,INV_GOV,LV	1.97 	1.70 	1.78 	2.78 	3.52 	3.45 	4.93 	5.91 	5.16 	4.87 	4.73 	4.99 	4.86 	4.42 	4.47 	4.75 	3.50 	: 
PC,INV_GOV,MT	: 	: 	: 	: 	: 	4.56 	3.98 	3.68 	2.42 	2.39 	2.17 	2.82 	3.25 	2.88 	3.56 	4.34 	2.61 	: 
PC,INV_GOV,NL	3.75 	3.90 	4.15 	4.21 	3.89 	3.73 	3.93 	3.87 	3.98 	4.30 	4.15 	4.00 	3.74 	3.64 	3.51 	3.59 	3.49 	3.51 
PC,INV_GOV,NO	3.41 	3.38 	3.65 	3.90 	3.78 	3.44 	3.52 	3.78 	3.82 	4.53 	4.14 	4.04 	3.87 	4.28 	4.59 	4.87 	5.28 	5.45 
PC,INV_GOV,PL	1.88 	2.82 	2.85 	2.80 	2.89 	3.39 	4.00 	4.47 	4.79 	5.02 	5.59 	5.86 	4.75 	4.14 	4.51 	4.40 	3.28 	: 
PC,INV_GOV,PT	4.61 	5.03 	4.61 	4.37 	4.43 	4.08 	3.36 	3.22 	3.72 	4.11 	5.27 	3.49 	2.47 	2.17 	1.99 	2.25 	1.47 	1.77 
PC,INV_GOV,RO	3.47 	2.76 	3.25 	3.62 	2.82 	2.87 	5.27 	6.40 	6.91 	6.15 	5.82 	5.48 	4.67 	4.53 	4.26 	5.15 	3.58 	: 
PC,INV_GOV,SE	3.94 	4.15 	4.35 	4.20 	4.11 	4.11 	4.13 	4.10 	4.26 	4.49 	4.51 	4.44 	4.56 	4.46 	4.40 	4.19 	4.39 	4.56 
PC,INV_GOV,SI	3.69 	3.92 	3.71 	3.74 	3.94 	3.76 	4.29 	4.54 	4.71 	5.05 	4.96 	4.06 	4.06 	4.35 	5.07 	4.68 	3.19 	: 
PC,INV_GOV,SK	3.65 	3.93 	4.09 	3.16 	2.94 	3.43 	3.81 	3.16 	3.37 	3.88 	3.61 	3.81 	3.35 	3.32 	3.97 	6.27 	3.20 	: 
PC,INV_GOV,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.85 	3.48 	3.12 	3.10 	3.57 	3.19 	3.32 	: 	: 
PC,INV_GOV,UK	1.69 	1.94 	2.03 	2.12 	2.44 	1.47 	2.50 	2.52 	3.00 	3.33 	3.19 	2.96 	2.76 	2.63 	2.72 	2.63 	2.62 	: 
PC,INV_HH,AT	6.59 	6.25 	5.91 	5.60 	5.53 	5.41 	5.29 	5.27 	5.33 	5.25 	5.30 	5.29 	5.27 	5.27 	5.09 	5.02 	5.03 	: 
PC,INV_HH,BE	5.86 	5.48 	5.24 	5.30 	5.51 	6.16 	6.48 	6.68 	6.79 	6.25 	6.15 	5.89 	5.88 	5.66 	5.88 	5.80 	5.79 	: 
PC,INV_HH,BG	0.46 	0.62 	0.57 	0.52 	0.52 	1.29 	2.53 	1.38 	1.63 	3.61 	1.26 	1.68 	1.60 	1.57 	1.51 	0.76 	3.20 	: 
