currency,partner,sector10,sectpart,stk_flow,bop_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,UK	: 	: 	: c	: c	384259.0 	447468.0 	554429.0 	526218.0 	554942.0 	623948.0 	689591.0 	848432.0 	964189.0 	975825.0 	965206.0 	974743.0 	942629.0 	979648.0 	905093.0 	973928.0 	967312.0 	992492.0 	971494.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,AT	: 	: 	: 	: 	22999.0 	35103.0 	25225.0 	19391.0 	23675.0 	25692.0 	32744.0 	38914.0 	37152.0 	15616.0 	22450.0 	27484.0 	22795.0 	26386.0 	30408.0 	32710.0 	34250.0 	36745.0 	42591.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39615.0 	58712.0 	64775.0 	47225.0 	58622.0 	69237.0 	88966.0 	90732.0 	108157.0 	126064.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	485.3 	354.7 	413.6 	514.8 	935.2 	1062.1 	2083.2 	1407.7 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4101.0 	3682.0 	3886.0 	3685.0 	3565.0 	4322.0 	3478.0 	2966.0 	3650.0 	4634.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	76121.0 	146958.0 	202322.0 	256779.0 	189701.0 	186393.0 	207126.0 	189261.0 	197084.0 	100930.0 	117706.0 	130554.0 	144816.0 	171465.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,DE	: 	: 	: 	: 	406288.0 	484339.0 	420623.0 	289583.0 	310847.0 	326208.0 	432031.0 	383731.0 	315592.0 	148183.0 	190895.0 	217045.0 	191682.0 	222954.0 	285329.0 	332526.0 	383225.0 	425048.0 	471137.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	542237.0 	716546.0 	757459.0 	418157.0 	532922.0 	658332.0 	626457.0 	749320.0 	920269.0 	1061037.0 	1189371.0 	1315364.0 	1521932.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,EE	: 	16.4 	54.3 	10.6 	4.7 	19.4 	8.7 	10.5 	39.2 	107.4 	273.8 	406.7 	550.1 	173.7 	243.9 	304.7 	554.0 	541.4 	680.2 	579.8 	612.7 	735.3 	1612.8 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,EL	: 	: 	: 	: 	: 	: 	: 	: 	3473.0 	4148.0 	6644.0 	9727.0 	13584.0 	11089.0 	9530.0 	9165.0 	8968.0 	5194.0 	893.0 	915.0 	855.0 	903.0 	1118.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,ES	: 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	42599.0 	54791.0 	62269.0 	71306.0 	69764.0 	85289.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,FI	: 	: 	: 	: 	13606.7 	21777.7 	22871.4 	21873.9 	28568.4 	24507.9 	33259.3 	38184.7 	41355.2 	15967.5 	27797.0 	36027.6 	26289.5 	31663.5 	40300.2 	48028.1 	49749.0 	54895.0 	60768.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,FR	: 	: 	: 	: 	167000.0 	199444.0 	193117.0 	148402.0 	213893.0 	252384.0 	343620.0 	396987.0 	376127.0 	224303.0 	313028.0 	351022.0 	269655.0 	335397.0 	400723.0 	421165.0 	439232.0 	452585.0 	504354.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,HR	: 	: 	: 	: 	: 	113.7 	174.0 	574.0 	1063.0 	1357.0 	3348.0 	3586.0 	12054.0 	4616.0 	5517.0 	9162.0 	8470.0 	9847.0 	11669.0 	12808.0 	10478.0 	9900.0 	9947.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,HU	: 	: 	: 	: 	18484.1 	62864.7 	75667.0 	80012.1 	88370.4 	183283.5 	355201.2 	733570.7 	1252425.6 	412033.3 	569115.8 	646276.3 	470998.1 	462861.8 	320033.8 	408056.7 	475298.9 	547413.5 	653967.0 
