unit,tenure,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,RENT_MKT,MK	: 	: 	: 	: 	: 	: 	: 	5.8 	18.8 	18.5 b	3.1 	13.1 	: 
PC,RENT_MKT,MT	1.7 	2.2 	0.0 	0.0 	2.1 	4.0 	8.6 	3.4 	4.9 	8.0 	4.1 	10.1 	4.1 
PC,RENT_MKT,NL	1.3 	1.2 	2.0 	1.3 	1.1 	1.2 	1.0 	1.9 	2.1 	1.6 	2.4 	3.3 b	2.2 
PC,RENT_MKT,NO	6.9 	8.2 	6.0 	7.2 	3.4 	7.7 	5.0 	6.1 	5.8 	4.0 	2.6 	5.3 	4.0 
PC,RENT_MKT,PL	: 	: 	43.5 	32.7 	27.8 	22.3 	22.8 	20.8 	18.4 	14.2 	19.8 	19.5 	15.9 
PC,RENT_MKT,PT	18.5 	16.8 	15.3 	14.4 	12.5 	15.6 	9.5 	10.6 	10.5 	10.1 	8.0 	9.0 	6.5 
PC,RENT_MKT,RO	: 	: 	38.3 	30.4 	35.1 	30.3 	25.2 	19.0 	21.2 	32.8 	53.0 	46.0 	27.2 
PC,RENT_MKT,RS	: 	: 	: 	: 	: 	: 	: 	: 	21.2 	18.9 	16.6 	10.7 	: 
PC,RENT_MKT,SE	2.3 	3.6 	2.8 	3.5 b	3.4 	4.3 	4.5 	3.7 	4.1 	5.0 	6.8 	6.7 	6.1 
PC,RENT_MKT,SI	30.6 	31.5 	29.0 	42.0 	48.5 	39.7 	29.2 b	30.5 	18.9 	18.8 	18.9 	12.2 	15.0 
PC,RENT_MKT,SK	6.1 	8.6 	6.3 	11.3 b	11.7 	10.1 	12.1 	12.3 	9.1 	9.4 	7.6 	6.0 	11.1 
PC,RENT_MKT,TR	: 	29.6 	27.1 	25.9 	29.9 	27.5 	25.6 	24.1 	24.7 	25.6 	24.0 	: 	: 
PC,RENT_MKT,UK	5.8 	6.9 	4.2 	5.7 	6.6 	8.6 	4.7 	4.2 b	5.0 	4.5 	4.8 	5.2 	: 
