unit,direct,na_item,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
CP_MNAC,PAID,B9,S14_S15,EE	304 	189 	22 	34 	50 	164 	89 	-303 	-354 	-485 	-561 	-1180 	-1101 	-3 	653 	142 	322 	353 	195 	369 	418 	371 	614 
CP_MNAC,PAID,B9,S14_S15,EL	828 p	-1731 p	-2709 p	-5019 p	-6041 p	-9298 p	-10178 p	-9311 p	-9944 p	-11477 p	-15001 p	-19215 p	-21828 p	-19147 p	-8352 p	-12312 p	-12002 p	-9275 p	-9541 p	-8943 p	-8518 p	-11219 p	: 
CP_MNAC,PAID,B9,S14_S15,ES	: 	: 	: 	: 	9722 	6654 	3100 	890 	3180 	-7727 	-26154 	-40662 	-57315 	-27052 	31347 	14151 	27653 	23230 	41069 	34867 	25640 	19478 	-4759 
CP_MNAC,PAID,B9,S14_S15,FI	1638 	-472 	-101 	-1499 	-1248 	-1875 	-1298 	-1282 	-2149 	-2475 	-4837 	-6384 	-6625 	-5659 	-437 	-1874 	-4219 	-4597 	-2988 	-3973 	-4176 	-6824 	-8445 
CP_MNAC,PAID,B9,S14_S15,FR	38097 	33314 	42647 	37282 	40587 	39997 	43949 	54597 	46256 	42563 	34331 	41446 	47104 	49700 	83729 	83848 	76312 	80440 	60291 	67749 	64023 	58354 p	60059 p
CP_MNAC,PAID,B9,S14_S15,HR	: 	: 	: 	: 	: 	: 	: 	6521 	7678 	7666 	3760 	2222 	-4611 	-2674 	12937 	15754 	15448 	16817 	: 	: 	: 	: 	: 
CP_MNAC,PAID,B9,S14_S15,HU	449674 	468948 	514920 	626551 	482923 	323503 	381305 	77378 	-144582 	215167 	634780 	959087 	294380 	130664 	486879 	832363 	1458553 	1303581 	1425202 	1959357 	1919763 	1598604 	1373259 
CP_MNAC,PAID,B9,S14_S15,IE	-686 	-1888 	-2745 	-3337 	-5278 	-8009 	-6339 	-8051 	-10176 	-12500 	-15546 	-19392 	-17445 	-7540 	3465 	3522 	1853 	4772 	3158 	600 	-368 	-1343 	: 
CP_MNAC,PAID,B9,S14_S15,IT	89606 	92365 	69258 	46119 	41229 	25976 	41270 	43789 	32433 	43959 	40522 	35243 	30903 	33432 	32407 	7893 	10578 	1829 	25760 	35781 	32448 	24626 	15475 
CP_MNAC,PAID,B9,S14_S15,LT	-225 	-365 	1211 	50 	19 	281 	35 	-51 	-438 	327 	-6 	262 	-1282 	-1314 	96 	623 	1083 	-634 	-759 	-993 	-1352 	-1454 	-2069 
CP_MNAC,PAID,B9,S14_S15,LU	772 	742 	621 	693 	618 	553 	927 	1187 	823 	907 	1105 	657 	618 	475 	1245 	2024 	1467 	1918 	1623 	1554 	1895 	1920 	: 
CP_MNAC,PAID,B9,S14_S15,LV	-306 	-210 	-79 	-182 	-212 	-164 	-218 	-163 	-139 	-388 	-562 	-1228 	-1716 	242 	1290 	408 	-1240 	-1213 	-1070 	-1024 	-629 	25 	-349 
CP_MNAC,PAID,B9,S14_S15,NL	7736 	4269 	2446 	-384 	-7033 	-7624 	-3915 	-2485 	-3748 	-5887 	-12914 	-17197 	-20494 	-13103 	7989 	10468 	14382 	23401 	27729 	29274 	25080 	20668 	16882 p
CP_MNAC,PAID,B9,S14_S15,PL	28887 	30102 	32574 	42493 	33819 	35638 	50413 	30722 	22281 	-11364 	-16483 	-21168 	-32886 	-45814 	-11549 	-25722 	-59159 	-65235 	-42367 	-49022 	-50978 	-27218 	: 
CP_MNAC,PAID,B9,S14_S15,PT	3280 	2002 	1157 	2247 	1227 	338 	2853 	3682 	2412 	3591 	3506 	2540 	1177 	2834 	7748 	6100 	4647 	4950 	6200 	3839 	3392 	2404 	1967 p
CP_MNAC,PAID,B9,S14_S15,RO	161 	-256 	1152 	6265 	-1547 	691 	22894 	372 	-2003 	-6937 	-14527 	-21151 	-21463 	7585 b	26407 	-2567 	-10355 	-38000 	-20647 b	-20459 	-46992 	-44616 p	: 
CP_MNAC,PAID,B9,S14_S15,SE	67049 	45310 	14824 	6243 	6277 	28961 	83457 	78393 	63165 	38711 	33657 	53409 	90943 	144376 	152663 	165914 	192089 	253032 	271826 	315244 	265916 	290152 	267935 
CP_MNAC,PAID,B9,S14_S15,SI	699 	154 	385 	262 	-100 	448 	857 	970 	706 	724 	1315 	1762 	1436 	1583 	1784 	1575 	1615 	1185 	1985 	1760 	1687 	1736 	2051 
CP_MNAC,PAID,B9,S14_S15,SK	458 	1983 	1272 	892 	571 	216 	38 	-369 	-473 	-605 	-723 	-1131 	-710 	-1079 	33 	260 	-633 	-317 	-670 	-23 	642 	560 	294 
CP_MNAC,PAID,B9,S14_S15,UK	54929 	49253 	51131 	41160 	22124 	35957 	39941 	34205 	22632 	20946 	17179 	12637 	28083 	29221 	81612 	83355 	57737 	62574 	44914 	44921 	59167 	16841 	-20749 
