sectperf,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
TOTAL,PC_GDP,LV	0.43 	0.4 	0.37 	0.38 	0.35 	0.44 	0.4 	0.41 	0.36 	0.4 	0.53 	0.65 	0.55 	0.58 	0.45 	0.61 	0.7 	0.66 	0.61 	0.69 	0.63 	0.44 
TOTAL,PC_GDP,MT	: 	: 	: 	: 	: 	: 	: 	0.25 	0.24 	0.49 b	0.53 	0.58 	0.55 	0.53 	0.52 	0.61 	0.67 	0.83 	0.77 	0.72 	0.77 	0.61 p
TOTAL,PC_GDP,NL	1.85 	1.86 b	1.87 	1.76 	1.84 b	1.81 	1.82 	1.77 	1.81 	1.81 	1.79 	1.76 	1.69 	1.64 	1.69 	1.72 	1.9 b	1.94 b	1.95 	2 	2 	2.03 p
TOTAL,PC_GDP,PL	0.62 b	0.64 	0.64 	0.66 	0.68 	0.64 	0.62 	0.56 	0.54 	0.55 	0.56 	0.55 	0.56 	0.6 	0.66 	0.72 	0.75 	0.88 	0.87 	0.94 	1 	0.97 p
TOTAL,PC_GDP,PT	0.52 	0.55 e	0.56 	0.62 	0.68 	0.72 e	0.76 	0.72 e	0.7 	0.73 e	0.76 	0.95 e	1.12 	1.45 b	1.58 	1.53 	1.46 	1.38 	1.33 	1.29 	1.24 	1.27 p
TOTAL,PC_GDP,RO	0.75 b	0.67 	0.57 	0.49 	0.4 	0.36 	0.39 	0.38 	0.38 	0.38 	0.41 	0.45 	0.51 	0.55 	0.45 	0.46 	0.5 b	0.48 	0.39 	0.38 	0.49 	0.48 
TOTAL,PC_GDP,SE	3.13 be	: 	3.32 e	: 	3.42 e	: 	3.91 e	: 	3.61 e	3.39 e	3.39 b	3.5 e	3.26 	3.5 e	3.45 	3.22 e	3.25 	3.28 e	3.31 e	3.15 e	3.27 	3.25 p
TOTAL,PC_GDP,SI	1.49 e	1.27 	1.25 	1.31 	1.34 	1.36 	1.47 	1.44 	1.25 	1.37 	1.41 	1.53 	1.42 	1.63 b	1.82 	2.06 	2.42 b	2.57 	2.58 	2.37 	2.2 	2 p
TOTAL,PC_GDP,SK	0.91 	0.89 	1.05 b	0.77 	0.65 	0.64 	0.63 	0.56 	0.56 	0.5 	0.49 	0.48 	0.45 	0.46 	0.47 	0.62 	0.66 	0.8 	0.82 	0.88 	1.18 	0.79 
TOTAL,PC_GDP,UK	1.66 	1.59 	1.55 	1.56 	1.64 	1.63 	1.62 	1.63 	1.59 	1.55 	1.56 	1.59 	1.63 	1.63 e	1.69 e	1.67 e	1.67 b	1.6 e	1.65 	1.67 e	1.67 	1.69 p
