unit,sex,age,incgrp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,T,TOTAL,TOTAL,EU28	: 	: 	: 	: 	10.8 	11.4 	11.0 	11.1 	11.6 	11.4 	11.1 	10.2 e
PC,T,TOTAL,TOTAL,FI	3.7 	4.7 	4.7 	4.4 	4.2 	4.4 	4.5 	4.9 	5.1 	4.9 	4.4 	4.3 
PC,T,TOTAL,TOTAL,FR	6.0 	5.7 	4.2 	4.0 	5.1 	5.2 	5.2 	5.2 	5.1 	5.7 	5.2 	4.7 
PC,T,TOTAL,TOTAL,HR	: 	: 	: 	: 	14.1 	8.0 	6.8 	8.4 	7.5 	7.2 	6.4 	: 
PC,T,TOTAL,TOTAL,HU	12.3 	10.9 	11.6 	8.9 	11.3 	13.0 	14.7 	14.3 	12.8 	8.5 	8.8 	10.7 
PC,T,TOTAL,TOTAL,IE	2.5 	3.1 	3.3 	4.0 	4.9 	6.1 	6.3 	4.6 	6.2 	4.6 	4.6 	: 
PC,T,TOTAL,TOTAL,IS	14.3 	10.5 	11.4 	9.5 	9.6 	11.3 	9.0 	8.8 	8.1 	8.2 	6.3 p	: 
PC,T,TOTAL,TOTAL,IT	12.2 	7.5 	8.3 	7.8 	7.7 	8.7 	8.1 	8.9 	8.5 	8.6 	9.6 	8.2 
PC,T,TOTAL,TOTAL,LT	6.9 	4.8 	5.0 	5.6 	10.6 	11.1 	8.9 	8.2 	7.1 	9.1 	7.8 	7.2 
PC,T,TOTAL,TOTAL,LU	4.8 	3.9 	3.7 	3.7 	4.7 	4.2 	4.9 	5.6 	6.8 	6.0 	9.5 b	10.0 
PC,T,TOTAL,TOTAL,LV	10.6 	9.9 	8.7 	9.3 	9.8 	12.5 	11.2 	11.4 	9.6 	8.1 	7.0 	6.9 
PC,T,TOTAL,TOTAL,MK	: 	: 	: 	: 	: 	19.5 	20.1 	17.6 	15.6 	12.3 	12.5 	: 
PC,T,TOTAL,TOTAL,MT	1.8 	2.5 	3.3 	2.8 	3.7 	3.0 	2.6 	2.6 	1.6 	1.1 	1.4 	1.4 
PC,T,TOTAL,TOTAL,NL	19.7 	18.3 	13.7 	13.1 	14.0 	14.5 	14.4 	15.7 	15.4 	14.9 	10.7 b	9.4 
