unit,sector,na_item,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,S13,GD,HU	55.3 	51.9 	55.3 	57.9 	58.7 	60.5 	64.5 	65.5 	71.6 	77.8 	80.2 	80.5 	78.4 	77.1 	76.6 	76.6 	75.9 	73.3 
PC_GDP,S13,GD,IE	36.1 	33.2 	30.6 	29.9 	28.2 	26.1 	23.6 	23.9 	42.4 	61.5 	86.0 	110.9 	119.9 	119.7 	104.1 	76.8 	73.4 	68.4 
PC_GDP,S13,GD,IT	105.1 	104.7 	101.9 	100.5 	100.1 	101.9 	102.6 	99.8 	102.4 	112.5 	115.4 	116.5 	123.4 	129.0 	131.8 	131.6 	131.4 	131.2 
PC_GDP,S13,GD,LT	23.5 	22.9 	22.1 	20.4 	18.7 	17.6 	17.2 	15.9 	14.6 	28.0 	36.2 	37.2 	39.8 	38.8 	40.5 	42.6 	39.9 	39.4 
PC_GDP,S13,GD,LU	7.2 	7.3 	7.0 	6.9 	7.3 	7.4 	7.8 	7.7 	14.9 	15.7 	19.8 	18.7 	22.0 	23.7 	22.7 	22.2 	20.7 	23.0 
PC_GDP,S13,GD,LV	12.1 	13.8 	13.0 	13.7 	14.0 	11.4 	9.6 	8.0 	18.2 	35.8 	46.8 	42.7 	41.2 	39.0 	40.9 	36.8 	40.3 	40.0 
PC_GDP,S13,GD,MT	60.9 	65.2 	63.2 	69.0 	71.9 	70.0 	64.5 	62.3 	62.6 	67.6 	67.5 	70.1 	67.7 	68.4 	63.7 	58.6 	56.3 	50.9 
PC_GDP,S13,GD,NL	52.1 	49.5 	48.8 	50.0 	50.3 	49.8 	45.2 	43.0 	54.7 	56.8 	59.3 	61.7 	66.2 	67.7 	67.9 	64.6 	61.9 	57.0 
PC_GDP,S13,GD,PL	36.5 	37.3 	41.8 	46.6 	45.0 	46.4 	46.9 	44.2 	46.3 	49.4 	53.1 	54.1 	53.7 	55.7 	50.4 	51.3 	54.2 	50.6 
PC_GDP,S13,GD,PT	50.3 	53.4 	56.2 	58.7 	62.0 	67.4 	69.2 	68.4 	71.7 	83.6 	96.2 	111.4 	126.2 	129.0 	130.6 	128.8 	129.2 	124.8 
PC_GDP,S13,GD,RO	22.4 	25.7 	24.8 	21.3 	18.6 	15.7 	12.3 	11.9 	12.4 	22.1 	29.7 	34.0 	36.9 	37.6 	39.2 	37.8 	37.3 	35.1 
PC_GDP,S13,GD,SE	50.7 	52.2 	50.2 	49.7 	48.9 	49.1 	43.9 	39.2 	37.7 	41.3 	38.6 	37.8 	38.1 	40.7 	45.5 	44.2 	42.4 	40.8 
PC_GDP,S13,GD,SI	25.9 	26.1 	27.3 	26.7 	26.8 	26.3 	26.0 	22.8 	21.8 	34.6 	38.4 	46.6 	53.8 	70.4 	80.4 	82.6 	78.7 	74.1 
PC_GDP,S13,GD,SK	49.6 	48.3 	42.9 	41.6 	40.6 	34.1 	31.0 	30.1 	28.5 	36.3 	41.2 	43.7 	52.2 	54.7 	53.5 	52.2 	51.8 	50.9 
PC_GDP,S13,GD,UK	37.0 	34.3 	34.4 	35.6 	38.6 	39.8 	40.7 	41.7 	49.7 	63.7 	75.2 	80.8 	84.1 	85.2 	87.0 	87.9 	87.9 	87.4 
