currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	291.9 	350.0 	585.5 	410.9 	595.3 	413.6 	1001.8 	993.1 	942.2 	837.3 	756.3 	540.5 	424.5 	426.6 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,UK	: 	: 	: c	: c	1.0 	3.0 	5.0 	6.0 	6.0 	715028.0 	831111.0 	890486.0 	1392216.0 	3915287.0 	2096822.0 	2895020.0 	3554927.0 	3032224.0 	2376738.0 	2806400.0 	2391367.0 	2607393.0 	1981673.0 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,AT	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-9.0 	-774.0 	3625.0 	4127.0 	2675.0 	2830.0 	3545.0 	1259.0 	1116.0 	-220.0 	-296.0 	981.0 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	215.0 	596.0 	-656.0 	2691.0 	2202.0 	2311.0 	-928.0 	3835.0 	-1868.0 	-4612.0 	-3174.0 	-879.0 	5040.0 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,BG	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	3.0 	-170.3 	-16.5 	269.7 	135.5 	71.4 	-7.1 	-216.5 	-85.8 	-63.4 	82.8 	-88.8 	-54.3 	-86.8 	-133.2 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	70.0 	-81.0 	190.0 	-23.0 	205.0 	190.0 	: c	-151.0 	266.0 	426.0 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,CZ	: 	: 	: 	: 	: 	1039.0 	4260.0 	8541.0 	4682.0 	7889.0 	10688.0 	16925.0 	15302.0 	-21078.0 	-17191.0 	-13792.0 	-11365.0 	-11963.0 	-29572.0 	4247.0 	-4717.0 	-7140.0 	-2385.0 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,DE	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-2241.0 	-13096.0 	6637.0 	11348.0 	-22884.0 	-15907.0 	-29597.0 	-14711.0 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	85357.0 	47275.0 	-37.0 	83164.0 	21532.0 	36949.0 	120318.0 	131179.0 	69095.0 	99886.0 	68086.0 	39602.0 	59805.0 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.3 	14.6 	9.8 	61.7 	4.4 	-17.2 	-57.4 	-8.1 	-76.0 	-14.6 	-21.5 	-43.9 	-66.6 	-41.5 
