age,sex,hhtyp,indic_il,workint,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,RO	: 	20.9 	24.1 	30.5 	22.3 	25.1 	38.4 	32.3 	37.9 	44.1 	48.2 	41.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,RS	: 	: 	: 	: 	: 	: 	: 	30.7 	26.7 	25.9 	24.9 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,SE	31.4 	31.5 	33.6 b	33.8 	39.8 	27.3 	37.4 	38.8 	43.8 	40.5 	40.3 	25.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,SI	15.2 	18.7 	18.4 	16.8 	24.7 	19.9 	27.4 	23.2 	29.7 	27.0 	25.3 	25.3 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,SK	22.7 	15.6 	13.0 	22.8 	26.3 	23.0 	30.7 	30.0 	39.0 	25.1 	35.7 	33.9 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,TR	10.6 	11.6 	7.5 	9.9 	8.4 	10.6 	11.9 	10.2 	12.9 	9.9 	: 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,UK	39.1 	39.2 	34.4 	36.3 	37.0 	31.5 	41.8 b	34.4 	40.2 	44.9 	38.7 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,AT	7.8 	5.9 	9.1 b	8.5 	7.7 	7.4 	9.8 	7.8 	7.3 	6.7 	7.7 	7.1 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,BE	4.3 	3.5 	3.5 	4.7 	4.3 	5.0 	4.3 	4.1 	4.8 	4.5 	4.5 	4.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,BG	5.4 	5.9 	8.2 	7.0 	5.8 	6.9 	7.2 	6.8 	9.3 	8.3 	11.3 b	9.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,CH	: 	6.9 	7.2 	5.9 	6.3 	6.1 	6.2 	5.4 	6.5 b	7.3 	7.0 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,CY	10.5 	8.7 	7.8 b	10.1 	10.4 	9.0 	10.6 	11.5 	11.1 	14.4 	10.6 	10.3 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,CZ	2.7 	2.7 	3.4 	2.9 	3.8 	4.0 	5.1 	5.6 	3.9 	4.3 	4.1 	3.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,DE	6.8 	9.0 	7.8 	8.1 	7.1 	7.9 	9.1 	10.1 	10.0 	9.7 	9.4 	9.0 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,DK	5.5 	5.3 	6.4 	7.9 	7.5 	7.5 b	6.9 	6.9 	4.9 	6.4 	6.6 	7.9 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,EA18	6.7 	7.7 	7.5 	7.5 	7.3 	8.3 	8.7 	8.7 	9.4 	9.5 	9.5 	9.0 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,EA19	6.7 	7.7 	7.5 	7.6 	7.3 	8.3 	8.7 	8.7 	9.4 	9.5 	9.5 	9.0 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,EE	8.3 	8.7 	6.9 	7.2 	8.4 	10.7 	10.4 	9.1 	12.9 b	10.1 	11.1 	10.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,EL	10.4 	11.6 	12.5 	11.5 	11.8 	11.0 	12.8 	13.0 	13.9 	13.0 	14.8 	13.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,ES	7.0 	7.6 	8.1 b	8.2 	8.4 	9.6 	9.8 	8.4 	11.1 	12.2 	11.7 	11.3 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,EU27	7.0 e	7.8 	7.5 	7.5 	7.5 	8.3 	8.8 	8.6 	9.2 	9.4 	9.4 	9.1 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,EU28	: 	: 	: 	: 	7.5 	8.3 	8.7 	8.6 	9.2 	9.4 	9.4 	9.1 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,FI	6.5 	6.2 	6.4 	5.4 	5.2 	6.9 	5.2 	6.1 	5.7 	5.5 	5.0 	4.3 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,FR	6.9 	7.4 	6.8 	6.4 	6.9 	8.3 	8.5 	7.6 	7.3 	7.5 	8.6 	6.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,HR	: 	: 	: 	: 	6.8 	7.0 	6.1 	6.3 	7.6 	7.2 	6.5 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,HU	5.2 	4.5 	5.2 	5.2 	5.0 	6.7 	6.6 	8.6 	7.3 	11.3 	9.9 	10.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,IE	4.7 	4.3 	3.9 	4.5 	3.8 	7.4 	4.7 	4.4 	5.5 	3.6 	4.8 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,IS	6.5 	7.6 	8.4 	10.8 	9.2 	9.6 	6.2 	7.9 	5.8 	7.5 	8.3 p	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,IT	6.3 	7.8 	7.7 	8.5 	7.3 	9.4 	9.2 	9.9 	11.2 	11.9 	11.6 	11.3 
