Country,id,Unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Sweden,NETD,1000 persons,3683.642,3718.441,3743.006,3744.029,3746.076,3784.97,3820.793,3781.899,3824.887,3870.945,3944.639,3937.58,3950.689,3964.805,4043.456,4123.115,4134.207,4135.216,4154.374,4203.783,4254.2,4261,4253,4262.7,4298.2,4342.5,4369.3,4404.2,4464.7,4529.8,4571.6,4503.1,4302.7,4102.1,4063.1,4128.9,4095.9,4043.2,4111.4,4197.7,4300.6,4391.1,4393.2,4367.9,4337.2,4348.7,4422.4,4524.4,4565.2,4454.8,4497.7,4593.6,4627.4,4671.8,4737.4,4807.4,4889.8,5003.5,5085.563,5149.788
United Kingdom,NETD,1000 persons,23698.452,24024.912,24231.204,24274.264,24566.677,24816.029,24973.251,24609.738,24475.548,24511.599,24415.464,24199.158,24167.113,24620.753,24771.967,24753.941,24543.645,24572.686,24847.073,25228.611,24994.515,24197.524,23761.9,23637.75,24110.94,24371.18,24401.322,25044.27,26110.997,26736.465,26821.177,26015.377,25515.457,25298.923,25500.391,25814.34,26056.25,26522.79,26793.53,27167.08,27483.29,27711.39,27943.9,28223.07,28533.45,28853.15,29140.45,29378.75,29627.56,29154.26,29226.87,29374.62,29694.53,30042.22,30752.41,31281.15,31725.39,32058.38,32232.486,32373.867
Macedonia FYR,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575.068,594.634,590.914,592.81,580.04,598.52,599.28,559.93,587.48,614.58,632.9,682.96,713.08,687.38,697.09,705.38,744.84,762.51,779.969,799.368,818.257,837.614,856.282
Iceland,NETD,1000 persons,NA,NA,NA,74.024,79.582,83.233,85.355,85.009,85.775,86.498,89.581,94.084,96.506,99.156,102.62,104.302,108.08,108.382,111.621,112.759,116.493,122.055,125.812,126.372,128.175,132.833,137.078,144.942,140.664,138.625,137.362,137.283,137.283,136.982,138.085,142.197,142.398,142.398,148.314,153.729,156.838,159.445,157.139,157.339,156.537,161.752,170.075,177.696,179.1,168,167.4,167.4,169.1,174.9,177.7,183.7,190.6,194.05,197.914,200.692
Turkey,NETD,1000 persons,11833,11974,11952,12138,12299,12357,12509,12533,12591,12617,13034,13265,13644,13909,14277,14458,14666,15145,15352,15582,15780,15917,16085,16249,16501,16782,17094,17488,17755,18222,18538,19288,19460,18500,20006,20586,21194,21205,21779,22048,21581,21524,21354,21147,19632,20067,20423,20738,21194,21277,22594,24110,24821,25524,25931,26620,27205,28250.804,29221.918,30156.415
Montenegro,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.86,177.95,212.302,218.825,212.85,209.4,196,201,201.9,216.25,221.675,224.2,229.275,234.53,239.118
Serbia,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3093.674,3105.598,3000.219,2918.589,2930.846,2733.412,2630.691,2655.736,2821.724,2616.437,2396.244,2253.209,2228.343,2310.718,2559.4,2574.2,2719.4,2794.686,2849.489,2909.826
Albania,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1138,1116,1107,1085,1065,1068,920,920,926,931,932,935,1198,1123,1160,1167.38,1159.65,1036.89,992,NA,NA,NA,NA,NA,NA
Norway,NETD,1000 persons,1531.02,1548.031,1555.474,1562.276,1567.278,1580.181,1587.984,1598.187,1600.188,1613.992,1641,1655,1674,1686,1708,1737,1795,1845,1877,1903,1949,1974,1975,1970,1985,2040,2107,2150,2138,2077,2059,2038,2034,2049,2077,2120,2163,2226,2285,2306,2320,2328,2337,2309,2324,2354,2434,2535,2617,2605,2591,2630,2684,2713,2746,2757,2764,2793,2819.968,2840.686
Switzerland,NETD,1000 persons,2640.244,2763.61,2869.492,2914.176,2958.86,2939.432,2927.776,2943.318,2960.803,3010.344,3053.085,3107.483,3150.224,3183.252,3180.338,3028.8,2953.032,2956.917,2984.116,3016.172,3081.256,3153.139,3175.481,3191.023,3227.936,3287.191,3357.131,3438.728,3525.182,3614.55,3729.174,4033.22,3973.391,3940.003,3914.205,3915.58,3904.66,3898.97,3950.72,3982.88,4021.79,4088.69,4117.91,4103.22,4114.56,4144.66,4234.93,4344.27,4448.26,4469.11,4479.68,4593.85,4674.18,4733.21,4821.97,4894.86,4964.61,5006.95,5035.643,5059.371
United States,NETD,1000 persons,69024.41,68950.09,70023.78,70089.6,71845.01,73950.91,76927.13,78702.14,80558.45,82619.2,82853,83172,85563,88356,89996,88954,91747,94954,98962,101714,102222,103399,102620,103963,108178,110371,112860,115743,118241,120606,121998,120863,121472,123059,125708,127444,129154,131934,133785,135779,139175,139222,138807,140084,141569,143980,146678,148295,147643,142183,141386,142183,144750,146185,148513,151000,153586,155509.539,157674.753,159016.073
Japan,NETD,1000 persons,47643.799,48309.695,48932.63,49351.501,49995.916,50801.436,51843.241,52842.086,53722.787,54130.917,54710.891,55096.844,55383.294,56634.627,56396.421,56257.72,56718.049,57398.493,57958.326,58554.343,58959.393,59408.666,59894.123,60800.712,61007.759,61338.433,61652.02,61896.256,62614.893,63537.563,64597.929,65911.578,66655.342,66907.619,66983,67214,67281,67765,66989,66091,65610,65370,64607,64641,65010,65531,65989,66512,66411,65632,65494,65455,65177,65549,65934,66165,66796.475,67264.05,67667.635,68005.973
Canada,NETD,1000 persons,6550.341,6650.314,6837.497,6997.028,7244.832,7508.59,7814.89,8037.17,8181.811,8432.806,8520.017,8703.452,8911.688,9327.84,9671.956,9798.162,9852.579,10065.756,10352.583,10812.56,11160.749,11489.195,11110.405,11202.18,11484.279,11885.667,12228.638,12599.203,13021.759,13334.261,13410.492,13179.628,13050.587,13156.755,13413.358,13626.076,13766.674,14038.525,14353.885,14730.63,15067.41,15206,15580.9,15919.17,16181.47,16427.585,16685.35,17038.295,17285.145,16985.675,17298.105,17572.32,17764.13,18003.715,18106.26,18278.48,18470.585,18787.962,18973.2,19118.935
Mexico,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32174.888,33495.836,35425.19,36356.97,36774.94,37594.29,37684.47,38559.82,38877.6,40216.1,40470.39,41866.83,42567.3,43537.62,43063.08,46597.63,46891.59,49003.38,49296.23,49486.893,50682.117,51663.056,52330.428,52773.065,53406.342
Korea,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9617,9946,10379,10942,11421,11691,12412,12812,13412,13602,13683,14023,14379,14505,14429,14970,15505,16354,16869,17560,18085,18623,18985,19211,19829,20397,20838,21201,19920,20275,21137,21557,22151,22116.3,22557.1,22856.2,23151,23432.7,23577.4,23505.5,23828.9,24244.3,24680.6,25066.6,25599.4,25936.3,26235.216,26545.427,26883.163,27195.007
Australia,NETD,1000 persons,4158.526,4170.533,4270.594,4392.668,4595.792,4743.586,4953.13,5072.58,5201.14,5331.726,5547.343,5668.818,5761.948,5927.964,5994.775,5982.627,6040.328,6139.532,6149.655,6256.577,6434.382,6567.181,6565.597,6449.667,6644.516,6849.577,7019.616,7219.139,7537.293,7822.271,7703.716,7631.4,7620.507,7857.909,8165.202,8297.125,8330.186,8482.54,8606.52,8865,9004.629,9134.673,9380.078,9533.473,9850.755,10082.056,10412.007,10690.306,10786.799,10957.427,11196.181,11389.994,11485.363,11546.147,11767.869,11971.167,12165.447,12406.621,12604.738,12772.486
New Zealand,NETD,1000 persons,1035.517,1048.402,1067.144,1088.23,1121.029,1159.685,1201.855,1232.312,1212.398,1239.34,1275.653,1292.053,1306.11,1350.623,1410.364,1434.964,1459.563,1481.82,1473.62,1493.533,1492.362,1490.019,1514.619,1498.219,1515.79,1570.846,1595.445,1608.783,1558.509,1517.468,1484.197,1500.583,1458.806,1473.565,1549.864,1610.153,1665.438,1667.564,1709.841,1763.876,1759.748,1806.028,1860.187,1911.72,1973.885,2058.689,2104.843,2126.982,2178.265,2134,2159,2187,2177,2239,2312,2363.902,2472.97,2576.399,2644.451,2683.775
