Country,id,Unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Czech Republic,OVGD,Mrd CZK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2734.489,2469.809,2414.015,2445.728,2502.82,2655.338,2767.468,2751.011,2741.968,2781.256,2899.925,2984.277,3033.592,3142.892,3297.1,3512.515,3753.246,3963.527,4069.84,3874.383,3962.464,4032.91,4000.653,3981.303,4089.4,4306.516,4418.198,4612.481,4768.23,4917.879
Denmark,OVGD,Mrd DKK,528.965,562.707,594.594,598.382,653.852,683.636,702.375,741.219,782.379,833.307,846.613,872.054,906.32,943.415,932.826,919.239,973.7,991.911,1013.994,1053.226,1048.139,1041.157,1079.52,1107.545,1153.687,1199.877,1258.722,1261.922,1261.75,1269.891,1288.625,1306.584,1332.154,1332.296,1403.34,1445.828,1487.758,1536.272,1570.349,1616.643,1677.217,1691.023,1698.909,1705.536,1751.043,1791.959,1862.078,1879.009,1869.388,1777.666,1810.926,1835.134,1839.29,1856.457,1886.52,1916.829,1954.477,1998.26,2034.524,2073.588
Germany,OVGD,Mrd EURO-DEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2038.505,2077.722,2057.856,2108.425,2145.062,2162.606,2202.597,2246.2,2290.835,2358.691,2398.682,2398.682,2381.653,2409.518,2426.546,2516.333,2598.378,2626.501,2478.922,2580.06,2674.49,2687.649,2700.807,2752.924,2800.913,2855.352,2918.822,2986.136,3047.359
West Germany,OVGD,Mrd EURO-DEM,672.652,703.796,736.622,757.339,807.788,851.04,874.784,872.094,919.65,988.261,1038.037,1070.556,1116.593,1169.938,1180.352,1170.121,1228.033,1269.138,1307.32,1361.579,1380.761,1388.069,1382.588,1404.328,1443.971,1477.586,1511.384,1532.575,1589.392,1651.323,1738.1,1826.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,OVGD,Mrd EURO-EEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.71655,7.58981,7.93338,8.35575,9.34161,9.72623,9.64293,10.662,11.33677,12.02563,12.91747,13.73059,15.01766,16.56026,17.84338,16.87636,14.39142,14.71653,15.83459,16.51663,16.83648,17.32317,17.61321,17.97662,18.84923,19.55183,20.09527
Ireland,OVGD,Mrd EURO-IEP,18.5308,19.4604,20.0863,21.0393,21.8359,22.2581,22.457,23.7564,25.7148,27.2227,27.9468,28.9165,30.7932,32.247,33.6208,35.5226,36.0022,38.926,41.6999,42.9728,44.2861,45.75,46.7858,46.674,48.6992,50.2087,50.3542,52.7022,54.9506,58.364,62.8219,64.0342,66.175,67.9568,71.8683,78.9157,85.0784,93.8329,101.8089,112.6189,123.385,130.5458,138.7823,143.1116,152.6733,161.8433,170.7798,179.6753,172.6034,164.6174,167.5833,172.5856,172.6497,175.4791,190.0937,238.6765,250.9478,270.5279,285.8963,297.4999
Greece,OVGD,Mrd EURO-GRD,39.3792,44.5788,44.7414,50.041,54.7497,60.6451,64.5837,68.2453,73.1615,81.6216,88.9109,95.884,105.6251,114.1716,106.8202,113.6231,121.4071,124.9802,134.0345,138.4354,139.3741,137.2054,135.6546,134.1919,136.8847,140.3249,141.0472,137.8641,143.7756,149.2376,149.2382,153.867,154.9397,152.4621,155.5111,158.7765,163.3209,170.6445,177.291,182.7384,189.9013,197.7473,205.5047,217.4127,228.416,229.7845,242.7729,250.7207,249.8804,239.1337,226.0315,205.3891,190.3947,184.2232,185.5861,185.0462,184.5941,187.0886,190.6404,195.1036
Spain,OVGD,Mrd EURO-ESP,171.74,192.07,209.941,228.329,242.457,257.618,276.285,288.277,307.294,334.667,348.875,365.095,394.847,425.601,449.513,451.95,466.882,480.137,487.159,487.363,493.702,493.043,499.187,508.03,517.089,529.093,546.31,576.613,605.986,635.242,659.274,676.042,682.331,675.294,691.386,710.45,729.453,756.367,788.936,824.318,867.917,902.643,928.638,958.239,988.584,1025.389,1068.19,1108.45,1120.839,1080.783,1080.935,1070.139,1038.808,1021.089,1035.18,1070.71,1105.77,1139.515,1172.006,1199.618
France,OVGD,Mrd EURO-FRF,451.924,474.389,506.828,538.337,574.123,601.895,633.415,664.566,694.375,743.805,789.343,831.539,869.304,924.161,963.82,954.373,995.547,1029.907,1070.885,1108.999,1126.612,1138.754,1167.32,1181.985,1200.004,1219.483,1248.156,1280.325,1340.935,1399.309,1440.085,1455.049,1478.325,1469.268,1503.728,1535.082,1556.389,1592.767,1649.409,1705.606,1771.701,1806.328,1826.531,1841.5,1892.812,1923.243,1968.919,2015.415,2019.351,1959.955,1998.481,2040.034,2043.761,2055.538,2075.016,2097.166,2122.073,2160.682,2203.671,2244.173
Croatia,OVGD,Mrd HRK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.5351,230.3125,245.6178,250.1909,247.8504,257.1881,266.021,279.9778,295.5387,307.6049,320.4127,335.7453,353.0362,360.2853,333.6826,328.9428,327.8706,320.5109,318.4339,318.1276,325.5952,335.9016,345.2339,354.9109,364.465
Italy,OVGD,Mrd EURO-ITL,411.487,445.256,472.879,499.409,513.375,530.157,561.885,602.221,641.633,680.76,716.912,729.946,756.885,810.82,855.416,837.536,897.214,920.187,950.002,1006.614,1041.142,1049.931,1054.273,1066.6,1101.007,1131.814,1164.184,1201.344,1251.733,1294.146,1320.71,1341.028,1352.216,1340.684,1369.523,1409.059,1427.184,1453.378,1476.866,1499.903,1555.551,1583.118,1587.053,1589.455,1614.599,1629.932,1662.638,1687.143,1669.421,1577.903,1604.515,1613.767,1568.274,1541.172,1542.924,1557.612,1570.98,1594.581,1617.759,1637.316
Cyprus,OVGD,Mrd EURO-CYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1165,9.18397,10.07356,10.14415,10.74253,11.80861,11.96605,12.27299,12.91549,13.53923,14.31417,14.82965,15.33372,15.71333,16.4315,17.04341,17.81213,18.67083,19.39226,19.04845,19.29951,19.3615,18.76936,17.65564,17.40777,17.75229,18.35533,19.0674,19.75148,20.41175
Latvia,OVGD,Mrd EURO-LVL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.11244,15.83026,10.74876,9.5234,9.73292,9.64532,9.87286,10.75886,11.46053,11.76067,12.39656,13.19754,14.13496,15.32664,16.6042,18.38035,20.56566,22.61797,21.81556,18.67375,17.93788,19.0825,19.85241,20.33479,20.71266,21.32818,21.79928,22.79101,23.54475,24.32017
Lithuania,OVGD,Mrd EURO-LTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.14924,23.72172,18.67888,15.64776,14.1196,14.58415,15.33523,16.60701,17.84709,17.64459,18.32067,19.51599,20.83541,23.03117,24.53973,26.43601,28.39398,31.54201,32.37096,27.57547,28.02766,29.72141,30.85883,31.93845,33.0683,33.74113,34.53232,35.85454,36.98178,37.99335
Luxembourg,OVGD,Mrd EURO-LUF,6.41789,6.66363,6.75422,6.9865,7.53611,7.68137,7.76629,7.78308,8.10879,8.91746,9.06939,9.3113,9.92567,10.75076,11.20363,10.4674,10.73268,10.90116,11.34538,11.6115,11.70914,11.64462,11.77636,12.12836,12.87874,13.25457,14.57789,15.15395,16.43648,18.04698,19.00618,20.64908,21.02481,21.90808,22.7451,23.07091,23.39123,24.7268,26.22145,28.44529,30.78913,31.5687,32.77446,33.30845,34.51161,35.60647,37.45035,40.57915,40.05991,38.31386,40.17781,41.19802,41.05279,42.55301,45.00914,46.29715,47.72433,48.821,50.63718,52.38737
Hungary,OVGD,Mrd HUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18917.59,18520.71,18409.59,18943.47,19227.62,19230.34,19872.67,20714.44,21374.59,22274.29,23129.73,24177.09,25107.58,26364.19,27521.11,28580.99,28705.25,28950.83,27040.08,27224.6,27677.05,27222.1,27792.73,28967.74,29943.12,30605.82,31826.6,33099.39,34156.51
Malta,OVGD,Mrd EURO-MTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.51477,3.67948,3.84458,4.06432,4.31768,4.48986,4.70783,4.86904,5.0667,5.39164,5.42443,5.58621,5.72833,5.75365,5.97144,6.08058,6.32298,6.53458,6.37368,6.59951,6.68704,6.8659,7.1869,7.77079,8.53926,9.00791,9.60003,10.15891,10.67877
Netherlands,OVGD,Mrd EURO-NLG,145.8015,150.2675,156.24,161.9031,175.3008,184.5017,189.5595,199.5675,212.3733,226.0267,239.9051,250.2618,259.1057,273.212,282.607,282.6128,295.2069,302.6474,310.8075,317.0677,321.3224,318.8045,314.8489,321.3662,331.2054,339.7511,349.2199,355.9641,368.2137,384.4891,400.5732,410.3437,417.3444,422.5928,435.1061,448.6642,464.6668,484.6468,506.5791,532.17,554.7274,566.5113,567.0983,568.7084,580.2572,592.7929,613.6512,636.3469,647.1588,622.7766,631.512,642.018,635.2316,634.0225,643.0237,657.5609,672.0926,693.3456,713.8021,732.292
Austria,OVGD,Mrd EURO-ATS,69.6555,73.3556,75.1143,78.1782,82.8984,85.2677,90.0793,92.7886,96.9385,103.0225,110.3606,116.0035,123.2049,129.2262,134.3226,133.836,139.9616,147.0716,146.7618,154.6234,157.3007,157.0737,160.2329,164.9967,165.0814,169.2062,173.1003,175.4496,181.2322,188.2768,196.4586,203.22,207.4745,208.5675,213.5775,219.2757,224.4277,229.1263,237.3323,245.7726,254.0692,257.2887,261.538,264.0003,271.221,277.3074,286.8857,297.5791,301.925,290.5588,295.8966,304.5451,306.6174,306.6956,309.2373,312.6137,317.1494,326.4474,335.5976,342.8421
Poland,OVGD,Mrd PLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,683.455,635.507,651.49,675.845,711.616,761.086,807.182,859.322,898.977,940.71,983.602,995.877,1016.209,1052.411,1106.459,1145.115,1215.879,1301.414,1356.719,1394.982,1445.298,1517.812,1542.217,1563.683,1615.021,1677.112,1726.916,1807.21,1885.719,1954.712
Portugal,OVGD,Mrd EURO-PTE,30.7845,31.8866,35.2437,36.597,38.8123,42.4649,44.3987,46.2427,48.5885,49.7716,53.9897,59.6525,65.8435,69.0836,71.0971,67.4746,69.0199,73.1725,77.6838,83.2002,87.164,89.0597,90.9863,91.8704,90.9132,92.401,95.4686,102.7549,108.242,115.4386,124.5115,128.7073,132.736,131.8237,133.7867,136.8736,141.6596,147.9298,155.0183,161.0457,167.1453,170.3934,171.7034,170.0993,173.1808,174.5088,177.219,181.6353,181.9972,176.5772,179.9298,176.6428,169.5271,167.6112,169.1083,172.1896,174.978,179.6517,183.8443,187.5897
Romania,OVGD,Mrd RON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395.5098,343.774,313.7831,318.5557,331.0897,354.7272,368.4544,350.7091,343.3889,342.0101,350.2016,369.7848,388.9552,410.4421,444.7494,463.3039,500.6257,534.9874,579.1766,544.9452,529.6235,540.3737,547.0646,566.3847,583.8084,607.0079,636.2703,680.4725,711.2062,739.2731
Slovenia,OVGD,Mrd EURO-SIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.30177,21.22788,20.06806,20.63867,21.7382,22.63102,23.42679,24.62493,25.43401,26.77549,27.88813,28.71065,29.81208,30.65937,31.9936,33.2743,35.1563,37.59672,38.83747,35.8092,36.25243,36.48784,35.51377,35.11173,36.15778,36.97455,38.13864,40.04588,41.92723,43.44157
Slovakia,OVGD,Mrd EURO-SKK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.24973,31.32933,33.27347,35.2178,37.59752,39.87877,41.47864,41.39358,41.89452,43.28393,45.24157,47.69309,50.20118,53.59023,58.12015,64.39689,68.0223,64.33377,67.57729,69.48236,70.63378,71.68669,73.65831,76.49423,79.03744,81.72484,84.99882,88.54716
Finland,OVGD,Mrd EURO-FIM,39.0696,42.0408,43.2944,44.7167,47.0592,49.5547,50.7305,51.8307,53.0246,58.1114,62.4526,63.9245,68.8694,73.6791,76.0638,78.5831,78.99,79.2697,81.7606,87.6321,92.603,93.802,96.698,99.716,102.921,106.561,109.466,113.362,119.268,125.336,126.183,118.72,114.773,113.93,118.418,123.4,127.915,135.912,143.29,149.658,158.091,162.171,164.896,168.184,174.787,179.646,186.931,196.623,198.04,181.664,187.1,191.91,189.173,187.739,186.553,186.805,190.794,195.82,200.7544,205.312
Sweden,OVGD,Mrd SEK,972.07,1027.477,1071.659,1128.457,1205.193,1250.989,1277.26,1320.687,1368.232,1436.643,1530.026,1543.796,1579.302,1642.475,1695.034,1739.105,1758.235,1730.103,1761.245,1828.173,1874.774,1870.963,1894.325,1930.329,2011.973,2055.439,2110.758,2181.549,2237.376,2296.774,2314.107,2287.588,2261.084,2214.379,2304.894,2397.65,2434.043,2504.642,2610.508,2728.768,2857.983,2902.665,2962.854,3033.54,3164.605,3253.794,3406.336,3522.32,3502.699,3321.096,3519.994,3613.781,3603.434,3648.16,3743.17,3912.435,4039,4136.092,4243.969,4326.868
United Kingdom,OVGD,Mrd GBP,477.731,490.503,495.912,520.084,548.88,560.621,569.443,585.309,617.155,629.029,646.063,668.574,697.336,742.724,724.427,713.713,734.482,752.426,784.042,813.377,796.883,790.739,806.638,840.693,859.829,895.902,923.893,972.919,1028.839,1055.274,1062.997,1051.447,1055.379,1082.048,1124.032,1151.792,1181.032,1228.725,1267.28,1308.045,1355.974,1390.471,1424.647,1472.03,1506.835,1553.488,1591.642,1629.152,1621.454,1553.551,1579.877,1602.827,1626.57,1659.953,1710.653,1750.783,1784.675,1816.57,1844.565,1867.612
Macedonia FYR,OVGD,Mrd MKD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.6192,335.5513,313.5217,290.1039,285.0034,281.8264,285.1647,289.273,299.0498,312.0254,326.2211,316.2153,320.9385,328.0716,343.4062,359.6285,378.1028,402.5791,424.6079,423.085,437.2955,447.5279,445.4871,458.5169,475.1591,493.48,507.8384,507.9405,523.8443,540.9082
Iceland,OVGD,Mrd ISK,254.772,254.559,275.72,304.072,334.227,358.59,389.918,384.973,363.897,372.537,400.325,452.611,480.57,513.278,542.567,546.073,578.616,629.663,667.548,699.994,740.23,771.8,788.429,771.469,803.324,829.776,881.807,957.166,956.307,958.779,969.991,967.822,935.169,947.452,981.644,982.789,1029.816,1080.413,1156.242,1201.272,1256.567,1305.919,1313.108,1344.054,1452.577,1545.404,1622.94,1775.955,1805.417,1687.97,1627.108,1659.049,1680.936,1753.353,1791.933,1869.188,2009.031,2082.204,2145.888,2208.877
Turkey,OVGD,Mrd TRY,127.275,129.463,137.327,150.273,156.495,160.592,179.397,187.472,200.009,210.665,220.971,233.271,250.594,258.769,273.245,292.848,323.484,334.504,339.531,337.412,329.154,345.14,357.439,375.207,400.391,417.373,446.639,489.006,499.375,500.631,546.966,552.034,585.069,632.121,597.634,640.612,685.489,737.098,759.888,734.133,782.88,736.202,783.542,827.485,907.29,989.036,1059.353,1112.643,1122.048,1069.262,1160.014,1288.932,1350.671,1465.361,1541.071,1634.859,1686.911,1812.056,1897.295,1977.772
Montenegro,OVGD,Mrd EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.191071,2.215128,2.257357,2.313357,2.415798,2.516807,2.732443,3.023619,3.232903,3.049948,3.12509,3.22598,3.13811,3.24948,3.30745,3.41958,3.52043,3.677063,3.788024,3.897363
Serbia,OVGD,Mrd RSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1869.044,1914.39,2051.935,2101.807,1846.509,1989.784,2089.128,2237.786,2336.593,2547.973,2689.142,2821.027,2987.15,3147.461,3049.387,3067.21,3110.196,3078.619,3157.793,3099.964,3123.453,3210.826,3270.786,3377.379,3497.114
Albania,OVGD,Mrd ALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615.693,548.433,596.856,673.795,720.599,780.36,815.762,860.862,908.337,958.536,1015.115,1075.851,1156.541,1195.335,1239.645,1271.199,1289.215,1302.133,1325.239,1354.643,1400.052,1453.833,1505.711,1564.192
Norway,OVGD,Mrd NOK,501.551,533.021,548.018,568.763,597.251,628.817,652.626,693.455,709.127,741.069,755.881,798.758,841.336,879.474,913.976,959.236,1015.117,1057.354,1098.266,1146.288,1198.612,1217.769,1220.634,1269.127,1345.941,1420.685,1478.114,1504.031,1500.19,1515.766,1545.058,1592.718,1649.648,1696.585,1782.355,1856.394,1949.733,2052.77,2106.643,2149.056,2217.94,2264.191,2296.743,2317.87,2409.635,2472.881,2532.109,2607.694,2620.232,2575.922,2593.739,2618.948,2690.226,2718.323,2772.013,2826.624,2857.476,2909.297,2960.032,3019.052
Switzerland,OVGD,Mrd CHF,201.0732,217.8679,228.8097,240.1496,252.3932,260.1289,266.4013,274.3952,284.5408,300.4963,319.6041,332.6294,343.2753,353.7449,358.8916,332.7528,328.0821,336.0664,337.4412,345.8486,361.7645,367.5576,362.7447,365.063,376.0457,389.8601,397.1062,403.4022,416.6241,434.6673,450.6397,446.5126,446.3174,445.7551,451.4151,453.5858,456.0353,466.7072,480.6612,488.8071,508.0505,514.7183,515.5553,515.7594,530.078,546.5912,568.3928,591.7644,604.5151,591.0822,608.8306,619.1369,625.3656,636.9476,652.5478,660.5506,669.639,676.6371,692.5119,705.9633
United States,OVGD,Mrd USD,3146.68,3227.05,3424.43,3573.53,3779.61,4025.28,4290.68,4408.4,4624.82,4770.07,4779.68,4937.19,5197.02,5490.36,5461.92,5451.19,5744.73,6009.53,6343.76,6545.19,6529.2,6698.54,6570.6,6874.97,7373.99,7686.57,7956.52,8231.95,8578.03,8893.74,9064.39,9057.71,9379.8,9637.31,10026.41,10299.1,10690.01,11169.7,11666.7,12213.3,12713.13,12837.13,13066.49,13433.22,13941.76,14408.09,14792.32,15055.4,15011.57,14594.84,14964.4,15204.09,15542.17,15802.92,16208.92,16672.72,16920.41,17305.05,17802.23,18288.91
Japan,OVGD,Mrd JPY,64464.5,72105.6,78304.3,85185.2,94713.7,100086.9,110344.2,122574.6,137172,153568.4,169358.8,176792.2,191666.7,207062.5,204525.5,210848.5,219229.8,228854.7,240920,254131.9,261292.3,272206.1,281397.4,290010.3,302956,322143.3,331263.5,344869.9,369516.7,389360.3,411057,424721.9,428200.5,428933,432637.2,444500.7,458280.2,463211.5,457984.6,456830.7,469528.9,471436.8,471993,479206.1,489771.1,497914.4,504984.8,513338.2,507724.6,480224.2,500353.9,499776.4,507248.5,517394.8,519333.6,526364.5,531302.6,540401.5,547504.9,553527.5
Canada,OVGD,Mrd CAD,329.581,339.947,363.171,381.711,406.697,432.985,461.373,475.152,500.566,527.232,541.034,563.312,593.989,635.356,658.807,670.817,705.695,730.099,758.964,787.842,804.88,833.076,806.401,827.356,876.38,917.868,937.711,976.124,1019.36,1043.05,1044.66,1022.454,1031.482,1058.87,1106.45,1136.077,1154.38,1203.785,1250.514,1315.08,1383.237,1407.731,1450.104,1476.239,1521.795,1570.514,1611.715,1644.96,1661.416,1612.411,1662.13,1714.341,1744.264,1787.435,1838.48,1856.881,1883.139,1939.645,1982.318,2021.964
Mexico,OVGD,Mrd MXN,1915.36,1991.37,2082.58,2237.63,2476.29,2637.42,2798.56,2965.77,3180.11,3365.57,3585.98,3735.57,4052.64,4393.43,4661.9,4923.49,5132.18,5308.87,5746.84,6272.95,6795.12,7392.68,7340.41,7025.08,7277.95,7479.72,7198.93,7332.53,7423.85,7735.53,8127.59,8470.75,8778.13,9090.09,9539.24,8939.11,9544.58,10198.08,10724.7,11020.01,11564.67,11517.9,11513.31,11679.84,12137.76,12417.88,12976.07,13273.41,13425.2,12715.58,13366.38,13855.99,14360.67,14555.13,14969.26,15458.83,15909.19,16233.2,16606.56,17054.94
Korea,OVGD,Mrd WON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67650,74722.6,80065.8,91937.6,100635.7,108549.2,122785.6,137860.8,152714.6,165887.2,163065,174773.9,189219,214275.5,236652.1,254991.8,283612.3,318971,356943.6,382035.7,419518.1,462954.8,491544.6,525199.4,573550,628442.2,676169.3,716213.3,677027.7,753590.2,820843.8,857989.5,921759,948796.2,995285.7,1034337.5,1087876.4,1147311.4,1179771.4,1188118.4,1265308,1311892.7,1341966.5,1380832.6,1426972.4,1466788.3,1508265,1554459.5,1597984.3,1641129.9
Australia,OVGD,Mrd AUD,246.32,249.514,265.019,283.514,300.478,307.637,327.025,343.69,367.9,394.287,410.074,426.119,437.256,455.195,461.342,473.281,490.307,494.704,514.707,530.325,548.026,566.265,553.693,579.059,609.455,634.169,650.057,686.987,713.557,738.992,736.128,739.386,769.251,799.855,830.485,862.696,896.914,937.964,985.032,1023.873,1043.666,1085.444,1117.853,1162.579,1199.669,1233.67,1280.27,1327.099,1352.616,1380.384,1414.219,1469.26,1508.04,1546.621,1582.984,1627.74,1659.604,1697.388,1744.915,1792.028
New Zealand,OVGD,Mrd NZD,55.9091,59.086,60.3395,64.1207,67.3137,71.5999,76.0735,72.5824,72.5456,79.9429,78.8113,81.7947,85.9818,92.6886,98.2439,96.5426,97.4393,93.6038,93.9015,95.9596,97.192,101.716,102.6621,106.2472,111.3396,113.1374,116.1987,111.2141,113.4403,114.0181,114.7713,112.8895,114.3096,121.7724,128.1284,134.0383,138.5737,142.7211,144.2325,151.6528,155.0688,161.042,169.1916,176.8328,182.5653,188.6453,193.5375,200.7753,197.6932,201.5097,203.433,208.9124,214.1355,218.174,224.8567,232.3341,239.4297,246.2834,253.4257,260.0147
European Union,UUTGI,Mrd ECU/EUR- Standard aggregation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4195.116,4421.929,4575.496,4775.673,5007.034,5231.437,5458.123,5689.693,5845.767,6055.774,6029.931,6202.344,6237.842,6386.738,6628.443,6594.476,6718.054,6942.778,7147.886
European Union excluding UK,UUTGI,Mrd ECU/EUR- Standard aggregation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3570.625,3749.722,3906.577,4036.859,4208.342,4397.305,4585.394,4851.827,5061.652,5228.526,5219.376,5306.469,5384.647,5463.346,5585.836,5658.179,5826.616,6022.861,6200.572
European Union (15 countries),UUTGI,Mrd ECU/EUR- Standard aggregation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3259.97,3242.984,3329.244,3430.298,3612.143,3745.38,3980.794,4185.527,4336.794,4527.011,4716.584,4903.87,5084.65,5257.73,5440.597,5626.096,5591.528,5769.821,5798.239,5934.001,6153.15,6126.5,6214.167,6394.532,6563.837
Euro area,UUTGI,Mrd ECU/EUR- Standard aggregation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2728.267,2687.041,2705.659,2779.476,2914,2963.327,3166.918,3314.177,3458.523,3574.613,3705.155,3853.089,3995.539,4207.422,4450.74,4562.174,4529.595,4599.347,4669.01,4737.134,4836.451,4906.882,5037.362,5194.491,5330.346
Euro area (12 countries),UUTGI,Mrd ECU/EUR- Standard aggregation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2705.504,2662.33,2677.07,2749.659,2882.531,2927.97,3130.961,3274.98,3417.058,3529.965,3654.655,3795.921,3930.015,4130.652,4370.424,4481.991,4446.799,4517.454,4581.807,4649.493,4745.099,4817.195,4943.403,5094.872,5225.773
Belgium,UUTGI,Mrd ECU/EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.1804,97.8841,97.7968,100.4836,105.4732,109.4501,113.3652,120.219,128.1057,131.815,147.2363,144.899,152.5979,163.9946,175.5277,181.5792,192.7953,202.5099,206.0906,208.0168,208.5052,213.1318,218.2,224.4157,232.6086
Bulgaria,UUTGI,Mrd ECU/EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14092,1.91793,2.36731,4.05306,4.56087,5.29021,5.76021,6.44919,6.84153,7.58887,8.45973,8.87315,11.8749,13.49608,14.42401,13.56168,13.67056,14.11829,15.46944,17.61633,18.00548,16.39518,17.35527,18.78649,19.90904
