Country,Indicator,Unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Slovenia,HWCDW,1000 EURO-SIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.70172,8.74545,9.82882,10.67888,11.57677,12.75735,14.23449,15.41866,16.62556,17.90164,18.98126,19.99834,21.22982,22.75944,23.17878,24.11468,24.48716,24.24444,24.36181,24.68997,25.02921,25.74143,26.45398,27.47736,28.8034
Slovakia,HWCDW,1000 EURO-SKK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97594,4.49544,5.25173,5.77217,6.15389,6.96662,7.35977,8.01169,8.65966,9.35301,10.20525,11.01756,11.97733,12.76825,13.09547,13.808,14.08296,14.44522,14.81782,15.09079,15.6125,15.97422,16.62126,17.51463,18.50617
Finland,HWCDW,1000 EURO-FIM,0.86587,0.93431,1.02065,1.13113,1.30101,1.42568,1.54123,1.69085,1.87566,2.01475,2.20361,2.52961,2.89825,3.41715,4.23743,5.30386,6.1688,6.7166,7.12534,7.94201,8.98728,10.24137,11.22547,12.3484,13.63353,15.04713,16.14971,17.39153,18.95072,20.90711,22.8934,24.32965,24.84598,24.99149,25.81173,26.85659,27.54555,27.98875,29.31221,30.31569,31.49143,32.63373,33.19519,33.91217,35.1197,36.3424,37.58357,38.83494,40.49617,41.29882,42.21867,43.73442,44.94398,45.54905,45.98603,46.6521,47.25795,46.74138,47.46292,48.51944
Sweden,HWCDW,1000 SEK,11.3758,12.2994,13.5148,14.7816,16.2402,17.6376,19.2147,20.9806,22.366,23.9004,25.7977,28.1255,30.5039,32.5944,36.8044,43.0236,50.7244,56.9328,63.1389,68.5578,76.0304,82.246,88.3301,94.8747,102.9655,111.7651,120.3973,128.6976,137.6548,152.2326,171.5837,182.8357,192.9217,198.4127,210.8669,215.6437,230.3878,244.1198,240.048,249.2988,266.2825,277.5543,286.4281,296.9511,309.5072,319.0181,329.0162,346.5401,359.2017,368.9416,377.1183,389.0978,400.9756,408.7701,417.8541,429.2774,441.2225,450.5139,462.5236,473.853
United Kingdom,HWCDW,1000 GBP,0.7143,0.76085,0.79472,0.83372,0.8917,0.95193,1.01291,1.07578,1.1591,1.24143,1.40234,1.56187,1.76455,1.99645,2.37346,3.11533,3.57129,3.94618,4.47202,5.1563,6.22825,7.04974,7.65519,8.28914,8.77169,9.45671,10.21439,10.80477,11.60134,12.72453,14.0103,15.37045,16.195,16.85239,16.84836,17.45924,18.05,18.89184,20.09294,21.10638,22.30521,23.60734,24.20631,25.36658,26.5675,27.48579,29.12163,30.69342,30.84718,31.55418,32.57163,32.92375,33.4891,34.41741,34.5985,34.96467,36.1018,37.15589,38.22122,39.34053
Macedonia FYR,HWCDW,1000 MKD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.4183,222.8268,236.7272,248.2969,248.1907,258.6569,280.2196,271.9156,266.5676,293.6986,284.8763,308.3414,319.3687,334.013,337.6308,330.9781,317.1814,332.967,339.3625,333.6413,335.3461,340.4496,347.2185
Iceland,HWCDW,1000 ISK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.367,4.139,4.879,6.612,9.611,12.57,16.354,23.997,37.016,54.918,83.834,123.157,187.53,293.341,376.455,531.46,680.924,946.668,1212.885,1397.911,1619.51,1863.507,1865.312,1832.117,1899.167,1969.392,2109.718,2225.782,2483.469,2679.371,2919.885,3134.585,3411.292,3480.707,3839.105,4179.769,4686.401,5058.795,5175.499,5013.19,5322.811,5816.076,6151.008,6464.9,6747.372,7245.25,7771.983,8389.57,8807.49,9163.91
Turkey,HWCDW,1000 TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00556,0.01116,0.02121,0.0393,0.06421,0.11235,0.17284,0.28859,0.55813,1.12638,1.96185,3.00137,4.37059,6.05413,8.50939,11.08777,13.55852,14.7842,16.36899,18.09625,19.87072,21.06465,22.83323,24.97239,28.07976,30.96427,35.54631,40.08917,48.20453,52.39051,58.72391,64.62993
Norway,HWCDW,1000 NOK,14.3531,15.3768,17.0667,18.3008,19.696,21.3897,23.3819,25.9976,27.9807,29.8752,32.3279,37.0356,40.7904,45.5049,51.4705,59.8509,67.0338,73.516,79.1956,81.4718,89.1238,99.3405,110.5946,119.8715,129.6991,139.4372,152.0048,166.7248,177.9274,185.358,193.2723,203.5325,211.4522,214.4103,221.3686,229.0223,239.3975,251.2537,268.8778,283.6357,297.4984,314.414,327.8767,341.4635,356.0274,372.6146,393.1158,417.7992,443.6718,458.9574,473.5228,495.9789,518.5261,541.6917,559.0614,574.0869,582.0571,595.8501,611.2849,629.6824
Switzerland,HWCDW,1000 CHF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.36509,62.13179,64.01819,64.83468,66.28303,66.99025,68.53028,68.88919,69.69828,71.33374,74.01499,75.15216,75.18359,75.12159,76.95283,78.38163,80.89078,82.49474,83.00208,85.67357,86.57137,87.04102,88.08286,87.59653,87.33723,87.12674,87.15804,87.64039,88.40651
United States,HWCDW,1000 USD,4.9737,5.12069,5.36969,5.63113,5.87136,6.11668,6.46461,6.75251,7.24503,7.7698,8.25149,8.77285,9.36562,10.058,10.79557,11.66634,12.47804,13.40658,14.53371,15.87494,17.38169,18.96963,20.21943,21.25699,22.45307,23.64514,24.59731,25.69524,27.25124,28.44232,29.90185,31.26708,32.97168,33.9748,34.86156,35.97623,37.31097,38.87553,41.17171,43.11305,45.47083,46.89633,47.72981,49.10122,51.46256,53.15704,55.21166,57.36169,58.80215,58.90037,60.51023,62.35855,63.7364,64.71775,66.5948,68.69646,69.39895,70.70775,73.01786,76.10612
Japan,HWCDW,1000 JPY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3052.151,3242.376,3366.54,3438.617,3568.783,3669.888,3786.334,3909.274,4067.584,4261.784,4485.031,4707.012,4768.33,4804.643,4873.671,4934.483,4983.617,5084.575,5049.223,5004.403,5011.538,4935.535,4801.465,4745.022,4692.928,4701.352,4672.369,4639.413,4653.228,4470.39,4467.44,4479.484,4481.666,4464.33,4502.26,4528.645,4580.837,4651.779,4703.594,4734.511
Canada,HWCDW,1000 CAD,3.83438,3.95855,4.11535,4.27007,4.4819,4.75223,5.08743,5.4452,5.7589,6.22584,6.48354,6.94443,7.55849,8.25093,9.47991,10.90105,12.48763,13.5297,14.33654,15.44556,16.86602,18.88727,20.95052,21.86691,23.00654,24.02418,24.79417,26.12746,27.70778,29.17163,30.60276,32.15677,33.37312,33.90691,34.20651,34.70066,35.44517,36.84036,38.07422,38.95276,41.05046,42.0224,42.5978,43.35329,44.91005,46.72734,48.84869,50.8624,52.35022,52.90504,53.50228,55.35656,57.14034,58.72053,60.5318,61.6152,62.01145,63.31359,64.50976,66.32628
Mexico,HWCDW,1000 MXN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1156,0.1551,0.2338,0.3639,0.5723,0.9012,1.5209,3.4547,6.7464,8.5771,11.0127,14.3668,17.8482,20.9752,23.3124,27.2584,33.8069,41.5523,50.2449,60.3907,69.8777,77.1455,80.7421,85.3879,88.7445,93.7145,97.866,103.1507,108.6788,112.6794,111.1004,117.9089,121.6266,126.7891,133.0845,137.6033,142.7633,149.0767,154.7517,159.9127
Korea,HWCDW,1000 WON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250.88,295.31,351.39,443.34,561.16,708.02,921.67,1120.76,1464.55,1891.73,2390.49,2895.91,3261.3,3768.08,4077.59,4260.69,4753.46,5230.05,6156.02,6769.51,7880.45,9201.77,10272.1,11618.03,13034.42,15025.94,16827.28,17534.66,18194.62,18787.79,19531.2,20938.91,22264.6,23885.82,24990.29,26436.74,27403.59,28673.21,29803.08,30445.15,31604.68,32785.15,33836.11,34592.51,35289.12,36327.49,37822.97,38636.94,39680.35,40863.01
