E1,E2,beta,pvalue,intercept,rvalue,stderr
BBD/B CN Equity,RACE US Equity,0.2266813900357767,0.0373014602380723,-0.0007067401435431595,0.1459159564200008,0.10813445203628057
BBD/B CN Equity,CTC/A CN Equity,0.5046538341983013,0.006992638857977612,-0.0008761964294291324,0.18830611135746358,0.18518840061204306
BBD/B CN Equity,APTY IN Equity,0.2742818933013576,0.001819681306817358,-0.0010035592412205316,0.2170419521541205,0.08679601528308205
BBD/B CN Equity,BWA US Equity,0.23913886580875607,0.01733922012457607,-0.0004207891018132478,0.16645268454105586,0.09967411049162021
BBD/B CN Equity,MRF IN Equity,0.27002452348651573,0.006978630081395832,-0.0006534426942071752,0.1883518885739446,0.09906356800318987
AAL LN Equity,RACE US Equity,0.29436397999425423,0.0061464828541604065,0.0030430350066975036,0.1912302817867286,0.10630718544135805
AAL LN Equity,SIPH FP Equity.1,0.21832791324259646,0.011823985468463515,0.0030865578364311645,0.17595399740744422,0.08594197626061555
AAL LN Equity,CON GR Equity,0.29787689724859395,0.03167440524437953,0.003218336786682619,0.15049177745727854,0.1376809703225904
AAL LN Equity,EO FP Equity,0.3877960168996111,0.00068472446159512,0.0023767560895923655,0.23582817238306786,0.11243629622776043
AAL LN Equity,GT US Equity,0.19948711604576236,0.03567440212958289,0.003977427732887773,0.1471752880110915,0.09432983013898998
AAL LN Equity,FR FP Equity,0.44876471285015057,4.476389530896788e-05,0.002511282222800699,0.2816788834741524,0.10755674639276473
6326 JP Equity,HOG US Equity,0.16182072703109332,0.023327620572640557,0.0008744394543965571,0.15876066834726718,0.07080634917402569
6326 JP Equity,600066 CH Equity,0.21380640655993377,0.001647483288253557,0.001233325001548628,0.219023783430108,0.06701603766988205
6326 JP Equity,7605 JP Equity,0.17483912260860926,0.03816114955758016,0.0009074280495461023,0.14526920429752105,0.08378337354904648
6326 JP Equity,DIMO SL Equity,0.19023777679544762,0.020914097310273997,0.000894601321938743,0.16162808689785174,0.08172523104047759
6326 JP Equity,BWA US Equity,0.22878091279278018,0.0006750728298062382,0.0008925661069573643,0.2360902630412885,0.06625400607359838
6326 JP Equity,5108 JP Equity,0.668997801112731,2.2488052957854503e-15,0.0005286259265254241,0.5175708872755266,0.07781627058403164
6326 JP Equity,2105 TT Equity,0.2449097572657459,0.01937713769095499,0.000995571335903947,0.1636070977161295,0.10390503972262173
6326 JP Equity,CPS US Equity,0.18072423091173057,0.024532138852235746,0.0008308341141321871,0.1574242428504076,0.07976637470905286
6326 JP Equity,6902 JP Equity,0.588465963963027,2.3548180255487716e-19,0.0005580552258315063,0.5750724137123192,0.05890211035743008
6326 JP Equity,LEA US Equity,0.22768388572949125,0.0035902214405493403,0.0008376643538149289,0.2030070006004641,0.07726929075468839
