unit,sector,na_item,geo\time,date,value
MIO_EUR,S13,GD,HU,2006-01-01,62101.0
MIO_EUR,S13,GD,HU,2007-01-01,66264.6
MIO_EUR,S13,GD,HU,2008-01-01,72986.9
MIO_EUR,S13,GD,HU,2009-01-01,76064.7
MIO_EUR,S13,GD,HU,2010-01-01,78601.9
MIO_EUR,S13,GD,HU,2011-01-01,72415.5
MIO_EUR,S13,GD,HU,2012-01-01,77169.5
MIO_EUR,S13,GD,HU,2013-01-01,78558.0
MIO_EUR,S13,GD,HU,2014-01-01,79150.1
MIO_EUR,S13,GD,HU,2015-01-01,83348.7
MIO_EUR,S13,GD,HU,2016-01-01,86861.2
MIO_EUR,S13,GD,HU,2017-01-01,90534.2
MIO_EUR,S13,GD,IE,2000-01-01,39096.3
MIO_EUR,S13,GD,IE,2001-01-01,40538.4
MIO_EUR,S13,GD,IE,2002-01-01,41538.4
MIO_EUR,S13,GD,IE,2003-01-01,43564.4
MIO_EUR,S13,GD,IE,2004-01-01,44055.8
MIO_EUR,S13,GD,IE,2005-01-01,44379.0
MIO_EUR,S13,GD,IE,2006-01-01,43692.4
MIO_EUR,S13,GD,IE,2007-01-01,47147.8
MIO_EUR,S13,GD,IE,2008-01-01,79621.0
MIO_EUR,S13,GD,IE,2009-01-01,104685.5
MIO_EUR,S13,GD,IE,2010-01-01,144229.9
MIO_EUR,S13,GD,IE,2011-01-01,189728.8
MIO_EUR,S13,GD,IE,2012-01-01,210022.3
MIO_EUR,S13,GD,IE,2013-01-01,215337.8
MIO_EUR,S13,GD,IE,2014-01-01,203355.4
MIO_EUR,S13,GD,IE,2015-01-01,201624.1
MIO_EUR,S13,GD,IE,2016-01-01,200677.8
MIO_EUR,S13,GD,IE,2017-01-01,201289.9
MIO_EUR,S13,GD,IT,2000-01-01,1302548.0
MIO_EUR,S13,GD,IT,2001-01-01,1360285.4
MIO_EUR,S13,GD,IT,2002-01-01,1371679.2
MIO_EUR,S13,GD,IT,2003-01-01,1397460.4
MIO_EUR,S13,GD,IT,2004-01-01,1449656.6
MIO_EUR,S13,GD,IT,2005-01-01,1518639.7
MIO_EUR,S13,GD,IT,2006-01-01,1588072.3
MIO_EUR,S13,GD,IT,2007-01-01,1606203.2
MIO_EUR,S13,GD,IT,2008-01-01,1671400.8
MIO_EUR,S13,GD,IT,2009-01-01,1770229.7
MIO_EUR,S13,GD,IT,2010-01-01,1851816.9
MIO_EUR,S13,GD,IT,2011-01-01,1908003.8
MIO_EUR,S13,GD,IT,2012-01-01,1990129.7
MIO_EUR,S13,GD,IT,2013-01-01,2070253.8
MIO_EUR,S13,GD,IT,2014-01-01,2137322.0
MIO_EUR,S13,GD,IT,2015-01-01,2173402.7
MIO_EUR,S13,GD,IT,2016-01-01,2219581.2
MIO_EUR,S13,GD,IT,2017-01-01,2263479.2
MIO_EUR,S13,GD,LT,2000-01-01,2912.1
MIO_EUR,S13,GD,LT,2001-01-01,3185.2
MIO_EUR,S13,GD,LT,2002-01-01,3365.7
MIO_EUR,S13,GD,LT,2003-01-01,3395.1
MIO_EUR,S13,GD,LT,2004-01-01,3404.5
MIO_EUR,S13,GD,LT,2005-01-01,3701.9
MIO_EUR,S13,GD,LT,2006-01-01,4151.9
MIO_EUR,S13,GD,LT,2007-01-01,4609.7
MIO_EUR,S13,GD,LT,2008-01-01,4762.1
MIO_EUR,S13,GD,LT,2009-01-01,7528.5
MIO_EUR,S13,GD,LT,2010-01-01,10150.4
MIO_EUR,S13,GD,LT,2011-01-01,11629.2
MIO_EUR,S13,GD,LT,2012-01-01,13264.1
MIO_EUR,S13,GD,LT,2013-01-01,13550.6
MIO_EUR,S13,GD,LT,2014-01-01,14827.1
MIO_EUR,S13,GD,LT,2015-01-01,15939.5
MIO_EUR,S13,GD,LT,2016-01-01,15515.4
MIO_EUR,S13,GD,LT,2017-01-01,16614.1
MIO_EUR,S13,GD,LU,2000-01-01,1672.2
MIO_EUR,S13,GD,LU,2001-01-01,1736.6
MIO_EUR,S13,GD,LU,2002-01-01,1768.3
MIO_EUR,S13,GD,LU,2003-01-01,1817.9
MIO_EUR,S13,GD,LU,2004-01-01,2051.9
MIO_EUR,S13,GD,LU,2005-01-01,2217.1
MIO_EUR,S13,GD,LU,2006-01-01,2630.1
MIO_EUR,S13,GD,LU,2007-01-01,2868.2
MIO_EUR,S13,GD,LU,2008-01-01,5684.6
MIO_EUR,S13,GD,LU,2009-01-01,5815.7
MIO_EUR,S13,GD,LU,2010-01-01,7951.0
MIO_EUR,S13,GD,LU,2011-01-01,8074.5
MIO_EUR,S13,GD,LU,2012-01-01,9699.7
MIO_EUR,S13,GD,LU,2013-01-01,11009.6
MIO_EUR,S13,GD,LU,2014-01-01,11330.5
MIO_EUR,S13,GD,LU,2015-01-01,11446.9
MIO_EUR,S13,GD,LU,2016-01-01,11024.4
MIO_EUR,S13,GD,LU,2017-01-01,12697.1
MIO_EUR,S13,GD,LV,2000-01-01,1011.0
MIO_EUR,S13,GD,LV,2001-01-01,1304.4
MIO_EUR,S13,GD,LV,2002-01-01,1251.5
MIO_EUR,S13,GD,LV,2003-01-01,1370.5
MIO_EUR,S13,GD,LV,2004-01-01,1561.7
MIO_EUR,S13,GD,LV,2005-01-01,1566.8
MIO_EUR,S13,GD,LV,2006-01-01,1647.7
MIO_EUR,S13,GD,LV,2007-01-01,1834.6
MIO_EUR,S13,GD,LV,2008-01-01,4392.4
MIO_EUR,S13,GD,LV,2009-01-01,6677.0
MIO_EUR,S13,GD,LV,2010-01-01,8323.4
MIO_EUR,S13,GD,LV,2011-01-01,8703.7
MIO_EUR,S13,GD,LV,2012-01-01,9086.0
MIO_EUR,S13,GD,LV,2013-01-01,8892.8
MIO_EUR,S13,GD,LV,2014-01-01,9668.5
MIO_EUR,S13,GD,LV,2015-01-01,8953.3
MIO_EUR,S13,GD,LV,2016-01-01,10091.6
MIO_EUR,S13,GD,LV,2017-01-01,10806.8
MIO_EUR,S13,GD,MT,2000-01-01,2654.0
MIO_EUR,S13,GD,MT,2001-01-01,2989.2
MIO_EUR,S13,GD,MT,2002-01-01,2927.3
MIO_EUR,S13,GD,MT,2003-01-01,3267.4
MIO_EUR,S13,GD,MT,2004-01-01,3449.6
MIO_EUR,S13,GD,MT,2005-01-01,3606.4
MIO_EUR,S13,GD,MT,2006-01-01,3472.9
MIO_EUR,S13,GD,MT,2007-01-01,3584.6
MIO_EUR,S13,GD,MT,2008-01-01,3837.0
MIO_EUR,S13,GD,MT,2009-01-01,4152.7
MIO_EUR,S13,GD,MT,2010-01-01,4452.1
MIO_EUR,S13,GD,MT,2011-01-01,4796.6
MIO_EUR,S13,GD,MT,2012-01-01,4855.1
MIO_EUR,S13,GD,MT,2013-01-01,5226.6
MIO_EUR,S13,GD,MT,2014-01-01,5390.0
MIO_EUR,S13,GD,MT,2015-01-01,5585.5
MIO_EUR,S13,GD,MT,2016-01-01,5734.9
MIO_EUR,S13,GD,MT,2017-01-01,5670.6
MIO_EUR,S13,GD,NL,2000-01-01,235427.0
MIO_EUR,S13,GD,NL,2001-01-01,238329.0
MIO_EUR,S13,GD,NL,2002-01-01,244564.0
MIO_EUR,S13,GD,NL,2003-01-01,256381.0
MIO_EUR,S13,GD,NL,2004-01-01,266230.0
MIO_EUR,S13,GD,NL,2005-01-01,274420.0
MIO_EUR,S13,GD,NL,2006-01-01,264268.0
MIO_EUR,S13,GD,NL,2007-01-01,266215.0
MIO_EUR,S13,GD,NL,2008-01-01,354022.0
MIO_EUR,S13,GD,NL,2009-01-01,354795.0
MIO_EUR,S13,GD,NL,2010-01-01,378789.0
MIO_EUR,S13,GD,NL,2011-01-01,401269.0
MIO_EUR,S13,GD,NL,2012-01-01,432428.0
MIO_EUR,S13,GD,NL,2013-01-01,446944.0
