currency,bop_item,sector10,sectpart,partner,stk_flow,geo\time,date,value
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2008-01-01,1048783.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2009-01-01,1114315.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2010-01-01,1223562.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2011-01-01,1310913.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2012-01-01,1461890.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2013-01-01,1517375.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2014-01-01,1643944.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2015-01-01,1798571.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2016-01-01,1868514.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2017-01-01,1926403.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,1995-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,1996-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,1997-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,1998-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,1999-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2000-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2001-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2002-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2003-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2004-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2005-01-01,808470.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2006-01-01,825855.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2007-01-01,908801.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2008-01-01,1025290.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2009-01-01,1107532.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2010-01-01,1244176.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2011-01-01,1344580.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2012-01-01,1387557.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2013-01-01,1411985.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2014-01-01,1516186.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2015-01-01,1621444.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2016-01-01,1797855.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK,2017-01-01,1809210.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,1995-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,1996-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,1997-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,1998-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,1999-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2000-01-01,411.8 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2001-01-01,691.9 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2002-01-01,898.7 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2003-01-01,1181.2 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2004-01-01,1513.6 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2005-01-01,2266.9 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2006-01-01,3628.2 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2007-01-01,5576.7 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2008-01-01,6271.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2009-01-01,5954.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2010-01-01,6487.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2011-01-01,6064.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2012-01-01,7134.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2013-01-01,7696.7
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2014-01-01,8712.9
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2015-01-01,8392.4
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2016-01-01,8818.1
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE,2017-01-01,9140.8
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,1995-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,1996-01-01,: 
