hhtyp,incgrp,unit,sex,age,geotime,date,value
TOTAL,A_MD60,PC,T,TOTAL,IT,2007-01-01,19.6
TOTAL,A_MD60,PC,T,TOTAL,IT,2008-01-01,19.1
TOTAL,A_MD60,PC,T,TOTAL,IT,2009-01-01,19.2
TOTAL,A_MD60,PC,T,TOTAL,IT,2010-01-01,18.7
TOTAL,A_MD60,PC,T,TOTAL,IT,2011-01-01,21.6
TOTAL,A_MD60,PC,T,TOTAL,IT,2012-01-01,19.1
TOTAL,A_MD60,PC,T,TOTAL,IT,2013-01-01,21.2
TOTAL,A_MD60,PC,T,TOTAL,IT,2014-01-01,23.2
TOTAL,A_MD60,PC,T,TOTAL,IT,2015-01-01,22.1
TOTAL,A_MD60,PC,T,TOTAL,IT,2016-01-01,19.2
TOTAL,A_MD60,PC,T,TOTAL,IT,2017-01-01,14.8
TOTAL,A_MD60,PC,T,TOTAL,LT,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,LT,2004-01-01,
TOTAL,A_MD60,PC,T,TOTAL,LT,2005-01-01,28.7
TOTAL,A_MD60,PC,T,TOTAL,LT,2006-01-01,25.1
TOTAL,A_MD60,PC,T,TOTAL,LT,2007-01-01,21.8
TOTAL,A_MD60,PC,T,TOTAL,LT,2008-01-01,21.2
TOTAL,A_MD60,PC,T,TOTAL,LT,2009-01-01,18.0
TOTAL,A_MD60,PC,T,TOTAL,LT,2010-01-01,16.5
TOTAL,A_MD60,PC,T,TOTAL,LT,2011-01-01,15.5
TOTAL,A_MD60,PC,T,TOTAL,LT,2012-01-01,15.1
TOTAL,A_MD60,PC,T,TOTAL,LT,2013-01-01,16.2
TOTAL,A_MD60,PC,T,TOTAL,LT,2014-01-01,15.3
TOTAL,A_MD60,PC,T,TOTAL,LT,2015-01-01,13.2
TOTAL,A_MD60,PC,T,TOTAL,LT,2016-01-01,13.7
TOTAL,A_MD60,PC,T,TOTAL,LT,2017-01-01,11.1
TOTAL,A_MD60,PC,T,TOTAL,LU,2003-01-01,17.1
TOTAL,A_MD60,PC,T,TOTAL,LU,2004-01-01,15.6
TOTAL,A_MD60,PC,T,TOTAL,LU,2005-01-01,14.0
TOTAL,A_MD60,PC,T,TOTAL,LU,2006-01-01,14.4
TOTAL,A_MD60,PC,T,TOTAL,LU,2007-01-01,13.2
TOTAL,A_MD60,PC,T,TOTAL,LU,2008-01-01,15.5
TOTAL,A_MD60,PC,T,TOTAL,LU,2009-01-01,16.6
TOTAL,A_MD60,PC,T,TOTAL,LU,2010-01-01,16.6
TOTAL,A_MD60,PC,T,TOTAL,LU,2011-01-01,14.0
TOTAL,A_MD60,PC,T,TOTAL,LU,2012-01-01,14.9
TOTAL,A_MD60,PC,T,TOTAL,LU,2013-01-01,13.0
TOTAL,A_MD60,PC,T,TOTAL,LU,2014-01-01,13.2
TOTAL,A_MD60,PC,T,TOTAL,LU,2015-01-01,12.4
TOTAL,A_MD60,PC,T,TOTAL,LU,2016-01-01,17.4
TOTAL,A_MD60,PC,T,TOTAL,LU,2017-01-01,16.1
TOTAL,A_MD60,PC,T,TOTAL,LV,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,LV,2004-01-01,
TOTAL,A_MD60,PC,T,TOTAL,LV,2005-01-01,36.7
