na_item,unit,geotime,date,value
P51G,PCH_Q1_SCA,UK,2017-07-01,0
P51G,PCH_Q1_SCA,UK,2017-10-01,0
P51G,PCH_Q1_SCA,UK,2018-01-01,1
P51G,PCH_Q1_SCA,UK,2018-04-01,0
P51G,PCH_Q4_NSA,AL,2015-07-01,3
P51G,PCH_Q4_NSA,AL,2015-10-01,0
P51G,PCH_Q4_NSA,AL,2016-01-01,1
P51G,PCH_Q4_NSA,AL,2016-04-01,2
P51G,PCH_Q4_NSA,AL,2016-07-01,7
P51G,PCH_Q4_NSA,AL,2016-10-01,1
P51G,PCH_Q4_NSA,AL,2017-01-01,8
P51G,PCH_Q4_NSA,AL,2017-04-01,12
P51G,PCH_Q4_NSA,AL,2017-07-01,3
P51G,PCH_Q4_NSA,AL,2017-10-01,3
P51G,PCH_Q4_NSA,AL,2018-01-01,4
P51G,PCH_Q4_NSA,AL,2018-04-01,1
P51G,PCH_Q4_NSA,AT,2015-07-01,3
P51G,PCH_Q4_NSA,AT,2015-10-01,3
P51G,PCH_Q4_NSA,AT,2016-01-01,5
P51G,PCH_Q4_NSA,AT,2016-04-01,5
P51G,PCH_Q4_NSA,AT,2016-07-01,2
P51G,PCH_Q4_NSA,AT,2016-10-01,4
P51G,PCH_Q4_NSA,AT,2017-01-01,4
P51G,PCH_Q4_NSA,AT,2017-04-01,3
P51G,PCH_Q4_NSA,AT,2017-07-01,4
P51G,PCH_Q4_NSA,AT,2017-10-01,3
P51G,PCH_Q4_NSA,AT,2018-01-01,2
P51G,PCH_Q4_NSA,AT,2018-04-01,3
P51G,PCH_Q4_NSA,BE,2015-07-01,4
P51G,PCH_Q4_NSA,BE,2015-10-01,1
P51G,PCH_Q4_NSA,BE,2016-01-01,6
P51G,PCH_Q4_NSA,BE,2016-04-01,6
P51G,PCH_Q4_NSA,BE,2016-07-01,11
P51G,PCH_Q4_NSA,BE,2016-10-01,4
P51G,PCH_Q4_NSA,BE,2017-01-01,2
P51G,PCH_Q4_NSA,BE,2017-04-01,2
P51G,PCH_Q4_NSA,BE,2017-07-01,4
P51G,PCH_Q4_NSA,BE,2017-10-01,2
P51G,PCH_Q4_NSA,BE,2018-01-01,2
P51G,PCH_Q4_NSA,BE,2018-04-01,1
P51G,PCH_Q4_NSA,BG,2015-07-01,3
P51G,PCH_Q4_NSA,BG,2015-10-01,7
P51G,PCH_Q4_NSA,BG,2016-01-01,1
P51G,PCH_Q4_NSA,BG,2016-04-01,3
P51G,PCH_Q4_NSA,BG,2016-07-01,9
P51G,PCH_Q4_NSA,BG,2016-10-01,10
P51G,PCH_Q4_NSA,BG,2017-01-01,1
