sex,unit,geotime,date,value
T,PC_POP,IT,2009-01-01,62
T,PC_POP,IT,2010-01-01,62
T,PC_POP,IT,2011-01-01,62
T,PC_POP,IT,2012-01-01,63
T,PC_POP,IT,2013-01-01,63
T,PC_POP,IT,2014-01-01,63
T,PC_POP,IT,2015-01-01,64
T,PC_POP,IT,2016-01-01,64
T,PC_POP,IT,2017-01-01,65
T,PC_POP,LT,1995-01-01,
T,PC_POP,LT,1996-01-01,
T,PC_POP,LT,1997-01-01,72
T,PC_POP,LT,1998-01-01,72
T,PC_POP,LT,1999-01-01,72
T,PC_POP,LT,2000-01-01,70
T,PC_POP,LT,2001-01-01,69
T,PC_POP,LT,2002-01-01,69
T,PC_POP,LT,2003-01-01,69
T,PC_POP,LT,2004-01-01,69
T,PC_POP,LT,2005-01-01,68
T,PC_POP,LT,2006-01-01,67
T,PC_POP,LT,2007-01-01,67
T,PC_POP,LT,2008-01-01,68
T,PC_POP,LT,2009-01-01,69
T,PC_POP,LT,2010-01-01,70
T,PC_POP,LT,2011-01-01,71
T,PC_POP,LT,2012-01-01,71
T,PC_POP,LT,2013-01-01,72
T,PC_POP,LT,2014-01-01,73
T,PC_POP,LT,2015-01-01,74
T,PC_POP,LT,2016-01-01,75
T,PC_POP,LT,2017-01-01,75
T,PC_POP,LU,1995-01-01,60
T,PC_POP,LU,1996-01-01,60
T,PC_POP,LU,1997-01-01,61
T,PC_POP,LU,1998-01-01,61
T,PC_POP,LU,1999-01-01,62
T,PC_POP,LU,2000-01-01,63
T,PC_POP,LU,2001-01-01,64
T,PC_POP,LU,2002-01-01,64
T,PC_POP,LU,2003-01-01,64
T,PC_POP,LU,2004-01-01,65
T,PC_POP,LU,2005-01-01,66
T,PC_POP,LU,2006-01-01,66
T,PC_POP,LU,2007-01-01,66
T,PC_POP,LU,2008-01-01,66
T,PC_POP,LU,2009-01-01,68
T,PC_POP,LU,2010-01-01,68
T,PC_POP,LU,2011-01-01,67
T,PC_POP,LU,2012-01-01,69
T,PC_POP,LU,2013-01-01,69
T,PC_POP,LU,2014-01-01,70
T,PC_POP,LU,2015-01-01,70
T,PC_POP,LU,2016-01-01,70
T,PC_POP,LU,2017-01-01,70
T,PC_POP,LV,1995-01-01,
T,PC_POP,LV,1996-01-01,
T,PC_POP,LV,1997-01-01,70
T,PC_POP,LV,1998-01-01,69
T,PC_POP,LV,1999-01-01,68
T,PC_POP,LV,2000-01-01,67
T,PC_POP,LV,2001-01-01,67
T,PC_POP,LV,2002-01-01,68
T,PC_POP,LV,2003-01-01,68
T,PC_POP,LV,2004-01-01,69
T,PC_POP,LV,2005-01-01,69
T,PC_POP,LV,2006-01-01,71
T,PC_POP,LV,2007-01-01,72
T,PC_POP,LV,2008-01-01,74
T,PC_POP,LV,2009-01-01,73
T,PC_POP,LV,2010-01-01,73
T,PC_POP,LV,2011-01-01,72
T,PC_POP,LV,2012-01-01,74
T,PC_POP,LV,2013-01-01,74
T,PC_POP,LV,2014-01-01,74
T,PC_POP,LV,2015-01-01,75
T,PC_POP,LV,2016-01-01,76
T,PC_POP,LV,2017-01-01,77
T,PC_POP,MT,1995-01-01,
T,PC_POP,MT,1996-01-01,
T,PC_POP,MT,1997-01-01,58
T,PC_POP,MT,1998-01-01,58
T,PC_POP,MT,1999-01-01,58
T,PC_POP,MT,2000-01-01,57
T,PC_POP,MT,2001-01-01,58
T,PC_POP,MT,2002-01-01,58
T,PC_POP,MT,2003-01-01,58
T,PC_POP,MT,2004-01-01,58
T,PC_POP,MT,2005-01-01,57
T,PC_POP,MT,2006-01-01,57
T,PC_POP,MT,2007-01-01,58
T,PC_POP,MT,2008-01-01,59
T,PC_POP,MT,2009-01-01,59
T,PC_POP,MT,2010-01-01,60
T,PC_POP,MT,2011-01-01,61
T,PC_POP,MT,2012-01-01,63
T,PC_POP,MT,2013-01-01,66
T,PC_POP,MT,2014-01-01,67
T,PC_POP,MT,2015-01-01,68
T,PC_POP,MT,2016-01-01,70
T,PC_POP,MT,2017-01-01,72
T,PC_POP,NL,1995-01-01,69
T,PC_POP,NL,1996-01-01,70
T,PC_POP,NL,1997-01-01,71
T,PC_POP,NL,1998-01-01,72
T,PC_POP,NL,1999-01-01,73
T,PC_POP,NL,2000-01-01,75
T,PC_POP,NL,2001-01-01,75
T,PC_POP,NL,2002-01-01,76
T,PC_POP,NL,2003-01-01,76
T,PC_POP,NL,2004-01-01,76
T,PC_POP,NL,2005-01-01,76
T,PC_POP,NL,2006-01-01,77
T,PC_POP,NL,2007-01-01,78
T,PC_POP,NL,2008-01-01,79
T,PC_POP,NL,2009-01-01,79
T,PC_POP,NL,2010-01-01,78
T,PC_POP,NL,2011-01-01,78
T,PC_POP,NL,2012-01-01,79
T,PC_POP,NL,2013-01-01,79
T,PC_POP,NL,2014-01-01,79
T,PC_POP,NL,2015-01-01,79
T,PC_POP,NL,2016-01-01,79
T,PC_POP,NL,2017-01-01,79
T,PC_POP,PL,1995-01-01,
T,PC_POP,PL,1996-01-01,
T,PC_POP,PL,1997-01-01,
T,PC_POP,PL,1998-01-01,65
T,PC_POP,PL,1999-01-01,65
T,PC_POP,PL,2000-01-01,65
T,PC_POP,PL,2001-01-01,65
T,PC_POP,PL,2002-01-01,64
T,PC_POP,PL,2003-01-01,63
T,PC_POP,PL,2004-01-01,64
T,PC_POP,PL,2005-01-01,64
