sex,age,typtrai,wstatus,unit,geo\time,date,value
F,Y15-24,NO_FED_NFE,NEMP,PC,HU,2016-01-01,13.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,HU,2017-01-01,14.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,IE,2005-01-01,11.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,IE,2006-01-01,11.3 b
F,Y15-24,NO_FED_NFE,NEMP,PC,IE,2007-01-01,9.4 b
F,Y15-24,NO_FED_NFE,NEMP,PC,IE,2008-01-01,12.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,IE,2009-01-01,15.1 
F,Y15-24,NO_FED_NFE,NEMP,PC,IE,2010-01-01,16.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,IE,2011-01-01,16.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,IE,2012-01-01,16.5
F,Y15-24,NO_FED_NFE,NEMP,PC,IE,2013-01-01,15.1 
F,Y15-24,NO_FED_NFE,NEMP,PC,IE,2014-01-01,14.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,IE,2015-01-01,13.0 
F,Y15-24,NO_FED_NFE,NEMP,PC,IE,2016-01-01,11.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,IE,2017-01-01,10.5 b
F,Y15-24,NO_FED_NFE,NEMP,PC,IS,2005-01-01,4.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,IS,2006-01-01,5.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,IS,2007-01-01,4.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,IS,2008-01-01,4.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,IS,2009-01-01,6.0 b
F,Y15-24,NO_FED_NFE,NEMP,PC,IS,2010-01-01,7.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,IS,2011-01-01,5.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,IS,2012-01-01,4.8
F,Y15-24,NO_FED_NFE,NEMP,PC,IS,2013-01-01,4.1 
F,Y15-24,NO_FED_NFE,NEMP,PC,IS,2014-01-01,5.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,IS,2015-01-01,3.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,IS,2016-01-01,3.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,IS,2017-01-01,3.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,IT,2005-01-01,18.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,IT,2006-01-01,18.3 b
F,Y15-24,NO_FED_NFE,NEMP,PC,IT,2007-01-01,17.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,IT,2008-01-01,18.0 
F,Y15-24,NO_FED_NFE,NEMP,PC,IT,2009-01-01,18.1 
F,Y15-24,NO_FED_NFE,NEMP,PC,IT,2010-01-01,19.0 
F,Y15-24,NO_FED_NFE,NEMP,PC,IT,2011-01-01,19.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,IT,2012-01-01,20.8
F,Y15-24,NO_FED_NFE,NEMP,PC,IT,2013-01-01,21.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,IT,2014-01-01,21.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,IT,2015-01-01,20.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,IT,2016-01-01,19.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,IT,2017-01-01,19.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,LT,2005-01-01,9.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,LT,2006-01-01,8.5 bu
F,Y15-24,NO_FED_NFE,NEMP,PC,LT,2007-01-01,7.9 u
F,Y15-24,NO_FED_NFE,NEMP,PC,LT,2008-01-01,9.1 u
F,Y15-24,NO_FED_NFE,NEMP,PC,LT,2009-01-01,10.5 
F,Y15-24,NO_FED_NFE,NEMP,PC,LT,2010-01-01,11.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,LT,2011-01-01,10.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,LT,2012-01-01,9.5
F,Y15-24,NO_FED_NFE,NEMP,PC,LT,2013-01-01,10.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,LT,2014-01-01,10.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,LT,2015-01-01,9.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,LT,2016-01-01,8.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,LT,2017-01-01,9.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,LU,2005-01-01,6.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,LU,2006-01-01,7.3 b
F,Y15-24,NO_FED_NFE,NEMP,PC,LU,2007-01-01,6.6 b
F,Y15-24,NO_FED_NFE,NEMP,PC,LU,2008-01-01,7.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,LU,2009-01-01,5.5 b
F,Y15-24,NO_FED_NFE,NEMP,PC,LU,2010-01-01,4.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,LU,2011-01-01,4.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,LU,2012-01-01,5.5
F,Y15-24,NO_FED_NFE,NEMP,PC,LU,2013-01-01,4.0 
F,Y15-24,NO_FED_NFE,NEMP,PC,LU,2014-01-01,4.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,LU,2015-01-01,5.7 b
F,Y15-24,NO_FED_NFE,NEMP,PC,LU,2016-01-01,5.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,LU,2017-01-01,5.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,LV,2005-01-01,12.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,LV,2006-01-01,15.1 b
F,Y15-24,NO_FED_NFE,NEMP,PC,LV,2007-01-01,14.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,LV,2008-01-01,13.5 
F,Y15-24,NO_FED_NFE,NEMP,PC,LV,2009-01-01,16.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,LV,2010-01-01,16.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,LV,2011-01-01,16.0 
F,Y15-24,NO_FED_NFE,NEMP,PC,LV,2012-01-01,14.6
F,Y15-24,NO_FED_NFE,NEMP,PC,LV,2013-01-01,13.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,LV,2014-01-01,12.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,LV,2015-01-01,11.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,LV,2016-01-01,9.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,LV,2017-01-01,9.5 
