exch_rt,unit,geotime,date,value
NEER_IC42,PCH_3Y,BG,2005-01-01,
NEER_IC42,PCH_3Y,BG,2006-01-01,
NEER_IC42,PCH_3Y,BG,2007-01-01,
NEER_IC42,PCH_3Y,BG,2008-01-01,
NEER_IC42,PCH_3Y,BG,2009-01-01,
NEER_IC42,PCH_3Y,BG,2010-01-01,
NEER_IC42,PCH_3Y,BG,2011-01-01,
NEER_IC42,PCH_3Y,BG,2012-01-01,
NEER_IC42,PCH_3Y,BG,2013-01-01,
NEER_IC42,PCH_3Y,BG,2014-01-01,
NEER_IC42,PCH_3Y,BG,2015-01-01,
NEER_IC42,PCH_3Y,BG,2016-01-01,
NEER_IC42,PCH_3Y,BG,2017-01-01,
NEER_IC42,PCH_3Y,CY,1995-01-01,
NEER_IC42,PCH_3Y,CY,1996-01-01,
NEER_IC42,PCH_3Y,CY,1997-01-01,
NEER_IC42,PCH_3Y,CY,1998-01-01,
NEER_IC42,PCH_3Y,CY,1999-01-01,
NEER_IC42,PCH_3Y,CY,2000-01-01,
NEER_IC42,PCH_3Y,CY,2001-01-01,
NEER_IC42,PCH_3Y,CY,2002-01-01,
NEER_IC42,PCH_3Y,CY,2003-01-01,
NEER_IC42,PCH_3Y,CY,2004-01-01,
NEER_IC42,PCH_3Y,CY,2005-01-01,
NEER_IC42,PCH_3Y,CY,2006-01-01,
NEER_IC42,PCH_3Y,CY,2007-01-01,
NEER_IC42,PCH_3Y,CY,2008-01-01,
NEER_IC42,PCH_3Y,CY,2009-01-01,
NEER_IC42,PCH_3Y,CY,2010-01-01,
NEER_IC42,PCH_3Y,CY,2011-01-01,
NEER_IC42,PCH_3Y,CY,2012-01-01,
NEER_IC42,PCH_3Y,CY,2013-01-01,
NEER_IC42,PCH_3Y,CY,2014-01-01,
NEER_IC42,PCH_3Y,CY,2015-01-01,
NEER_IC42,PCH_3Y,CY,2016-01-01,
NEER_IC42,PCH_3Y,CY,2017-01-01,
NEER_IC42,PCH_3Y,CZ,1995-01-01,
NEER_IC42,PCH_3Y,CZ,1996-01-01,
NEER_IC42,PCH_3Y,CZ,1997-01-01,
NEER_IC42,PCH_3Y,CZ,1998-01-01,
NEER_IC42,PCH_3Y,CZ,1999-01-01,
NEER_IC42,PCH_3Y,CZ,2000-01-01,
NEER_IC42,PCH_3Y,CZ,2001-01-01,
NEER_IC42,PCH_3Y,CZ,2002-01-01,
NEER_IC42,PCH_3Y,CZ,2003-01-01,
NEER_IC42,PCH_3Y,CZ,2004-01-01,
NEER_IC42,PCH_3Y,CZ,2005-01-01,
NEER_IC42,PCH_3Y,CZ,2006-01-01,
NEER_IC42,PCH_3Y,CZ,2007-01-01,
NEER_IC42,PCH_3Y,CZ,2008-01-01,
NEER_IC42,PCH_3Y,CZ,2009-01-01,
NEER_IC42,PCH_3Y,CZ,2010-01-01,
NEER_IC42,PCH_3Y,CZ,2011-01-01,
NEER_IC42,PCH_3Y,CZ,2012-01-01,
NEER_IC42,PCH_3Y,CZ,2013-01-01,
NEER_IC42,PCH_3Y,CZ,2014-01-01,
NEER_IC42,PCH_3Y,CZ,2015-01-01,
NEER_IC42,PCH_3Y,CZ,2016-01-01,
NEER_IC42,PCH_3Y,CZ,2017-01-01,
NEER_IC42,PCH_3Y,DE,1995-01-01,
NEER_IC42,PCH_3Y,DE,1996-01-01,
NEER_IC42,PCH_3Y,DE,1997-01-01,
NEER_IC42,PCH_3Y,DE,1998-01-01,
NEER_IC42,PCH_3Y,DE,1999-01-01,
NEER_IC42,PCH_3Y,DE,2000-01-01,
NEER_IC42,PCH_3Y,DE,2001-01-01,
NEER_IC42,PCH_3Y,DE,2002-01-01,
NEER_IC42,PCH_3Y,DE,2003-01-01,
NEER_IC42,PCH_3Y,DE,2004-01-01,
NEER_IC42,PCH_3Y,DE,2005-01-01,
NEER_IC42,PCH_3Y,DE,2006-01-01,
NEER_IC42,PCH_3Y,DE,2007-01-01,
NEER_IC42,PCH_3Y,DE,2008-01-01,
NEER_IC42,PCH_3Y,DE,2009-01-01,
NEER_IC42,PCH_3Y,DE,2010-01-01,
NEER_IC42,PCH_3Y,DE,2011-01-01,
NEER_IC42,PCH_3Y,DE,2012-01-01,
NEER_IC42,PCH_3Y,DE,2013-01-01,
NEER_IC42,PCH_3Y,DE,2014-01-01,
NEER_IC42,PCH_3Y,DE,2015-01-01,
NEER_IC42,PCH_3Y,DE,2016-01-01,
NEER_IC42,PCH_3Y,DE,2017-01-01,
NEER_IC42,PCH_3Y,DK,1995-01-01,
NEER_IC42,PCH_3Y,DK,1996-01-01,
NEER_IC42,PCH_3Y,DK,1997-01-01,
