unit,sex,age,isced11,geo\time,date,value
PC,T,Y20-64,ED0-2,SE,2008-01-01,66.2 
PC,T,Y20-64,ED0-2,SE,2009-01-01,63.3 
PC,T,Y20-64,ED0-2,SE,2010-01-01,62.8 
PC,T,Y20-64,ED0-2,SE,2011-01-01,63.7 
PC,T,Y20-64,ED0-2,SE,2012-01-01,62.9
PC,T,Y20-64,ED0-2,SE,2013-01-01,61.0 
PC,T,Y20-64,ED0-2,SE,2014-01-01,61.0 b
PC,T,Y20-64,ED0-2,SE,2015-01-01,60.9 
PC,T,Y20-64,ED0-2,SE,2016-01-01,61.0 
PC,T,Y20-64,ED0-2,SE,2017-01-01,61.8 
PC,T,Y20-64,ED0-2,SI,2005-01-01,55.1 b
PC,T,Y20-64,ED0-2,SI,2006-01-01,54.7 
PC,T,Y20-64,ED0-2,SI,2007-01-01,55.9 
PC,T,Y20-64,ED0-2,SI,2008-01-01,54.8 
PC,T,Y20-64,ED0-2,SI,2009-01-01,53.2 
PC,T,Y20-64,ED0-2,SI,2010-01-01,50.5 
PC,T,Y20-64,ED0-2,SI,2011-01-01,45.8 
PC,T,Y20-64,ED0-2,SI,2012-01-01,46.4
PC,T,Y20-64,ED0-2,SI,2013-01-01,44.6 
PC,T,Y20-64,ED0-2,SI,2014-01-01,47.4 b
PC,T,Y20-64,ED0-2,SI,2015-01-01,48.0 
PC,T,Y20-64,ED0-2,SI,2016-01-01,45.5 
PC,T,Y20-64,ED0-2,SI,2017-01-01,49.3 
PC,T,Y20-64,ED0-2,SK,2005-01-01,25.3 b
PC,T,Y20-64,ED0-2,SK,2006-01-01,27.4 
PC,T,Y20-64,ED0-2,SK,2007-01-01,27.9 
PC,T,Y20-64,ED0-2,SK,2008-01-01,31.0 
PC,T,Y20-64,ED0-2,SK,2009-01-01,29.0 
PC,T,Y20-64,ED0-2,SK,2010-01-01,28.6 
PC,T,Y20-64,ED0-2,SK,2011-01-01,29.6 b
PC,T,Y20-64,ED0-2,SK,2012-01-01,29.5
PC,T,Y20-64,ED0-2,SK,2013-01-01,30.3 
PC,T,Y20-64,ED0-2,SK,2014-01-01,31.6 b
PC,T,Y20-64,ED0-2,SK,2015-01-01,33.2 
PC,T,Y20-64,ED0-2,SK,2016-01-01,35.9 
PC,T,Y20-64,ED0-2,SK,2017-01-01,37.3 
PC,T,Y20-64,ED0-2,TR,2005-01-01,: 
PC,T,Y20-64,ED0-2,TR,2006-01-01,43.3 
PC,T,Y20-64,ED0-2,TR,2007-01-01,43.1 
PC,T,Y20-64,ED0-2,TR,2008-01-01,43.0 
PC,T,Y20-64,ED0-2,TR,2009-01-01,42.7 
PC,T,Y20-64,ED0-2,TR,2010-01-01,45.1 
PC,T,Y20-64,ED0-2,TR,2011-01-01,47.3 
PC,T,Y20-64,ED0-2,TR,2012-01-01,47.6
PC,T,Y20-64,ED0-2,TR,2013-01-01,47.9 
PC,T,Y20-64,ED0-2,TR,2014-01-01,47.5 b
PC,T,Y20-64,ED0-2,TR,2015-01-01,47.8 
PC,T,Y20-64,ED0-2,TR,2016-01-01,48.3 
PC,T,Y20-64,ED0-2,TR,2017-01-01,49.3 
PC,T,Y20-64,ED0-2,UK,2005-01-01,64.1 b
PC,T,Y20-64,ED0-2,UK,2006-01-01,63.6 
PC,T,Y20-64,ED0-2,UK,2007-01-01,63.3 b
PC,T,Y20-64,ED0-2,UK,2008-01-01,59.0 b
PC,T,Y20-64,ED0-2,UK,2009-01-01,57.2 
PC,T,Y20-64,ED0-2,UK,2010-01-01,55.5 b
PC,T,Y20-64,ED0-2,UK,2011-01-01,55.6 b
PC,T,Y20-64,ED0-2,UK,2012-01-01,56.4
PC,T,Y20-64,ED0-2,UK,2013-01-01,56.8 
PC,T,Y20-64,ED0-2,UK,2014-01-01,58.8 b
PC,T,Y20-64,ED0-2,UK,2015-01-01,59.7 
PC,T,Y20-64,ED0-2,UK,2016-01-01,62.1 
PC,T,Y20-64,ED0-2,UK,2017-01-01,63.6 
