,coicop,unit,geo\time,date,value
317,CP07,I15,MK,2018-02-01,109.91 d
318,CP07,I15,MK,2018-03-01,108.86 d
319,CP07,I15,MK,2018-04-01,109.61 d
320,CP07,I15,MK,2018-05-01,110.61 d
321,CP07,I15,MK,2018-06-01,111.24 d
322,CP07,I15,MK,2018-07-01,113.07 d
323,CP07,I15,MK,2018-08-01,115.51 d
324,CP07,I15,MK,2018-09-01,113.66 d
325,CP07,I15,MT,2017-10-01,100.59 
326,CP07,I15,MT,2017-11-01,99.58 
327,CP07,I15,MT,2017-12-01,99.87 
328,CP07,I15,MT,2018-01-01,97.66 
329,CP07,I15,MT,2018-02-01,98.11 
330,CP07,I15,MT,2018-03-01,99.09 
331,CP07,I15,MT,2018-04-01,99.40 
332,CP07,I15,MT,2018-05-01,99.50 
333,CP07,I15,MT,2018-06-01,101.43 
334,CP07,I15,MT,2018-07-01,103.21 
335,CP07,I15,MT,2018-08-01,105.71 
336,CP07,I15,MT,2018-09-01,105.89 
337,CP07,I15,NL,2017-10-01,101.53 
338,CP07,I15,NL,2017-11-01,101.95 
339,CP07,I15,NL,2017-12-01,102.43 
340,CP07,I15,NL,2018-01-01,102.67 
341,CP07,I15,NL,2018-02-01,101.83 
342,CP07,I15,NL,2018-03-01,102.25 
343,CP07,I15,NL,2018-04-01,104.33 
344,CP07,I15,NL,2018-05-01,106.18 
345,CP07,I15,NL,2018-06-01,105.19 
346,CP07,I15,NL,2018-07-01,106.98 
347,CP07,I15,NL,2018-08-01,107.67 
348,CP07,I15,NL,2018-09-01,105.46 
349,CP07,I15,NO,2017-10-01,105.5 
350,CP07,I15,NO,2017-11-01,105.0 
351,CP07,I15,NO,2017-12-01,105.6 
352,CP07,I15,NO,2018-01-01,105.9 
353,CP07,I15,NO,2018-02-01,107.3 
354,CP07,I15,NO,2018-03-01,107.1 
355,CP07,I15,NO,2018-04-01,108.1 
356,CP07,I15,NO,2018-05-01,108.8 
357,CP07,I15,NO,2018-06-01,109.8 
358,CP07,I15,NO,2018-07-01,111.3 
359,CP07,I15,NO,2018-08-01,109.2 
360,CP07,I15,NO,2018-09-01,109.2 
361,CP07,I15,PL,2017-10-01,98.5 
362,CP07,I15,PL,2017-11-01,99.3 
363,CP07,I15,PL,2017-12-01,99.9 
364,CP07,I15,PL,2018-01-01,99.2 
365,CP07,I15,PL,2018-02-01,99.1 
366,CP07,I15,PL,2018-03-01,98.9 
367,CP07,I15,PL,2018-04-01,100.9 
368,CP07,I15,PL,2018-05-01,102.6 
