s_adj,sectpart,sector10,bop_item,stk_flow,partner,unit,geotime,date,value
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1999-01-01,452
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1999-04-01,315
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1999-07-01,55
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1999-10-01,440
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2000-01-01,653
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2000-04-01,150
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2000-07-01,165
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2000-10-01,800
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2001-01-01,472
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2001-04-01,327
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2001-07-01,102
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2001-10-01,770
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2002-01-01,373
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2002-04-01,228
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2002-07-01,801
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2002-10-01,1027
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2003-01-01,597
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2003-04-01,831
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2003-07-01,657
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2003-10-01,1170
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2004-01-01,842
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2004-04-01,776
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2004-07-01,960
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2004-10-01,1618
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2005-01-01,1100
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2005-04-01,1058
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2005-07-01,324
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2005-10-01,2382
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2006-01-01,2332
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2006-04-01,1617
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2006-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2006-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2007-01-01,3821
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2007-04-01,3199
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2007-07-01,2472
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2007-10-01,6803
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2008-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2008-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2008-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2008-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2009-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2009-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2009-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2009-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2010-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2010-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2010-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2010-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2011-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2011-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2011-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2011-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2012-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2012-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2012-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2012-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2013-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2013-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2013-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2013-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2014-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2014-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2014-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2014-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2015-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2015-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2015-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2015-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2016-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2016-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2016-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2016-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2017-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2017-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2017-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2017-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2018-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,2018-04-01,603
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1995-01-01,
