hhtyp,incgrp,unit,age,sex,geotime,date,value
TOTAL,TOTAL,PC_POP,TOTAL,F,EU28,2007-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,EU28,2008-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,EU28,2009-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,EU28,2010-01-01,6.8
TOTAL,TOTAL,PC_POP,TOTAL,F,EU28,2011-01-01,6.8
TOTAL,TOTAL,PC_POP,TOTAL,F,EU28,2012-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,F,EU28,2013-01-01,6.0
TOTAL,TOTAL,PC_POP,TOTAL,F,EU28,2014-01-01,5.8
TOTAL,TOTAL,PC_POP,TOTAL,F,EU28,2015-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,F,EU28,2016-01-01,5.4
TOTAL,TOTAL,PC_POP,TOTAL,F,EU28,2017-01-01,4.9
TOTAL,TOTAL,PC_POP,TOTAL,F,FI,2006-01-01,5.4
TOTAL,TOTAL,PC_POP,TOTAL,F,FI,2007-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,F,FI,2008-01-01,5.1
TOTAL,TOTAL,PC_POP,TOTAL,F,FI,2009-01-01,4.4
TOTAL,TOTAL,PC_POP,TOTAL,F,FI,2010-01-01,4.4
TOTAL,TOTAL,PC_POP,TOTAL,F,FI,2011-01-01,4.2
TOTAL,TOTAL,PC_POP,TOTAL,F,FI,2012-01-01,5.1
TOTAL,TOTAL,PC_POP,TOTAL,F,FI,2013-01-01,4.0
TOTAL,TOTAL,PC_POP,TOTAL,F,FI,2014-01-01,3.6
TOTAL,TOTAL,PC_POP,TOTAL,F,FI,2015-01-01,3.9
TOTAL,TOTAL,PC_POP,TOTAL,F,FI,2016-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,F,FI,2017-01-01,3.9
TOTAL,TOTAL,PC_POP,TOTAL,F,FR,2006-01-01,8.0
TOTAL,TOTAL,PC_POP,TOTAL,F,FR,2007-01-01,8.4
TOTAL,TOTAL,PC_POP,TOTAL,F,FR,2008-01-01,8.0
TOTAL,TOTAL,PC_POP,TOTAL,F,FR,2009-01-01,7.4
TOTAL,TOTAL,PC_POP,TOTAL,F,FR,2010-01-01,8.3
TOTAL,TOTAL,PC_POP,TOTAL,F,FR,2011-01-01,7.7
TOTAL,TOTAL,PC_POP,TOTAL,F,FR,2012-01-01,7.4
TOTAL,TOTAL,PC_POP,TOTAL,F,FR,2013-01-01,7.7
TOTAL,TOTAL,PC_POP,TOTAL,F,FR,2014-01-01,7.8
TOTAL,TOTAL,PC_POP,TOTAL,F,FR,2015-01-01,7.5
TOTAL,TOTAL,PC_POP,TOTAL,F,FR,2016-01-01,7.9
TOTAL,TOTAL,PC_POP,TOTAL,F,FR,2017-01-01,6.8
TOTAL,TOTAL,PC_POP,TOTAL,F,HR,2006-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,HR,2007-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,HR,2008-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,HR,2009-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,HR,2010-01-01,7.4
TOTAL,TOTAL,PC_POP,TOTAL,F,HR,2011-01-01,6.0
TOTAL,TOTAL,PC_POP,TOTAL,F,HR,2012-01-01,6.0
TOTAL,TOTAL,PC_POP,TOTAL,F,HR,2013-01-01,6.4
TOTAL,TOTAL,PC_POP,TOTAL,F,HR,2014-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,F,HR,2015-01-01,5.0
TOTAL,TOTAL,PC_POP,TOTAL,F,HR,2016-01-01,4.8
TOTAL,TOTAL,PC_POP,TOTAL,F,HR,2017-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,HU,2006-01-01,7.3
TOTAL,TOTAL,PC_POP,TOTAL,F,HU,2007-01-01,10.4
TOTAL,TOTAL,PC_POP,TOTAL,F,HU,2008-01-01,10.0
TOTAL,TOTAL,PC_POP,TOTAL,F,HU,2009-01-01,8.4
TOTAL,TOTAL,PC_POP,TOTAL,F,HU,2010-01-01,8.7
TOTAL,TOTAL,PC_POP,TOTAL,F,HU,2011-01-01,8.6
TOTAL,TOTAL,PC_POP,TOTAL,F,HU,2012-01-01,8.3
TOTAL,TOTAL,PC_POP,TOTAL,F,HU,2013-01-01,8.4
TOTAL,TOTAL,PC_POP,TOTAL,F,HU,2014-01-01,9.2
TOTAL,TOTAL,PC_POP,TOTAL,F,HU,2015-01-01,8.8
TOTAL,TOTAL,PC_POP,TOTAL,F,HU,2016-01-01,10.0
TOTAL,TOTAL,PC_POP,TOTAL,F,HU,2017-01-01,8.5
TOTAL,TOTAL,PC_POP,TOTAL,F,IE,2006-01-01,6.2
TOTAL,TOTAL,PC_POP,TOTAL,F,IE,2007-01-01,9.2
TOTAL,TOTAL,PC_POP,TOTAL,F,IE,2008-01-01,5.4
TOTAL,TOTAL,PC_POP,TOTAL,F,IE,2009-01-01,5.4
TOTAL,TOTAL,PC_POP,TOTAL,F,IE,2010-01-01,4.2
TOTAL,TOTAL,PC_POP,TOTAL,F,IE,2011-01-01,4.6
TOTAL,TOTAL,PC_POP,TOTAL,F,IE,2012-01-01,4.9
TOTAL,TOTAL,PC_POP,TOTAL,F,IE,2013-01-01,6.0
TOTAL,TOTAL,PC_POP,TOTAL,F,IE,2014-01-01,6.0
TOTAL,TOTAL,PC_POP,TOTAL,F,IE,2015-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,F,IE,2016-01-01,5.8
TOTAL,TOTAL,PC_POP,TOTAL,F,IE,2017-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,IS,2006-01-01,1.5
TOTAL,TOTAL,PC_POP,TOTAL,F,IS,2007-01-01,1.0
TOTAL,TOTAL,PC_POP,TOTAL,F,IS,2008-01-01,1.6
TOTAL,TOTAL,PC_POP,TOTAL,F,IS,2009-01-01,1.9
TOTAL,TOTAL,PC_POP,TOTAL,F,IS,2010-01-01,2.2
TOTAL,TOTAL,PC_POP,TOTAL,F,IS,2011-01-01,2.5
TOTAL,TOTAL,PC_POP,TOTAL,F,IS,2012-01-01,2.1
TOTAL,TOTAL,PC_POP,TOTAL,F,IS,2013-01-01,3.0
TOTAL,TOTAL,PC_POP,TOTAL,F,IS,2014-01-01,2.7
TOTAL,TOTAL,PC_POP,TOTAL,F,IS,2015-01-01,2.6
TOTAL,TOTAL,PC_POP,TOTAL,F,IS,2016-01-01,1.8
TOTAL,TOTAL,PC_POP,TOTAL,F,IS,2017-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,IT,2006-01-01,8.5
TOTAL,TOTAL,PC_POP,TOTAL,F,IT,2007-01-01,8.7
TOTAL,TOTAL,PC_POP,TOTAL,F,IT,2008-01-01,8.2
TOTAL,TOTAL,PC_POP,TOTAL,F,IT,2009-01-01,8.1
TOTAL,TOTAL,PC_POP,TOTAL,F,IT,2010-01-01,6.8
TOTAL,TOTAL,PC_POP,TOTAL,F,IT,2011-01-01,8.8
TOTAL,TOTAL,PC_POP,TOTAL,F,IT,2012-01-01,7.3
TOTAL,TOTAL,PC_POP,TOTAL,F,IT,2013-01-01,7.2
TOTAL,TOTAL,PC_POP,TOTAL,F,IT,2014-01-01,7.1
TOTAL,TOTAL,PC_POP,TOTAL,F,IT,2015-01-01,6.9
TOTAL,TOTAL,PC_POP,TOTAL,F,IT,2016-01-01,5.3
TOTAL,TOTAL,PC_POP,TOTAL,F,IT,2017-01-01,3.7
TOTAL,TOTAL,PC_POP,TOTAL,F,LT,2006-01-01,11.1
TOTAL,TOTAL,PC_POP,TOTAL,F,LT,2007-01-01,10.6
TOTAL,TOTAL,PC_POP,TOTAL,F,LT,2008-01-01,10.6
TOTAL,TOTAL,PC_POP,TOTAL,F,LT,2009-01-01,8.6
TOTAL,TOTAL,PC_POP,TOTAL,F,LT,2010-01-01,7.9
TOTAL,TOTAL,PC_POP,TOTAL,F,LT,2011-01-01,7.4
TOTAL,TOTAL,PC_POP,TOTAL,F,LT,2012-01-01,6.7
TOTAL,TOTAL,PC_POP,TOTAL,F,LT,2013-01-01,7.4
TOTAL,TOTAL,PC_POP,TOTAL,F,LT,2014-01-01,6.4
