unit,nace_r2,tax,geotime,date,value
MIO_EUR,TOTAL_HH_NRES,NRG,CY,1997-01-01,
MIO_EUR,TOTAL_HH_NRES,NRG,CY,1998-01-01,
MIO_EUR,TOTAL_HH_NRES,NRG,CY,1999-01-01,
MIO_EUR,TOTAL_HH_NRES,NRG,CY,2000-01-01,
MIO_EUR,TOTAL_HH_NRES,NRG,CY,2001-01-01,
MIO_EUR,TOTAL_HH_NRES,NRG,CY,2002-01-01,
MIO_EUR,TOTAL_HH_NRES,NRG,CY,2003-01-01,
MIO_EUR,TOTAL_HH_NRES,NRG,CY,2004-01-01,
MIO_EUR,TOTAL_HH_NRES,NRG,CY,2005-01-01,
MIO_EUR,TOTAL_HH_NRES,NRG,CY,2006-01-01,
MIO_EUR,TOTAL_HH_NRES,NRG,CY,2007-01-01,
MIO_EUR,TOTAL_HH_NRES,NRG,CY,2008-01-01,298
MIO_EUR,TOTAL_HH_NRES,NRG,CY,2009-01-01,298
MIO_EUR,TOTAL_HH_NRES,NRG,CY,2010-01-01,345
MIO_EUR,TOTAL_HH_NRES,NRG,CY,2011-01-01,377
MIO_EUR,TOTAL_HH_NRES,NRG,CY,2012-01-01,357
MIO_EUR,TOTAL_HH_NRES,NRG,CY,2013-01-01,377
MIO_EUR,TOTAL_HH_NRES,NRG,CY,2014-01-01,403
MIO_EUR,TOTAL_HH_NRES,NRG,CY,2015-01-01,423
MIO_EUR,TOTAL_HH_NRES,NRG,CY,2016-01-01,
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,1995-01-01,976
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,1996-01-01,1062
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,1997-01-01,1069
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,1998-01-01,1125
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,1999-01-01,1235
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,2000-01-01,1320
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,2001-01-01,1569
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,2002-01-01,1758
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,2003-01-01,1851
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,2004-01-01,2131
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,2005-01-01,2495
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,2006-01-01,2712
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,2007-01-01,2939
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,2008-01-01,3363
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,2009-01-01,3182
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,2010-01-01,3314
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,2011-01-01,3574
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,2012-01-01,3349
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,2013-01-01,3115
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,2014-01-01,3037
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,2015-01-01,3230
MIO_EUR,TOTAL_HH_NRES,NRG,CZ,2016-01-01,3462
MIO_EUR,TOTAL_HH_NRES,NRG,DE,1995-01-01,34720
MIO_EUR,TOTAL_HH_NRES,NRG,DE,1996-01-01,35134
MIO_EUR,TOTAL_HH_NRES,NRG,DE,1997-01-01,34171
MIO_EUR,TOTAL_HH_NRES,NRG,DE,1998-01-01,34099
MIO_EUR,TOTAL_HH_NRES,NRG,DE,1999-01-01,39297
MIO_EUR,TOTAL_HH_NRES,NRG,DE,2000-01-01,42507
MIO_EUR,TOTAL_HH_NRES,NRG,DE,2001-01-01,45412
MIO_EUR,TOTAL_HH_NRES,NRG,DE,2002-01-01,46897
MIO_EUR,TOTAL_HH_NRES,NRG,DE,2003-01-01,50473
MIO_EUR,TOTAL_HH_NRES,NRG,DE,2004-01-01,48703
MIO_EUR,TOTAL_HH_NRES,NRG,DE,2005-01-01,46895
MIO_EUR,TOTAL_HH_NRES,NRG,DE,2006-01-01,47200
MIO_EUR,TOTAL_HH_NRES,NRG,DE,2007-01-01,45627
MIO_EUR,TOTAL_HH_NRES,NRG,DE,2008-01-01,46058
MIO_EUR,TOTAL_HH_NRES,NRG,DE,2009-01-01,47389
MIO_EUR,TOTAL_HH_NRES,NRG,DE,2010-01-01,46499
MIO_EUR,TOTAL_HH_NRES,NRG,DE,2011-01-01,49294
MIO_EUR,TOTAL_HH_NRES,NRG,DE,2012-01-01,48864
MIO_EUR,TOTAL_HH_NRES,NRG,DE,2013-01-01,48141
MIO_EUR,TOTAL_HH_NRES,NRG,DE,2014-01-01,48688
MIO_EUR,TOTAL_HH_NRES,NRG,DE,2015-01-01,48325
MIO_EUR,TOTAL_HH_NRES,NRG,DE,2016-01-01,48424
MIO_EUR,TOTAL_HH_NRES,NRG,DK,1995-01-01,2953
MIO_EUR,TOTAL_HH_NRES,NRG,DK,1996-01-01,3287
MIO_EUR,TOTAL_HH_NRES,NRG,DK,1997-01-01,3308
MIO_EUR,TOTAL_HH_NRES,NRG,DK,1998-01-01,4203
MIO_EUR,TOTAL_HH_NRES,NRG,DK,1999-01-01,4734
MIO_EUR,TOTAL_HH_NRES,NRG,DK,2000-01-01,4891
MIO_EUR,TOTAL_HH_NRES,NRG,DK,2001-01-01,5252
MIO_EUR,TOTAL_HH_NRES,NRG,DK,2002-01-01,5429
MIO_EUR,TOTAL_HH_NRES,NRG,DK,2003-01-01,5429
MIO_EUR,TOTAL_HH_NRES,NRG,DK,2004-01-01,5594
MIO_EUR,TOTAL_HH_NRES,NRG,DK,2005-01-01,5360
MIO_EUR,TOTAL_HH_NRES,NRG,DK,2006-01-01,5042
MIO_EUR,TOTAL_HH_NRES,NRG,DK,2007-01-01,5451
MIO_EUR,TOTAL_HH_NRES,NRG,DK,2008-01-01,5166
MIO_EUR,TOTAL_HH_NRES,NRG,DK,2009-01-01,5361
MIO_EUR,TOTAL_HH_NRES,NRG,DK,2010-01-01,5744
MIO_EUR,TOTAL_HH_NRES,NRG,DK,2011-01-01,5958
MIO_EUR,TOTAL_HH_NRES,NRG,DK,2012-01-01,6076
MIO_EUR,TOTAL_HH_NRES,NRG,DK,2013-01-01,6242
MIO_EUR,TOTAL_HH_NRES,NRG,DK,2014-01-01,6167
MIO_EUR,TOTAL_HH_NRES,NRG,DK,2015-01-01,6023
MIO_EUR,TOTAL_HH_NRES,NRG,DK,2016-01-01,6133
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,1995-01-01,114054
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,1996-01-01,120253
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,1997-01-01,122473
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,1998-01-01,125093
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,1999-01-01,134354
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,2000-01-01,135415
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,2001-01-01,139936
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,2002-01-01,145906
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,2003-01-01,153410
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,2004-01-01,155206
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,2005-01-01,156729
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,2006-01-01,159572
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,2007-01-01,157783
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,2008-01-01,157792
