age,unit,indic_em,geo\time,date,value
Y20-64,PC_POP,EMP_LFS,ES,2009-01-01,14.2 
Y20-64,PC_POP,EMP_LFS,ES,2010-01-01,12.9 
Y20-64,PC_POP,EMP_LFS,ES,2011-01-01,11.6 
Y20-64,PC_POP,EMP_LFS,ES,2012-01-01,10.0 
Y20-64,PC_POP,EMP_LFS,ES,2013-01-01,9.6 
Y20-64,PC_POP,EMP_LFS,ES,2014-01-01,10.2 
Y20-64,PC_POP,EMP_LFS,ES,2015-01-01,11.2 
Y20-64,PC_POP,EMP_LFS,ES,2016-01-01,11.5 
Y20-64,PC_POP,EMP_LFS,ES,2017-01-01,11.9 
Y20-64,PC_POP,EMP_LFS,EU27,2000-01-01,18.7 
Y20-64,PC_POP,EMP_LFS,EU27,2001-01-01,18.1 
Y20-64,PC_POP,EMP_LFS,EU27,2002-01-01,17.3 
Y20-64,PC_POP,EMP_LFS,EU27,2003-01-01,16.8 
Y20-64,PC_POP,EMP_LFS,EU27,2004-01-01,16.2 
Y20-64,PC_POP,EMP_LFS,EU27,2005-01-01,15.9 
Y20-64,PC_POP,EMP_LFS,EU27,2006-01-01,15.7 
Y20-64,PC_POP,EMP_LFS,EU27,2007-01-01,15.6 
Y20-64,PC_POP,EMP_LFS,EU27,2008-01-01,15.0 
Y20-64,PC_POP,EMP_LFS,EU27,2009-01-01,13.5 
Y20-64,PC_POP,EMP_LFS,EU27,2010-01-01,13.0 
Y20-64,PC_POP,EMP_LFS,EU27,2011-01-01,12.7 
Y20-64,PC_POP,EMP_LFS,EU27,2012-01-01,12.2 
Y20-64,PC_POP,EMP_LFS,EU27,2013-01-01,11.7 
Y20-64,PC_POP,EMP_LFS,EU27,2014-01-01,11.6 
Y20-64,PC_POP,EMP_LFS,EU27,2015-01-01,11.6 
Y20-64,PC_POP,EMP_LFS,EU27,2016-01-01,11.6 
Y20-64,PC_POP,EMP_LFS,EU27,2017-01-01,11.6 
Y20-64,PC_POP,EMP_LFS,EU28,2000-01-01,: 
Y20-64,PC_POP,EMP_LFS,EU28,2001-01-01,18.1 
Y20-64,PC_POP,EMP_LFS,EU28,2002-01-01,17.3 
Y20-64,PC_POP,EMP_LFS,EU28,2003-01-01,16.7 
Y20-64,PC_POP,EMP_LFS,EU28,2004-01-01,16.1 
Y20-64,PC_POP,EMP_LFS,EU28,2005-01-01,15.9 
Y20-64,PC_POP,EMP_LFS,EU28,2006-01-01,15.7 
Y20-64,PC_POP,EMP_LFS,EU28,2007-01-01,15.6 
Y20-64,PC_POP,EMP_LFS,EU28,2008-01-01,15.1 
Y20-64,PC_POP,EMP_LFS,EU28,2009-01-01,13.4 
Y20-64,PC_POP,EMP_LFS,EU28,2010-01-01,13.0 
Y20-64,PC_POP,EMP_LFS,EU28,2011-01-01,12.8 
Y20-64,PC_POP,EMP_LFS,EU28,2012-01-01,12.2 
Y20-64,PC_POP,EMP_LFS,EU28,2013-01-01,11.7 
Y20-64,PC_POP,EMP_LFS,EU28,2014-01-01,11.5 
Y20-64,PC_POP,EMP_LFS,EU28,2015-01-01,11.6 
Y20-64,PC_POP,EMP_LFS,EU28,2016-01-01,11.6 
Y20-64,PC_POP,EMP_LFS,EU28,2017-01-01,11.5 
Y20-64,PC_POP,EMP_LFS,FI,2000-01-01,6.7 b
Y20-64,PC_POP,EMP_LFS,FI,2001-01-01,6.2 
Y20-64,PC_POP,EMP_LFS,FI,2002-01-01,4.4 
Y20-64,PC_POP,EMP_LFS,FI,2003-01-01,4.4 
Y20-64,PC_POP,EMP_LFS,FI,2004-01-01,4.8 
Y20-64,PC_POP,EMP_LFS,FI,2005-01-01,4.3 
Y20-64,PC_POP,EMP_LFS,FI,2006-01-01,4.8 
Y20-64,PC_POP,EMP_LFS,FI,2007-01-01,4.7 
Y20-64,PC_POP,EMP_LFS,FI,2008-01-01,5.3 
Y20-64,PC_POP,EMP_LFS,FI,2009-01-01,2.3 
Y20-64,PC_POP,EMP_LFS,FI,2010-01-01,3.0 
Y20-64,PC_POP,EMP_LFS,FI,2011-01-01,3.7 
Y20-64,PC_POP,EMP_LFS,FI,2012-01-01,3.0 
Y20-64,PC_POP,EMP_LFS,FI,2013-01-01,2.8 
Y20-64,PC_POP,EMP_LFS,FI,2014-01-01,1.9 
Y20-64,PC_POP,EMP_LFS,FI,2015-01-01,2.1 
Y20-64,PC_POP,EMP_LFS,FI,2016-01-01,3.3 
Y20-64,PC_POP,EMP_LFS,FI,2017-01-01,3.5 
Y20-64,PC_POP,EMP_LFS,FR,2000-01-01,: 
Y20-64,PC_POP,EMP_LFS,FR,2001-01-01,: 
Y20-64,PC_POP,EMP_LFS,FR,2002-01-01,: 
Y20-64,PC_POP,EMP_LFS,FR,2003-01-01,: 
Y20-64,PC_POP,EMP_LFS,FR,2004-01-01,: 
