indic_en,unit,geo\time,date,value
119800,PC,IT,2013-01-01,16.7
119800,PC,IT,2014-01-01,17.1
119800,PC,IT,2015-01-01,17.5
119800,PC,IT,2016-01-01,17.4
119800,PC,LT,2004-01-01,17.2 
119800,PC,LT,2005-01-01,16.8
119800,PC,LT,2006-01-01,16.9
119800,PC,LT,2007-01-01,16.5
119800,PC,LT,2008-01-01,17.8
119800,PC,LT,2009-01-01,19.8
119800,PC,LT,2010-01-01,19.6
119800,PC,LT,2011-01-01,19.9
119800,PC,LT,2012-01-01,21.4
119800,PC,LT,2013-01-01,22.7
119800,PC,LT,2014-01-01,23.6
119800,PC,LT,2015-01-01,25.8
119800,PC,LT,2016-01-01,25.6
119800,PC,LU,2004-01-01,0.9 
119800,PC,LU,2005-01-01,1.4
119800,PC,LU,2006-01-01,1.5
119800,PC,LU,2007-01-01,2.7
119800,PC,LU,2008-01-01,2.8
119800,PC,LU,2009-01-01,2.9
119800,PC,LU,2010-01-01,2.9
119800,PC,LU,2011-01-01,2.9
119800,PC,LU,2012-01-01,3.1
119800,PC,LU,2013-01-01,3.5
119800,PC,LU,2014-01-01,4.5
119800,PC,LU,2015-01-01,5.0
119800,PC,LU,2016-01-01,5.4
119800,PC,LV,2004-01-01,32.8 
119800,PC,LV,2005-01-01,32.3
119800,PC,LV,2006-01-01,31.1
119800,PC,LV,2007-01-01,29.6
119800,PC,LV,2008-01-01,29.8
119800,PC,LV,2009-01-01,34.3
119800,PC,LV,2010-01-01,30.4
119800,PC,LV,2011-01-01,33.5
119800,PC,LV,2012-01-01,35.7
119800,PC,LV,2013-01-01,37.1
119800,PC,LV,2014-01-01,38.7
119800,PC,LV,2015-01-01,37.6
119800,PC,LV,2016-01-01,37.2
119800,PC,ME,2004-01-01,: 
119800,PC,ME,2005-01-01,35.7
119800,PC,ME,2006-01-01,34.8
119800,PC,ME,2007-01-01,32.9
119800,PC,ME,2008-01-01,32.3
119800,PC,ME,2009-01-01,39.4
119800,PC,ME,2010-01-01,40.6
119800,PC,ME,2011-01-01,40.6
119800,PC,ME,2012-01-01,41.5
119800,PC,ME,2013-01-01,43.7
119800,PC,ME,2014-01-01,44.1
119800,PC,ME,2015-01-01,43.1
119800,PC,ME,2016-01-01,41.5
119800,PC,MK,2004-01-01,15.7 
119800,PC,MK,2005-01-01,16.5
119800,PC,MK,2006-01-01,16.5
119800,PC,MK,2007-01-01,15.0
119800,PC,MK,2008-01-01,15.6
119800,PC,MK,2009-01-01,17.2
119800,PC,MK,2010-01-01,16.5
119800,PC,MK,2011-01-01,16.4
119800,PC,MK,2012-01-01,18.1
119800,PC,MK,2013-01-01,18.5
119800,PC,MK,2014-01-01,19.6
119800,PC,MK,2015-01-01,19.5
119800,PC,MK,2016-01-01,18.2
119800,PC,MT,2004-01-01,0.1 
119800,PC,MT,2005-01-01,0.1
119800,PC,MT,2006-01-01,0.1
119800,PC,MT,2007-01-01,0.2
119800,PC,MT,2008-01-01,0.2
119800,PC,MT,2009-01-01,0.2
119800,PC,MT,2010-01-01,1.0
119800,PC,MT,2011-01-01,1.9
119800,PC,MT,2012-01-01,2.8
119800,PC,MT,2013-01-01,3.7
119800,PC,MT,2014-01-01,4.7
119800,PC,MT,2015-01-01,5.0
119800,PC,MT,2016-01-01,6.0
119800,PC,NL,2004-01-01,2.0 
119800,PC,NL,2005-01-01,2.5
119800,PC,NL,2006-01-01,2.8
119800,PC,NL,2007-01-01,3.3
119800,PC,NL,2008-01-01,3.6
119800,PC,NL,2009-01-01,4.3
119800,PC,NL,2010-01-01,3.9
119800,PC,NL,2011-01-01,4.5
119800,PC,NL,2012-01-01,4.7
119800,PC,NL,2013-01-01,4.8
119800,PC,NL,2014-01-01,5.5
119800,PC,NL,2015-01-01,5.8
119800,PC,NL,2016-01-01,6.0
119800,PC,NO,2004-01-01,58.1 
119800,PC,NO,2005-01-01,59.8
119800,PC,NO,2006-01-01,60.2
119800,PC,NO,2007-01-01,60.1
119800,PC,NO,2008-01-01,61.7
119800,PC,NO,2009-01-01,64.8
119800,PC,NO,2010-01-01,61.1
119800,PC,NO,2011-01-01,63.7
119800,PC,NO,2012-01-01,64.0
119800,PC,NO,2013-01-01,65.9
119800,PC,NO,2014-01-01,68.6
119800,PC,NO,2015-01-01,68.4
119800,PC,NO,2016-01-01,69.4
119800,PC,PL,2004-01-01,6.9 
119800,PC,PL,2005-01-01,6.9
119800,PC,PL,2006-01-01,6.9
119800,PC,PL,2007-01-01,6.9
119800,PC,PL,2008-01-01,7.7
119800,PC,PL,2009-01-01,8.7
119800,PC,PL,2010-01-01,9.3
119800,PC,PL,2011-01-01,10.3
119800,PC,PL,2012-01-01,10.9
119800,PC,PL,2013-01-01,11.4
119800,PC,PL,2014-01-01,11.5
119800,PC,PL,2015-01-01,11.7
119800,PC,PL,2016-01-01,11.3
119800,PC,PT,2004-01-01,19.2 
119800,PC,PT,2005-01-01,19.5
119800,PC,PT,2006-01-01,20.8
119800,PC,PT,2007-01-01,21.9
119800,PC,PT,2008-01-01,23.0
119800,PC,PT,2009-01-01,24.4
119800,PC,PT,2010-01-01,24.2
119800,PC,PT,2011-01-01,24.6
119800,PC,PT,2012-01-01,24.6
119800,PC,PT,2013-01-01,25.7
119800,PC,PT,2014-01-01,27.0
119800,PC,PT,2015-01-01,28.0
119800,PC,PT,2016-01-01,28.5
119800,PC,RO,2004-01-01,16.3 
119800,PC,RO,2005-01-01,17.3
119800,PC,RO,2006-01-01,17.1
119800,PC,RO,2007-01-01,18.3
119800,PC,RO,2008-01-01,20.5
119800,PC,RO,2009-01-01,22.7
119800,PC,RO,2010-01-01,23.4
119800,PC,RO,2011-01-01,21.4
119800,PC,RO,2012-01-01,22.8
119800,PC,RO,2013-01-01,23.9
119800,PC,RO,2014-01-01,24.8
119800,PC,RO,2015-01-01,24.8
119800,PC,RO,2016-01-01,25.0
119800,PC,RS,2004-01-01,12.9 
119800,PC,RS,2005-01-01,14.4
119800,PC,RS,2006-01-01,14.6
119800,PC,RS,2007-01-01,14.4
119800,PC,RS,2008-01-01,16.0
119800,PC,RS,2009-01-01,21.2
119800,PC,RS,2010-01-01,19.9
119800,PC,RS,2011-01-01,19.2
119800,PC,RS,2012-01-01,20.9
119800,PC,RS,2013-01-01,21.4
119800,PC,RS,2014-01-01,22.7
119800,PC,RS,2015-01-01,21.8
119800,PC,RS,2016-01-01,20.9
119800,PC,SE,2004-01-01,38.7 
119800,PC,SE,2005-01-01,40.6
119800,PC,SE,2006-01-01,42.7
119800,PC,SE,2007-01-01,44.2
119800,PC,SE,2008-01-01,45.3
119800,PC,SE,2009-01-01,48.2
119800,PC,SE,2010-01-01,47.2
119800,PC,SE,2011-01-01,48.8
119800,PC,SE,2012-01-01,51.1
119800,PC,SE,2013-01-01,52.0
119800,PC,SE,2014-01-01,52.5
119800,PC,SE,2015-01-01,53.8
119800,PC,SE,2016-01-01,53.8
119800,PC,SI,2004-01-01,16.1 
119800,PC,SI,2005-01-01,16.0
119800,PC,SI,2006-01-01,15.6
119800,PC,SI,2007-01-01,15.6
119800,PC,SI,2008-01-01,15.0
119800,PC,SI,2009-01-01,20.1
119800,PC,SI,2010-01-01,20.4
119800,PC,SI,2011-01-01,20.3
119800,PC,SI,2012-01-01,20.8
119800,PC,SI,2013-01-01,22.4
119800,PC,SI,2014-01-01,21.5
119800,PC,SI,2015-01-01,21.9
119800,PC,SI,2016-01-01,21.3
119800,PC,SK,2004-01-01,6.4 
119800,PC,SK,2005-01-01,6.4
119800,PC,SK,2006-01-01,6.6
119800,PC,SK,2007-01-01,7.8
119800,PC,SK,2008-01-01,7.7
119800,PC,SK,2009-01-01,9.4
119800,PC,SK,2010-01-01,9.1
119800,PC,SK,2011-01-01,10.3
119800,PC,SK,2012-01-01,10.4
119800,PC,SK,2013-01-01,10.1
119800,PC,SK,2014-01-01,11.7
119800,PC,SK,2015-01-01,12.9
119800,PC,SK,2016-01-01,12.0
119800,PC,UK,2004-01-01,1.1 
119800,PC,UK,2005-01-01,1.3
119800,PC,UK,2006-01-01,1.5
119800,PC,UK,2007-01-01,1.8
119800,PC,UK,2008-01-01,2.7
119800,PC,UK,2009-01-01,3.3
119800,PC,UK,2010-01-01,3.7
119800,PC,UK,2011-01-01,4.2
119800,PC,UK,2012-01-01,4.6
119800,PC,UK,2013-01-01,5.7
119800,PC,UK,2014-01-01,7.0
119800,PC,UK,2015-01-01,8.5
119800,PC,UK,2016-01-01,9.3
119810,PC,AL,2004-01-01,0.1 
119810,PC,AL,2005-01-01,0.1
119810,PC,AL,2006-01-01,0.0
119810,PC,AL,2007-01-01,0.0
119810,PC,AL,2008-01-01,0.0
119810,PC,AL,2009-01-01,0.0
119810,PC,AL,2010-01-01,0.0
119810,PC,AL,2011-01-01,0.0
119810,PC,AL,2012-01-01,0.0
119810,PC,AL,2013-01-01,0.0
119810,PC,AL,2014-01-01,0.0
119810,PC,AL,2015-01-01,0.0
119810,PC,AL,2016-01-01,0.0
119810,PC,AT,2004-01-01,4.5 
119810,PC,AT,2005-01-01,4.8
119810,PC,AT,2006-01-01,7.5
119810,PC,AT,2007-01-01,8.2
119810,PC,AT,2008-01-01,9.5
119810,PC,AT,2009-01-01,11.1
119810,PC,AT,2010-01-01,10.7
119810,PC,AT,2011-01-01,9.9
119810,PC,AT,2012-01-01,9.9
119810,PC,AT,2013-01-01,9.5
119810,PC,AT,2014-01-01,10.9
119810,PC,AT,2015-01-01,11.4
119810,PC,AT,2016-01-01,10.6
119810,PC,BE,2004-01-01,0.5 
119810,PC,BE,2005-01-01,0.6
119810,PC,BE,2006-01-01,0.6
119810,PC,BE,2007-01-01,0.6
119810,PC,BE,2008-01-01,0.6
119810,PC,BE,2009-01-01,2.1
119810,PC,BE,2010-01-01,4.7
119810,PC,BE,2011-01-01,4.7
119810,PC,BE,2012-01-01,4.8
119810,PC,BE,2013-01-01,5.0
119810,PC,BE,2014-01-01,5.7
119810,PC,BE,2015-01-01,3.8
119810,PC,BE,2016-01-01,5.9
119810,PC,BG,2004-01-01,0.9 
119810,PC,BG,2005-01-01,0.8
119810,PC,BG,2006-01-01,1.0
119810,PC,BG,2007-01-01,0.9
119810,PC,BG,2008-01-01,0.9
119810,PC,BG,2009-01-01,1.0
119810,PC,BG,2010-01-01,1.4
119810,PC,BG,2011-01-01,0.8
119810,PC,BG,2012-01-01,0.6
119810,PC,BG,2013-01-01,6.0
119810,PC,BG,2014-01-01,5.8
119810,PC,BG,2015-01-01,6.5
119810,PC,BG,2016-01-01,7.3
119810,PC,CY,2004-01-01,0.0 
119810,PC,CY,2005-01-01,0.0
119810,PC,CY,2006-01-01,0.0
119810,PC,CY,2007-01-01,0.0
119810,PC,CY,2008-01-01,1.9
119810,PC,CY,2009-01-01,2.0
119810,PC,CY,2010-01-01,2.0
119810,PC,CY,2011-01-01,0.0
119810,PC,CY,2012-01-01,0.0
119810,PC,CY,2013-01-01,1.1
119810,PC,CY,2014-01-01,2.7
119810,PC,CY,2015-01-01,2.5
119810,PC,CY,2016-01-01,2.7
119810,PC,CZ,2004-01-01,1.6 
119810,PC,CZ,2005-01-01,0.9
119810,PC,CZ,2006-01-01,1.2
119810,PC,CZ,2007-01-01,1.4
119810,PC,CZ,2008-01-01,2.7
119810,PC,CZ,2009-01-01,4.1
119810,PC,CZ,2010-01-01,5.1
119810,PC,CZ,2011-01-01,1.2
119810,PC,CZ,2012-01-01,6.1
119810,PC,CZ,2013-01-01,6.3
119810,PC,CZ,2014-01-01,6.9
119810,PC,CZ,2015-01-01,6.5
119810,PC,CZ,2016-01-01,6.4
119810,PC,DE,2004-01-01,2.2 
119810,PC,DE,2005-01-01,4.0
119810,PC,DE,2006-01-01,6.8
119810,PC,DE,2007-01-01,7.5
119810,PC,DE,2008-01-01,6.4
119810,PC,DE,2009-01-01,5.9
119810,PC,DE,2010-01-01,6.4
119810,PC,DE,2011-01-01,6.5
119810,PC,DE,2012-01-01,7.4
119810,PC,DE,2013-01-01,6.9
119810,PC,DE,2014-01-01,7.2
119810,PC,DE,2015-01-01,6.6
119810,PC,DE,2016-01-01,6.9
119810,PC,DK,2004-01-01,0.4 
119810,PC,DK,2005-01-01,0.4
119810,PC,DK,2006-01-01,0.5
119810,PC,DK,2007-01-01,0.5
119810,PC,DK,2008-01-01,0.5
119810,PC,DK,2009-01-01,0.7
119810,PC,DK,2010-01-01,1.1
119810,PC,DK,2011-01-01,3.6
119810,PC,DK,2012-01-01,6.4
119810,PC,DK,2013-01-01,6.6
119810,PC,DK,2014-01-01,6.7
119810,PC,DK,2015-01-01,6.7
119810,PC,DK,2016-01-01,6.8
119810,PC,EE,2004-01-01,0.2 
119810,PC,EE,2005-01-01,0.2
119810,PC,EE,2006-01-01,0.2
119810,PC,EE,2007-01-01,0.2
119810,PC,EE,2008-01-01,0.2
119810,PC,EE,2009-01-01,0.4
119810,PC,EE,2010-01-01,0.4
119810,PC,EE,2011-01-01,0.4
119810,PC,EE,2012-01-01,0.4
119810,PC,EE,2013-01-01,0.4
119810,PC,EE,2014-01-01,0.4
119810,PC,EE,2015-01-01,0.4
119810,PC,EE,2016-01-01,0.4
119810,PC,EL,2004-01-01,0.1 
119810,PC,EL,2005-01-01,0.1
119810,PC,EL,2006-01-01,0.7
119810,PC,EL,2007-01-01,1.3
119810,PC,EL,2008-01-01,1.1
119810,PC,EL,2009-01-01,1.1
119810,PC,EL,2010-01-01,1.9
119810,PC,EL,2011-01-01,0.6
119810,PC,EL,2012-01-01,0.9
119810,PC,EL,2013-01-01,1.0
119810,PC,EL,2014-01-01,1.3
119810,PC,EL,2015-01-01,1.1
119810,PC,EL,2016-01-01,1.7
119810,PC,ES,2004-01-01,1.0 
119810,PC,ES,2005-01-01,1.3
119810,PC,ES,2006-01-01,0.8
119810,PC,ES,2007-01-01,1.4
119810,PC,ES,2008-01-01,2.2
119810,PC,ES,2009-01-01,3.7
119810,PC,ES,2010-01-01,5.0
119810,PC,ES,2011-01-01,0.6
119810,PC,ES,2012-01-01,0.7
119810,PC,ES,2013-01-01,0.8
119810,PC,ES,2014-01-01,0.8
119810,PC,ES,2015-01-01,1.2
119810,PC,ES,2016-01-01,5.3
119810,PC,EU28,2004-01-01,1.4 
119810,PC,EU28,2005-01-01,1.8
119810,PC,EU28,2006-01-01,2.5
119810,PC,EU28,2007-01-01,3.1
119810,PC,EU28,2008-01-01,3.9
119810,PC,EU28,2009-01-01,4.6
119810,PC,EU28,2010-01-01,5.2
119810,PC,EU28,2011-01-01,3.9
119810,PC,EU28,2012-01-01,5.6
119810,PC,EU28,2013-01-01,5.9
119810,PC,EU28,2014-01-01,6.5
119810,PC,EU28,2015-01-01,6.6
119810,PC,EU28,2016-01-01,7.1
119810,PC,FI,2004-01-01,1.0 
119810,PC,FI,2005-01-01,0.9
119810,PC,FI,2006-01-01,1.0
119810,PC,FI,2007-01-01,1.0
119810,PC,FI,2008-01-01,2.9
119810,PC,FI,2009-01-01,4.6
119810,PC,FI,2010-01-01,4.4
119810,PC,FI,2011-01-01,1.0
119810,PC,FI,2012-01-01,1.1
119810,PC,FI,2013-01-01,10.2
119810,PC,FI,2014-01-01,22.0
119810,PC,FI,2015-01-01,22.0
119810,PC,FI,2016-01-01,8.4
119810,PC,FR,2004-01-01,1.5 
119810,PC,FR,2005-01-01,2.1
119810,PC,FR,2006-01-01,2.3
119810,PC,FR,2007-01-01,4.0
119810,PC,FR,2008-01-01,6.2
119810,PC,FR,2009-01-01,6.6
119810,PC,FR,2010-01-01,6.5
119810,PC,FR,2011-01-01,1.0
119810,PC,FR,2012-01-01,7.6
119810,PC,FR,2013-01-01,7.7
119810,PC,FR,2014-01-01,8.4
119810,PC,FR,2015-01-01,8.5
119810,PC,FR,2016-01-01,8.9
119810,PC,HR,2004-01-01,1.0 
119810,PC,HR,2005-01-01,1.0
119810,PC,HR,2006-01-01,1.0
119810,PC,HR,2007-01-01,1.1
119810,PC,HR,2008-01-01,1.1
119810,PC,HR,2009-01-01,1.3
119810,PC,HR,2010-01-01,1.1
119810,PC,HR,2011-01-01,1.0
119810,PC,HR,2012-01-01,1.1
119810,PC,HR,2013-01-01,4.4
119810,PC,HR,2014-01-01,4.2
119810,PC,HR,2015-01-01,3.6
119810,PC,HR,2016-01-01,1.3
119810,PC,HU,2004-01-01,0.9 
119810,PC,HU,2005-01-01,0.9
119810,PC,HU,2006-01-01,1.1
119810,PC,HU,2007-01-01,1.5
119810,PC,HU,2008-01-01,5.1
119810,PC,HU,2009-01-01,5.7
119810,PC,HU,2010-01-01,6.0
119810,PC,HU,2011-01-01,6.0
119810,PC,HU,2012-01-01,5.9
119810,PC,HU,2013-01-01,6.2
119810,PC,HU,2014-01-01,6.9
119810,PC,HU,2015-01-01,7.0
119810,PC,HU,2016-01-01,7.4
119810,PC,IE,2004-01-01,0.0 
119810,PC,IE,2005-01-01,0.1
119810,PC,IE,2006-01-01,0.1
119810,PC,IE,2007-01-01,0.5
119810,PC,IE,2008-01-01,1.3
119810,PC,IE,2009-01-01,2.0
119810,PC,IE,2010-01-01,2.5
119810,PC,IE,2011-01-01,5.3
119810,PC,IE,2012-01-01,4.8
119810,PC,IE,2013-01-01,4.8
119810,PC,IE,2014-01-01,5.1
119810,PC,IE,2015-01-01,5.7
119810,PC,IE,2016-01-01,5.0
