lcstruct,nace_r2,unit,geotime,date,value
D1_D4_MD5,B-S,PCH_Q1_SCA,LT,2017-07-01,1.1
D1_D4_MD5,B-S,PCH_Q1_SCA,LT,2017-10-01,2.8
D1_D4_MD5,B-S,PCH_Q1_SCA,LT,2018-01-01,2.5
D1_D4_MD5,B-S,PCH_Q1_SCA,LT,2018-04-01,2.9
D1_D4_MD5,B-S,PCH_Q1_SCA,LU,2015-07-01,-1.0
D1_D4_MD5,B-S,PCH_Q1_SCA,LU,2015-10-01,0.0
D1_D4_MD5,B-S,PCH_Q1_SCA,LU,2016-01-01,1.2
D1_D4_MD5,B-S,PCH_Q1_SCA,LU,2016-04-01,-1.5
D1_D4_MD5,B-S,PCH_Q1_SCA,LU,2016-07-01,1.9
D1_D4_MD5,B-S,PCH_Q1_SCA,LU,2016-10-01,0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,LU,2017-01-01,-0.1
D1_D4_MD5,B-S,PCH_Q1_SCA,LU,2017-04-01,1.8
D1_D4_MD5,B-S,PCH_Q1_SCA,LU,2017-07-01,0.2
D1_D4_MD5,B-S,PCH_Q1_SCA,LU,2017-10-01,1.3
D1_D4_MD5,B-S,PCH_Q1_SCA,LU,2018-01-01,-0.9
D1_D4_MD5,B-S,PCH_Q1_SCA,LU,2018-04-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,LV,2015-07-01,1.5
D1_D4_MD5,B-S,PCH_Q1_SCA,LV,2015-10-01,1.8
D1_D4_MD5,B-S,PCH_Q1_SCA,LV,2016-01-01,0.7
D1_D4_MD5,B-S,PCH_Q1_SCA,LV,2016-04-01,2.6
D1_D4_MD5,B-S,PCH_Q1_SCA,LV,2016-07-01,3.0
D1_D4_MD5,B-S,PCH_Q1_SCA,LV,2016-10-01,1.5
D1_D4_MD5,B-S,PCH_Q1_SCA,LV,2017-01-01,0.8
D1_D4_MD5,B-S,PCH_Q1_SCA,LV,2017-04-01,2.2
D1_D4_MD5,B-S,PCH_Q1_SCA,LV,2017-07-01,1.3
D1_D4_MD5,B-S,PCH_Q1_SCA,LV,2017-10-01,3.1
D1_D4_MD5,B-S,PCH_Q1_SCA,LV,2018-01-01,4.3
D1_D4_MD5,B-S,PCH_Q1_SCA,LV,2018-04-01,2.4
D1_D4_MD5,B-S,PCH_Q1_SCA,MT,2015-07-01,2.3
D1_D4_MD5,B-S,PCH_Q1_SCA,MT,2015-10-01,0.1
D1_D4_MD5,B-S,PCH_Q1_SCA,MT,2016-01-01,-2.6
D1_D4_MD5,B-S,PCH_Q1_SCA,MT,2016-04-01,-1.7
D1_D4_MD5,B-S,PCH_Q1_SCA,MT,2016-07-01,4.5
D1_D4_MD5,B-S,PCH_Q1_SCA,MT,2016-10-01,1.3
D1_D4_MD5,B-S,PCH_Q1_SCA,MT,2017-01-01,-1.3
D1_D4_MD5,B-S,PCH_Q1_SCA,MT,2017-04-01,2.0
D1_D4_MD5,B-S,PCH_Q1_SCA,MT,2017-07-01,-0.2
D1_D4_MD5,B-S,PCH_Q1_SCA,MT,2017-10-01,1.0
D1_D4_MD5,B-S,PCH_Q1_SCA,MT,2018-01-01,0.8
D1_D4_MD5,B-S,PCH_Q1_SCA,MT,2018-04-01,1.2
D1_D4_MD5,B-S,PCH_Q1_SCA,NL,2015-07-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,NL,2015-10-01,-0.3
D1_D4_MD5,B-S,PCH_Q1_SCA,NL,2016-01-01,0.9
D1_D4_MD5,B-S,PCH_Q1_SCA,NL,2016-04-01,-0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,NL,2016-07-01,1.6
D1_D4_MD5,B-S,PCH_Q1_SCA,NL,2016-10-01,-0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,NL,2017-01-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,NL,2017-04-01,0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,NL,2017-07-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,NL,2017-10-01,0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,NL,2018-01-01,0.8
D1_D4_MD5,B-S,PCH_Q1_SCA,NL,2018-04-01,-0.7
D1_D4_MD5,B-S,PCH_Q1_SCA,PL,2015-07-01,1.0
D1_D4_MD5,B-S,PCH_Q1_SCA,PL,2015-10-01,0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,PL,2016-01-01,1.9
D1_D4_MD5,B-S,PCH_Q1_SCA,PL,2016-04-01,-0.7
D1_D4_MD5,B-S,PCH_Q1_SCA,PL,2016-07-01,3.1
D1_D4_MD5,B-S,PCH_Q1_SCA,PL,2016-10-01,0.1
D1_D4_MD5,B-S,PCH_Q1_SCA,PL,2017-01-01,1.2
D1_D4_MD5,B-S,PCH_Q1_SCA,PL,2017-04-01,3.2
D1_D4_MD5,B-S,PCH_Q1_SCA,PL,2017-07-01,0.9
D1_D4_MD5,B-S,PCH_Q1_SCA,PL,2017-10-01,2.0
D1_D4_MD5,B-S,PCH_Q1_SCA,PL,2018-01-01,1.6
D1_D4_MD5,B-S,PCH_Q1_SCA,PL,2018-04-01,1.5
D1_D4_MD5,B-S,PCH_Q1_SCA,PT,2015-07-01,-0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,PT,2015-10-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,PT,2016-01-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,PT,2016-04-01,0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,PT,2016-07-01,1.1
D1_D4_MD5,B-S,PCH_Q1_SCA,PT,2016-10-01,-0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,PT,2017-01-01,1.5
D1_D4_MD5,B-S,PCH_Q1_SCA,PT,2017-04-01,0.0
D1_D4_MD5,B-S,PCH_Q1_SCA,PT,2017-07-01,-0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,PT,2017-10-01,1.1
D1_D4_MD5,B-S,PCH_Q1_SCA,PT,2018-01-01,-0.7
D1_D4_MD5,B-S,PCH_Q1_SCA,PT,2018-04-01,1.0
D1_D4_MD5,B-S,PCH_Q1_SCA,RO,2015-07-01,2.5
D1_D4_MD5,B-S,PCH_Q1_SCA,RO,2015-10-01,4.1
D1_D4_MD5,B-S,PCH_Q1_SCA,RO,2016-01-01,2.0
D1_D4_MD5,B-S,PCH_Q1_SCA,RO,2016-04-01,3.9
D1_D4_MD5,B-S,PCH_Q1_SCA,RO,2016-07-01,3.9
D1_D4_MD5,B-S,PCH_Q1_SCA,RO,2016-10-01,2.8
D1_D4_MD5,B-S,PCH_Q1_SCA,RO,2017-01-01,5.4
D1_D4_MD5,B-S,PCH_Q1_SCA,RO,2017-04-01,5.4
D1_D4_MD5,B-S,PCH_Q1_SCA,RO,2017-07-01,1.3
D1_D4_MD5,B-S,PCH_Q1_SCA,RO,2017-10-01,2.5
D1_D4_MD5,B-S,PCH_Q1_SCA,RO,2018-01-01,3.2
D1_D4_MD5,B-S,PCH_Q1_SCA,RO,2018-04-01,6.3
D1_D4_MD5,B-S,PCH_Q1_SCA,SE,2015-07-01,0.7
D1_D4_MD5,B-S,PCH_Q1_SCA,SE,2015-10-01,1.2
D1_D4_MD5,B-S,PCH_Q1_SCA,SE,2016-01-01,1.1
D1_D4_MD5,B-S,PCH_Q1_SCA,SE,2016-04-01,0.1
D1_D4_MD5,B-S,PCH_Q1_SCA,SE,2016-07-01,1.1
D1_D4_MD5,B-S,PCH_Q1_SCA,SE,2016-10-01,0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,SE,2017-01-01,0.8
D1_D4_MD5,B-S,PCH_Q1_SCA,SE,2017-04-01,0.8
D1_D4_MD5,B-S,PCH_Q1_SCA,SE,2017-07-01,0.5
