unit,nace_r2,geotime,date,value
RT_INC,TOTAL,SK,2012-01-01,
RT_INC,TOTAL,SK,2013-01-01,2
RT_INC,TOTAL,SK,2014-01-01,1
RT_INC,TOTAL,SK,2015-01-01,2
RT_INC,TOTAL,SK,2016-01-01,2
RT_INC,TOTAL,UK,2008-01-01,0
RT_INC,TOTAL,UK,2009-01-01,0
RT_INC,TOTAL,UK,2010-01-01,0
RT_INC,TOTAL,UK,2011-01-01,
RT_INC,TOTAL,UK,2012-01-01,
RT_INC,TOTAL,UK,2013-01-01,0
RT_INC,TOTAL,UK,2014-01-01,0
RT_INC,TOTAL,UK,2015-01-01,0
RT_INC,TOTAL,UK,2016-01-01,0
