coicop,unit,geo\time,date,value
CP06,I15,IT,2018-08-01,102.4 
CP06,I15,IT,2018-09-01,102.4 
CP06,I15,LT,2017-10-01,103.67 
CP06,I15,LT,2017-11-01,104.38 
CP06,I15,LT,2017-12-01,104.63 
CP06,I15,LT,2018-01-01,103.60 
CP06,I15,LT,2018-02-01,103.70 
CP06,I15,LT,2018-03-01,103.87 
CP06,I15,LT,2018-04-01,104.86 
CP06,I15,LT,2018-05-01,105.51 
CP06,I15,LT,2018-06-01,105.41 
CP06,I15,LT,2018-07-01,105.42 
CP06,I15,LT,2018-08-01,105.33 
CP06,I15,LT,2018-09-01,105.69 
CP06,I15,LU,2017-10-01,101.30 
CP06,I15,LU,2017-11-01,101.30 
CP06,I15,LU,2017-12-01,101.33 
CP06,I15,LU,2018-01-01,100.49 
CP06,I15,LU,2018-02-01,100.66 
CP06,I15,LU,2018-03-01,100.51 
CP06,I15,LU,2018-04-01,100.48 
CP06,I15,LU,2018-05-01,100.71 
CP06,I15,LU,2018-06-01,100.42 
CP06,I15,LU,2018-07-01,100.44 
CP06,I15,LU,2018-08-01,101.25 
CP06,I15,LU,2018-09-01,101.25 
CP06,I15,LV,2017-10-01,106.83 
CP06,I15,LV,2017-11-01,106.71 
CP06,I15,LV,2017-12-01,106.58 
CP06,I15,LV,2018-01-01,107.74 
CP06,I15,LV,2018-02-01,108.09 
CP06,I15,LV,2018-03-01,108.67 
CP06,I15,LV,2018-04-01,108.72 
CP06,I15,LV,2018-05-01,109.43 
CP06,I15,LV,2018-06-01,109.05 
CP06,I15,LV,2018-07-01,109.20 
CP06,I15,LV,2018-08-01,109.86 
CP06,I15,LV,2018-09-01,109.59 
CP06,I15,MK,2017-10-01,100.93 d
CP06,I15,MK,2017-11-01,101.20 d
CP06,I15,MK,2017-12-01,101.58 d
CP06,I15,MK,2018-01-01,100.77 d
CP06,I15,MK,2018-02-01,100.94 d
CP06,I15,MK,2018-03-01,100.58 d
CP06,I15,MK,2018-04-01,100.73 d
CP06,I15,MK,2018-05-01,101.77 d
CP06,I15,MK,2018-06-01,102.05 d
CP06,I15,MK,2018-07-01,102.23 d
CP06,I15,MK,2018-08-01,102.39 d
CP06,I15,MK,2018-09-01,102.03 d
CP06,I15,MT,2017-10-01,104.70 
CP06,I15,MT,2017-11-01,104.69 
CP06,I15,MT,2017-12-01,104.95 
CP06,I15,MT,2018-01-01,105.07 
CP06,I15,MT,2018-02-01,105.15 
CP06,I15,MT,2018-03-01,105.00 
CP06,I15,MT,2018-04-01,104.95 
CP06,I15,MT,2018-05-01,104.58 
CP06,I15,MT,2018-06-01,104.61 
CP06,I15,MT,2018-07-01,104.74 
CP06,I15,MT,2018-08-01,104.90 
CP06,I15,MT,2018-09-01,104.99 
CP06,I15,NL,2017-10-01,98.30 
CP06,I15,NL,2017-11-01,98.70 
CP06,I15,NL,2017-12-01,98.97 
CP06,I15,NL,2018-01-01,99.61 
CP06,I15,NL,2018-02-01,99.64 
CP06,I15,NL,2018-03-01,99.58 
CP06,I15,NL,2018-04-01,99.93 
CP06,I15,NL,2018-05-01,99.45 
CP06,I15,NL,2018-06-01,99.71 
CP06,I15,NL,2018-07-01,99.83 
CP06,I15,NL,2018-08-01,99.94 
CP06,I15,NL,2018-09-01,99.69 
CP06,I15,NO,2017-10-01,103.8 
CP06,I15,NO,2017-11-01,104.1 
CP06,I15,NO,2017-12-01,104.1 
CP06,I15,NO,2018-01-01,104.1 
CP06,I15,NO,2018-02-01,105.0 
CP06,I15,NO,2018-03-01,105.2 
CP06,I15,NO,2018-04-01,105.0 
CP06,I15,NO,2018-05-01,105.4 
CP06,I15,NO,2018-06-01,105.2 
CP06,I15,NO,2018-07-01,106.1 
CP06,I15,NO,2018-08-01,106.0 
CP06,I15,NO,2018-09-01,105.8 
CP06,I15,PL,2017-10-01,100.6 
CP06,I15,PL,2017-11-01,100.7 
CP06,I15,PL,2017-12-01,100.8 
CP06,I15,PL,2018-01-01,101.2 
CP06,I15,PL,2018-02-01,101.5 
CP06,I15,PL,2018-03-01,101.3 
CP06,I15,PL,2018-04-01,101.5 
CP06,I15,PL,2018-05-01,102.0 
CP06,I15,PL,2018-06-01,102.1 
CP06,I15,PL,2018-07-01,102.1 
CP06,I15,PL,2018-08-01,102.3 
CP06,I15,PL,2018-09-01,102.8 
CP06,I15,PT,2017-10-01,100.24 
CP06,I15,PT,2017-11-01,100.28 
CP06,I15,PT,2017-12-01,100.32 
CP06,I15,PT,2018-01-01,100.24 
CP06,I15,PT,2018-02-01,100.51 
CP06,I15,PT,2018-03-01,100.63 
CP06,I15,PT,2018-04-01,100.75 
CP06,I15,PT,2018-05-01,100.76 
CP06,I15,PT,2018-06-01,100.90 
CP06,I15,PT,2018-07-01,101.00 
CP06,I15,PT,2018-08-01,101.03 
CP06,I15,PT,2018-09-01,101.20 
CP06,I15,RO,2017-10-01,100.92 
CP06,I15,RO,2017-11-01,100.95 
CP06,I15,RO,2017-12-01,101.04 
CP06,I15,RO,2018-01-01,101.20 
CP06,I15,RO,2018-02-01,101.40 
CP06,I15,RO,2018-03-01,101.52 
CP06,I15,RO,2018-04-01,101.65 
CP06,I15,RO,2018-05-01,101.73 
CP06,I15,RO,2018-06-01,101.82 
