unit,indic,geotime,date,value
PC,INV_GOV,AT,2015-01-01,2
PC,INV_GOV,AT,2016-01-01,3
PC,INV_GOV,AT,2017-01-01,
PC,INV_GOV,BE,2000-01-01,2
PC,INV_GOV,BE,2001-01-01,2
PC,INV_GOV,BE,2002-01-01,2
PC,INV_GOV,BE,2003-01-01,2
PC,INV_GOV,BE,2004-01-01,2
PC,INV_GOV,BE,2005-01-01,2
PC,INV_GOV,BE,2006-01-01,1
PC,INV_GOV,BE,2007-01-01,2
PC,INV_GOV,BE,2008-01-01,2
PC,INV_GOV,BE,2009-01-01,2
PC,INV_GOV,BE,2010-01-01,2
PC,INV_GOV,BE,2011-01-01,2
PC,INV_GOV,BE,2012-01-01,2
PC,INV_GOV,BE,2013-01-01,2
PC,INV_GOV,BE,2014-01-01,2
PC,INV_GOV,BE,2015-01-01,2
PC,INV_GOV,BE,2016-01-01,2
PC,INV_GOV,BE,2017-01-01,
PC,INV_GOV,BG,2000-01-01,3
PC,INV_GOV,BG,2001-01-01,3
PC,INV_GOV,BG,2002-01-01,3
PC,INV_GOV,BG,2003-01-01,3
PC,INV_GOV,BG,2004-01-01,3
PC,INV_GOV,BG,2005-01-01,3
PC,INV_GOV,BG,2006-01-01,4
PC,INV_GOV,BG,2007-01-01,5
PC,INV_GOV,BG,2008-01-01,5
PC,INV_GOV,BG,2009-01-01,4
PC,INV_GOV,BG,2010-01-01,4
PC,INV_GOV,BG,2011-01-01,3
PC,INV_GOV,BG,2012-01-01,3
PC,INV_GOV,BG,2013-01-01,4
PC,INV_GOV,BG,2014-01-01,5
PC,INV_GOV,BG,2015-01-01,6
PC,INV_GOV,BG,2016-01-01,2
PC,INV_GOV,BG,2017-01-01,
PC,INV_GOV,CH,2000-01-01,3
PC,INV_GOV,CH,2001-01-01,3
PC,INV_GOV,CH,2002-01-01,3
PC,INV_GOV,CH,2003-01-01,3
PC,INV_GOV,CH,2004-01-01,3
PC,INV_GOV,CH,2005-01-01,2
PC,INV_GOV,CH,2006-01-01,2
PC,INV_GOV,CH,2007-01-01,2
PC,INV_GOV,CH,2008-01-01,2
PC,INV_GOV,CH,2009-01-01,2
PC,INV_GOV,CH,2010-01-01,2
PC,INV_GOV,CH,2011-01-01,3
PC,INV_GOV,CH,2012-01-01,3
PC,INV_GOV,CH,2013-01-01,3
PC,INV_GOV,CH,2014-01-01,3
PC,INV_GOV,CH,2015-01-01,3
PC,INV_GOV,CH,2016-01-01,3
PC,INV_GOV,CH,2017-01-01,
PC,INV_GOV,CY,2000-01-01,3
PC,INV_GOV,CY,2001-01-01,3
PC,INV_GOV,CY,2002-01-01,3
PC,INV_GOV,CY,2003-01-01,3
PC,INV_GOV,CY,2004-01-01,4
PC,INV_GOV,CY,2005-01-01,3
PC,INV_GOV,CY,2006-01-01,3
PC,INV_GOV,CY,2007-01-01,3
PC,INV_GOV,CY,2008-01-01,3
PC,INV_GOV,CY,2009-01-01,4
PC,INV_GOV,CY,2010-01-01,4
PC,INV_GOV,CY,2011-01-01,3
PC,INV_GOV,CY,2012-01-01,2
PC,INV_GOV,CY,2013-01-01,2
PC,INV_GOV,CY,2014-01-01,2
PC,INV_GOV,CY,2015-01-01,2
PC,INV_GOV,CY,2016-01-01,2
PC,INV_GOV,CY,2017-01-01,
PC,INV_GOV,CZ,2000-01-01,4
PC,INV_GOV,CZ,2001-01-01,4
PC,INV_GOV,CZ,2002-01-01,4
PC,INV_GOV,CZ,2003-01-01,7
PC,INV_GOV,CZ,2004-01-01,5
PC,INV_GOV,CZ,2005-01-01,5
PC,INV_GOV,CZ,2006-01-01,5
PC,INV_GOV,CZ,2007-01-01,4
PC,INV_GOV,CZ,2008-01-01,5
PC,INV_GOV,CZ,2009-01-01,6
PC,INV_GOV,CZ,2010-01-01,5
PC,INV_GOV,CZ,2011-01-01,4
PC,INV_GOV,CZ,2012-01-01,4
PC,INV_GOV,CZ,2013-01-01,3
PC,INV_GOV,CZ,2014-01-01,4
PC,INV_GOV,CZ,2015-01-01,5
PC,INV_GOV,CZ,2016-01-01,3
PC,INV_GOV,CZ,2017-01-01,3
PC,INV_GOV,DE,2000-01-01,2
PC,INV_GOV,DE,2001-01-01,2
PC,INV_GOV,DE,2002-01-01,2
PC,INV_GOV,DE,2003-01-01,2
PC,INV_GOV,DE,2004-01-01,1
PC,INV_GOV,DE,2005-01-01,1
PC,INV_GOV,DE,2006-01-01,2
PC,INV_GOV,DE,2007-01-01,1
PC,INV_GOV,DE,2008-01-01,2
PC,INV_GOV,DE,2009-01-01,2
PC,INV_GOV,DE,2010-01-01,2
PC,INV_GOV,DE,2011-01-01,2
PC,INV_GOV,DE,2012-01-01,2
PC,INV_GOV,DE,2013-01-01,2
PC,INV_GOV,DE,2014-01-01,2
PC,INV_GOV,DE,2015-01-01,2
PC,INV_GOV,DE,2016-01-01,2
PC,INV_GOV,DE,2017-01-01,
PC,INV_GOV,DK,2000-01-01,2
PC,INV_GOV,DK,2001-01-01,3
PC,INV_GOV,DK,2002-01-01,2
PC,INV_GOV,DK,2003-01-01,2
PC,INV_GOV,DK,2004-01-01,2
PC,INV_GOV,DK,2005-01-01,2
PC,INV_GOV,DK,2006-01-01,2
PC,INV_GOV,DK,2007-01-01,3
PC,INV_GOV,DK,2008-01-01,3
PC,INV_GOV,DK,2009-01-01,3
PC,INV_GOV,DK,2010-01-01,3
PC,INV_GOV,DK,2011-01-01,3
PC,INV_GOV,DK,2012-01-01,3
PC,INV_GOV,DK,2013-01-01,3
PC,INV_GOV,DK,2014-01-01,3
PC,INV_GOV,DK,2015-01-01,3
PC,INV_GOV,DK,2016-01-01,3
PC,INV_GOV,DK,2017-01-01,3
PC,INV_GOV,EA19,2000-01-01,3
PC,INV_GOV,EA19,2001-01-01,3
PC,INV_GOV,EA19,2002-01-01,3
PC,INV_GOV,EA19,2003-01-01,3
PC,INV_GOV,EA19,2004-01-01,3
PC,INV_GOV,EA19,2005-01-01,3
PC,INV_GOV,EA19,2006-01-01,3
PC,INV_GOV,EA19,2007-01-01,3
PC,INV_GOV,EA19,2008-01-01,3
PC,INV_GOV,EA19,2009-01-01,3
PC,INV_GOV,EA19,2010-01-01,3
PC,INV_GOV,EA19,2011-01-01,3
PC,INV_GOV,EA19,2012-01-01,2
PC,INV_GOV,EA19,2013-01-01,2
PC,INV_GOV,EA19,2014-01-01,2
PC,INV_GOV,EA19,2015-01-01,2
PC,INV_GOV,EA19,2016-01-01,2
PC,INV_GOV,EA19,2017-01-01,2
PC,INV_GOV,EE,2000-01-01,4
