s_adj,nace_r2,unit,indic_bt,geotime,date,value
SCA,B-E36,I2015_SCA,EMPL,PT,2018-04-01,106
SCA,B-E36,I2015_SCA,EMPL,RO,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,RO,2015-10-01,100
SCA,B-E36,I2015_SCA,EMPL,RO,2016-01-01,101
SCA,B-E36,I2015_SCA,EMPL,RO,2016-04-01,101
SCA,B-E36,I2015_SCA,EMPL,RO,2016-07-01,102
SCA,B-E36,I2015_SCA,EMPL,RO,2016-10-01,102
SCA,B-E36,I2015_SCA,EMPL,RO,2017-01-01,103
SCA,B-E36,I2015_SCA,EMPL,RO,2017-04-01,103
SCA,B-E36,I2015_SCA,EMPL,RO,2017-07-01,103
SCA,B-E36,I2015_SCA,EMPL,RO,2017-10-01,104
SCA,B-E36,I2015_SCA,EMPL,RO,2018-01-01,104
SCA,B-E36,I2015_SCA,EMPL,RO,2018-04-01,103
SCA,B-E36,I2015_SCA,EMPL,RS,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,RS,2015-10-01,100
SCA,B-E36,I2015_SCA,EMPL,RS,2016-01-01,100
SCA,B-E36,I2015_SCA,EMPL,RS,2016-04-01,102
SCA,B-E36,I2015_SCA,EMPL,RS,2016-07-01,103
SCA,B-E36,I2015_SCA,EMPL,RS,2016-10-01,104
SCA,B-E36,I2015_SCA,EMPL,RS,2017-01-01,105
SCA,B-E36,I2015_SCA,EMPL,RS,2017-04-01,106
SCA,B-E36,I2015_SCA,EMPL,RS,2017-07-01,108
SCA,B-E36,I2015_SCA,EMPL,RS,2017-10-01,109
SCA,B-E36,I2015_SCA,EMPL,RS,2018-01-01,110
SCA,B-E36,I2015_SCA,EMPL,RS,2018-04-01,112
SCA,B-E36,I2015_SCA,EMPL,SE,2015-07-01,99
SCA,B-E36,I2015_SCA,EMPL,SE,2015-10-01,100
SCA,B-E36,I2015_SCA,EMPL,SE,2016-01-01,100
SCA,B-E36,I2015_SCA,EMPL,SE,2016-04-01,100
SCA,B-E36,I2015_SCA,EMPL,SE,2016-07-01,99
SCA,B-E36,I2015_SCA,EMPL,SE,2016-10-01,100
SCA,B-E36,I2015_SCA,EMPL,SE,2017-01-01,100
SCA,B-E36,I2015_SCA,EMPL,SE,2017-04-01,98
SCA,B-E36,I2015_SCA,EMPL,SE,2017-07-01,98
SCA,B-E36,I2015_SCA,EMPL,SE,2017-10-01,98
SCA,B-E36,I2015_SCA,EMPL,SE,2018-01-01,99
SCA,B-E36,I2015_SCA,EMPL,SE,2018-04-01,99
SCA,B-E36,I2015_SCA,EMPL,SI,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,SI,2015-10-01,101
SCA,B-E36,I2015_SCA,EMPL,SI,2016-01-01,101
SCA,B-E36,I2015_SCA,EMPL,SI,2016-04-01,102
SCA,B-E36,I2015_SCA,EMPL,SI,2016-07-01,103
SCA,B-E36,I2015_SCA,EMPL,SI,2016-10-01,103
SCA,B-E36,I2015_SCA,EMPL,SI,2017-01-01,104
SCA,B-E36,I2015_SCA,EMPL,SI,2017-04-01,105
