coicop,unit,geotime,date,value
CP00,I15,NL,2018-08-01,104.09
CP00,I15,NL,2018-09-01,103.36
CP00,I15,NO,2017-10-01,106.3
CP00,I15,NO,2017-11-01,106.6
CP00,I15,NO,2017-12-01,106.5
CP00,I15,NO,2018-01-01,106.2
CP00,I15,NO,2018-02-01,107.4
CP00,I15,NO,2018-03-01,107.7
CP00,I15,NO,2018-04-01,108.2
CP00,I15,NO,2018-05-01,108.2
CP00,I15,NO,2018-06-01,109.1
CP00,I15,NO,2018-07-01,110.1
CP00,I15,NO,2018-08-01,109.7
CP00,I15,NO,2018-09-01,110.3
CP00,I15,PL,2017-10-01,101.6
CP00,I15,PL,2017-11-01,102.0
CP00,I15,PL,2017-12-01,102.2
CP00,I15,PL,2018-01-01,102.4
CP00,I15,PL,2018-02-01,102.0
CP00,I15,PL,2018-03-01,102.0
CP00,I15,PL,2018-04-01,102.5
CP00,I15,PL,2018-05-01,102.7
CP00,I15,PL,2018-06-01,102.8
CP00,I15,PL,2018-07-01,102.6
CP00,I15,PL,2018-08-01,102.4
CP00,I15,PL,2018-09-01,102.7
CP00,I15,PT,2017-10-01,103.64
CP00,I15,PT,2017-11-01,102.53
CP00,I15,PT,2017-12-01,102.37
CP00,I15,PT,2018-01-01,101.15
CP00,I15,PT,2018-02-01,100.51
CP00,I15,PT,2018-03-01,102.69
CP00,I15,PT,2018-04-01,103.68
CP00,I15,PT,2018-05-01,104.55
CP00,I15,PT,2018-06-01,104.57
CP00,I15,PT,2018-07-01,104.16
CP00,I15,PT,2018-08-01,103.46
CP00,I15,PT,2018-09-01,105.03
CP00,I15,RO,2017-10-01,101.03
CP00,I15,RO,2017-11-01,101.68
CP00,I15,RO,2017-12-01,101.98
CP00,I15,RO,2018-01-01,102.66
CP00,I15,RO,2018-02-01,102.91
CP00,I15,RO,2018-03-01,103.23
CP00,I15,RO,2018-04-01,103.69
CP00,I15,RO,2018-05-01,104.28
CP00,I15,RO,2018-06-01,104.33
CP00,I15,RO,2018-07-01,103.94
CP00,I15,RO,2018-08-01,104.02
CP00,I15,RO,2018-09-01,104.62
CP00,I15,RS,2017-10-01,105.1
CP00,I15,RS,2017-11-01,105.0
CP00,I15,RS,2017-12-01,105.0
CP00,I15,RS,2018-01-01,105.3
CP00,I15,RS,2018-02-01,105.7
CP00,I15,RS,2018-03-01,105.8
CP00,I15,RS,2018-04-01,106.3
CP00,I15,RS,2018-05-01,107.1
CP00,I15,RS,2018-06-01,107.6
CP00,I15,RS,2018-07-01,107.1
CP00,I15,RS,2018-08-01,107.6
CP00,I15,RS,2018-09-01,107.1
CP00,I15,SE,2017-10-01,103.4
CP00,I15,SE,2017-11-01,103.63
CP00,I15,SE,2017-12-01,104.05
CP00,I15,SE,2018-01-01,103.1
CP00,I15,SE,2018-02-01,103.93
CP00,I15,SE,2018-03-01,104.25
CP00,I15,SE,2018-04-01,104.66
CP00,I15,SE,2018-05-01,104.95
CP00,I15,SE,2018-06-01,105.21
CP00,I15,SE,2018-07-01,105.82
CP00,I15,SE,2018-08-01,105.53
CP00,I15,SE,2018-09-01,106.05
CP00,I15,SI,2017-10-01,101.87
CP00,I15,SI,2017-11-01,102.14
CP00,I15,SI,2017-12-01,102.21
CP00,I15,SI,2018-01-01,101.56
CP00,I15,SI,2018-02-01,102.22
CP00,I15,SI,2018-03-01,102.61
CP00,I15,SI,2018-04-01,103.07
CP00,I15,SI,2018-05-01,104.12
CP00,I15,SI,2018-06-01,104.15
CP00,I15,SI,2018-07-01,103.27
CP00,I15,SI,2018-08-01,103.29
CP00,I15,SI,2018-09-01,103.84
CP00,I15,SK,2017-10-01,101.4
CP00,I15,SK,2017-11-01,101.73
CP00,I15,SK,2017-12-01,101.71
CP00,I15,SK,2018-01-01,102.59
CP00,I15,SK,2018-02-01,102.75
CP00,I15,SK,2018-03-01,102.95
CP00,I15,SK,2018-04-01,103.56
CP00,I15,SK,2018-05-01,103.57
CP00,I15,SK,2018-06-01,103.7
CP00,I15,SK,2018-07-01,103.53
CP00,I15,SK,2018-08-01,103.77
CP00,I15,SK,2018-09-01,103.81
CP00,I15,TR,2017-10-01,122.79
CP00,I15,TR,2017-11-01,124.62
CP00,I15,TR,2017-12-01,125.48
CP00,I15,TR,2018-01-01,126.76
CP00,I15,TR,2018-02-01,127.69
CP00,I15,TR,2018-03-01,128.96
CP00,I15,TR,2018-04-01,131.37
CP00,I15,TR,2018-05-01,133.5
CP00,I15,TR,2018-06-01,136.99
CP00,I15,TR,2018-07-01,137.74
CP00,I15,TR,2018-08-01,140.91
CP00,I15,TR,2018-09-01,149.79
CP00,I15,UK,2017-10-01,104.2
CP00,I15,UK,2017-11-01,104.6
CP00,I15,UK,2017-12-01,104.9
CP00,I15,UK,2018-01-01,104.4
CP00,I15,UK,2018-02-01,104.9
CP00,I15,UK,2018-03-01,105.0
CP00,I15,UK,2018-04-01,105.4
CP00,I15,UK,2018-05-01,105.8
CP00,I15,UK,2018-06-01,105.8
CP00,I15,UK,2018-07-01,105.8
CP00,I15,UK,2018-08-01,106.5
CP00,I15,UK,2018-09-01,
CP00,I15,US,2017-10-01,102.78
CP00,I15,US,2017-11-01,102.68
CP00,I15,US,2017-12-01,102.54
CP00,I15,US,2018-01-01,103.2
CP00,I15,US,2018-02-01,103.75
CP00,I15,US,2018-03-01,103.98
CP00,I15,US,2018-04-01,104.44
CP00,I15,US,2018-05-01,104.94
CP00,I15,US,2018-06-01,105.08
CP00,I15,US,2018-07-01,105.0
CP00,I15,US,2018-08-01,104.97
CP00,I15,US,2018-09-01,105.04
CP00,PCH_M1,AT,2017-10-01,0.2
CP00,PCH_M1,AT,2017-11-01,0.1
CP00,PCH_M1,AT,2017-12-01,0.6
CP00,PCH_M1,AT,2018-01-01,-1.0
CP00,PCH_M1,AT,2018-02-01,0.3
CP00,PCH_M1,AT,2018-03-01,0.9
CP00,PCH_M1,AT,2018-04-01,0.2
CP00,PCH_M1,AT,2018-05-01,0.1
CP00,PCH_M1,AT,2018-06-01,0.1
CP00,PCH_M1,AT,2018-07-01,-0.6
CP00,PCH_M1,AT,2018-08-01,0.0
CP00,PCH_M1,AT,2018-09-01,1.2
CP00,PCH_M1,BE,2017-10-01,0.3
CP00,PCH_M1,BE,2017-11-01,0.2
CP00,PCH_M1,BE,2017-12-01,0.4
CP00,PCH_M1,BE,2018-01-01,-1.2
CP00,PCH_M1,BE,2018-02-01,1.6
CP00,PCH_M1,BE,2018-03-01,0.0
CP00,PCH_M1,BE,2018-04-01,0.4
CP00,PCH_M1,BE,2018-05-01,0.3
CP00,PCH_M1,BE,2018-06-01,0.3
CP00,PCH_M1,BE,2018-07-01,-0.7
CP00,PCH_M1,BE,2018-08-01,1.4
CP00,PCH_M1,BE,2018-09-01,-0.3
CP00,PCH_M1,BG,2017-10-01,0.1
CP00,PCH_M1,BG,2017-11-01,0.3
CP00,PCH_M1,BG,2017-12-01,0.7
CP00,PCH_M1,BG,2018-01-01,0.2
CP00,PCH_M1,BG,2018-02-01,0.2
