waste,stk_flow,wst_oper,unit,geotime,date,value
W1501,DOM,RCY,PC,HR,2014-01-01,52
W1501,DOM,RCY,PC,HR,2015-01-01,
W1501,DOM,RCY,PC,HR,2016-01-01,54
W1501,DOM,RCY,PC,HU,2000-01-01,
W1501,DOM,RCY,PC,HU,2001-01-01,
W1501,DOM,RCY,PC,HU,2002-01-01,
W1501,DOM,RCY,PC,HU,2003-01-01,
W1501,DOM,RCY,PC,HU,2004-01-01,43
W1501,DOM,RCY,PC,HU,2005-01-01,45
W1501,DOM,RCY,PC,HU,2006-01-01,48
W1501,DOM,RCY,PC,HU,2007-01-01,46
W1501,DOM,RCY,PC,HU,2008-01-01,50
W1501,DOM,RCY,PC,HU,2009-01-01,51
W1501,DOM,RCY,PC,HU,2010-01-01,58
W1501,DOM,RCY,PC,HU,2011-01-01,59
W1501,DOM,RCY,PC,HU,2012-01-01,
W1501,DOM,RCY,PC,HU,2013-01-01,49
W1501,DOM,RCY,PC,HU,2014-01-01,52
W1501,DOM,RCY,PC,HU,2015-01-01,
W1501,DOM,RCY,PC,HU,2016-01-01,49
W1501,DOM,RCY,PC,IE,2000-01-01,18
W1501,DOM,RCY,PC,IE,2001-01-01,27
W1501,DOM,RCY,PC,IE,2002-01-01,34
W1501,DOM,RCY,PC,IE,2003-01-01,51
W1501,DOM,RCY,PC,IE,2004-01-01,56
W1501,DOM,RCY,PC,IE,2005-01-01,55
W1501,DOM,RCY,PC,IE,2006-01-01,54
W1501,DOM,RCY,PC,IE,2007-01-01,60
W1501,DOM,RCY,PC,IE,2008-01-01,61
W1501,DOM,RCY,PC,IE,2009-01-01,64
W1501,DOM,RCY,PC,IE,2010-01-01,66
W1501,DOM,RCY,PC,IE,2011-01-01,70
W1501,DOM,RCY,PC,IE,2012-01-01,
W1501,DOM,RCY,PC,IE,2013-01-01,70
W1501,DOM,RCY,PC,IE,2014-01-01,68
W1501,DOM,RCY,PC,IE,2015-01-01,
W1501,DOM,RCY,PC,IE,2016-01-01,67
W1501,DOM,RCY,PC,IS,2000-01-01,
W1501,DOM,RCY,PC,IS,2001-01-01,
W1501,DOM,RCY,PC,IS,2002-01-01,
W1501,DOM,RCY,PC,IS,2003-01-01,
W1501,DOM,RCY,PC,IS,2004-01-01,
W1501,DOM,RCY,PC,IS,2005-01-01,
W1501,DOM,RCY,PC,IS,2006-01-01,
W1501,DOM,RCY,PC,IS,2007-01-01,
W1501,DOM,RCY,PC,IS,2008-01-01,
W1501,DOM,RCY,PC,IS,2009-01-01,
W1501,DOM,RCY,PC,IS,2010-01-01,35
W1501,DOM,RCY,PC,IS,2011-01-01,46
W1501,DOM,RCY,PC,IS,2012-01-01,
W1501,DOM,RCY,PC,IS,2013-01-01,
W1501,DOM,RCY,PC,IS,2014-01-01,
W1501,DOM,RCY,PC,IS,2015-01-01,
W1501,DOM,RCY,PC,IS,2016-01-01,51
W1501,DOM,RCY,PC,IT,2000-01-01,38
W1501,DOM,RCY,PC,IT,2001-01-01,45
W1501,DOM,RCY,PC,IT,2002-01-01,51
W1501,DOM,RCY,PC,IT,2003-01-01,51
W1501,DOM,RCY,PC,IT,2004-01-01,53
