unit,icha11_hf,geotime,date,value
PC_CHE,HF3,LI,2013-01-01,22
PC_CHE,HF3,LI,2014-01-01,23
PC_CHE,HF3,LI,2015-01-01,24
PC_CHE,HF3,LI,2016-01-01,
PC_CHE,HF3,LT,2005-01-01,
PC_CHE,HF3,LT,2006-01-01,
PC_CHE,HF3,LT,2007-01-01,
PC_CHE,HF3,LT,2008-01-01,28
PC_CHE,HF3,LT,2009-01-01,26
PC_CHE,HF3,LT,2010-01-01,27
PC_CHE,HF3,LT,2011-01-01,28
PC_CHE,HF3,LT,2012-01-01,31
PC_CHE,HF3,LT,2013-01-01,32
PC_CHE,HF3,LT,2014-01-01,31
PC_CHE,HF3,LT,2015-01-01,31
PC_CHE,HF3,LT,2016-01-01,32
PC_CHE,HF3,LU,2005-01-01,
PC_CHE,HF3,LU,2006-01-01,
PC_CHE,HF3,LU,2007-01-01,
PC_CHE,HF3,LU,2008-01-01,
PC_CHE,HF3,LU,2009-01-01,
PC_CHE,HF3,LU,2010-01-01,
PC_CHE,HF3,LU,2011-01-01,10
PC_CHE,HF3,LU,2012-01-01,10
PC_CHE,HF3,LU,2013-01-01,10
PC_CHE,HF3,LU,2014-01-01,10
PC_CHE,HF3,LU,2015-01-01,10
PC_CHE,HF3,LU,2016-01-01,
PC_CHE,HF3,LV,2005-01-01,
PC_CHE,HF3,LV,2006-01-01,
PC_CHE,HF3,LV,2007-01-01,
PC_CHE,HF3,LV,2008-01-01,
PC_CHE,HF3,LV,2009-01-01,
PC_CHE,HF3,LV,2010-01-01,
PC_CHE,HF3,LV,2011-01-01,
PC_CHE,HF3,LV,2012-01-01,
PC_CHE,HF3,LV,2013-01-01,38
PC_CHE,HF3,LV,2014-01-01,39
PC_CHE,HF3,LV,2015-01-01,42
PC_CHE,HF3,LV,2016-01-01,44
PC_CHE,HF3,NL,2005-01-01,10
PC_CHE,HF3,NL,2006-01-01,9
PC_CHE,HF3,NL,2007-01-01,8
PC_CHE,HF3,NL,2008-01-01,10
PC_CHE,HF3,NL,2009-01-01,9
PC_CHE,HF3,NL,2010-01-01,9
PC_CHE,HF3,NL,2011-01-01,9
PC_CHE,HF3,NL,2012-01-01,10
PC_CHE,HF3,NL,2013-01-01,11
PC_CHE,HF3,NL,2014-01-01,12
PC_CHE,HF3,NL,2015-01-01,12
PC_CHE,HF3,NL,2016-01-01,
PC_CHE,HF3,NO,2005-01-01,
PC_CHE,HF3,NO,2006-01-01,
PC_CHE,HF3,NO,2007-01-01,
PC_CHE,HF3,NO,2008-01-01,
PC_CHE,HF3,NO,2009-01-01,
PC_CHE,HF3,NO,2010-01-01,
PC_CHE,HF3,NO,2011-01-01,15
PC_CHE,HF3,NO,2012-01-01,14
PC_CHE,HF3,NO,2013-01-01,14
PC_CHE,HF3,NO,2014-01-01,14
PC_CHE,HF3,NO,2015-01-01,14
PC_CHE,HF3,NO,2016-01-01,14
PC_CHE,HF3,PL,2005-01-01,
PC_CHE,HF3,PL,2006-01-01,
PC_CHE,HF3,PL,2007-01-01,
PC_CHE,HF3,PL,2008-01-01,
PC_CHE,HF3,PL,2009-01-01,
PC_CHE,HF3,PL,2010-01-01,
PC_CHE,HF3,PL,2011-01-01,
PC_CHE,HF3,PL,2012-01-01,
PC_CHE,HF3,PL,2013-01-01,23
PC_CHE,HF3,PL,2014-01-01,23
PC_CHE,HF3,PL,2015-01-01,23
PC_CHE,HF3,PL,2016-01-01,22
PC_CHE,HF3,PT,2005-01-01,23
PC_CHE,HF3,PT,2006-01-01,25
PC_CHE,HF3,PT,2007-01-01,25
PC_CHE,HF3,PT,2008-01-01,25
PC_CHE,HF3,PT,2009-01-01,24
PC_CHE,HF3,PT,2010-01-01,24
