currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time,date,value
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2004-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2005-01-01,281272.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2005-04-01,295688.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2005-07-01,308236.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2005-10-01,320553.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2006-01-01,347407.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2006-04-01,334552.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2006-07-01,348019.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2006-10-01,365494.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2007-01-01,376823.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2007-04-01,389648.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2007-07-01,383220.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2007-10-01,421911.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2008-01-01,544976.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2008-04-01,554588.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2008-07-01,586958.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2008-10-01,660494.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2009-01-01,653730.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2009-04-01,651546.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2009-07-01,641373.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2009-10-01,696258.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2010-01-01,709774.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2010-04-01,753854.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2010-07-01,740573.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2010-10-01,776537.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2011-01-01,778648.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2011-04-01,776932.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2011-07-01,819421.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2011-10-01,864777.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2012-01-01,882549.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2012-04-01,901828.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2012-07-01,906958.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2012-10-01,861445.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2013-01-01,859304.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2013-04-01,844956.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2013-07-01,828019.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2013-10-01,819512.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2014-01-01,889775.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2014-04-01,886531.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2014-07-01,897584.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2014-10-01,931765.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2015-01-01,1000591.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2015-04-01,968074.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2015-07-01,966447.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2015-10-01,988653.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2016-01-01,971416.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2016-04-01,986227.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2016-07-01,979192.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2016-10-01,1024843.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2017-01-01,1021991.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2017-04-01,993754.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2017-07-01,999256.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2017-10-01,963496.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2018-01-01,952519.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2018-04-01,957716.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,1995-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,1996-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,1996-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,1996-07-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,1996-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,1997-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,1997-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,1997-07-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,1997-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,1998-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,1998-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,1998-07-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,1998-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,1999-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,1999-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,1999-07-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,1999-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2000-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2000-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2000-07-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2000-10-01,183.6 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2001-01-01,49.1 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2001-04-01,39.2 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2001-07-01,54.5 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2001-10-01,162.2 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2002-01-01,72.6 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2002-04-01,75.5 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2002-07-01,122.7 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2002-10-01,226.5 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2003-01-01,85.3 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2003-04-01,48.2 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2003-07-01,81.2 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2003-10-01,216.4 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2004-01-01,439.5 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2004-04-01,589.4 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2004-07-01,746.7 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2004-10-01,679.7 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2005-01-01,803.8 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2005-04-01,848.3 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2005-07-01,988.1 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2005-10-01,795.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2006-01-01,1191.6 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2006-04-01,1123.2 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2006-07-01,1195.7 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2006-10-01,1302.9 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2007-01-01,1868.3 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2007-04-01,2125.6 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2007-07-01,2413.2 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2007-10-01,2513.9 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2008-01-01,3472.1
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2008-04-01,3753.9
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2008-07-01,3847.9
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2008-10-01,3796.3
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2009-01-01,4039.1
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2009-04-01,3982.8
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2009-07-01,4376.2
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2009-10-01,3982.7
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2010-01-01,4673.4
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2010-04-01,4903.2
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2010-07-01,4869.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2010-10-01,5469.5
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2011-01-01,5857.6
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2011-04-01,5869.5
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2011-07-01,6323.1
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2011-10-01,6168.9
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2012-01-01,6606.8
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2012-04-01,6877.3
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2012-07-01,6821.1
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2012-10-01,6658.8
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2013-01-01,7078.9
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2013-04-01,7087.7
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2013-07-01,7188.5
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2013-10-01,6991.7
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2014-01-01,7027.8
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2014-04-01,7450.7
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2014-07-01,7771.3
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2014-10-01,7845.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2015-01-01,8032.9
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2015-04-01,8097.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2015-07-01,7711.8
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2015-10-01,8072.5
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2016-01-01,8229.5
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2016-04-01,8682.6
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2016-07-01,9041.5
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2016-10-01,9655.4
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2017-01-01,9838.3
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2017-04-01,9663.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2017-07-01,10161.6
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2017-10-01,10796.2
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2018-01-01,11219.2
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG,2018-04-01,11205.7
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,1995-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,1996-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,1996-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,1996-07-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,1996-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,1997-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,1997-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,1997-07-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,1997-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,1998-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,1998-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,1998-07-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,1998-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,1999-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,1999-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,1999-07-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,1999-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY,2000-01-01,: 
